"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",38.5103174603175,"Up",4.835e+09,-3.188e+09,1.647e+09,-9.82e+08,-8.81e+08,6.65e+08,-5.6e+07,-5.6e+07,6.09e+08,6.09e+08,-2.41e+08,4.3e+07,4.11e+08,4.11e+08,-2.7e+07,3.84e+08,3.84e+08,6.69e+08,6.69e+08,2.557e+09,2.557e+09,2.104e+09,3.89e+08,3.89e+08,5.719e+09,7.958e+09,3.98e+08,4.922e+09,3.277e+09,1.645e+09,1.3278e+10,1.8997e+10,3.834e+09,1.995e+09,1.839e+09,1.001e+09,5.256e+09,4.387e+09,3.676e+09,1.807e+09,1.46e+09,8.063e+09,1.3319e+10,5.396e+09,2.82e+08,5.678e+09,1.8997e+10,4.11e+08,1.93e+08,1.7e+07,-1.57e+08,4.64e+08,-1.84e+08,5.5e+07,-1.19e+08,-2.5e+08,-1.4e+07,-1.2e+08,-3.3e+07,-4.17e+08,-7.2e+07,-7.2e+07,-5.7e+07,-1.29e+08,8.58e+08,5.388e+09,7.58e+08,0.34064,0.13754,0.07942,0.06763,0.02021,1.97396,1.08809,2.34572,0.28362,0.91954,0.91581,11.57807,12.92146,1.81513,0.59866,11.2690705016786,0.04301,0.05142,0.65104,5.5,7.09624
"2","2010_Q3",40.6903125,"Up",4.857e+09,-3.213e+09,1.644e+09,-9.33e+08,-9.29e+08,7.11e+08,-5.4e+07,-5.4e+07,6.57e+08,6.57e+08,-1.81e+08,4.7e+07,5.23e+08,5.23e+08,-2.5e+07,4.98e+08,4.98e+08,5.85e+08,5.85e+08,2.39e+09,2.39e+09,2.233e+09,4.13e+08,4.13e+08,5.621e+09,7.856e+09,3.94e+08,4.842e+09,3.212e+09,1.63e+09,1.3092e+10,1.8713e+10,3.958e+09,2.055e+09,1.903e+09,1.157e+09,5.456e+09,4.442e+09,3.528e+09,1.762e+09,1.43e+09,7.97e+09,1.3426e+10,5.015e+09,2.72e+08,5.287e+09,1.8713e+10,5.23e+08,2.09e+08,-1.13e+08,-3.2e+07,5.87e+08,-1.76e+08,-3e+06,-1.7e+08,-2.75e+08,1.3e+08,-3.3e+08,-2e+07,-4.95e+08,-7.8e+07,-7.8e+07,-5999999.99999999,-8.4e+07,9.2e+08,5.599e+09,8.93e+08,0.33848,0.14639,0.10253,0.09419,0.02661,1.79317,1.03024,2.53944,0.2992,1.20406,1.19913,11.74323,12.12524,2.15909,0.66489,7.47683760089525,0.05363,0.06195,0.55221,5.45,7.05204
"3","2010_Q4",40.35515625,"Down",4.979e+09,-3.365e+09,1.614e+09,-9.16e+08,-9.09e+08,6.98e+08,-5.4e+07,-5.4e+07,6.44e+08,6.44e+08,-1.95e+08,4e+07,4.89e+08,4.89e+08,-2e+07,4.69e+08,4.69e+08,5.33e+08,5.33e+08,2.413e+09,2.413e+09,2.402e+09,7.44e+08,7.44e+08,6.092e+09,8.188e+09,4.02e+08,4.804e+09,3.348e+09,1.456e+09,1.3394e+10,1.9486e+10,4.098e+09,2.123e+09,1.975e+09,7.31e+08,5.159e+09,4.71e+09,3.683e+09,1.789e+09,1.492e+09,8.393e+09,1.3552e+10,5.66e+09,2.74e+08,5.934e+09,1.9486e+10,4.89e+08,2.05e+08,3.7e+07,1.4e+07,7.45e+08,-2.47e+08,1.4e+07,-2.23e+08,-2.71e+08,-1.59e+08,-1.28e+08,-3.6e+07,-5.94e+08,-7.2e+07,-7.2e+07,2e+07,-5.2e+07,9.03e+08,5.441e+09,8.65e+08,0.32416,0.14019,0.0942,0.07904,0.02407,1.84435,1.18085,2.28379,0.27923,1.14418,1.13669,12.14687,13.80825,2.11027,0.66114,5.55381410033572,0.04914,0.05744,0.57783,5.43522,7.03152
"4","2011_Q1",41.603064516129,"Up",5.075e+09,-3.43e+09,1.645e+09,-9.46e+08,-9.54e+08,6.99e+08,-5.9e+07,-5.9e+07,6.4e+08,6.4e+08,-1.71e+08,5.1e+07,5.2e+08,5.2e+08,-2.8e+07,4.92e+08,4.92e+08,8.76e+08,8.76e+08,2.472e+09,2.472e+09,2.373e+09,6.07e+08,6.07e+08,6.328e+09,8.356e+09,3.74e+08,4.806e+09,3.403e+09,1.116e+09,1.3536e+10,1.9864e+10,4.488e+09,2.206e+09,2.013e+09,3.44e+08,4.832e+09,5.12e+09,3.71e+09,1.81e+09,1.9e+09,8.83e+09,1.3662e+10,5.917e+09,2.85e+08,6.202e+09,1.9864e+10,5.2e+08,2.06e+08,2.3e+07,1.99e+08,9.48e+08,-3.48e+08,6.1e+07,-2.69e+08,-2.7e+08,2.4e+07,-9.4e+07,-1.3e+07,-3.53e+08,3.26e+08,3.26e+08,1.7e+07,3.43e+08,9.05e+08,5.464e+09,9.27e+08,0.32414,0.13773,0.09695,0.07933,0.02477,1.88415,1.3096,2.20284,0.27507,1.20441,1.19883,12.4235,14.4847,2.26928,0.66095,5,0.04956,0.06029,0.54878,5.06961,6.56366
"5","2011_Q2",43.2020634920635,"Up",5.029e+09,-3.566e+09,1.463e+09,-9.19e+08,-9.21e+08,5.44e+08,-6e+07,-6e+07,4.84e+08,4.84e+08,-1.52e+08,4e+07,3.72e+08,3.72e+08,-2.2e+07,3.5e+08,3.5e+08,5.85e+08,5.85e+08,2.696e+09,2.696e+09,2.4e+09,6.19e+08,6.19e+08,6.3e+09,8.413e+09,4.13e+08,4.866e+09,3.426e+09,1.44e+09,1.3692e+10,1.9992e+10,4.082e+09,2.195e+09,1.887e+09,7.19e+08,5.287e+09,5.406e+09,3.578e+09,1.562e+09,1.585e+09,8.984e+09,1.4271e+10,5.434e+09,2.87e+08,5.721e+09,1.9992e+10,3.72e+08,2.43e+08,-2.14e+08,-1.51e+08,2.5e+08,-2.34e+08,1.1e+07,-2.18e+08,-2.69e+08,6.73e+08,-7.31e+08,-5e+06,-3.32e+08,-3e+08,-3e+08,9e+06,-2.91e+08,7.87e+08,6.125e+09,5.54e+08,0.29091,0.10817,0.0696,0.06118,0.01751,1.58286,1.1916,2.49449,0.30637,0.86763,0.86228,12.46653,13.4705,1.37333,0.66683,5.31539529988809,0.04013,0.03592,0.76857,7.03939,10.18382
"6","2011_Q3",44.17375,"Up",5.259e+09,-3.702e+09,1.557e+09,-9.32e+08,-9.4e+08,6.25e+08,-6.7e+07,-6.7e+07,5.58e+08,5.58e+08,-1.73e+08,4.7e+07,4.32e+08,4.32e+08,-2.4e+07,4.08e+08,4.08e+08,9.08e+08,9.08e+08,2.537e+09,2.537e+09,2.521e+09,7.56e+08,7.56e+08,6.722e+09,8.414e+09,4.2e+08,4.924e+09,3.486e+09,1.438e+09,1.3758e+10,2.048e+10,4.342e+09,2.358e+09,1.984e+09,1.008e+09,5.683e+09,5.424e+09,3.516e+09,1.437e+09,1.553e+09,8.94e+09,1.4623e+10,5.556e+09,3.01e+08,5.857e+09,2.048e+10,4.32e+08,2.87e+08,-3.7e+07,88999999.9999999,7.71e+08,-2.01e+08,-1.7e+07,-2.14e+08,-2.8e+08,3.01e+08,-2.73e+08,-9e+06,-2.61e+08,2.96e+08,2.96e+08,2.7e+07,3.23e+08,9.12e+08,6.432e+09,9.73e+08,0.29606,0.11884,0.07758,0.06966,0.01992,2.3848,1.18283,2.49667,0.31406,1.0387,1.03161,13.38849,14.1446,2.47709,0.71283,6,0.04353,0.06156,0.68627,6.05702,8.8384
"7","2011_Q4",47.0836507936508,"Up",5.382e+09,-3.794e+09,1.588e+09,-9.26e+08,-9.43e+08,6.62e+08,-6.5e+07,-6.5e+07,5.97e+08,5.97e+08,-1.74e+08,3.5e+07,4.58e+08,4.58e+08,-2.6e+07,4.32e+08,4.32e+08,1.232e+09,1.232e+09,2.434e+09,2.434e+09,2.421e+09,4.52e+08,4.52e+08,6.539e+09,8.047e+09,3.72e+08,4.672e+09,3.321e+09,1.351e+09,1.3091e+10,1.963e+10,4.24e+09,2.262e+09,1.978e+09,7.58e+08,5.31e+09,5.422e+09,3.435e+09,1.394e+09,1.548e+09,8.857e+09,1.4167e+10,5.179e+09,2.84e+08,5.463e+09,1.963e+10,4.58e+08,2.91e+08,9.4e+07,-9.3e+07,7.5e+08,-1.98e+08,2.23e+08,3.7e+07,-2.75e+08,-1.81e+08,5.2e+07,-3.4e+07,-4.38e+08,3.49e+08,3.49e+08,-2.5e+07,3.24e+08,9.53e+08,6.18e+09,8.36e+08,0.29506,0.123,0.08027,0.07908,0.02201,1.93519,1.23145,2.59326,0.31482,1.10176,1.09367,13.72609,13.20837,2.13211,0.70135,6,0.04689,0.05545,0.63657,5.19203,7.47432
"8","2012_Q1",48.648064516129,"Up",5.176e+09,-3.632e+09,1.544e+09,-9.33e+08,-9.57e+08,6.11e+08,-6.7e+07,-6.7e+07,5.44e+08,5.44e+08,-1.61e+08,3.9e+07,4.22e+08,4.22e+08,-2.1e+07,4.01e+08,4.01e+08,7.64e+08,7.64e+08,2.602e+09,2.602e+09,2.356e+09,5.61e+08,5.61e+08,6.283e+09,8.049e+09,3.38e+08,4.703e+09,3.34e+09,1.098e+09,1.309e+10,1.9373e+10,4.691e+09,2.388e+09,2.026e+09,7.06e+08,5.397e+09,5.426e+09,3.021e+09,1.46e+09,1.561e+09,8.447e+09,1.3844e+10,5.249e+09,2.8e+08,5.529e+09,1.9373e+10,4.22e+08,2.7e+08,-6.8e+07,-1.07e+08,5.17e+08,-2.84e+08,-9e+06,-2.86e+08,-2.75e+08,-5.48e+08,1.41e+08,-2.8e+07,-7.1e+08,-4.79e+08,-4.79e+08,1.1e+07,-4.68e+08,8.81e+08,6.132e+09,6.51e+08,0.2983,0.11804,0.07747,0.07253,0.0207,1.62344,1.16417,2.50389,0.31652,1.01648,1.00754,13.12041,13.30545,1.65019,0.69708,5,0.04604,0.04434,0.68579,6.09308,8.7856
"9","2012_Q2",53.401746031746,"Up",5.241e+09,-3.537e+09,1.704e+09,-1.004e+09,-9.96e+08,7e+08,-6.7e+07,-6.7e+07,6.33e+08,6.33e+08,-1.85e+08,3.9e+07,4.87e+08,4.87e+08,-1.9e+07,4.68e+08,4.68e+08,7.85e+08,7.85e+08,2.672e+09,2.672e+09,2.354e+09,5.06e+08,5.06e+08,6.317e+09,8.118e+09,3.95e+08,4.727e+09,3.373e+09,1.094e+09,1.324e+10,1.9557e+10,4.267e+09,2.382e+09,1.885e+09,6.91e+08,5.249e+09,5.707e+09,2.963e+09,1.423e+09,1.54e+09,8.67e+09,1.3919e+10,5.353e+09,2.85e+08,5.638e+09,1.9557e+10,4.87e+08,2.18e+08,9.5e+07,-2.15e+08,5.85e+08,-2.58e+08,7e+06,-2.51e+08,-2.77e+08,2.78e+08,-3.23e+08,-1.3e+07,-3.35e+08,-1e+06,-1e+06,2.2e+07,2.1e+07,9.18e+08,6.398e+09,6.3e+08,0.32513,0.13356,0.0893,0.08301,0.02393,1.34615,1.20347,2.46878,0.32715,1.18842,1.17854,13.30879,13.59319,1.5998,0.7034,8,0.04967,0.042,0.59188,6.11438,8.01857
"10","2012_Q3",57.6295238095238,"Up",5.269e+09,-3.514e+09,1.755e+09,-1.001e+09,-1.019e+09,7.54e+08,-6.6e+07,-6.6e+07,6.88e+08,6.88e+08,-2.13e+08,4.3e+07,5.18e+08,5.18e+08,-2e+07,4.98e+08,4.98e+08,9.94e+08,9.94e+08,2.681e+09,2.681e+09,2.368e+09,5.49e+08,5.49e+08,6.592e+09,7.977e+09,3.9e+08,4.637e+09,3.313e+09,1.074e+09,1.3004e+10,1.9596e+10,4.269e+09,2.371e+09,1.898e+09,5.72e+08,5.133e+09,5.695e+09,3.044e+09,1.465e+09,1.579e+09,8.739e+09,1.3872e+10,5.437e+09,2.87e+08,5.724e+09,1.9596e+10,5.18e+08,2.14e+08,1.02e+08,-9.4e+07,7.4e+08,-2.22e+08,-6e+06,-2.21e+08,-2.9e+08,-1.22e+08,9.6e+07,1.3e+07,-3.03e+08,2.16e+08,2.16e+08,-7e+06,2.09e+08,9.68e+08,6.267e+09,8.65e+08,0.33308,0.1431,0.09452,0.087,0.02541,1.73695,1.28424,2.42348,0.31981,1.26524,1.25599,13.38669,13.81352,2.19766,0.73679,6,0.05241,0.05753,0.58233,5.44731,6.99337
