"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",12.5593650793651,"Up",1800426000,-619105000,1181321000,-636091000,-282929000,-353162000,545230000,-131725000,-142225000,10500000,413505000,413505000,-160548000,252957000,252957000,252601000,252601000,-8958992928.3022,-8958992928.3022,-4789100053.43378,-4789100053.43378,-3569494976.70965,-1868691486.63493,-16385533198.1186,-35230780459.6173,-78768908296.5038,-35861121122.9559,-14881691360.1958,-113999688756.121,-130385221954.24,-4226533680.9749,-4226533680.9749,185423240469.147,185423240469.147,-3528835422.9712,-3090200916.44173,177667871365.201,-58208769142.0118,-18722143316.9808,-13797086458.5462,-1419793093.42678,-3505263765.0078,-261817646037.641,-84149774672.4406,-51591722597.1135,-1084413110.16476,4630489932.18768,489429229.510116,-46395511869.5458,-46235447281.7991,-130385221954.24,252957000,353162000,-322148000,-15369000,-313880000,176186000,14632000,-59992000,221546000,460157000,-167180000,-167180000,1658000,-165522000,-218052000,-32629000,1717878834.03297,-32629000,-32629000,2190000,-249952000,44683000,44683000,44683000,898392000,0,1067946000,0.65613,0.30283,0.1403,0.0924264481859606,0.041144744399026,4.2278,-24.429993200217,0.147924739444898,0.0709819721950443,0.84365,0.84201,6.01319,10.1410804659871,3.5668,0.72826,0.0665694390906697,0.381463612907616,0.86323,-6.36419397648443,-99.7479896526158
"2","2010_Q3",13.483125,"Up",1771574000,-651895000,1119679000,-596909000,-239071000,-357838000,522770000,-136275000,-135775000,-500000.000000004,386495000,386495000,-148452000,238043000,238043000,238399000,238399000,-2129949309.43407,-2129949309.43407,-679106684.477928,-679106684.477928,-843113325.569885,-491797495.544976,-3353509066.03952,-2680344819.87245,-11543204765.5013,-1777920374.31863,-7402835392.10441,-14223549585.3737,-17577058651.4132,-893748226.991634,-893748226.991634,60211487489.7156,60211487489.7156,-166725474.323734,-207829305.480577,59151013788.4003,-28107476875.7396,-2130051438.9936,-2760529486.18207,1240079635.52441,-609601588.335934,-71706552345.8805,-12555538557.4802,-8833899865.70449,-61459036.7215879,3638141310.72923,101404076.503372,-5073669289.84861,-5021520093.93303,-17577058651.4132,238043000,357838000,64147999.9999999,-1631000,72880000.0000001,-239186000,-72632000,-36008000,-130546000,420843000,-194820000,-194820000,342000,-194478000,-218948000,-46371000,-6.8e+07,21629000,21629000,3810000,-247048000,-20683000,-20683000,-20683000,880608000,1.9073486328125e-06,595054000,0.63202,0.29509,0.13457,0.0423754827286535,0.018551581466342,2.49604,-7.10455773340567,1.02489157981497,0.274017324065015,0.79451,0.79306,5.90411,26.2112768219957,1.98313,0.72969,0.0334431463635566,0.130301204302539,0.91841,4.61430200783853,-15.6348765508719
"3","2010_Q4",16.14671875,"Up",1.748e+09,-6.41e+08,1.107e+09,-6.01e+08,-2.43e+08,-3.58e+08,5.06e+08,-1.34e+08,-1.38e+08,4e+06,3.72e+08,3.72e+08,-1.4e+08,2.32e+08,2.32e+08,2.32e+08,2.32e+08,243061000,243061000,749653000,749653000,199258000,34355000,1227107000,8801743000,12191360000,10260640000,-2393188272.03915,20993103000,22220210000,292675000,292675000,7558296000,7558296000,860501000,693268000,8711472000,-6767553828.40236,3902884000,1242322000,2260097000,400465000,3902884000,12614356000,6389821000,302685000,3298643000,-89544000,9599156000,9605854000,22220210000,2.32e+08,3.58e+08,9.2e+07,3.6e+07,5.6e+07,-8.2e+07,-7.3e+07,-6e+06,-3e+06,6e+08,-2.38e+08,-2.38e+08,0,-2.38e+08,-2.21e+08,-1.16e+08,-1.13e+08,-3e+06,-3e+06,5e+06,-3.05e+08,5.7e+07,5.7e+07,5.7e+07,8.64e+08,7558296000,6.84e+08,0.6333,0.28947,0.13272,0.02415,0.01044,2.94828,0.14086,1.31319,0.34015,0.77153,0.76978,5.81306,31.9217,2.27468,0.73495,0.0215,0.03247,0.95259,8.46671,14.45699
"4","2011_Q1",16.3917741935484,"Up",1.722e+09,-6.32e+08,1.09e+09,-6.04e+08,-2.39e+08,-3.65e+08,4.86e+08,-1.27e+08,-1.28e+08,999999.999999999,3.59e+08,3.59e+08,-1.34e+08,2.25e+08,2.25e+08,2.25e+08,2.25e+08,1.73e+08,1.73e+08,7.13e+08,7.13e+08,2.57e+08,7.4e+07,1.143e+09,8.754e+09,1.2141e+10,1.0261e+10,6.22e+08,2.0895e+10,2.2038e+10,3e+08,3e+08,1.2e+07,1.2e+07,6.99e+08,5.75e+08,1.011e+09,7.316e+09,4.064e+09,1.306e+09,2.369e+09,3.89e+08,1.138e+10,1.2391e+10,6.486e+09,3.05e+08,3.302e+09,-1.41e+08,9.647e+09,9.647e+09,2.2038e+10,2.25e+08,3.65e+08,1.32e+08,1.13e+08,1.9e+07,-1.58e+08,1.3e+07,6e+06,-1.77e+08,5.64e+08,-2.64e+08,-2.64e+08,3e+06,-2.61e+08,-2.21e+08,-2.31e+08,2.55e+08,-4.86e+08,-4.86e+08,6e+06,-3.73e+08,-7e+07,-7e+07,-7e+07,8.51e+08,7.328e+09,5.63e+08,0.63298,0.28223,0.13066,0.02332,0.01021,2.50222,1.13056,1.28444,0.33252,0.74429,0.74208,5.69627,31.91169,1.86237,0.73105,0.0212,0.02676,0.98222,8.40776,14.72222
"5","2011_Q2",15.9685714285714,"Down",1.696e+09,-6.26e+08,1.07e+09,-6.06e+08,-2.37e+08,-3.69e+08,4.64e+08,-1.25e+08,-1.28e+08,3e+06,3.39e+08,3.39e+08,-1.28e+08,2.11e+08,2.11e+08,2.11e+08,2.11e+08,269659000,269659000,667842000,667842000,167787000,57137000,1140736000,8648580000,12112142000,10260640000,2117479424.01305,20760722000,21901458000,298687000,298687000,7179790000,7179790000,762781000,626941000,8241258000,15648184609.4675,4001593000,1196382000,2408054000,397157000,4001593000,12242851000,6499873000,305778000,3291784000,-138957000,9652936000,9658607000,21901458000,2.11e+08,3.69e+08,-6.2e+07,4e+07,-1.02e+08,1.52e+08,2.5e+07,-1e+06,1.28e+08,6.7e+08,-2.11e+08,-2.11e+08,3e+06,-2.08e+08,-2.22e+08,-1.48e+08,-1.45e+08,-3e+06,-3e+06,1e+06,-3.65e+08,9.7e+07,9.7e+07,9.7e+07,8.33e+08,7179790000,9.02e+08,0.6309,0.27358,0.12441,0.02185,0.00963,4.27488,0.13842,1.26756,0.32782,0.69446,0.69299,5.58203,31.76986,2.96875,0.73067,0.02078,0.04328,1.05213,8.29548,14.89252
"6","2011_Q3",14.21953125,"Down",4.406e+09,-1.781e+09,2.625e+09,-2.145e+09,-9.68e+08,-1.177e+09,4.8e+08,-2.93e+08,-2.8e+08,-1.3e+07,1.87e+08,1.86e+08,-7.1e+07,1.15e+08,1.15e+08,1.15e+08,1.15e+08,2.546e+09,2.546e+09,1.83e+09,1.83e+09,6.31e+08,3.48e+08,5.007e+09,1.8024e+10,3.1811e+10,2.0266e+10,2.568e+09,4.9835e+10,5.4842e+10,1.256e+09,1.256e+09,1.61e+09,1.61e+09,2.198e+09,1.811e+09,5.064e+09,1.9734e+10,8.403e+09,4.008e+09,3.106e+09,1.289e+09,2.8137e+10,3.3201e+10,1.8838e+10,6.02e+08,2.958e+09,-1.41e+08,2.1641e+10,2.1641e+10,5.4842e+10,1.15e+08,1.177e+09,1.35e+08,1.34e+08,1e+06,-7.9e+07,-1.7e+07,-2.3e+07,-38999999.9999999,1.348e+09,-5.79e+08,-5.79e+08,6e+06,-1.54e+08,-4.35e+08,1.528e+09,-2.2e+08,1.748e+09,-8.54e+08,-3.5e+07,1.082e+09,2.276e+09,2.276e+09,2.276e+09,1.657e+09,2.1344e+10,1.07e+09,0.59578,0.10894,0.0261,0.00531,0.0021,9.30435,0.98874,1.53417,0.38919,0.19202,0.19158,7.35702,36.13555,1.78666,0.72635,0.0107,0.02082,3.78261,11.3446,39.1625
"7","2011_Q4",14.4939682539683,"Up",4.596e+09,-1.95e+09,2.646e+09,-2.098e+09,-8.7e+08,-1.228e+09,5.48e+08,-3.17e+08,-3.24e+08,7e+06,2.31e+08,2.31e+08,-9.3e+07,1.38e+08,1.38e+08,1.38e+08,1.38e+08,1.123e+09,1.123e+09,1.998e+09,1.998e+09,6.87e+08,3.78e+08,3.808e+09,1.929e+10,3.3637e+10,2.1702e+10,2.452e+09,5.2927e+10,5.6735e+10,1.36e+09,1.36e+09,1.034e+09,1.034e+09,2.343e+09,1.89e+09,4.737e+09,2.1142e+10,8.88e+09,3.983e+09,3.516e+09,1.381e+09,3.0022e+10,3.4759e+10,1.9471e+10,6.17e+08,2.663e+09,-1.58e+08,2.1976e+10,2.1976e+10,5.6735e+10,1.38e+08,1.228e+09,1.19e+08,1.24e+08,-5e+06,-3e+07,-7.4e+07,1e+07,3.4e+07,1.455e+09,-7.21e+08,-7.21e+08,5e+06,-2.387e+09,-4.48e+08,-2.8e+07,0,-2.8e+07,-5.85e+08,-2e+07,-4.76e+08,-1.408e+09,-1.408e+09,-1.423e+09,1.776e+09,2.2176e+10,1.118e+09,0.57572,0.11923,0.03003,0.00628,0.00243,8.10145,0.80388,1.58168,0.39087,0.22539,0.22487,7.50641,35.89225,1.82597,0.73169,0.01105,0.02108,3.24638,11.85417,38.41788
"8","2012_Q1",15.8790322580645,"Up",4.653e+09,-1.968e+09,2.685e+09,-2.152e+09,-9e+08,-1.252e+09,5.33e+08,-3.34e+08,-3.4e+08,6e+06,1.99e+08,1.92e+08,-8.3e+07,1.09e+08,1.09e+08,1.09e+08,1.09e+08,1.28e+08,1.28e+08,1.95e+09,1.95e+09,1.439e+09,3.93e+08,3.517e+09,1.9444e+10,3.3083e+10,2.1732e+10,2.243e+09,5.2527e+10,5.6044e+10,1.4e+09,1.4e+09,4.8e+08,4.8e+08,2.137e+09,1.754e+09,4.017e+09,2.1356e+10,9.844e+09,4.855e+09,3.8e+09,1.189e+09,3.12e+10,3.5217e+10,1.952e+10,6.19e+08,2.319e+09,-1.012e+09,2.0827e+10,2.0827e+10,5.6044e+10,1.09e+08,1.252e+09,-3.85e+08,9.7e+07,-4.82e+08,-2.48e+08,-3.6e+07,-4.4e+07,-1.68e+08,7.28e+08,-9e+08,-9e+08,2e+06,-8.98e+08,-4.51e+08,-3.22e+08,2.77e+08,-5.99e+08,-1.542e+09,-6.9e+07,-8.18e+08,-9.88e+08,-9.88e+08,-9.95e+08,1.785e+09,2.1836e+10,7.2e+08,0.57705,0.11455,0.02343,0.00523,0.00194,6.6055,0.87553,1.69093,0.38962,0.17691,0.17636,7.55201,33.8031,1.16859,0.73199,0.01067,0.01371,4.13761,12.16134,40.72795
"9","2012_Q2",16.2373015873016,"Up",4.61e+09,-1.877e+09,2.733e+09,-2.079e+09,-8.71e+08,-1.208e+09,6.54e+08,-3.31e+08,-3.43e+08,1.2e+07,3.23e+08,3.31e+08,-1.31e+08,2e+08,2e+08,2e+08,2e+08,1.53e+09,1.53e+09,1.879e+09,1.879e+09,1.473e+09,4.81e+08,4.882e+09,1.9295e+10,3.2665e+10,2.1726e+10,2.161e+09,5.196e+10,5.6842e+10,1.026e+09,1.026e+09,2.2e+09,2.2e+09,2.417e+09,1.992e+09,5.643e+09,2.0667e+10,9.894e+09,4.793e+09,3.916e+09,1.185e+09,3.0561e+10,3.6204e+10,1.9571e+10,6.21e+08,2.067e+09,-1e+09,2.0638e+10,2.0638e+10,5.6842e+10,2e+08,1.208e+09,1.19e+08,1.15e+08,4e+06,5.6e+07,1.8e+07,-1.98e+08,2.36e+08,1.583e+09,-6.78e+08,-6.78e+08,1.5e+07,-6.63e+08,-4.52e+08,9.06e+08,-2.77e+08,1.183e+09,-8.49e+08,3e+06,4.81e+08,1.401e+09,1.401e+09,1.402e+09,1.862e+09,2.2867e+10,1.371e+09,0.59284,0.14187,0.04338,0.00969,0.00352,6.855,0.86514,1.75424,0.40229,0.32352,0.3224,7.45704,33.38359,2.2177,0.73115,0.01221,0.02567,2.26,11.45918,32.62538
"10","2012_Q3",17.885873015873,"Up",4.612e+09,-1.912e+09,2.7e+09,-2.043e+09,-8.35e+08,-1.208e+09,6.57e+08,-3.32e+08,-3.35e+08,3e+06,3.25e+08,1.23e+08,-4.9e+07,7.4e+07,7.4e+07,7.4e+07,7.4e+07,2.81e+08,2.81e+08,1.92e+09,1.92e+09,1.646e+09,6.28e+08,3.847e+09,1.9054e+10,3.2189e+10,2.1732e+10,1.922e+09,5.1243e+10,5.509e+10,1.134e+09,1.134e+09,1.903e+09,1.903e+09,2.17e+09,1.799e+09,5.207e+09,1.9682e+10,9.89e+09,4.72e+09,3.955e+09,1.215e+09,2.9572e+10,3.4779e+10,1.9621e+10,6.22e+08,1.688e+09,-9.98e+08,2.0311e+10,2.0311e+10,5.509e+10,7.4e+07,1.208e+09,1.78e+08,2.2e+07,1.56e+08,-2.44e+08,-8.2e+07,5.8e+07,-2.2e+08,1.216e+09,-4.94e+08,-6.27e+08,-1.8e+07,-5.12e+08,-4.53e+08,-1.202e+09,2.5e+08,-1.452e+09,-2.781e+09,-3.2e+08,-1.954e+09,-1.25e+09,-1.25e+09,-1.249e+09,1.865e+09,2.1585e+10,1.176e+09,0.58543,0.14245,0.01605,0.00364,0.00134,15.89189,0.73881,1.71232,0.39181,0.11938,0.119,7.44007,32.76565,1.89712,0.73078,0.01018,0.02271,6.12162,11.42306,32.42618
