"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q2",11.72421875,"Up",30222000,-12284000,17938000,-21869000,-13347000,-8522000,-3931000,177000,-3754000,-3754000,-3685000,-3685000,-3685000,-3685000,49745000,8494000,3547000,3547000,6394000,3429000,63115000,4811000,8195000,3231000,3803000,1161000,13006000,76121000,24286000,8094000,16192000,14629000,14629000,38915000,966000,966000,966000,39881000,131233000,-94908000,36240000,36240000,76121000,-3685000,649000,2257000,1073000,294000,-405000,3310000,1166000,1166000,-759000,407000,4011000,4011000,4011000,-3282000,0,0.59354,-0.13007,-0.12193,-0.10168,-0.04841,1.62187,1.10047,0,-0.19075,-0.19075,1.56439,1.8759,-0.09904,15.15692,12.65454
"12","2018_Q3",16.0444444444444,"Up",31681000,-12908000,18773000,-22937000,-14494000,-8443000,-4164000,198000,-3966000,-3966000,-3904000,-3904000,-3904000,-3904000,48631000,16944000,3103000,3103000,7601000,3593000,62928000,4858000,8864000,3033000,3803000,2028000,13722000,76650000,25405000,10189000,15216000,15117000,15117000,40522000,947000,947000,947000,41469000,134042000,-98812000,35181000,35181000,76650000,-3904000,756000,2442000,-88000,-794000,-450000,9207000,478000,478000,-441000,37000.0000000001,8450000,8450000,8450000,-3408000,0,0.59256,-0.13144,-0.12323,-0.11097,-0.05093,1.55293,1.17873,1.32348898008484e-23,-0.19844,-0.19844,1.61033,1.78823,-0.10806,14.26966,11.67891
"13","2018_Q4",14.535873015873,"Down",32608000,-12535000,20073000,-23937000,-15344000,-8593000,-3864000,224000,-3640000,-3640000,-3494000,-3494000,-3494000,-3494000,46883000,13356000,2880000,2880000,7817000,3830000,61410000,4571000,9606000,2836000,3803000,2967000,14177000,75587000,25337000,7866000,17471000,15098000,15098000,40435000,771000,771000,771000,41206000,136721000,-102306000,34381000,34381000,75587000,-3494000,852000,2422000,-1085000,-1305000,-583000,-2304000,1119000,1119000,-1098000,21000,-3588000,-3588000,-3588000,-3012000,0,0.61559,-0.1185,-0.10715,-0.10163,-0.04622,1.51873,1.19851,0,-0.17503,-0.17503,1.63344,1.72226,-0.0994,15.56541,12.13328
"14","2019_Q1",15.0495081967213,"Up",34720000,-15013000,19707000,-23534000,-15189000,-8345000,-3827000,231000,-3596000,-3596000,-3489000,-3489000,-3489000,-3489000,42623000,15370000,3723000,3723000,10117000,5450000,61913000,4563000,11912000,2635000,3898000,5379000,16475000,78388000,29279000,10231000,19048000,15443000,15443000,44722000,619000,619000,619000,45341000,138852000,-105795000,33047000,33047000,78388000,-3489000,12000,2931000,-1575000,-2121000,-483000,5940000,123000,123000,-628000,-1805000,2014000,2014000,2014000,-3815000,0,0.5676,-0.11022,-0.10049,-0.10558,-0.04451,1.3844,1.37202,0,-0.17235,-0.17235,1.71507,1.63243,-0.10364,11.17248,11.13744
"15","2019_Q2",12.6911111111111,"Down",34007000,-13574000,20433000,-25453000,-16571000,-8882000,-5020000,258000,-4762000,-4762000,-4740000,-4740000,-4740000,-4740000,37175000,11372000,3661000,3661000,10699000,5384000,56919000,4726000,16547000,2428000,3898000,10221000,21273000,78192000,28590000,11511000,17079000,15049000,15049000,43639000,2529000,2529000,2529000,46168000,142558000,-110535000,32024000,32024000,78192000,-4740000,859000,3302000,-5165000,-5744000,-602000,1022000,1454000,1454000,-730000,724000,-3998000,-3998000,-3998000,-4161000,0,0.60085,-0.14762,-0.13938,-0.14801,-0.06062,1.30431,1.44167,0,-0.23145,-0.23145,1.66052,1.56369,-0.13718,8.93415,7.40538
"16","2019_Q3",11.7090625,"Down",37343000,-15023000,22320000,-27599000,-18002000,-9597000,-5279000,280000,-4999000,-4999000,-4983000,-4983000,-4983000,-4983000,28655000,14018000,4683000,4683000,11266000,7656000,52260000,5017000,22021000,8226000,4264000,9531000,27038000,79298000,30267000,10697000,19570000,16044000,16044000,46311000,2176000,2176000,2176000,48487000,146323000,-115518000,30811000,30811000,79298000,-4983000,1004000,3766000,-197999.999999999,-411000,-1030000,3123000,354000,354000,-420000,-66000.0000000005,2646000,2646000,2646000,-4275000,0,0.5977,-0.14137,-0.13344,-0.16173,-0.06284,1.12846,1.57369,0,-0.23892,-0.23892,1.79051,1.47732,-0.15106,6.70292,5.42811
"17","2019_Q4",12.17625,"Up",39595000,-17555000,22040000,-28980000,-18341000,-10639000,-6940000,128000,-6812000,-6812000,-6784000,-6784000,-6784000,-6784000,27474000,11688000,5015000,5015000,9484000,8482000,50455000,4977000,23293000,7149000,4264000,11880000,28270000,78725000,32131000,10415000,21716000,16005000,16005000,48136000,3161000,3161000,3161000,51297000,149716000,-122302000,27428000,27428000,78725000,-6784000,1013000,5468000,-324000,-627000,-752000,-1842000,932000,932000,-793000,139000,-2330000,-2330000,-2330000,-5927000,0,0.55664,-0.17527,-0.17133,-0.24734,-0.08617,1.04818,1.87024,0,-0.31878,-0.31878,1.86058,1.28885,-0.22178,4.6354,3.95879
"18","2020_Q1",12.6461290322581,"Up",40648000,-16060000,24588000,-27060000,-18408000,-8652000,-2472000,114000,-2358000,-2358000,-2294000,-2294000,-2294000,-2294000,26064000,11680000,4591000,4591000,8369000,8992000,48016000,5270000,27325000,6818000,4264000,16243000,32595000,80611000,31075000,8499000,22576000,15797000,15797000,46872000,5324000,5324000,5324000,52196000,152997000,-124596000,28415000,28415000,80611000,-2294000,-328000,4561000,-2721000,-782000,-889000,563000,211000,211000,0,211000,-8000,-8000,-8000,-2800000,-4.33680868994202e-19,0.6049,-0.06081,-0.05644,-0.08073,-0.02846,1.02441,1.83692,-6.46234853557053e-27,-0.10627,-0.10627,1.88295,1.31628,-0.06799,9.30856999999999,10.54369
"19","2020_Q2",12.5146031746032,"Down",40306000,-15131000,25175000,-26320000,-17474000,-8846000,-1145000,79000,-1066000,-1066000,-1066000,-1066000,-1066000,-1066000,23287000,9036000,5421000,5421000,10293000,9059000,48060000,5006000,27024000,6491000,4264000,16269000,32030000,80090000,28794000,11355000,17439000,15374000,15374000,44168000,4714000,4714000,4714000,48882000,156844000,-125662000,31208000,31208000,80090000,-1066000,1039000,3832000,-6653000,-2848000,-762000,-591000,1267000,1267000,-472000,795000,-2644000,-2644000,-2644000,-106000,0,0.6246,-0.02841,-0.02645,-0.03416,-0.01331,1.08812,1.56633,0,-0.04868,-0.04868,1.84065,1.42517,-0.02968,219.68868,20.33799
"20","2020_Q3",15.2465625,"Up",41412000,-15910000,25502000,-26051000,-17001000,-9050000,-549000,182000,-367000,-367000,-367000,-367000,-367000,-367000,25342000,10889000,4264000,4264000,9249000,9896000,48751000,4876000,27006000,6165000,4264000,16577000,31882000,80633000,26350000,4836000,21514000,16270000,16270000,42620000,3800000,3800000,3800000,46420000,160219000,-126029000,34213000,34213000,80633000,-367000,1082000,3882000,-2084000,2513000,-746000,-944000,634000,634000,-350000,284000,1853000,1853000,1853000,533000,-2.71050543121376e-20,0.61581,-0.01326,-0.00886,-0.01073,-0.00455,1.14385,1.35679,-4.03896783473158e-28,-0.0165,-0.0165,1.8624,1.53864,-0.00965,-47.54597,46.16029
"21","2020_Q4",14.7696875,"Down",42967000,-16280000,26687000,-27209000,-18254000,-8955000,-522000,109000,-413000,-413000,-413000,-413000,-413000,-413000,27616000,15511000,4990000,4990000,10233000,10582000,53421000,5037000,27287000,5839000,4264000,17184000,32324000,85745000,28840000,7409000,21431000,16313000,16313000,45153000,3118000,3118000,3118000,48271000,163902000,-126442000,37474000,37474000,85745000,-413000,988000,3937000,-2013000,2499000,-773000,1561000,919000,919000,-357000,562000,4622000,4622000,4622000,466000,0,0.6211,-0.01215,-0.00961,-0.01102,-0.00482,1.18311,1.28812,0,-0.01833,-0.01833,1.90673,1.66297,-0.01017,-59.2618,52.90421
"22","2021_Q1",15.5724590163934,"Up",44262000,-16822000,27440000,-27999000,-18771000,-9228000,-559000,49000,-510000,-510000,-595000,-595000,-595000,-595000,28311000,17298000,5228000,5228000,12233000,10222000,55994000,5071000,28032000,5513000,4264000,18255000,33103000,89097000,30230000,7499000,22731000,16426000,16426000,46656000,2890000,2890000,2890000,49546000,166581000,-127037000,39551000,39551000,89097000,-595000,-232000,5172000,-2142000,2203000,-879000,203000,85000.0000000001,85000.0000000001,-704000,-619000,1787000,1787000,1787000,-791000,0,0.61994,-0.01263,-0.01344,-0.01504,-0.00668,1.20015,1.25271,0,-0.02581,-0.02581,1.91997,1.71562,-0.01402,35.7914,50.6458
"23","2021_Q2",18.1269841269841,"Up",45572000,-17490000,28082000,-29048000,-19741000,-9307000,-966000,79000,-887000,-887000,-887000,-887000,-887000,-887000,29040000,18898000,4066000,4066000,13478000,10558000,57142000,5130000,27796000,5186000,4264000,18346000,32926000,90068000,28312000,9453000,18859000,16081000,16081000,44393000,2837000,2837000,2837000,47230000,170759000,-127924000,42838000,42838000,90068000,-887000,1099000,4022000,-3810000,424000,-665000,192000,1469000,1469000,-485000,984000,1600000,1600000,1600000,133000,0,0.61621,-0.0212,-0.01946,-0.02071,-0.00985,1.28718,1.10253,0,-0.03848,-0.03848,1.97679,1.8582,-0.01942,-218.34586,30.06211
"24","2021_Q3",18.82453125,"Up",47057000,-17754000,29303000,-29761000,-20345000,-9416000,-458000,19000,-439000,-439000,-439000,-439000,-439000,-439000,30008000,20067000,4828000,4828000,13840000,11845000,60521000,5620000,37051000,4860000,4264000,27927000,42671000,103192000,29898000,9002000,20896000,16797000,16797000,46695000,11287000,11287000,11287000,57982000,173572000,-128363000,45210000,45210000,103192000,-439000,1101000,4048000,-2140000,2570000,-1077000,-893000,152000,152000,-660000,-508000,1169000,1169000,1169000,643000,0,0.62271,-0.00973,-0.00933,-0.00971,-0.00425,1.29609,1.2825,3.15544362088405e-30,-0.01879,-0.01879,2.01401,1.93496,-0.00777,-46.66874,65.51965
"25","2021_Q4",20.3709375,"Up",49172000,-18926000,30246000,-30625000,-21158000,-9467000,-379000,53000,-326000,-326000,-326000,-326000,-326000,-326000,31037000,19440000,6285000,6285000,14196000,13595000,65113000,5863000,37122000,4534000,4264000,28324000,42985000,108098000,31514000,9183000,22331000,16741000,16741000,48255000,11250000,11250000,11250000,59505000,177285000,-128689000,48593000,48593000,108098000,-326000,1106000,3947000,-2849000,1878000,-1308000,-2985000,959000,959000,-479000,480000,-627000,-627000,-627000,727000,0,0.61511,-0.00771,-0.00663,-0.00671,-0.00302,1.34935,1.22456,0,-0.01405,-0.01405,2.11865,2.0937,-0.00545,-42.69188,81.89182
"26","2022_Q1",16.8846774193548,"Down",50489000,-19682000,30807000,-30934000,-20931000,-10003000,-127000,28000,-99000,-99000,-99000,-99000,-99000,-99000,31280000,19667000,7310000,7310000,13841000,13598000,66029000,6481000,36743000,4208000,4264000,28271000,43224000,109253000,30330000,7507000,22823000,16600000,16600000,46930000,11267000,11267000,11267000,58197000,179864000,-128788000,51056000,51056000,109253000,-99000,-189000,4961000,-2890000,1783000,-1154000,-1201000,126000,126000,-481000,-355000,227000,227000,227000,-316000,0,0.61017,-0.00252,-0.00196,-0.00194,-0.000910000000000001,1.40697,1.13987,0,-0.00443,-0.00443,2.25787,2.28323,-0.00159,98.98734,246.29921
"27","2022_Q2",13.2735483870968,"Down",50337000,-18385000,31952000,-32711000,-22213000,-10498000,-759000,33000,-726000,-726000,-766000,-766000,-766000,-766000,31780000,21653000,5622000,5622000,14356000,16077000,67835000,6992000,36394000,3881000,4264000,28249000,43386000,111221000,29144000,11946000,17198000,16392000,16392000,45536000,10891000,10891000,10891000,56427000,184407000,-129554000,54794000,54794000,111221000,-766000,1176000,4069000,-3660000,819000,-1459000,-39000,1554000,1554000,-348000,1206000,1986000,1986000,1986000,417000,0,0.63476,-0.01508,-0.01522,-0.01398,-0.00689,1.4897,1.0298,0,-0.03176,-0.03176,2.08727,2.27209,-0.01166,-76.21103,41.87088
"28","2022_Q3",12.40453125,"Down",52653000,-18836000,33817000,-35463000,-24344000,-11119000,-1646000,17000,-1629000,-1629000,338000,338000,338000,338000,22469000,16192000,6592000,6592000,21075000,14968000,65104000,7698000,50180000,11690000,8695000,29795000,57878000,122982000,35872000,12968000,22904000,17686000,17686000,53558000,11124000,11124000,11124000,64682000,187576000,-129216000,58300000,58300000,122982000,338000,1261000,2205000,-1641000,2163000,-1353000,-7288000,0,0,-336000,-336000,-5461000,-5461000,-5461000,-385000,0,0.64226,-0.03126,0.00642,0.0058,0.00275,1.21558,1.10947,0,0.01386,0.01359,2.15895,2.39049,0.00487,58.36104,13.65067
