"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","total_investments","loans_mortgages","equity_securities","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","other_assets","total_assets","other_short_term_liabilities","other_long_term_liabilities","funds_for_future_appropriations","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","change_in_insurance_reserves","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",20.7888888888889,"Up",1012799000,854796000,17767000,140236000,2594000,137642000,-89883000,-348955000,-534857000,39104000,-3851000,-3851000,35253000,35253000,-13401000,21852000,21852000,-128000,21724000,21724000,-2437206053.32623,-6524718698.67122,3029094251.83145,1058418393.51354,22182131560.7357,948685893.819447,264633460.18975,942855585.337867,21901100446.7565,7813854742.70532,584973121.04922,10443488573.9198,18842316566.233,1890998316.07932,1742158415.26349,-590665257.946291,3042491473.39652,16292407.1269946,3058783880.52351,21901100446.7565,21852000,19972000,-21473000,-124972000,-104621000,-21158000,-21158000,16044000,-160971000,-166085000,-12759000,146790000,69185000,3010000,206226000,-64480000,-64480000,63000,-64417000,59076000,0,-73653000,0.03861,0.02145,1.0001848796637,0.31545851836599,-3.3904,6.77086254634055,1.33742208117705e-08,0.20462,0.20064,9.53977,26.1114135520914,-0.69375,0.12018,0.426504637021666,2.59152337285924,0.58732,92.2836167961491,183.958684478248
"2","2014_Q3",21.40671875,"Up",1149969000,954332000,23659000,171978000,6275000,165703000,-128466000,-352525000,-588034000,80944000,-4486000,-4486000,76458000,76458000,-25770000,50688000,50688000,-94000,50594000,50594000,1165776973.33688,-1324945349.33561,1630161625.91572,860560696.75677,10372508280.3678,578637446.909723,339971230.094875,1102878292.66893,13559772223.3783,4732954871.35266,587702060.52461,5477949286.95992,10798606283.1165,2004344158.03966,1123685707.63175,-376101128.973146,2751928736.69826,9237203.56349729,2761165940.26176,13559772223.3783,50688000,19780000,14687000,64359000,149514000,-18892000,-18905000,-46673000,9275000,-56290000,-25682000,-2531000,200594000,1273000,173654000,266878000,266878000,3961000,270839000,100724000,0,171961000,0.07039,0.044,0.458942439831848,0.145544259182995,3.39884,3.97682127317028,6.68711040588525e-09,0.47338,0.466,10.75964,24.7585517760457,1.60895,0.24029,0.200287318510833,1.17108168642962,0.50761,37.0507533980746,77.0942222391242
"3","2014_Q4",23.769375,"Up",1259730000,1061283000,22828000,175619000,14392000,161227000,-119390000,-410751000,-608967000,120622000,-4670000,-4670000,115952000,115952000,-35015000,80937000,80937000,-232000,80705000,80705000,3386835657.77896,1831021550.22146,802478541.971908,753335565.58559,3864970760.12262,368829482.303241,380007743.364958,1196505764.22298,9197149407.79276,2963827290.45089,588272020.17487,3031135762.31997,6583235094.37217,2073413052.67989,788258235.877249,-252845376.324382,2608825912.23275,5088401.18783243,2613914313.42059,9197149407.79276,80937000,24127000,-938000,17152000,121278000,-12198000,-23860000,-263766000,11676000,-264288000,-25718000,-5634000,336594000,1994000,307236000,164226000,164226000,-1612000,162614000,144749000,0,184718000,0.09575,0.06407,0.157690813277283,0.0506514197276649,2.2888,2.50669709105676,2.22903680196175e-09,0.75329,0.74183,11.75812,24.1034572586819,1.72413,0.24005,0.0734791061702777,0.378083895476541,0.31867,5.74253446602485,16.8044140797081
"4","2015_Q1",27.1645901639344,"Up",1255451000,1049233000,6787000,199431000,6806000,192625000,-112284000,-417029000,-597001000,129137000,-6240000,-6240000,122897000,122897000,-42159000,80738000,80738000,-227000,80511000,80511000,4564481000,3450252000,402412000,711817000,1190080000,276610000,395287000,1239642000,7666100000,2170005000,587337000,2332714000,5090056000,2109713000,662310000,-199106000,2572917000,3127000,2576044000,7666100000,80738000,21718000,16502000,75508000,194466000,-32916000,-33299000,-364234000,47121000,-350029000,-25780000,130742000,41484000,3498000,149944000,-5619000,-5619000,-8174000,-13793000,150855000,0,235606000,0.10286,0.06413,0.03125,0.0105,2.92638,1.97592,0,0.74995,0.73786,11.69439,23.96644,2.19464,0.24014,0.01934,0.04287,0.3202,-7.8889,-9.21564
"5","2015_Q2",28.1996825396825,"Up",1111084000,934332000,20558000,156194000,-953000,157147000,-101554000,-356205000,-587135000,66190000,-7242000,-7242000,58948000,58948000,-21152000,37796000,37796000,-164000,37632000,37632000,5037224000,4039816000,286329000,711079000,878397000,259327000,396353000,1248191000,7819492000,2015021000,585551000,2612350000,5212922000,2124752000,672275000,-193091000,2603936000,2634000,2606570000,7819492000,37796000,20854000,-19936000,-105031000,-66317000,-27684000,-31881000,-445050000,-22506000,-495240000,-26981000,-1123000,279636000,2840000,254372000,-307185000,-307185000,-4498000,-311683000,87044000,0,-24519000,0.05957,0.03387,0.01444,0.00481,-0.65155,1.99992,0,0.34927,0.34385,10.31226,24.16781,-0.22757,0.25042,0.01113,-0.00422000000000002,0.71697,-10.09141,-13.27084
"6","2015_Q3",31.27546875,"Up",1323789000,1111219000,27864000,184706000,3868000,180838000,-122870000,-411290000,-640739000,148890000,-7268000,-7268000,141622000,141622000,-48043000,93579000,93579000,-232000,93347000,93347000,5175321000,4145414000,304081000,725826000,1269660000,275336000,394060000,1239175000,8353552000,2144474000,584538000,2965293000,5694305000,2130553000,737980000,-212124000,2656409000,2838000,2659247000,8353552000,93579000,21463000,12154000,106064000,233260000,-17545000,-29956000,-150293000,-464000.000000015,-168302000,-27140000,-1500000,352943000,570000,324873000,389831000,389831000,1432000,391263000,170353000,0,306915000,0.11247,0.07052,0.0351,0.01117,3.28789,2.14132,0,0.86066,0.85071,12.20532,24.49206,2.82975,0.25023,0.0194,0.04943,0.29074,-7.45311,-8.5275
"7","2015_Q4",30.45171875,"Down",1383915000,1191424000,22272000,170219000,-3130000,173349000,-139126000,-479974000,-642131000,122684000,-7288000,-7288000,115396000,115396000,-39636000,75760000,75760000,-219000,75541000,75541000,5317283000,4274116000,312035000,731132000,894430000,281985000,398952000,1228498000,8121148000,2221897000,584952000,2621209000,5428058000,2138624000,785859000,-234413000,2690070000,3020000,2693090000,8121148000,75760000,21072000,40608000,47814000,185254000,-29678000,-30127000,-156410000,-1221000,-187309000,-27162000,-1464000,-344084000,2847000,-369863000,-371918000,-371918000,-3312000,-375230000,143756000,0,201528000,0.08865,0.05458,0.02805,0.0093,2.6678,2.01555,8.27180612553028e-25,0.69528,0.68707,12.7376,24.7595,1.85487,0.25,0.01741,0.03416,0.35957,-6.22186,-7.29052
"8","2016_Q1",28.5798360655738,"Down",1356668000,1171337000,29859000,155472000,-6332000,161804000,-127542000,-473522000,-631495000,124109000,-7310000,-7310000,116799000,116799000,-35064000,81735000,81735000,-169000,81566000,81566000,5326370000,4279347000,321285000,725738000,1027321000,256731000,409973000,1216320000,8236715000,2203525000,581052000,2699015000,5483592000,2150814000,838149000,-239003000,2749960000,3163000,2753123000,8236715000,81735000,22207000,33338000,61846000,199126000,-31691000,-31733000,-84995000,-6883000,-123569000,-27241000,-1157000,77806000.0000001,7570000,56978000.0000001,132535000,132535000,355999.999999999,132891000,146316000,0,211535000,0.09148,0.06012,0.02963,0.0099,2.59342,1.99177,0,0.7493,0.74026,12.46296,25.26236,1.94326,0.25025,0.01803,0.03506,0.33397,-7.02125,-8.27757
"9","2016_Q2",30.14078125,"Up",1201712000,1014159000,27370000,160183000,5106000,155077000,-107098000,-419416000,-591807000,83391000,-7799000,-7799000,75592000,75592000,-22920000,52672000,52672000,-171000,52501000,52501000,5399448000,4258945000,396637000,743866000,975883000,274692000,410352000,1218880000,8279255000,2093886000,580467000,2758932000,5433285000,2164712000,870118000,-191522000,2843308000,2662000,2845970000,8279255000,52672000,22420000,9540000,-141004000,-56372000,-21063000,-29858000,-2349000,-347000,-23759000,-28410000,-1028000,59917000,-2888000,27137000,-52994000,-52994000,1556000,-51438000,105811000,0,-33336000,0.06939,0.04369,0.01845,0.00634,-0.63496,1.90912,0,0.47664,0.47439,10.90988,25.81329,-0.30264,0.25792,0.01308,-0.00539,0.54113,-9.22289,-11.7025
"10","2016_Q3",33.76265625,"Up",1361533000,1139767000,30925000,190841000,8070000,182771000,-122360000,-419696000,-658080000,161397000,-7790000,-7790000,153607000,153607000,-51156000,102451000,102451000,-302000,102149000,102149000,5649717000,4542421000,362266000,745030000,1241814000,285519000,413174000,1246489000,8836713000,2212902000,579474000,3100365000,5892741000,2173633000,943198000,-175769000,2941062000,2910000,2943972000,8836713000,102451000,23994000,13818000,62494999.9999999,202758000,-31089000,-31081000,-198894000,-17117000,-247100000,-28487000,-1301000,341433000,2205000,313850000,269508000,269508000,-3577000,265931000,185391000,2.27373675443232e-13,267953000,0.11854,0.07502,0.0347,0.01156,2.62316,2.00163,0,0.92438,0.92015,12.32101,26.61474,2.4248,0.25779,0.01972,0.04045,0.27888,-6.69835,-7.69416
