"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","foreign_exchange_gain_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q4",2.21968253968254,"Up",-2086015,-1350726,-465495,-2086015,5333,5333,-2080682,0,-2080682,-2080682,-2080682,-2080682,-2080682,12814032.7963305,12814032.7963305,1391745.62194611,1391715.01337214,14061200.5412507,361682.185970562,-410810.221535976,14441.5458719323,-49128.0355654141,14012072.5056853,1223771.64608411,1223771.64234614,1223737.91484656,1223531.65422822,29888186.6409668,3386138.65906505,-20485776.716617,12788540.851457,12788540.851457,14012072.5056853,-2080682,23603,675941,-62058,-1443196,-4776,-4776,60654,60654,-19226,3361428,1913456,1913456,1913456,-2062412,0,-2.1985739051704,-1.58940588868403,13.4911325938995,-0.172986235178721,-8.579687111623e-06,-0.024,-0.024,-0.194982062093378,-2.19868395065659,0.565014339912686,0.65627634221904
"2","2018_Q1",2.0516393442623,"Down",-2561033,-1019909,-1165147,-2561033,-2251,-2251,-2563284,0,-2563284,-2563284,-2563284,-2563284,-2563284,3448147,3448147,786273,786273,4262692,371157,581973,15141,953130,5215822,828737,828737,828737,828737,18244659,1768526,-15626100,4387085,4387085,5215822,-2563284,24318,242279,312632,-1984055,-7160,-7160,879324,879324,-3226,876098,-1115117,-1115117,-1115117,-2536715,0,-0.58428,-0.49144,5.1436,0.1889,0,-0.02832,-0.02832,-0.15309,-0.58428,1.3593,1.34639
"3","2018_Q2",2.00765625,"Down",-2169844,-1160171,-600341,-2169844,-1484,-1484,-2171328,-41774.5251527441,-2171328,-2171328,-2171328,-2171328,-2171328,3134920,3134920,810839,810839,4015140,347677,532741,14455,880418,4895558,1266324,1266324,1266324,1266324,20003883,1422779,-17797428,3629234,3629234,4895558,-2171328,37385,5691,420458,-1707794,-13219,-13219,1407786,1407786,-2270.76270838612,1407786,-313227,-313227,-313227,-2132459,0,-0.59829,-0.44353,3.17071,0.34892,0,-0.02399,-0.02399,-0.1809,-0.59829,1.4701,1.44477
"4","2018_Q3",2.13920634920635,"Up",-4147718,-1248491,-2534620,-4147718,3319,3319,-4144399,-80513.253811455,-4144399,-4144399,-4144399,-4144399,-4144399,4279163,4279163,1135234,1135234,5464024,444692,509243,13762,953935,6417959,1683802,1683802,1683802,1683802,25258124,1417860,-21941827,4734157,4734157,6417959,-4144399,28152,1240110,135642,-2740495,-124474,-124474,4033018,4033018,-23806,4009212,1144243,1144243,1144243,-4119566,1.77635683940025e-15,-0.87542,-0.64575,3.24505,0.35567,0,-0.04579,-0.04579,-0.22674,-0.87542,1.03874,1.03169
"5","2018_Q4",1.58507936507937,"Down",-1845018,-834570,-630371,-1845018,4122,4122,-1840896,-69382,-1910278,-1910278,-1910278,-1910278,-1910278,526817,526817,1481673,1481673,2046232,756823,1387591,13331,2144414,4190646,1280379,1280379,1280379,1280379,25373456,1388916,-23852105,2910267,2910267,4190646,-1910278,86593,69382,-1616755,-3371058,-467675,-467675,98716,98716,-12329,86387,-3752346,-3752346,-3752346,-1758425,0,-0.65639,-0.45584,1.59815,0.43995,-1.6940658945086e-21,-0.02064,-0.02064,-0.24275,-0.65639,0.2996,0.28553
"6","2019_Q1",0.882295081967213,"Down",-8416666,-1278117,-6551821,-8416666,-5016,-5016,-8421682,0,-8421682,-8421682,-8421682,-8421682,-8421682,1940265,1940265,1867034,1867034,3860958,717088,1455473,13058,2172561,6033519,2376519,2376519,2376519,2376519,30410648,5520139,-32273787,3657000,3657000,6033519,-8421682,53637,4413158,626706,-3328181,-13628.9999999999,-13629,-3505213,-3505213,-22025,4755258,1413448,1413448,1413448,-8363029,-2.8421709430404e-14,-2.30289,-1.39582,1.62463,0.64985,0,-0.09101,-0.09101,-0.28912,-2.30289,0.23201,0.23053
"7","2019_Q2",0.303333333333333,"Down",-11691696,-3212357,-7531375,-11691696,-4949,1225,-11696645,19737,-11676908,-11676908,-11676908,-11676908,-11676908,2296731,2296731,1113775,1113775,3488477,859121,1546466,12791,2405587,5894064,7773936,7773936,7773936,7773936,38643728,3427095,-43950695,-1879872,-1879872,5894064,-11676908,189666,3133208,5772759,-2581275,-69087,-69087,3600000,3600000,-593172,3006828,356466,356466,356466,-11502030,0,6.21154,-1.98113,0.44874,-4.13535,-2.71050543121376e-20,-0.12619,-0.12619,-0.43793,6.21154,0.19968,0.19644
"8","2019_Q3",0.30984375,"Up",-2391015,-901320,-1061507,-2391015,-12106,58,-2403121,-1308,-2404429,-2404429,-2404429,-2404429,-2404429,5822148,5822148,1389176,1389176,7306874,794364,1378169,12521,2172533,9479407,1796803,1796803,1796803,1796803,50610633,3427095,-46355124,7682604,7682604,9479407,-2404429,196540,1308,-6229431,-8436012,69087,-5476,1.2e+07,1.2e+07,-33095,11966905,3525417,3525417,3525417,-2194475,0,-0.31297,-0.25365,4.0666,0.23388,0,-0.02275,-0.02275,-0.40609,-0.31297,2.65309,2.43501
"9","2019_Q4",0.3371875,"Up",-2844366,-1377251,-962463,-2844366,-1313,-1313,-2845679,0,-2845679,-2845679,-2845679,-2845679,-2845679,2487651,2487651,1497425,1497425,4061068,805218,1744738,513735,2549956,6611024,1577525,1577525,1577525,1577525,50609219,3625083,-49200803,5033499,5033499,6611024,-2845679,197714,197988,-300669,-2750646,-657000,-582437,0,0,-1414,-1414,-3334497,-3334497,-3334497,-2646652,0,-0.56535,-0.43044,2.57433,0.31341,-4.33680868994202e-19,-0.02692,-0.02692,-0.43113,-0.565349999999999,0.93992,0.87459
"10","2020_Q1",0.23,"Down",-2857250,-1494406,-789946,-2857250,212,212,-2857038,0,-2857038,-2857038,-2857038,-2857038,-2857038,510586,510586,1296203,1228585,1806789,729142,1647053,543395,2376195,4182984,2087525,2087525,2087525,2087525,50528217,3625083,-52057841,2095459,2095459,4182984,-2857038,203693,0,787214,-1866131,-29932,-29932,0,0,-81002,-81002.0000000019,-1977065,-1977065,-1977065,-2653557,7.27595761418343e-12,-1.36344,-0.68301,0.86552,0.99621,0,-0.02414,-0.02414,-0.40927,-1.36344,0.19242,0.1787
