"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","trading_account_profits_losses","commissions_fees_earned","other_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","accounts_notes_receivable","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","short_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",19.23953125,"Up",230016000,4894000,11220000,-6326000,225122000,23846000,186087000,15189000,230016000,-225277000,-5525000,-219752000,4739000,4739000,4739000,-2091000,2648000,2648000,1999000,1999000,-82627374.8836553,-1639904805.08713,278634797.150512,23572957.0621204,43611543.480585,165753409.979335,137471778.087231,-563696934.29195,-2767997656.92076,1679141824.27258,-1101678344.53804,104565731.202304,439034580.466689,-6918401.83146593,536681909.837528,537986551.543589,-563691792.994453,2648000,4127000,33148000,-27081000,12842000,-6270000,-6270000,-1469000,130000,6403000,-3436000,3136000,3136000,3136000,8866000,0,-22394000,0.0206,0.00869,0.101834523519317,0.0199723501724419,-11.2026,-2.55039485383515,-0.362424275174512,0.14968,0.14323,17.22261,41.4069091752515,-1.67677,0.10999,0.0209748604164649,0.139842955789457,0.73487,-1217.48935621134,-4769.13584827643
"2","2011_Q1",21.5408064516129,"Up",289026000,6141000,13875000,-7734000,282885000,17581000,248360000,16944000,289026000,-257780000,-5844000,-251936000,31246000,31246000,31246000,-12340000,18906000,18906000,18163000,18163000,52854000,420169000,369744000,22875000,40979000,137889000,198665000,2515062000,827031000,1169622000,2007700000,99709000,404414000,207000,504330000,507362000,2515062000,18906000,4476000,4031000,-100861000,-73447999.9999999,-279999.999999999,-280000,-1470000,180000,78230000,76440000,2712000,2712000,2712000,35722000,827031000,-53079000,0.10811,0.06284,0.0358,0.00722,-2.92237,3.95714,0.32883,1.36146,1.30695,21.66474,37.80345,-3.97868,0.11019,0.00781,-0.0211,0.0809300000000001,21.67227,24.77684
"3","2011_Q2",21.2468253968254,"Down",245643000,7015000,14789000,-7774000,238628000,10991000,213745000,13892000,245643000,-235814000,-6313000,-229501000,9829000,9829000,9829000,-4068000,5761000,5761000,5086000,5086000,107289208.294552,1224934601.69571,414178567.616496,21401764.3126265,39646818.839805,129503696.673555,192982407.304256,3657639561.43065,1972540968.97359,1167983225.24247,3160203114.84601,97748339.5992318,393309973.17777,2397717.27715531,493456030.054157,497434899.48547,3657638014.33148,5761000,4609000,14084000,14207000,38661000,-1549000,-1549000,-1500000,71000,-35472000,-37026000,86000,86000,86000,14438000,0,31164000,0.04001,0.0207,0.00602932549356095,0.00135671660918604,6.12741,6.35124495127838,0.536509758391504,0.37533,0.35808,18.12767,36.3617111082495,2.2998,0.1107,0.00178421319451169,-0.053002651929819,0.29493,436.854744570447,1443.15643109214
"4","2011_Q3",15.8675,"Down",233849000,2980000,13649000,-10669000,230869000,13313000,204562000,12994000,233849000,-232145000,-6300000,-225845000,1704000,1704000,1704000,-1266000,438000,437999.999999999,-309000.000000001,-309000.000000001,109561000,1253184000,423109000,19855000,38816000,132472000,161004000,3624149000,1715949000,1389513000,3123934000,97690000,396422000,1648000,495760000,500214000,3624148000,437999.999999999,3991000,1238000,-65469000,-59802000,-1464000,-1464000,-1503000,266000,41502000,117887000,56621000,56621000,56621000,5695000,1715949000,-59972000,0.00729000000000001,-0.00132,-0.000620000000000002,-9.00000000000007e-05,194.08414,6.2452,0.47348,-0.02262,-0.02263,17.12011,36.29464,-4.39056,0.11003,0.00033,-0.0165500000000001,-4.86408,282.06989,942.715960000001
"5","2011_Q4",12.051746031746,"Down",221389000,4931000,15161000,-10230000,216458000,8233000,203162000,5063000,221389000,-217125000,-6514000,-210611000,4264000,4264000,4264000,-1805000,2459000,2459000,2106000,2106000,87496000,1019387000,396366000,18047000,37735000,137889000,166306000,3346462000,1337660000,1486903000,2838200000,98635000,404685000,135000,503455000,508262000,3346462000,2459000,3943000,2769000,66470000,75641000,-852000,-852000,-1503000,0,-95351000,-96854000,-22065000,-22065000,-22065000,8207000,1337660000,75630000,0.01926,0.00951,0.00414,0.00063,35.91168,5.58413,0.39972,0.15405,0.15141,16.19367,36.82562,5.53202,0.10994,0.00108,0.0226,0.71368,152.32899,293.19043
"6","2012_Q1",13.36,"Up",220085000,3827000,13180000,-9353000,216258000,15123000,187058000,14077000,220085000,-218034000,-5864000,-212170000,2051000,2051000,2051000,1908000,3959000,3959000,3433000,3433000,70329000,990443000,348900000,16976000,35589000,137889000,241803000,3527439000,1807428000,1196306000,3014036000,99558000,408720000,-208000,508070000,513403000,3527439000,3959000,7190000,2781000,13107000,27037000,-1327000,-1327000,-1504000,-1.16415321826935e-10,-36373000,-42877000,-17167000,-17167000,-17167000,9241000,1807428000,19113000,0.00932,0.0156,0.00669,0.00097,5.56742999999999,5.8707,0.51239,0.25112,0.24558,16.0987,37.16412,1.39807,0.11001,0.0014,0.00542,0.438099999999999,187.97738,846.95222
"7","2012_Q2",11.6371428571429,"Down",229422000,4601000,13393000,-8792000,224821000,12555000,195798000,16468000,229422000,-235911000,-6031000,-229880000,-6489000,-6489000,-6489000,2606000,-3883000,-3883000,-4657000,-4657000,86810000,1034930000,397543000,25319000,32377000,137889000,162093000,2749470000,1032821000,1205846000,2242303000,99066000,402568000,-574000,501060000,507167000,2749470000,-3883000,6057000,-260000,-42817000,-40903000,-4711000,-4711000,-1495000,-1551000,65141000,62095000,16481000,16481000,16481000,-432000,1032821000,-50566000,-0.02828,-0.0203,-0.00918,-0.00169,10.85806,4.42123,0.37564,-0.34249,-0.34249,16.87258,36.84988,-3.71882,0.10995,-0.00115,-0.01839,-0.32102,-2189.84028,-145.78687
"8","2012_Q3",11.7528571428571,"Up",224915000,6016000,14246000,-8230000,218899000,13460000,191104000,14335000,224915000,-217076000,-5989000,-211087000,7839000,7839000,7839000,-4464000,3375000,3375000,2422000,2422000,93541000,1197937000,353054000,25923000,32356000,137889000,211048000,2896742000,1117956000,1265459000,2386948000,100101000,403495000,-862000,502734000,509794000,2896742000,3375000,2729000,5905000,5027000,17036000,-3110000,-3110000,-1495000,0,-5700000,-7195000,6731000,6731000,6731000,10568000,1117956000,16949000,0.03485,0.01077,0.00475,0.00084,6.99794,4.68218,0.38594,0.17822,0.17822,16.55045,36.99386,1.2472,0.11001,0.00135,0.00585,0.61726,96.9355599999999,130.68185
"9","2012_Q4",12.2890322580645,"Up",222996000,5981000,14823000,-8842000,217015000,14372000,188028000,14615000,222996000,-217738000,-6026000,-211712000,5258000,5258000,5258000,-2234000,3024000,3024000,2322000,2322000,93184000,1139651000,417018000,28228000,32345000,137889000,182004000,2825670000,1177582000,1137080000,2316647000,101459000,404318000,-682000,505095000,509023000,2825670000,3024000,2477000,3918000,-11015000,-1596000,-4569000,-4569000,-1499000,-215000,7522000,5808000,-357000,-357000,-357000,7735000,1177582000,-5615000,0.02358,0.01041,0.00456,0.00082,-2.41817,4.55116,0.41674,0.17059,0.15878,16.38315,37.1085,-0.41252,0.11013,0.00135,-0.00199,0.64556,140.19367,206.23773
"10","2013_Q1",14.3466666666667,"Up",240193000,5978000,15200000,-9222000,234215000,13924000,207144000,13147000,240193000,-247328000,-5704000,-241624000,-7135000,-7135000,-7135000,3768000,-3367000,-3367000,-3700000,-3700000,135366000,841570000,527474000,28332000,31700000,137889000,141408000,2678020000,889141000,1283878000,2173020000,101412000,399121000,207000,500740000,505001000,2678021000,-3367000,6292000,-19172000,32258000,16011000,-2349000,-2349000,-1497000,-1e+05,30117000,28520000,42182000,42182000,42182000,-843000,889141000,25298000,-0.02971,-0.0154,-0.00733,-0.00138,-6.8373,4.303,0.33201,-0.27185,-0.2937,17.64759,36.79064,1.85871,0.10999,-0.00082,0.00945,-0.40459,-894.15777,-105.64471
