"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",13.23421875,"Down",-4194722,-1922756,-2271966,-3995315,1571,1571,-3993744,-3993744,-3993744,-3993744,-3993744,-3993744,44806731,44806731,2059169,2059169,4040374.94636576,46865900,229012,200,200,229212,47095112,1823228,615530,1207698,890500,890500,2713728,2713728,61522178,-17140794,44381384,44381384,47095112,-3993744,8230,836824,44008,-3104682,-129796,-129796,42298445,39063967,39063967,39063967,-3987085,0,-0.08999,-0.0848,17.26993,0.06115,0,-0.66065,-0.66065,7.34158,-0.08999,11.23797,11.21482
"2","2016_Q1",8.0655737704918,"Down",-5465397,-2156387,-3309010,-5416122,4404,4404,-5411718,-5411718,-5439261,-5439261,-5439261,-5439261,41513060,41513060,1902635,1545917,356718,43415695,227646,200,200,227846,43643541,3096392,823401,2272991,841225,841225,3937617,3937617,62285979,-22580055,39705924,39705924,43643541,-5439261,13255,763801,1468074,-3194131,-40239,-40239,-59301,-3293671,-3293671,-3293671,-5402867,0,-0.13699,-0.12463,11.02588,0.09917,0,-0.61212,-0.61212,4.4684,-0.13699,7.68352,7.66472
"3","2016_Q2",8.36875,"Up",-4249119,-1680130,-2568989,-4241869,-10771,12377,-4252640,-4252640,-4281374,-4281374,-4281374,-4281374,36809693,36809693,1716608,1359890,356718,38526301,223180,352980,352980,576160,39102461,2080138,989414,1090724,833974,833974,2914112,2914112,63049778,-26861429,36188349,36188349,39102461,-4281374,13558,763799,-1170815,-4674832,-28535,-28535,-4945835.40592257,-4703367,-4703367,-4703367,-4228311,0,-0.11831,-0.10949,13.2206,0.08053,0,-0.4852,-0.4852,4.10115,-0.11831,8.70553,8.67771
"4","2016_Q3",9.49765625,"Up",-6283535,-1476357,-4807178,-6283535,-2131,18119,-6285666,-6285666,-6229389,-6229389,-6229389,-6229389,32133048,32133048,3461309,1768994,1692315,35594357,209287,200.000000000058,200.000000000058,209487,35803844,4198170,2681122,1517048,833975,833975,5032145,5032145,63862517,-33090818,30771699,30771699,35803844,-6229389,13892,812739,726113,-4676645,7.27595761418343e-12,7.27595761418343e-12,4972564.46212167,-4676645,-4676645,-4676645,-6269643,0,-0.20244,-0.17399,7.0734,0.16353,0,-0.70304,-0.70304,3.47287,-0.20244,5.12518,5.11385
"5","2016_Q4",13.468253968254,"Up",-5997558,-1493461,-4504097,-5997558,16477,22747,-5981081,-5981081,-5981081,-5981081,-5981081,-5981081,31780773,31780773,3745769,1464564,2281205,35526542,304141,463600,463600,767741,36294283,4576530,1694470,2882060,370575,370575,4947105,5410505,69955677,-39071899,30883778,30883778,36294283,-5981081,25844,805404,-430169,-5580002,-58191,-58191,5285918.00000001,-352275,-352275,-352275,-5971714,0,-0.19366,-0.16479,7.18128,0.17519,0,-0.67109,-0.67109,3.46522,-0.1908,5.32188,5.29895
"6","2017_Q1",19.8724193548387,"Up",-6684666,-1780304,-4904362,-6684666,-112850,26979,-6797516,-6896663,-6896663,-6896663,-6896663,-6896663,30965791,30965791,5444901,1830958,3613943,36410692,143382,200.000000000058,200.000000000058,143582,36554274,6132991,1848084,4284907,833975,833975,6966966,6966966,75555870,-45968562,29587308,29587308,36554274,-6896663,22007,986571,381398,-5506687,-22902,-22902,4714607,-814982,-814982,-814982,-6662659,0,-0.2331,-0.18867,5.22619,0.23547,0,-0.71218,-0.71218,3.05532,-0.2331,4.64766,4.63236
"7","2017_Q2",19.8825396825397,"Up",-7703248,-2211793,-5491455,-7703248,444227,76885,-7259021,-7259021,-7259021,-7259021,-7259021,-7259021,77493189,77493189,5870777,2002966,3867811,83363966,198197,1141733,1141733,1339930,84703896,6107356,996866,5110490,833975,833975,6941331,6941331,130990148,-53227583,77762565,77762565,84703896,-7259021,20419,1188699,-1599665,-7649568,-68613,-68613,54245579,46527398,46527398,46527398,-7682829,0,-0.09335,-0.0857,12.0098,0.08926,0,-0.60154,-0.60154,6.44399,-0.09335,10.08654,10.05981
"8","2017_Q3",10.5726984126984,"Down",-8365654,-2632857,-5732797,-8365654,42175,124535,-8323479,-8323479,-8323479,-8323479,-8323479,-8323479,70179199,70179199,6279294,2307466,3971828,76458493,177994,2456486,2456486,2634480,79092973,7029847,2024991,5004856,833975,833975,7863822,7863822,132780213,-61551062,71229151,71229151,79092973,-8323479,23176,1355374,-726933,-7671862,-9594,-9594,367466,-7313990.00000001,-7313990.00000001,-7313990.00000001,-8342478,0,-0.11685,-0.10524,9.72282,0.1104,0,-0.6377,-0.6377,5.45721,-0.11685,8.41227,8.38897
"9","2017_Q4",11.4614285714286,"Up",-8549603,-2795839,-5753764,-8549603,238398,161930,-8311205,-8311205,-8311205,-8311205,-8311205,-8311205,66251286,66251286,6628100,3010144,3617956,72879386,190370,200,200,190570,73069956,7595392,3116100,4479292,833975,833975,8429367,8429367,134502856,-69862267,64640589,64640589,73069956,-8311205,24773,1722643,2756525,-3807264,-12863,-12863,-107786,-3927913,-3927913,-3927913,-8524830,0,-0.12858,-0.11374,8.64589,0.1304,0,-0.6345,-0.6345,4.93481,-0.12858,7.77157,7.74905
"10","2018_Q1",10.7829508196721,"Down",-8204504,-2376413,-5828091,-8204504,85905.0000000001,156204,-8118599,-8118599,-8118599,-8118599,-8118599,-8118599,62510277,62510277,5717305,1733701,3983604,68227582,164527,662200,662200,826727,69054309,7270746,3355255,3915491,171975,171975,7442721,8104721,138930454,-77980866,60949588,60949588,69054309,-8118599,25843,1380136,-1137,-6713757,-24286,-24286,2997034,-3741009,-3741009,-3741009,-8178661,0,-0.1332,-0.11757,9.16702,0.13297,0,-0.60404,-0.60404,4.53474,-0.13177,7.64309,7.61902
