"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","sale_of_investments_unrealized_investments","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"26","2017_Q3",4.4047619047619,"Down",15042789,-12452751,2590038,-2344682,-2344682,245356,2682,2682,248038,-952,-952,247086,-110000,137086,137086,-10769,126317,126317,6235825,4697065,1538760,7086216,7086216,391874,218605,13713915,19614,97881,1000,49653,117495,13831410,2924248,544869,2379379,1198937,1198937,4123185,4123185,5134010,31142,5102868,-13514003,18085978,9705985,2240,9708225,13831410,137086,5360,6952,6000,952,46900.0000000001,754477,-707577,196298,15665,-51624,-51624,160339,160339,160339,250716,5.42101086242752e-20,0.17218,0.01631,0.0084,0.01301,0.00913,3.32605,0.42471,0,0.06438,0.06438,7.66683,4.94683,0.01301,-24.87207,-25.41542
"27","2017_Q4",5.16920634920635,"Up",15390236,-12988277,2401959,-2521189,-2521189,-119230,2649,2649,-116581,1200,1200,-115381,58000,-57381,-57381,-11020,-68401,-68401,6189582,4898622,1290960,6754005,6754005,490333,215500,13433920,19771,81212,1000,49653,100983,13534903,2657467,415764,2241703,1231242,1231242,3888709,3888709,5134010,31142,5102868,-13514003,18017577,9637584,8610,9646194,13534903,-57381,3652,-1200,0,-1200,15945,323585,-307640,-38984,245191,-4650,-4650,201557,201557,201557,-115578,0,0.15607,-0.00775,-0.00444,-0.00709,-0.00505,3.4546,0.40313,6.46234853557053e-27,-0.03486,-0.03486,7.84391,4.91197,-0.00709,53.55329,51.91296
"28","2018_Q1",6.2516393442623,"Up",16897177,-14244593,2652584,-2501990,-2501990,150594,2821,2821,153415,-72,-71.9999999999995,153343,-75000,78343,78343,-15847,62496,62496,6744864,5723976,1020888,7342746,7342746,377230,176397,14464840,20650,49653,0,49653,70303,14535143,5444954,644834,2838058,1330714,1330714,6775668,6775668,5134010,31142,5102868,-13514003,16118011,7738018,21457,7759475,14535143,78343,5605,13072,13000,72,467818,-582197,1050015,564838,263516,-2999.99999999994,-3000,825354,825354,825354,156199,0,0.15698,0.00891,0.0037,0.00805,0.0043,2.13482,0.87321,0,0.03185,0.03185,8.61195,3.94382,0.00805,-43.18122,-44.7884
"29","2018_Q2",5.4265625,"Down",17037108,-14192630,2844478,-2567989,-2567989,276489,2702,2702,279191,-832,-832,278359,-118000,160359,160359,-19270,141089,141089,5330642,4558586,772056,7488461,7488461,109796,109796,12928899,16440,161653,112000,49653,178093,13106992,4017676,741760,3252123,1173832,1173832,5191508,5191508,5134010,31142,5102868,-13514003,16259100,7879107,36377,7915484,13106992,160359,4210,-5168,-6000,832,393621,-159863,553484,553022,248000,-1966412,-1966412,-1165390,-1165390,-1165390,280699,0,0.16696,0.01623,0.00828,0.01782,0.01076,2.49039,0.65587,0,0.07191,0.07191,8.68327,4.01573,0.01782,-18.9906,-19.27976
"30","2018_Q3",7.35507936507936,"Up",16515596,-13795750,2719846,-2287898,-2287898,431948,2451,2451,434399,7816,7816,442215,-188000,254215,254215,-27127,227088,227088,4812775,4280903,531872,7618273,7618273,143995,143995,12575043,31552,157653,108000,49653,189205,12764248,3425067,746085,2585489,1173832,1173832,4598899,4598899,5134010,31142,5102868,-13514003,16486188,8106195,59154,8165349,12764248,254215,4211,-3816,4000,-7816,-756620,-130317,-626303,-502010,228677,-4350.00000000047,-4350,-277683,-277683,-277683,436159,-6.93889390390723e-18,0.16468,0.02615,0.01375,0.02781,0.01779,2.73436,0.56322,0,0.11574,0.11574,8.41747,4.13147,0.02781,-11.03445,-11.14202
"31","2018_Q4",5.71206349206349,"Down",15057682,-12771586,2286096,-2323748,-2323748,-37652,3049,3049,-34603,3560,3560,-31043,23000,-8043,-8043,-10803,-18846,-18846,4865216,4332784,532432,7072263,7072263,185014,145800,12122493,26754,132653,83000,49653,159407,12281900,2962771,671847,2290924,1196669,1196669,4159440,4159440,5134010,31142,5102868,-13514003,16467342,8087349,35111,8122460,12281900,-8043,5913,21440,25000,-3560,65532,546152,-480620,84842,1885,-34846,-34846,51881,51881,51881,-31739,0,0.15182,-0.0025,-0.00125,-0.00232,-0.00153,2.91445,0.51209,0,-0.00961,-0.00961,7.67442,4.12186,-0.00232,153.28826,129.21534
"32","2019_Q1",5.23606557377049,"Down",16379609,-13849129,2530480,-2291888,-2291888,238592,4179,4179,242771,4728,4728,247499,-98000,149499,149499,-12622,136877,136877,5860597,5323437,537160,7229917,7229917,126558,98344,13217072,27726,127653,78000,49653,155379,13372451,3892441,559428,3333013,1211232,1211232,5103673,5103673,5134010,31142,5102868,-13514003,16604219,8224226,44552,8268778,13372451,149499,5,272.000000000004,5000,-4728,845035,-159504,1004539,994811,-977,-3181,-3181,990653,990653,990653,238597,-1.11022302462516e-16,0.15449,0.01457,0.00836,0.01655,0.01024,2.58972,0.61722,0,0.06976,0.06976,8.34816,4.19162,0.01655,-24.56274,-24.56326
"33","2019_Q2",4.9568253968254,"Down",16580921,-13984547,2596374,-2520549,-2520549,75825,4627,4627,80452,-5416,-5416,75036,-19000,56036,56036,-18241,37795,37795,5482430,4951686,530744,7788861,7788861,147416,131597,13418707,23836,128653,79000,49653,152489,13571196,4083827,613418,3470409,1206255,1206255,5290082,5290082,5134010,31142,5102868,-13514003,16642014,8262021,19093,8281114,13571196,56036,3890,4416,-1000,5416,-393393,-558055,164662,-329051,1000,-43700,-43700,-371751,-371751,-371751,79715,0,0.15659,0.00457,0.00228,0.00456,0.00278,2.53658,0.63881,2.64697796016969e-23,0.01926,0.01926,8.45076,4.21089,0.00456,-68.77539,-72.30373
"34","2019_Q3",4.31046875,"Down",16402356,-13643879,2758477,-2882226,-2882226,-123749,4948,4948,-118801,704.000000000004,703.999999999998,-118097,31000,-87097,-87097,-9644,-96741,-96741,5080906,4549458,531448,7991415,7991415,247906,176087,13320227,21146,128653,79000,49653,149799,13470026,4077027,946182,3130845,1203482,1203482,5280509,5280509,5134010,31142,5102868,-13514003,16545273,8165280,24237,8189517,13470026,-87097,3889,-704.000000000007,-7.27595761418343e-12,-703.999999999998,-312617,-184999,-127618,-396529,-1199,-4500.00000000001,-4500,-402228,-402228,-402228,-119860,1.77635683940025e-15,0.16818,-0.00754,-0.0059,-0.01181,-0.00718,2.52253,0.64479,0,-0.04931,-0.04931,8.35975,4.16158,-0.01181,42.39034,41.05816
"35","2019_Q4",3.3625,"Down",14782706,-12651580,2131126,-3046720,-3046720,-915594,5096,5096,-910498,38,2920,-910460,235000,-675460,-675460,-774,-676234,-676234,4646523,4112155,534368,6956861,6956861,214137,166318,11817521,8800,387653,338000,49653,396453,12213974,3476812,537893,2938919,1227605,1227605,4704417,4704417,5134010,31142,5102868,-13514003,15869039,7489046,20511,7509557,12213974,-675460,1509,-259038,-259000,-38,492231,1018444,-526213,-440758,7955,-4500,-4500,-437303,-437303,-437303,-914085,0,0.14416,-0.06194,-0.04574,-0.09005,-0.05537,2.51201,0.62646,4.2351647362715e-22,-0.34465,-0.34465,7.53427,3.81693,-0.09005,5.08325,5.07486999999998
