"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",14.4603174603175,"Up",5.574e+09,-3.378e+09,2.196e+09,-1.993e+09,-1.993e+09,2.03e+08,-1.62e+08,-1.62e+08,4.1e+07,4.1e+07,-1.8e+07,2.3e+07,2.3e+07,2.3e+07,2.3e+07,9.81e+08,9.81e+08,2.73e+08,4.921e+09,2.66e+08,2.66e+08,6.441e+09,9.294e+09,4.901e+09,3.743e+09,6.68e+08,4.9e+08,1.4195e+10,2.0636e+10,4.192e+09,2.01e+09,5.5e+07,2.127e+09,6.85e+08,5.102e+09,7.503e+09,3.34e+09,1.109e+09,2.231e+09,1.0843e+10,1.5945e+10,4.691e+09,2.0636e+10,2.3e+07,2.87e+08,2.3e+07,-4.82e+08,-1.49e+08,-3.5e+07,-9e+06,-4.4e+07,-2.1e+07,-5.05e+08,1.3e+07,1e+06,-5.12e+08,-7.05e+08,-7.05e+08,-7.05e+08,4.9e+08,8.188e+09,-9e+06,0.39397,0.03642,0.00413,0.0049,0.00111,-0.3913,1.26245,3.39906,0.39678,0.05442,0.05397,13.18978,-0.0213,0.04969,10.0759690376019,0.00271,-0.00055,0.91304,14.70816,35.50246
"2","2010_Q3",13.10203125,"Down",5.537e+09,-3.214e+09,2.323e+09,-1.953e+09,-1.953e+09,3.7e+08,-1.3e+08,-1.3e+08,2.4e+08,2.4e+08,-92999999.9999999,1.47e+08,1.47e+08,1.47e+08,1.47e+08,1.208e+09,1.208e+09,3.55e+08,4.633e+09,2.37e+08,2.37e+08,6.433e+09,9.07e+09,4.935e+09,3.743e+09,6.58e+08,5.34e+08,1.4005e+10,2.0438e+10,3.865e+09,1.743e+09,5.7e+07,2.065e+09,6.09e+08,4.768e+09,7.493e+09,3.338e+09,1.104e+09,2.234e+09,1.0831e+10,1.5599e+10,4.839e+09,2.0438e+10,1.47e+08,2.88e+08,-3e+06,4999999.99999988,4.37e+08,-2.6e+07,-5.4e+07,-8e+07,-2.1e+07,-79000000.0000002,1e+06,-3.1e+07,-1.3e+08,2.27e+08,2.27e+08,2.27e+08,6.58e+08,8.102e+09,7.3e+08,0.41954,0.06682,0.02655,0.03038,0.00719,4.96599,1.3492,3.2236,0.39642,0.34752,0.34475,13.08983,1.72577,0.04965,7,0.01032,0.04484,0.14286,10.4772,18.63243
"3","2010_Q4",16.18453125,"Up",5.623e+09,-3.377e+09,2.246e+09,-2.069e+09,-2.069e+09,1.77e+08,-1.64e+08,-1.64e+08,1.3e+07,1.3e+07,-3e+06,1e+07,1e+07,1e+07,1e+07,7.15e+08,7.15e+08,3.03e+08,6.53e+09,2.89e+08,2.89e+08,7.837e+09,8.915e+09,4.93e+09,3.743e+09,6.47e+08,5.4e+08,1.3845e+10,2.1682e+10,5.551e+09,3.165e+09,8e+06,2.378e+09,6.05e+08,6.49e+09,6.982e+09,3.367e+09,1.129e+09,2.238e+09,1.0349e+10,1.6839e+10,4.843e+09,2.1682e+10,1e+07,2.9e+08,1.4e+07,-2.56e+08,5.8e+07,-7.6e+07,-8.5e+07,-1.61e+08,-2.1e+07,-5.06e+08,1.5e+07,1.22e+08,-3.9e+08,-4.93e+08,-4.93e+08,-4.93e+08,4.67e+08,7.587e+09,1.38e+08,0.39943,0.03148,0.00178,0.00206,0.00046,13.8,1.20755,3.47698,0.34992,0.02362,0.02339,13.28059,0.32593,0.0496,6,0.00196,0.00874,2.1,14.7152,38.82486
"4","2011_Q1",15.4727419354839,"Down",8.269e+09,-4.855e+09,3.414e+09,-2.245e+09,-2.245e+09,1.169e+09,-5.2e+07,-5.2e+07,1.117e+09,1.026e+09,-3.59e+08,6.67e+08,6.67e+08,6.67e+08,6.67e+08,1.464e+09,1.464e+09,3.38e+08,4.758e+09,3.39e+08,3.39e+08,6.899e+09,8.813e+09,4.919e+09,3.743e+09,6.37e+08,5.39e+08,1.3732e+10,2.0631e+10,4.128e+09,1.421e+09,1.82e+08,2.525e+09,4.54e+08,4.991e+09,6.971e+09,3.139e+09,1.2e+09,1.939e+09,1.011e+10,1.5101e+10,5.53e+09,2.0631e+10,6.67e+08,2.85e+08,3.2e+07,1.76e+08,1.16e+09,-1.28e+08,-5.2e+07,-1.8e+08,-2.1e+07,-1.55e+08,1.3e+07,-6.8e+07,-2.31e+08,7.49e+08,7.49e+08,7.49e+08,1.454e+09,7.425e+09,1.861e+09,0.41287,0.14137,0.08066,0.12061,0.03233,2.7901,1.38229,2.73074,0.3599,1.57237,1.55442,19.49316,4.38708,0.0495,6,0.04275,0.11563,0.0314800000000006,4.09972,5.09923
"5","2011_Q2",17.625873015873,"Up",5.889e+09,-3.586e+09,2.303e+09,-1.973e+09,-1.973e+09,3.3e+08,-1.16e+08,-1.16e+08,2.14e+08,2.14e+08,-8.3e+07,1.31e+08,1.31e+08,1.31e+08,1.31e+08,1.152e+09,1.152e+09,2.25e+08,5.159e+09,3.78e+08,3.78e+08,6.914e+09,8.636e+09,4.867e+09,3.743e+09,6.28e+08,4.96e+08,1.3503e+10,2.0417e+10,4.27e+09,2.131e+09,6.8e+07,2.071e+09,7.41e+08,5.408e+09,6.343e+09,2.978e+09,1.284e+09,1.694e+09,9.321e+09,1.4729e+10,5.688e+09,2.0417e+10,1.31e+08,2.68e+08,1.2e+07,-3.44e+08,6.7e+07,-5.7e+07,-7e+06,-6.4e+07,-2.1e+07,-3.35e+08,3.1e+07,1e+07,-3.15e+08,-3.12e+08,-3.12e+08,-3.12e+08,5.98e+08,7.084e+09,2.8e+08,0.39107,0.05604,0.02224,0.02303,0.00642,2.1374,1.27848,2.58949,0.34697,0.30816,0.30465,13.85321,0.65867,0.0494,6,0.00965,0.01778,0.16031,9.91973,17.97576
"6","2011_Q3",17.9296875,"Up",5.939e+09,-3.457e+09,2.482e+09,-1.976e+09,-1.976e+09,5.06e+08,-1.11e+08,-1.11e+08,3.95e+08,3.95e+08,-1.54e+08,2.41e+08,2.41e+08,2.41e+08,2.41e+08,1.495e+09,1.495e+09,2.96e+08,4.948e+09,3.83e+08,3.83e+08,7.122e+09,8.506e+09,4.88e+09,3.743e+09,6.18e+08,5.19e+08,1.3386e+10,2.0508e+10,4.077e+09,1.956e+09,1.19e+08,2.002e+09,9.14e+08,5.371e+09,6.162e+09,3.012e+09,1.337e+09,1.675e+09,9.174e+09,1.4545e+10,5.963e+09,2.0508e+10,2.41e+08,2.68e+08,1.7e+07,-6e+06,5.2e+08,-1.01e+08,-5.7e+07,-1.58e+08,-4.3e+07,-2e+06,5e+07,-2.4e+07,-18999999.9999999,3.43e+08,3.43e+08,3.43e+08,7.74e+08,7.076e+09,8.21e+08,0.41792,0.0852,0.04058,0.04042,0.01175,3.40664,1.32601,2.43921,0.34504,0.56374,0.55453,13.8924,1.92047,0.10058,6,0.01769,0.05115,0.17842,7.21059,11.02964
"7","2011_Q4",20.3346031746032,"Up",5.853e+09,-3.544e+09,2.309e+09,-2.018e+09,-2.018e+09,2.91e+08,-1.08e+08,-1.08e+08,1.83e+08,1.83e+08,-4.4e+07,1.39e+08,1.39e+08,1.39e+08,1.39e+08,1.097e+09,1.097e+09,2.88e+08,7.158e+09,4.08e+08,4.08e+08,8.951e+09,8.423e+09,4.889e+09,3.743e+09,6.08e+08,5.38e+08,1.3312e+10,2.2263e+10,6.017e+09,3.576e+09,6.6e+07,2.375e+09,8.05e+08,7.21e+09,6.151e+09,3.05e+09,1.402e+09,1.648e+09,9.201e+09,1.6411e+10,5.852e+09,2.2263e+10,1.39e+08,2.82e+08,1.3e+07,-3.94e+08,4e+07,-1.79e+08,-7.1e+07,-2.5e+08,-4.2e+07,-1.14e+08,-1.78e+08,1.46e+08,-1.88e+08,-3.98e+08,-3.98e+08,-3.98e+08,5.73e+08,6.956e+09,4.4e+07,0.3945,0.04972,0.02375,0.02375,0.00624,0.31655,1.24147,2.80434,0.31245,0.32675,0.32176,13.75882,0.10343,0.09873,6,0.01141,0.00277,0.30216,10.22513,20.13402
"8","2012_Q1",24.5485483870968,"Up",8.724e+09,-5.151e+09,3.573e+09,-2.314e+09,-2.314e+09,1.259e+09,-1.08e+08,-1.08e+08,1.151e+09,1.176e+09,-4.31e+08,7.45e+08,7.45e+08,7.45e+08,7.45e+08,2.827e+09,2.827e+09,3.68e+08,5.117e+09,4.65e+08,4.65e+08,8.777e+09,8.42e+09,4.898e+09,3.743e+09,5.98e+08,5.57e+08,1.3318e+10,2.2095e+10,4.752e+09,1.593e+09,3.71e+08,2.788e+09,1.103e+09,6.263e+09,6.655e+09,3.244e+09,1.141e+09,2.103e+09,9.899e+09,1.6162e+10,5.933e+09,2.2095e+10,7.45e+08,2.67e+08,-1.2e+07,5.46e+08,1.546e+09,-1.04e+08,-1.21e+08,-2.25e+08,-4.2e+07,7.97e+08,-2.43e+08,-1.03e+08,4.09e+08,1.73e+09,1.73e+09,1.73e+09,1.526e+09,7.758e+09,2.399e+09,0.40956,0.14431,0.0854,0.12557,0.03372,3.22013,1.40141,2.72409,0.35112,1.77381,1.75294,20.77143,5.7119,0.1,8,0.04647,0.14166,0.05638,3.23132,3.9166
"9","2012_Q2",25.4509523809524,"Up",6.143e+09,-3.757e+09,2.386e+09,-1.995e+09,-1.995e+09,3.91e+08,-1.12e+08,-1.12e+08,2.79e+08,2.79e+08,-9.8e+07,1.81e+08,1.81e+08,1.81e+08,1.81e+08,1.891e+09,1.891e+09,2.77e+08,5.465e+09,4e+08,4e+08,8.033e+09,8.359e+09,4.885e+09,3.743e+09,5.89e+08,5.53e+08,1.3244e+10,2.1277e+10,4.675e+09,2.346e+09,1.04e+08,2.225e+09,3.13e+08,5.399e+09,6.644e+09,3.201e+09,1.128e+09,2.073e+09,9.845e+09,1.5244e+10,6.033e+09,2.1277e+10,1.81e+08,2.56e+08,1.6e+07,-1.88e+08,2.65e+08,-1.45e+08,-5.7e+07,-2.02e+08,-8.3e+07,-7.95e+08,-1.05e+08,-1.6e+07,-9.99e+08,-9.36e+08,-9.36e+08,-9.36e+08,6.47e+08,6.957e+09,4.12e+08,0.38841,0.06365,0.02946,0.03,0.00851,2.27624,1.48787,2.52677,0.32697,0.43395,0.42658,14.72788,0.98777,0.19899,7,0.01631,0.02545,0.45856,7.82998,12.95652
"10","2012_Q3",25.1739682539683,"Down",6.118e+09,-3.555e+09,2.563e+09,-2.009e+09,-2.009e+09,5.54e+08,-1.05e+08,-1.05e+08,4.49e+08,4.49e+08,-1.7e+08,2.79e+08,2.79e+08,2.79e+08,2.79e+08,1.604e+09,1.604e+09,3.59e+08,5.036e+09,3.87e+08,3.87e+08,7.386e+09,8.291e+09,4.888e+09,3.743e+09,5.8e+08,5.65e+08,1.3179e+10,2.0565e+10,4.131e+09,1.895e+09,1.58e+08,2.078e+09,3.13e+08,4.854e+09,6.637e+09,3.171e+09,1.134e+09,2.037e+09,9.808e+09,1.4662e+10,5.903e+09,2.0565e+10,2.79e+08,2.57e+08,8e+06,-1.71e+08,3.73e+08,-1.42e+08,-4.9e+07,-1.91e+08,-8.2e+07,-1999999.99999976,-3.58e+08,-2.7e+07,-4.69e+08,-2.87e+08,-2.87e+08,-2.87e+08,8.11e+08,6.95e+09,6.68e+08,0.41893,0.09055,0.0456,0.04726,0.01357,2.39427,1.52163,2.48382,0.33795,0.67867,0.6689,14.88202,1.62491,0.19946,8,0.02253,0.04169,0.29391,6.59186,9.64982
