"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q1",13.886393442623,"Down",1988000,-13512000,-4009000,-9503000,-11524000,39000,65000,441000,-26000,-11485000,-11485000,-11487000,-11487000,-11487000,-12045000,186711000,59822000,126889000,372000,372000,2671000,2299000,189754000,3481000,3980000,1750000,949000,1281000,7461000,197215000,9609000,4697000,4912000,6130000,6130000,15739000,55408000,54703000,198000,55408000,71147000,243610000,-117466000,-76000,126068000,126068000,197215000,-11487000,329000,2316000,673000,-8169000,-182000,-50847000,135000,135000,82647000,23631000,23631000,23631000,-11195000,0,-5.79678,-6.05885,-0.09554,-0.06108,12.05629,0.56435,0,-0.38429,-0.38429,0.06343,4.02216,-0.06637,16.67807,16.20193
"2","2016_Q2",11.405,"Down",2223000,-18405000,-5040000,-13365000,-16182000,156000,137000,490000,19000.0000000001,-16026000,-16026000,-16029000,-16029000,-16029000,-16029000,180636000,67897000,112739000,316000,316000,3596000,3438000,184548000,3479000,3925000,1750000,949000,1226000,7404000,191952000,9696000,4958000,4738000,7307000,7307000,17003000,62235000,61725000,280478.737028378,62235000,79238000,246179000,-133495000,30000,112714000,112714000,191952000,-16029000,355000,2874000,7260000,-5540000,-327000,13579000,48000,48000,35999.9999999851,8075000,8075000,8075000,-15827000,0,-7.27935,-7.21053,-0.14221,-0.08351,10.85385,0.703,0,-0.44447,-0.44447,0.06164,3.12544,-0.09162,11.41315,11.16277
"3","2016_Q3",12.1,"Up",3094000,-17352000,-4647000,-12705000,-14258000,85000,195000,-158000,-110000,-14173000,-14173000,-14176000,-14176000,-14176000,-14176000,195797000,62379000,133418000,285000,285000,3524000,3411000,199606000,3370000,3884000,1750000,949000,1185000,7254000,206860000,8739000,1426000,7313000,13485000,13485000,22224000,83449000,82783000,153000,83449000,105673000,248778000,-147671000,80000,101187000,101187000,206860000,-14176000,445000,2861000,26624000,15754000,-384000,-21480000,130000,130000,208000,-5518000,-5518000,-5518000,-13813000,0,-4.60827,-4.58177,-0.1401,-0.06853,8.98155,1.04433,0,-0.39254,-0.39254,0.08567,2.80193,-0.07678,14.17484,13.73243
"4","2016_Q4",12.1160317460317,"Up",3454000,-18370000,-5033000,-13337000,-14916000,255000,210000,210000,45000,-14661000,-14661000,-14662000,-14662000,-14662000,-14662000,178465000,59758000,118707000,240000,240000,4608000,4401000,183313000,3701000,3842000,1750000,949000,1143000,9568000,192881000,9558000,517000,9041000,14124000,14124000,23682000,79777000,79110000,154000,79777000,103459000,251749000,-162333000,6000,89422000,89422000,192881000,-14662000,443000,3159000,-3122000,-14182000,-863000,11310000,251000,251000,251000.000000001,-2621000,-2621000,-2621000,-14473000,0,-4.31847,-4.24493,-0.16396,-0.07602,7.7406,1.15697,0,-0.40361,-0.40361,0.09508,2.46157,-0.08666,12.33089,11.96467
"5","2017_Q1",13.1609677419355,"Up",6272000,-20502000,-5154000,-15348000,-14230000,171000,194000,194000,-23000,-14059000,-14059000,-14033000,-14033000,-14033000,-14033000,181938000,104645000,77293000,2159000,2159000,4050000,3896000,188147000,4392000,6589000,1750000,949000,3890000,10981000,199128000,15420000,6596000,8824000,20347000,20347000,35767000,84882000,83803000,566000,84882000,120649000,254872000,-176366000,-27000,78479000,78479000,199128000,-14033000,490000,2981000,12498000,1936000,-550000,42450000,501000,501000,501000,44887000,44887000,44887000,-13740000,0,-2.26881,-2.2374,-0.17881,-0.07047,5.26035,1.53734,0,-0.38515,-0.38515,0.17214,2.15395,-0.0859,13.24148,12.78552
"6","2017_Q2",15.0742857142857,"Up",11653000,-20267000,-5691000,-14576000,-8614000,356000,236000,236000,120000,-8258000,-8258000,-8257000,-8257000,-8257000,-8257000,162523000,85662000,76861000,213000,213000,4173000,4118000,166909000,4604000,6369000,1750000,949000,3670000,10973000,177882000,10036000,3700000,6336000,27090000,27090000,37126000,66969000,65477000,978000,66969000,104095000,258510000,-184623000,-1e+05,73787000,73787000,177882000,-8257000,395000,2950000,-14174000,-19086000,-944000,-788000,891000,891000,891000,-18983000,-18983000,-18983000,-8219000,0,-0.73921,-0.70857,-0.1119,-0.04642,4.49574,1.41075,0,-0.22598,-0.22598,0.31892,2.01941,-0.05866,19.77406,18.86731
"7","2017_Q3",15.602380952381,"Up",8752000,-34125000,-6049000,-28076000,-25373000,184000,358000,358000,-174000,-25189000,-25189000,-25216000,-25216000,-25216000,-25216000,335916000,272860000,63056000,158000,158000,4606000,4579000,340680000,4319000,6856000,1750000,949000,4157000,11175000,351855000,13863000,6364000,7499000,46772000,46772000,60635000,238983000,237053000,1391000,238983000,299618000,262186000,-209839000,-110000,52237000,52237000,351855000,-25216000,369000,3169000,194873000,173195000,-324000,13337000,666000,666000,666000,187198000,187198000,187198000,-25004000,0,-2.89911,-2.88117,-0.48272,-0.07167,5.61854,5.73574,0,-0.68555,-0.68555,0.23794,1.42017,-0.08659,13.43449,13.23911
"8","2017_Q4",20.7347619047619,"Up",24145000,-35170000,-6249000,-28921000,-11025000,759000,806000,806000,-46999.9999999999,-10266000,-10266000,-10247000,-10247000,-10247000,-10247000,331275000,284225000,47050000,40183000,40183000,4916000,4848000,376374000,4087000,6578000,1641000,949000,3988000,10665000,387039000,14313000,2869000,11444000,56928000,56928000,71241000,270319000,267996000,1803000,270319000,341560000,265626000,-220086000,-61000,45479000,45479000,387039000,-10247000,477000,13516000,-9484000,-5738000,-57000,15943000,1160000,1160000,1160000,11365000,11365000,11365000,-10548000,0,-0.45662,-0.42439,-0.22531,-0.02648,5.28311,7.51028,0,-0.27732,-0.27732,0.65345,1.23082,-0.03245,31.40643,30.04762
"9","2018_Q1",28.5416393442623,"Up",27073000,-28320000,-7616000,-20704000,-1247000,1348000,1274000,1274000,74000,101000,101000,621000,621000,621000,621000,374110000,177548000,196562000,10139000,10139000,4352000,4352000,388601000,4218000,4825000,1604000,949000,2272000,9043000,397644000,20588000,4205000,16382000,40559000,40559000,61147000,266601000,264704000,1897000,266601000,327748000,289455000,-219465000,-94000,69896000,69896000,397644000,621000,275000,2356000,18750000,22002000,-234000,-149758000,21079000,21079000,21079000,-106677000,-106677000,-106677000,-972000,0,-0.04606,0.02294,0.00888,0.00156,6.35519,4.68908,0,0.01617,0.01617,0.7051,1.8204,0.00185,384.88683,300.00802
"10","2018_Q2",25.543125,"Down",14184000,-29814000,-7356000,-22458000,-15630000,1235000,1375000,1375000,-140000,-14395000,-14395000,-15493000,-15493000,-15493000,-15493000,361476000,142155000,219321000,81000,81000,5474000,5474000,367031000,4622000,4809000,1568000,949000,2292000,9431000,376462000,22719000,5349000,16335000,46988000,46988000,69707000,257108000,255053000,2055000,257108000,326815000,295745000,-245870000,-228000,49647000,49647000,376462000,-15493000,376000,3463000,-2958000,-14612000,-751000,-23383000,2602000,2602000,2602000,-35393000,-35393000,-35393000,-15254000,0,-1.10195,-1.09229,-0.31206,-0.04115,5.26534,6.58277,0,-0.40088,-0.40088,0.36701,1.2846,-0.05051,23.69713,23.1270600000001
