"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",19.4019047619048,"Up",127547000,-24001000,103546000,-81739000,-55988000,-23387000,-2364000,21807000,2756000,1275000,1481000,24563000,-26186000,-1623000,617000,-1006000,-1006000,-1006000,-1006000,251291377.708877,262244943.788939,-10953566.0800622,-348145124.396454,-348145124.396454,37237359.0148505,14593003.2576797,-59616387.6727269,57416845.2465057,1335372726.47948,112692051.14812,250013220.409223,80313375.7916647,892354079.130469,568085933.298611,508469545.625884,-305573610.70186,-123981461.254146,-201837449.326462,349735061.924201,349735061.924201,44511343.1452999,53672889.7055144,41830428.3912015,54372347.9956962,98883691.1409961,159275424.476547,288578503.235444,409585854.484888,409585854.484888,508469545.625884,-1006000,10541000,5247000,19466000,34248000,-1502000,15146000,-33102000,-88000,11107000,21117000,-10010000,740000,11759000,12905000,12905000,-9614000,3291000,32348000,0,49695000,0.81183,0.17097,-0.00789,-0.133748308543679,-0.0971866966523464,-49.39861,1.16961410538182,0.289335990211694,0.00159760569881066,-0.01633,-0.01633,2.06993,4.48490876049902,0.80649,-0.132905394661727,0.00779801650801452,-48.7386335196342,-73.7109556877378
"2","2010_Q3",17.89359375,"Down",127656000,-25231000,102425000,-79477000,-53588000,-23153000,-2736000,22948000,3919000,3338000,581000,26867000,-203000,26664000,-7606000,19058000,19058000,19058000,19058000,236990125.902959,239819647.929646,-2829522.0266874,-53690708.1321513,-53690708.1321513,38084453.0049502,20655667.7525599,221383870.775758,57973281.7488353,690944908.826492,100165017.049373,242896740.136408,48716125.2638882,299167026.376823,500445644.43287,721829515.208628,-37402536.9006198,-33226820.4180487,-9612816.44215414,190649687.308067,190649687.308067,153614447.7151,25869296.5685048,19766142.7970672,26380115.9985654,179994563.713665,254165474.825516,300425501.078481,541834951.494963,541834951.494963,721829515.208628,19058000,10680000,6564000,-19632000,16670000,-2574000,-7888000,-3932000,-85000,40353000,41879000,-1526000,2405000,42673000,55411000,55411000,-6847000,48564000,33628000,0,19028000,0.80235,0.17976,0.14929,-0.0350627695145597,-0.0254455655507821,0.998429999999992,1.56332136846061,0.337971996737231,0.00115920189960355,0.29869,0.27715,2.00072,7.90742958683301,0.29822,-0.0349684648872424,0.0331360055026715,-19.1349778398781,-28.5328852292459
"3","2010_Q4",23.38359375,"Up",128737000,-24709000,104028000,-75972000,-51298000,-21941000,-2733000,28056000,-1720000,-2335000,615000,26336000,-11587000,14749000,-5506000,9243000,9243000,9243000,9243000,269213000,255049000,14164000,84966000,84966000,40198000,25266000,394377000,57963000,407980000,90646000,239471000,33520000,44343000,465943000,860320000,78791000,6337000,70916000,134334000,134334000,213505000,13300000,10038000,13677000,227182000,314563000,318575000,633138000,633138000,860320000,9243000,10130000,2807000,-2563000,19617000,-3015000,9086000,16371000,-93000,-12982000,4818000,-17800000,-370000,-13445000,22543000,22543000,4778000,27321000,38186000,757000,38114000,0.80807,0.21793,0.0718,0.0146,0.01074,4.12355,1.84716,0.35882,0.00088,0.14256,0.13871,1.98558,9.76522,0.58785,0.01428,0.05889,-7.03022,-9.56858
"4","2011_Q1",26.2212903225806,"Up",-32330000,32788000,458000.000000015,40918000,17487000,18401000,5030000,41376000,-1197000,-1652000,455000,40179000,15265000,55444000,-20171000,35273000,20803000,20803000,20803000,322396000,286559000,35837000,119273000,119273000,42189000,27910000,483858000,58207000,355115000,83208000,238343000,29214000,4349999.99999999,452965000,936823000,98327000,13176000,81068000,138961000,138961000,237676000,10539000,8161000,10815000,248491000,347604000,340728000,688332000,688332000,936823000,20803000,10066000,9284000,-14487000,25666000,-2573000,-21658000,-24500000,-92000,25856000,25856000,0,1413000,27177000,28343000,28343000,3167000,31510000,51442000,664000,54553000,-0.01417,-1.2798,-0.64346,0.03022,0.02221,2.62236,2.03579,0.361,0.00071,0.31727,0.3067,-0.493080000000001,10.49799,0.83201,0.02974,0.07798,-6.25427,-7.77581
"5","2011_Q2",24.4979365079365,"Down",134237000,-24124000,110113000,-79683000,-56550000,-20859000,-2274000,30430000,-39000,-627000,588000,30391000,-2114000,28277000,-7756000,20521000,20521000,20521000,20521000,370839000,312148000,58691000,104381000,104381000,41933000,27454000,517153000,59620000,389059000,77053000,238514000,29444000,44048000,448679000,965832000,80558000,7437000,65905000,158088000,158088000,239042000,11960000,9529000,12142000,251184000,362439000,352209000,714648000,714648000,965832000,20521000,8461000,4635000,16613000,50230000,-3352000,-22855000,-25942000,-86000,-6120000,18857000,-24977000,2723000,-3483000,20805000,20805000,4784000,25589000,38891000,578000,59908000,0.82029,0.22669,0.15287,0.02871,0.02125,2.91935,2.16344,0.35148,6e-04,0.30635,0.29459,2.00396,10.66862,0.89434,0.02822,0.08238,-9.52048,-12.16763
"6","2011_Q3",19.5571875,"Down",134684000,-26157000,108527000,-80173000,-58054000,-20137000,-1982000,28354000,209000,-504000,713000,28563000,-1144000,27419000,-9459000,17960000,17960000,17960000,17960000,388978000,310442000,78536000,91738000,91738000,38041000,23384000,518757000,63023000,378449000,71254000,238591000,28699000,39905000,441472000,960229000,80804000,7586000,66746000,149888000,149888000,231096000,12137000,9657000,12210000,243306000,366204000,350719000,716923000,716923000,960229000,17960000,8095000,6100000,6658000,38813000,-5142000,-19843000,-19938000,-104000,-22982000,16940000,-39922000,-18000,-23104000,-4229000,-4229000,2523000,-1706000,36449000,477000,47424000,0.80579,0.21052,0.13335,0.02505,0.0187,2.64053,2.24477,0.33938,5e-04,0.26847,0.25936,2.0133,10.71682,0.70891,0.02462,0.06501,-10.65876,-13.70181
"7","2011_Q4",18.5085714285714,"Down",117450000,-21261000,96189000,-79710000,-61363000,-16495000,-1852000,16479000,-773000,-1084000,311000,15706000,-1369000,14337000,-4321000,10016000,8973000,8973000,8973000,346543000,257769000,88774000,83887000,83887000,37992000,22835000,468422000,66344000,375994000,65343000,238588000,31981000,40082000,442338000,910760000,83349000,6219000,65521000,144713000,144713000,228438000,11294000,8813000,11294000,239732000,340118000,330910000,671028000,671028000,910760000,8973000,8077000,6199000,5836000,29085000,-5462000,-11992000,-17280000,-86000,-64294000,5699000,-69993000,-1179000,-65559000,-53754000,-53754000,1081000,-52673000,24556000,376000,29251000,0.81898,0.14031,0.0764,0.01337,0.00985,3.25989,2.05054,0.35726,0.00041,0.13624,0.13337,1.78333,10.1887,0.44414,0.01314,0.04285,-14.09704,-21.00655
"8","2012_Q1",20.2927419354839,"Up",-52761000,34765000,-17996000,55283000,30380000,19308000,5595000,37287000,84000,-303000,387000,37371000,789000,38160000,-15268000,22892000,12175000,12175000,12175000,261416000,161095000,100321000,110927000,110927000,35568000,22110000,407911000,66206000,356607000,64408000,256211000,30361000,5627000,456352000,864263000,80060000,7039000,66973000,145727000,145727000,226144000,13009000,11476000,13009000,239153000,309221000,-11652999.9999999,625110000,625110000,864263000,12175000,10445000,13537000,-27991000,8166000,-3091000,-13527000,-39137000,-112000,-56941000,8176000,-65117000,1211000,-55842000,-86813000,-86813000,-9861000,-96674000,47732000,357000,31918000,0.34109,-0.70672,-0.23076,0.01948,0.01409,2.6216,1.80377,0.38258,0.00041,0.19302,0.19031,-0.83645,9.91027,0.50602,0.01907,0.04999,-5.46927,-7.00134
"9","2012_Q2",19.1106349206349,"Down",87213000,-10650000,76563000,-57126000,-44620000,-12264000,-242000,19437000,270000,-322000,592000,19707000,-215000,19492000,-7542000,11950000,7489000,7489000,7489000,315164000,231695000,83469000,102645000,102645000,33907000,22845000,451716000,68048000,355773000,58882000,263283000,27609000,5999000,457164000,908880000,83359000,6268000,69108000,162552000,162552000,246085000,9365000,7784000,9365000,255450000,314207325.304369,324025000,653430000,653430000,908880000,7489000,8562000,7450000,15028000,38529000,-3942000,20572000,16505000,-183000,13973000,13973000,0,-179000,13611000,68645000,68645000,1955000,70600000,27999000,174000,46627000,0.87789,0.22287,0.08587,0.01146,0.00824,6.22606,1.83561,0.39094,0.00019,0.12051,0.11863,1.40338,5.21402,0.75029,0.0113,0.07033,-11.25004,-16.20569
"10","2012_Q3",17.9779365079365,"Down",69386000,-6515000,62871000,-39517000,-30909000,-8435000,-173000.000000001,23354000,249000,-494000,743000,23603000,-4736000,18867000,-6102000,12765000,-1908000,-1908000,-1908000,328248000,241884000,86364000,85787000,85787000,36916000,26060000,450951000,66444000,350468000,53437000,257625000,33577000,5829000,448360000,899311000,83456000,8948000,72598000,146882000,146882000,230409000,9358000,7850000,9358000,239767000,342087000,317457000,659544000,659544000,899311000,-1908000,8417000,7313000,1338000,15160000,-2199000,-1604000.00000001,-3504999.99999999,-103000,6513999.99999999,6514000,0,-1102000,5309000.00000001,16964000,16964000,-6775000,10189000,31771000,71000,37012000,0.9061,0.33658,-0.0275,-0.00289,-0.00212,-19.39832,1.95718,0.36353,8e-05,-0.03026,-0.02974,1.10047,10.46048,0.58702,-0.00285,0.05533,-10.32945,-14.05228
