"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q2",14.2271428571429,"Down",1229000,-3199000,-1970000,-16635000,-8180000,-8455000,-18605000,-32000,-28000,-4000,-18637000,-18637000,-18637000,-18637000,-18637000,-18637000,184333000,68264000,116069000,3889000,3889000,188222000,18180000,1632000,1632000,29993000,218215000,8225000,1123000,7102000,9653000,1780000,423000,423000,2203000,11856000,310199000,-103817000,206359000,206359000,218215000,-18637000,1017000,618000,-1181000,-18183000,-1116000,-126341000,-127457000,106820000,106877000,-38763000,-38763000,-38763000,-17588000,3208000,-1.60293,-15.13832,-15.16436,-0.09031,-0.08541,19.49881,0.05745,0.0147,-1.09222,-1.09222,0.07203,12.09344,-0.08875,10.29821,9.73529
"2","2015_Q3",10.51234375,"Down",1801000,-3866000,-2065000,-22060000,-10223000,-11837000,-24125000,-133000,-35000,-98000,-24258000,-24258000,-24258000,-24258000,-24258000,-24258000,170926000,47518000,123408000,3149000,3149000,174075000,18833000,1936000,1936000,20769000,194844000,7682000,4046000,3636000,9439000,2371000,387000,387000,2758000,12197000,310714000,-128075000,182647000,182647000,194844000,-24258000,1278000,801000,1903000,-20276000,-2256000,2608000.00000001,299000,-750000,-769000,-20746000,-20746000,-20746000,-22847000,4128000,-1.14659,-13.39534,-13.46918,-0.13281,-0.1245,18.4421,0.06678,0.02119,-0.76065,-0.76065,0.05647,5.72707,-0.12961,7.30065,6.91391
"3","2015_Q4",7.87109375,"Down",2187000,-3952000,-1765000,-20691000,-9557000,-11134000,-22456000,-71000,-62000,-9000,-22527000,-22527000,-22527000,-22527000,-22527000,-22527000,147252000,48999000,98253000,3267000,3267000,150519000,18652000,6501000,6501000,25153000,175672000,5796000,2420000,3376000,8457000,5773000,341000,341000,6114000,14571000,311688000,-150602000,161101000,161101000,175672000,-22527000,1423000,978000,-1304000,-21430000,-1932000,24946000,18370000,4353000,4541000,1481000,1481000,1481000,-21033000,8434000,-0.80704,-10.26795,-10.30041,-0.13983,-0.12823,17.79816,0.09045,0.04801,-0.70543,-0.70543,0.06849,5.04471,-0.13261,6.60001,6.18178
"4","2016_Q1",7.94819672131148,"Up",3161000,-5506000,-2345000,-21946000,-10566000,-11380000,-24291000,-69000,-86000,17000,-24360000,-24360000,-24360000,-24360000,-24360000,-24360000,127018000,73238000,53780000,4292000,4292000,131310000,18709000,6657000,6657000,25366000,156676000,7753000,3500000,4253000,10877000,7080000,343000,343000,7423000,18300000,313349000,-174962000,138376000,138376000,156676000,-24360000,1603000,1735000,256000,-20766000,-1160000,44360000,47897000,2062000,1789000,28920000,28920000,28920000,-22688000,10204000,-0.74185,-7.68459,-7.70642,-0.17604,-0.15548,12.07226,0.13225,0.06513,-0.76209,-0.76209,0.09889,4.32888,-0.16357,5.14871,4.80894
"5","2016_Q2",9.32046875,"Up",3955000,-5987000,-2032000,-23458000,-12798000,-10660000,-25490000,-1e+05,-84000,-16000,-25590000,-25590000,-25590000,-25590000,-25590000,-25590000,103865000,27314000,76551000,10853000,10853000,114718000,17813000,6495000,6495000,24308000,139026000,6935000,2694000,4241000,10577000,8272000,5669000,5669000,13941000,24518000,315028000,-200552000,114508000,114508000,139026000,-25590000,1555000,1742000,-1695000,-23988000,-1037000,-22819000,-23856000,1710000,1920000,-45924000,-45924000,-45924000,-23935000,11914000,-0.51378,-6.44501,-6.47029,-0.22348,-0.18407,10.84599,0.21412,0.0857,-0.80057,-0.80057,0.12373,3.58222,-0.19373,3.8417,3.60734
"6","2016_Q3",8.4184375,"Down",5581000,-6476000,-895000,-23940000,-13227000,-10713000,-24835000,-12000,-1e+05,88000,-24847000,-24847000,-24847000,-24847000,-24847000,-24847000,85286000,31587000,53699000,11465000,11465000,96751000,18708000,5734000,5734000,24442000,121193000,8086000,3899000,4187000,12267000,9313000,6920000,6920000,16233000,28500000,318056000,-225399000,92693000,92693000,121193000,-24847000,1696000,2724000,2019000,-18408000,-2765000,22756000,19991000,2941000,2731000,4314000,4314000,4314000,-23139000,13494000,-0.16037,-4.44992,-4.45207,-0.26806,-0.20502,7.8871,0.30747,0.11134,-0.7727,-0.7727,0.17356,2.88248,-0.21968,3.10264,2.89076
"7","2016_Q4",7.4784126984127,"Down",6276000,-7242000,-966000,-23940000,-12458000,-11482000,-24906000,-65000,-115000,50000,-24971000,-24971000,-24971000,-24971000,-24971000,-24971000,66748000,37745000,29003000,8216000,8216000,74964000,21226000,5508000,5508000,26734000,101698000,8554000,2204000,6350000,13314000,10160000,7380000,7380000,17540000,30854000,321192000,-250370000,70844000,70844000,101698000,-24971000,1683000,3070000,3342000,-16876000,-3315000,24620000,21305000,1554000,1554000,5983000,5983000,5983000,-23223000,14920000,-0.15392,-3.96845,-3.97881,-0.35248,-0.24554,5.63046,0.43552,0.14671,-0.77269,-0.77269,0.1942,2.19204,-0.26809,2.23175,2.08094
"8","2017_Q1",9.59290322580645,"Up",9236000,-8173000,1063000,-26015000,-14240000,-11775000,-24952000,104000,-122000,226000,-24848000,-24848000,-24848000,-24848000,-24848000,-24848000,92623000,66825000,25798000,8024000,8024000,101800000,23793000,5058000,5058000,28851000,130651000,10063000,3352000,6711000,14753000,8987000,7837000,7837000,16824000,31577000,374288000,-275218000,99074000,99074000,130651000,-24848000,1619000,4504000,1680000,-17045000,-4508000,3129000,-1379000,47504000,47504000,29080000,29080000,29080000,-23333000,13677000,0.11509,-2.7016,-2.69034,-0.2508,-0.19019,6.90029,0.31872,0.10468,-0.68513,-0.68513,0.25466,2.73162,-0.20606,3.38345,3.16391
"9","2017_Q2",9.87428571428571,"Up",10338000,-9329000,1009000,-28346000,-18323000,-10023000,-27337000,-1013000,-322000,-691000,-28350000,-28350000,-26928000,-26928000,-26928000,-26928000,96781000,43439000,53342000,8582000,8582000,107395000,26604000,18623000,5069000,45227000,152622000,18065000,4953000,13112000,19712000,40087000,10524000,10524000,50611000,70323000,384477000,-302146000,82299000,82299000,152622000,-26928000,1733000,3586000,-421000,-22030000,-1343000,-27620000,-28909000,27553000,27553000,-23386000,-23386000,-23386000,-25604000,41734000,0.0976,-2.64432,-2.60476,-0.3272,-0.17644,5.4482,0.85448,0.27345,-0.63632,-0.63632,0.24429,1.94467,-0.20012,2.14994,2.01364
"10","2017_Q3",9.49920634920635,"Down",14336000,-10490000,3846000,-31921000,-20582000,-11339000,-28075000,-916000,-1067000,151000,-28991000,-28991000,-28557000,-28557000,-28557000,-28557000,75372000,27673000,47699000,8278000,8278000,86206000,27664000,25338000,5394000,53002000,139208000,17838000,5123000,12715000,19655000,41155000,11234000,11234000,52389000,72044000,397901000,-330703000,67164000,67164000,139208000,-28557000,1758000,6892000,106000,-19801000,-2133000,5601000,3522000,813000,812999.999999993,-15466000,-15466000,-15466000,-26317000,42972000,0.26828,-1.95836,-1.99198,-0.42518,-0.20514,4.38596,1.07266,0.30869,-0.65954,-0.65954,0.3311,1.5511,-0.23529,1.23114,1.15405
