"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","notes_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"17","2019_Q4",104.2121875,"Down",4.378e+09,-1.701e+09,2.677e+09,-1.64e+09,-7.17e+08,-3.16e+08,-4.01e+08,-5.33e+08,-3.9e+08,1.037e+09,-2.13e+08,-2.13e+08,8.24e+08,-3.4e+08,4.84e+08,-2.2e+07,4.62e+08,4.62e+08,4.62e+08,4.62e+08,1.0462e+10,6.877e+09,3.585e+09,2.2928e+10,4.17e+08,2.2511e+10,4.358e+09,8.81e+08,3.477e+09,3.7748e+10,1.701e+09,2.771e+09,8.003e+09,6.29e+08,6.178e+09,1.196e+09,1.2475e+10,5.0223e+10,2.634e+10,1.93e+08,2.6147e+10,2.634e+10,2.436e+09,2.436e+09,7.4e+09,3.374e+10,1.5266e+10,7.835e+09,-5.2e+07,1.6483e+10,1.6483e+10,5.0223e+10,4.62e+08,2.27e+08,6.39e+08,-2.32e+08,1.096e+09,-1.56e+08,2.36e+08,5.43e+08,6.23e+08,-2.509e+09,-3.46e+08,4.194e+09,1.339e+09,3.058e+09,3.058e+09,-4.8e+07,3.01e+09,1.264e+09,4.964e+09,8.98e+08,0.61147,0.23687,0.10553,0.02803,0.0092,1.94372,1.43311,2.04696,0.09884,0.39286,0.38889,3.72279,14.01616,0.76361,0.01934,0.0376,-4.34968,-5.30183
"18","2020_Q1",110.402258064516,"Up",4.961e+09,-1.913e+09,3.048e+09,-1.868e+09,-8.72e+08,-4e+08,-4.72e+08,-5.58e+08,-4.38e+08,1.18e+09,55000000.0000001,55000000.0000001,1.235e+09,-3.81e+08,8.54e+08,-3.47e+08,5.07e+08,5.07e+08,5.07e+08,5.07e+08,1.0761e+10,7.349e+09,3.412e+09,2.6934e+10,4.35e+08,2.6499e+10,8e+08,8e+08,3227030782.76757,3.8495e+10,1.693e+09,2.863e+09,8.282e+09,7.78e+08,6.212e+09,1.292e+09,1.2838e+10,5.1333e+10,2.6919e+10,2.32e+08,2.6687e+10,2.6919e+10,2.52e+09,2.52e+09,7.485e+09,3.4404e+10,1.5588e+10,8.342e+09,-1.73e+08,1.6885e+10,1.6929e+10,5.1333e+10,5.07e+08,2.27e+08,-6.17e+08,6.57e+08,7.74e+08,-1.74e+08,-5.85e+08,4.21e+08,-4.08e+08,5.464e+09,-2.45e+08,-4.869e+09,3.5e+08,7.16e+08,7.16e+08,4.3e+07,7.59e+08,1.407e+09,4.965e+09,2.237e+09,0.61439,0.23786,0.1022,0.02995,0.00988,4.41223,1.43003,2.03225,0.09672,0.43186,0.42677,4.22572,14.38245,1.90545,0.02077,0.09163,-4.1194,-4.91186
"19","2020_Q2",138.197777777778,"Up",4.618e+09,-1.739e+09,2.879e+09,-1.861e+09,-8.57e+08,-3.71e+08,-4.86e+08,-6.05e+08,-3.99e+08,1.018e+09,-1.35e+08,-1.35e+08,8.83e+08,-6.2e+08,2.63e+08,-1.79e+08,8.4e+07,8.4e+07,8.4e+07,8.4e+07,1.0186e+10,7.854e+09,2.332e+09,2.3229e+10,4.12e+08,2.2817e+10,4.769e+09,1.057e+09,3.712e+09,3.8184e+10,1.646e+09,2.366e+09,1.207e+10,1.369e+09,9.124e+09,1.577e+09,1.6082e+10,5.4266e+10,2.7449e+10,2.17e+08,2.7232e+10,2.7449e+10,2.839e+09,2.839e+09,1.0806e+10,3.8255e+10,1.5501e+10,8.258e+09,-1.2e+08,1.5967e+10,1.6011e+10,5.4266e+10,8.4e+07,2.93e+08,9.14e+08,1.3e+08,1.421e+09,-8.7e+07,1.918e+09,-7.73e+08,-2.554e+09,3e+09,-7.99e+08,1.09e+08,2.31e+09,1.177e+09,1.177e+09,-1.78e+08,9.99e+08,1.311e+09,7.967e+09,1.533e+09,0.62343,0.22044,0.01819,0.00525,0.00155,18.25,1.39109,2.38929,0.14681,0.07161,0.07089,3.93691,13.61211,1.30691,0.00313,0.05717,-1.6926,-2.17976
"20","2020_Q3",188.3378125,"Up",5.261e+09,-1840982692.96727,3026613567.12567,-5.562e+09,-9.26e+08,-4.14e+08,-5.12e+08,-6.31e+08,-4.005e+09,1.438e+09,8.48e+08,8.48e+08,2.286e+09,-4.87e+08,1.799e+09,-2.69e+08,1.53e+09,1.53e+09,1.53e+09,1.53e+09,1.3048e+10,6.353e+09,6.695e+09,2.9477e+10,4.46e+08,2.9031e+10,3.975e+09,8.4e+08,3.135e+09,4.65e+10,1.717e+09,3.175e+09,1.1774e+10,1.254e+09,9.118e+09,1.402e+09,1.6666e+10,6.3166e+10,3.3729e+10,2.52e+08,3.3477e+10,3.3729e+10,2.819e+09,2.819e+09,1.1753e+10,4.5482e+10,1.5914e+10,9.788e+09,-1.7e+08,1.764e+10,1.7684e+10,6.3166e+10,1.53e+09,2.97e+08,16999999.9999998,-7.2e+07,1.772e+09,-1.92e+08,-6.969e+09,-3.69e+08,-7.53e+09,9.66e+08,-1.3e+08,6.078e+09,6.914e+09,1.156e+09,1.156e+09,1.06e+08,1.262e+09,1.735e+09,8.934e+09,1.74e+09,0.622669451279772,0.27333,0.29082,0.08652,0.02422,1.13725,1.37864,2.57193,0.14144,1.30435,1.29114,4.48508,15.03836,1.48338,0.05198,0.05911,-2.37118,-2.86092
"21","2020_Q4",207.19890625,"Up",5.459e+09,-2156802607.89295,3468154758.71092,1.485e+09,-9.74e+08,-4.71e+08,-5.03e+08,-6.74e+08,3.133e+09,1.34e+09,1.67e+08,1.67e+08,1.507e+09,-3.63e+08,1.144e+09,-1.23e+08,1.021e+09,1.021e+09,1.021e+09,1.021e+09,1.4158e+10,6.112e+09,8.046e+09,3.1012e+10,4.82e+08,3.053e+10,3.534e+09,9.37e+08,2.597e+09,4.8704e+10,1.757e+09,3.439e+09,1.1682e+10,1.146e+09,9.119e+09,1.417e+09,1.6878e+10,6.5582e+10,3.5246e+10,1.59e+08,3.5087e+10,3.5246e+10,2.872e+09,2.872e+09,1.1809e+10,4.7055e+10,1.6248e+10,1.0809e+10,-3.32e+08,1.8483e+10,1.8527e+10,6.5582e+10,1.021e+09,2.98e+08,4.74e+08,-4.79e+08,1.314e+09,-2.41e+08,-3.549e+09,5.87e+08,-3.2e+09,0,-3.69e+08,1.275e+09,9.06e+08,-9.8e+08,-9.8e+08,9.8e+07,-8.82e+08,1.638e+09,8.937e+09,1.041e+09,0.617526608867533,0.24547,0.18703,0.05511,0.01557,1.01959,1.38183,2.53981,0.13627,0.87042,0.85943,4.65388,15.75703,0.88747,0.03366,0.03432,-3.18742,-3.89627
"22","2021_Q1",252.514426229508,"Up",6.116e+09,-2.33e+09,3.786e+09,-2.413e+09,-1.174e+09,-540360825.187589,-511575552.890824,-7.32e+08,-5.07e+08,1.373e+09,8.96e+08,8.96e+08,2.269e+09,-4.1e+08,1.859e+09,-2.92e+08,1.567e+09,1.567e+09,1.567e+09,1.567e+09,1.3083e+10,4.794e+09,8.289e+09,3.346e+09,5.77e+08,2.769e+09,3.4566e+10,1.148e+09,3.3418e+10,5.0995e+10,1.807e+09,6.089e+09,1.1488e+10,1.048e+09,9.135e+09,1.305e+09,1.9384e+10,7.0379e+10,3.029e+09,2.52e+08,2.777e+09,3.8447e+10,2.93e+09,2.93e+09,1.1869e+10,5.0316e+10,1.6644e+10,1.2366e+10,-4.84e+08,2.0019e+10,2.0063e+10,7.0379e+10,1.567e+09,3.01e+08,-1.11e+09,9.54e+08,1.712e+09,-2.26e+08,-2.005e+09,-1.03e+09,-3.261e+09,-5.96046447753906e-08,-2e+08,2.524e+09,2.324e+09,7.75e+08,7.75e+08,1.43e+08,9.18e+08,1.674e+09,8.939e+09,2.694e+09,0.61903,0.22449,0.25621,0.0781,0.02227,1.71921,1.32637,2.5079,0.12701,1.33589,1.31681,5.21398,17.0665,2.29668,0.04907,0.08437,-2.47551,-3.01821
"23","2021_Q2",264.129682539683,"Up",6.033e+09,-2.275e+09,3.758e+09,-2.385e+09,-1.126e+09,-6.02e+08,-5.24e+08,-7.41e+08,-5.18e+08,1.373e+09,-1.7e+08,-1.7e+08,1.203e+09,-3.31e+08,8.72e+08,2.25e+08,1.097e+09,1.097e+09,1.097e+09,1.097e+09,1.3086e+10,5.717e+09,7.369e+09,3.405e+09,6.74e+08,2.731e+09,3.6941e+10,1.318e+09,3.5623e+10,5.3432e+10,1.806e+09,5.994e+09,1.1285e+10,9.38e+08,9.117e+09,1.23e+09,1.9085e+10,7.2517e+10,4.134e+10,1.91e+08,4.1149e+10,4.134e+10,2.794e+09,2.794e+09,1.1736e+10,5.3076e+10,1.6161e+10,1.3463e+10,-3.53e+08,1.9441e+10,1.9441e+10,7.2517e+10,1.097e+09,3e+08,8.12e+08,-4.51e+08,1.758e+09,-2.21e+08,-1.257e+09,-1.05e+08,-1.583e+09,84511107.669646,-1.321e+09,2.148e+09,8.27e+08,1.002e+09,1.002e+09,-4.2e+07,9.6e+08,1.673e+09,8.942e+09,7.76e+08,0.62291,0.22758,0.18183,0.05643,0.01513,0.70738,1.2925,2.73011,0.12331,0.93521,0.92185,5.14322,16.57374,0.66155,0.03519,0.02489,-2.47699,-3.01821
"24","2021_Q3",283.72109375,"Up",6.238e+09,-2.524e+09,3.714e+09,-2.417e+09,-1.15e+09,-6.28e+08,-5.22e+08,-7.46e+08,-5.21e+08,1.297e+09,2.29e+08,2.29e+08,1.526e+09,-1.7e+08,1.356e+09,-1.72e+08,1.184e+09,1.184e+09,1.184e+09,1.184e+09,1.2395e+10,5.745e+09,6.65e+09,3.976e+09,6.93e+08,3.283e+09,3.686e+10,1.19e+09,3.567e+10,5.3231e+10,1.848e+09,6.968e+09,1.1769e+10,9.2e+08,9.564e+09,1.285e+09,2.0585e+10,7.3816e+10,4.1268e+10,2.6e+08,4.1008e+10,4.1268e+10,2.698e+09,2.698e+09,1.1643e+10,5.2911e+10,1.658e+10,1.4647e+10,-2.92e+08,2.0905e+10,2.0905e+10,7.3816e+10,1.184e+09,3.16e+08,1.99e+08,-3.93e+08,1.306e+09,-2.46e+08,-3e+08,-83999999.9999999,-1.099e+09,29277271.5199913,-1.13e+08,-8.4e+07,-1.97e+08,9999999.99999976,9999999.99999976,8e+06,18000000.0000001,1.613e+09,8.945e+09,1.146e+09,0.59538,0.20792,0.1898,0.05664,0.01604,0.96791,1.28989,2.53102,0.12118,1.00938,0.99496,5.31799,17.82182,0.97698,0.03638,0.03521,-2.13887,-2.65998
"25","2021_Q4",216.3778125,"Down",6.182e+09,-2.564e+09,3.618e+09,-2.306e+09,-1.047e+09,-625346985.756526,-557956994.038947,-7.55e+08,-5.04e+08,1.312e+09,1.22e+08,1.22e+08,1.434e+09,-2.69e+08,1.165e+09,-7.8e+07,1.087e+09,1.087e+09,1.087e+09,1.087e+09,1.3292e+10,7.782e+09,5.51e+09,4.449e+09,7.36e+08,3.713e+09,3.6389e+10,1.285e+09,3.5104e+10,5.413e+10,1.9e+09,6.753e+09,1.1751e+10,8.08e+08,9.55e+09,1.393e+09,2.0404e+10,7.4534e+10,3.891e+09,1.86e+08,3.705e+09,4.1695e+10,2.8e+09,2.8e+09,1.0749e+10,5.2444e+10,1.686e+10,1.5734e+10,-1.24e+08,2.209e+10,2.209e+10,7.4534e+10,1.087e+09,3.23e+08,3.38e+08,-2.35e+08,1.513e+09,-2.25e+08,1.042e+09,-4.91e+08,3.26e+08,-62845200.389659,-3.49e+08,-4.67e+08,-8.16e+08,1.023e+09,1.023e+09,-7.2e+07,9.51e+08,1.635e+09,7.949e+09,1.253e+09,0.58525,0.21223,0.17583,0.04921,0.01458,1.15271,1.29824,2.37411,0.10665,0.92589,0.91575,5.26576,18.81601,1.06729,0.0331,0.03816,-3.26789,-4.07241
"26","2022_Q1",133.084677419355,"Down",6.918e+09,-2.952e+09,3.966e+09,-2.564e+09,-1.236e+09,-609066263.663244,-604199905.297512,-7.96e+08,-5.32e+08,1.402e+09,-3.44e+08,-3.44e+08,1.058e+09,-3.52e+08,7.06e+08,9.5e+07,8.01e+08,8.01e+08,8.01e+08,8.01e+08,9.5e+09,5.197e+09,4.303e+09,5.646e+09,5.646e+09,4553018975.21398,3.7428e+10,1.287e+09,3.6141e+10,5.2574e+10,1.909e+09,6.797e+09,1.4523e+10,1.332e+09,1.1454e+10,1.737e+09,2.3229e+10,7.5803e+10,4.188e+09,1.97e+08,3.755e+09,4.3029e+10,2.998e+09,2.998e+09,1.1047e+10,5.4076e+10,1.7208e+10,1.6535e+10,-1.36e+08,2.1727e+10,2.1727e+10,7.5803e+10,8.01e+08,3.26e+08,-5.19e+08,6.12e+08,1.22e+09,-2.11e+08,9.7e+07,-3.85e+08,-2.793e+09,-88999999.9999999,-1.428e+09,1.146e+09,-3.71e+08,-1.944e+09,-1.944e+09,4000000.00000001,-1.94e+09,1.728e+09,8.049e+09,2.034e+09,0.57329,0.20266,0.11578,0.03687,0.01057,2.53933,1.22183,2.48888,0.10618,0.68228,0.67481,5.89267,18.50681,1.73254,0.02444,0.06206,-0.8397,-1.03495
"27","2022_Q2",86.7525806451613,"Down",6.483e+09,-2.817e+09,3.666e+09,-2.55e+09,-1.201e+09,-5.94e+08,-6.07e+08,-8.15e+08,-5.34e+08,1.116e+09,-8.2e+07,-8.2e+07,1.034e+09,-4.05e+08,6.29e+08,-1.2e+08,5.09e+08,5.09e+08,5.09e+08,5.09e+08,7.965e+09,4.861e+09,3.104e+09,6.073e+09,8.5e+08,5.223e+09,3.8344e+10,1.298e+09,3.7046e+10,5.2382e+10,1.861e+09,7.145e+09,1.4417e+10,1.185e+09,1.137e+10,1.862e+09,2.3423e+10,7.5805e+10,4.221e+09,1.4e+08,4.081e+09,4.3967e+10,3.013e+09,3.013e+09,1.1235e+10,5.5202e+10,1.7383e+10,1.7044e+10,-1.3824e+10,2.0603e+10,2.0603e+10,7.5805e+10,5.09e+08,3.28e+08,8.42e+08,-4.37e+08,1.242e+09,-1.88e+08,1.47e+08,-7.1e+08,-7.51e+08,1.82e+08,-1.497e+09,6.2e+08,-6.95e+08,-2.04e+08,-2.04e+08,1.8e+07,-1.86e+08,1.444e+09,8.222e+09,9.39e+08,0.56548,0.17214,0.07851,0.02471,0.00671,1.84479,1.19139,2.67932,0.10846,0.43356,0.42881,5.52215,17.5494,0.79983,0.01599,0.02949,0.17798,0.23029
"28","2022_Q3",88.6728125,"Up",6.806e+09,-3.044e+09,3.762e+09,-2.46e+09,-1.109e+09,-5.95e+08,-5.14e+08,-8.15e+08,-5.36e+08,1.302e+09,-7.15e+08,-7.15e+08,5.87e+08,-5.38e+08,4.9e+07,-3.9e+08,-3.41e+08,-3.41e+08,-3.41e+08,-3.41e+08,9.306e+09,4.583e+09,4.723e+09,6.616e+09,8.67e+08,5.749e+09,3.933e+10,2.109e+09,3.7221e+10,5.5252e+10,1.832e+09,6.27e+09,1.4456e+10,1.001e+09,1.1146e+10,2.309e+09,2.2558e+10,7.781e+10,4.874e+09,1.56e+08,4.718e+09,4.5095e+10,2.75e+09,2.75e+09,1.2948e+10,5.8043e+10,1.7758e+10,1.6703e+10,-5.64e+08,1.9767e+10,1.9767e+10,7.781e+10,-3.41e+08,3.33e+08,1.239e+09,2.35e+08,1.466e+09,-1.73e+08,-2.211e+09,-1.532e+09,-3.916e+09,1.42e+09,-6.67e+08,6.92e+08,1.445e+09,-1.005e+09,-1.005e+09,-1.54e+08,-1.159e+09,1.635e+09,1.0198e+10,2.087e+09,0.55275,0.1913,-0.0501,-0.01725,-0.00438,-6.12023,1.22524,2.93636,0.13106,-0.29046,-0.28728,5.79727,16.83731,1.77768,-0.01042,0.06379,0.54557,0.6851
