"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda"
"1","2012_Q1",20.59,"Up",4.84e+08,-1.34e+08,3.5e+08,-3.07e+08,-2.03e+08,-1.04e+08,4.3e+07,4.3e+07,-1.6e+07,2.7e+07,-1.9e+07,8e+06,8e+06,8e+06,8e+06,1.1e+08,1.1e+08,9.59e+08,1.85e+08,1.85e+08,2.403e+09,2.85e+08,1.57e+08,1.57e+08,4.42e+08,2.845e+09,3.21e+08,1.45e+08,1.76e+08,3.75e+08,3.47e+08,6.96e+08,8.5e+08,1.65e+08,1.015e+09,1.711e+09,1.9e+07,1.134e+09,1.134e+09,2.845e+09,8e+06,1e+07,-5.3e+07,1.08e+08,7.3e+07,1.4e+07,-1.5e+07,-1e+06,1.6e+07,-3e+06,1.3e+07,8.5e+07,8.5e+07,8.5e+07,5.3e+07,8.5e+08,1.94e+08,0.72314,0.08884,0.01653,0.00705,0.00281,24.25,3.45259,1.50882,0.29877,0.23739,0.23739,14.36202,33.64985,5.75668,0.00372,0.09027,13.96226
"2","2012_Q2",25.9604761904762,"Up",3.76e+08,-9.8e+07,2.78e+08,-2.46e+08,-1.41e+08,-1.05e+08,3.2e+07,3.2e+07,-1.5e+07,1.7e+07,-8e+06,9e+06,9e+06,9e+06,9e+06,7.7e+07,7.7e+07,9.32e+08,1.69e+08,1.69e+08,2.288e+09,2.82e+08,1.51e+08,1.51e+08,4.33e+08,2.721e+09,2.62e+08,8.9e+07,1.73e+08,3.8e+08,3.53e+08,6.42e+08,7.74e+08,1.57e+08,9.31e+08,1.573e+09,2.3e+07,1.148e+09,1.148e+09,2.721e+09,9e+06,7e+06,-3.7e+07,4.6e+07,2.5e+07,-3e+06,2.2e+07,1.9e+07,-7.6e+07,-3e+06,-7.7e+07,-3.3e+07,-3.3e+07,-3.3e+07,3.9e+07,7.74e+08,9e+07,0.73936,0.08511,0.02394,0.00784,0.00331,9.99999999999999,3.56386,1.37021,0.28445,0.26471,0.2521,11.05882,33.76471,2.64706,0.00433,0.04329,17.87179
"3","2012_Q3",28.5949206349206,"Up",3.81e+08,-1.05e+08,2.76e+08,-2.5e+08,-1.5e+08,-1e+08,2.6e+07,2.6e+07,-1.8e+07,8e+06,-4e+06,4e+06,4e+06,4e+06,4e+06,8.3e+07,8.3e+07,9.07e+08,1.73e+08,1.73e+08,2.239e+09,2.75e+08,1.33e+08,1.33e+08,4.08e+08,2.647e+09,2.67e+08,8.1e+07,1.86e+08,3.66e+08,3.31e+08,6.33e+08,7.14e+08,1.46e+08,8.6e+08,1.493e+09,1.7e+07,1.154e+09,1.154e+09,2.647e+09,4e+06,7e+06,-4.8e+07,1.18e+08,8.1e+07,-1e+06,-1.3e+07,-1.4e+07,-6e+07,0,-5.9e+07,8e+06,8e+06,6e+06,3.3e+07,7.14e+08,1.54e+08,0.72441,0.06824,0.0105,0.00347,0.00151,38.5,3.53712,1.29376,0.26974,0.11628,0.1108,11.07558,33.54651,4.47674,0.00199,0.07646,19.12121
"4","2012_Q4",35.1308064516129,"Up",3.83e+08,-9.4e+07,2.89e+08,-2.55e+08,-1.57e+08,-9.8e+07,3.4e+07,2.2e+07,-6e+06,1.6e+07,-1.1e+07,5e+06,5e+06,5e+06,5e+06,2.12e+08,2.12e+08,8.97e+08,1.93e+08,1.93e+08,2.367e+09,2.72e+08,1.07e+08,1.07e+08,3.79e+08,2.746e+09,2.98e+08,7.9e+07,2.19e+08,3.51e+08,3.02e+08,6.49e+08,7.93e+08,1.52e+08,9.45e+08,1.594e+09,1.8e+07,1.152e+09,1.152e+09,2.746e+09,5000000.00000001,7e+06,-6.1e+07,1.01e+08,5.2e+07,-4e+06,7.45058059692383e-09,-4e+06,7.9e+07,0,8e+07,1.28e+08,1.28e+08,1.29e+08,4.1e+07,7.93e+08,1.49e+08,0.75457,0.08877,0.01305,0.00434000000000001,0.00182,29.8,3.64715,1.38368,0.28878,0.1462,0.13812,11.19883,33.68421,4.35673,0.00238,0.07105,14.17073
"5","2013_Q1",38.9033333333333,"Up",4.84e+08,-1.68e+08,3.16e+08,-2.57e+08,-1.94e+08,-6.3e+07,5.9e+07,7.1e+07,-3.29e+08,-2.58e+08,6.8e+07,-1.9e+08,-1.9e+08,-1.9e+08,-1.9e+08,1.03e+08,1.03e+08,8.88e+08,1.68e+08,1.68e+08,2.215e+09,2.61e+08,1.37e+08,1.37e+08,3.98e+08,2.613e+09,3.76e+08,1.13e+08,2.63e+08,2.93e+08,2.61e+08,6.69e+08,6.78e+08,1.27e+08,8.05e+08,1.474e+09,2.1e+07,1.139e+09,1.139e+09,2.613e+09,-1.9e+08,1.2e+07,1.97e+08,1.44e+08,1.63e+08,1.2e+07,-4e+06,8e+06,-1.15e+08,-7.1e+07,-1.9e+08,-1.9e+07,-1.9e+07,-1.8e+07,7.1e+07,6.78e+08,1.59e+08,0.65289,0.1219,-0.39256,-0.16681,-0.07271,-0.83684,3.31091,1.29412,0.25947,-5.42857,-5.16304,13.82857,32.54286,4.54286,-0.09774,0.08179,8.09859
"6","2013_Q2",39.25140625,"Up",3.89e+08,-9.1e+07,2.98e+08,-2.59e+08,-1.51e+08,-1.08e+08,3.9e+07,3.9e+07,-1e+07,28999999.9999999,-1.1e+07,17999999.9999999,17999999.9999999,1.8e+07,1.8e+07,1.19e+08,1.19e+08,8.73e+08,1.57e+08,1.57e+08,2.165e+09,2.56e+08,1.48e+08,1.48e+08,4.04e+08,2.569e+09,3.22e+08,8.1e+07,2.41e+08,2.74e+08,2.53e+08,5.96e+08,6.86e+08,1.19e+08,8.05e+08,1.401e+09,2e+07,1.168e+09,1.168e+09,2.569e+09,1.8e+07,6e+06,-3.4e+07,-1e+06,-1.1e+07,0,2.2e+07,2.2e+07,8e+06,-3999999.99999999,5000000.00000003,1.6e+07,1.6e+07,1.6e+07,4.5e+07,6.86e+08,5.5e+07,0.76607,0.10026,0.0462700000000001,0.01541,0.00701,3.05556,3.63255,1.19949,0.26703,0.511360000000002,0.491800000000001,11.05114,33.18182,1.5625,0.00912,0.02788,12.6
"7","2013_Q3",39.72765625,"Up",4.22e+08,-1.08e+08,3.14e+08,-2.55e+08,-1.52e+08,-1.03e+08,5.9e+07,5.9e+07,-1.4e+07,4.5e+07,-1.4e+07,3.1e+07,3.1e+07,3.1e+07,3.1e+07,1.04e+08,1.04e+08,8.69e+08,1.65e+08,1.65e+08,2.126e+09,2.52e+08,1.33e+08,1.33e+08,3.85e+08,2.511e+09,3.07e+08,8.1e+07,2.26e+08,2.49e+08,2.28e+08,5.56e+08,6.47e+08,1.18e+08,7.65e+08,1.321e+09,2e+07,1.19e+09,1.19e+09,2.511e+09,3.1e+07,5e+06,-4e+07,4.9e+07,4.5e+07,-4e+06,-1.8e+07,-2.2e+07,-3.9e+07,0,-3.8e+07,-1.5e+07,-1.5e+07,-1.5e+07,6.4e+07,6.47e+08,1.23e+08,0.74408,0.13981,0.07346,0.02605,0.01235,3.96774,3.82374,1.11008,0.25767,0.87571,0.84699,11.9209,33.61582,3.47458,0.01586,0.06292,8.48438
"8","2013_Q4",44.7903125,"Up",4.12e+08,-1.06e+08,3.06e+08,-2.53e+08,-1.52e+08,-1.01e+08,5.3e+07,4.4e+07,-4e+06,4e+07,-1.5e+07,2.5e+07,2.5e+07,2.5e+07,2.5e+07,2.88e+08,2.88e+08,8.59e+08,1.82e+08,1.82e+08,2.307e+09,2.5e+08,1.03e+08,1.03e+08,3.53e+08,2.66e+09,3.23e+08,9.4e+07,2.29e+08,2.25e+08,2.06e+08,5.48e+08,7.51e+08,1.43e+08,8.94e+08,1.442e+09,2e+07,1.218e+09,1.218e+09,2.66e+09,2.5e+07,5e+06,-3.1e+07,9e+07,8.9e+07,-4e+06,7.45058059692383e-09,-4e+06,1.04e+08,-5e+06,9.9e+07,1.84e+08,1.84e+08,1.84e+08,5.8e+07,7.51e+08,1.59e+08,0.74272,0.12864,0.06068,0.02053,0.0094,6.36,4.20985,1.18391,0.28233,0.70225,0.68306,11.57303,34.21348,4.46629,0.01184,0.07528,7.98275999999999
"9","2014_Q1",46.0714754098361,"Up",4.16e+08,-1.37e+08,2.79e+08,-2.96e+08,-1.85e+08,-1.11e+08,-1.7e+07,-2.5e+07,-5.9e+07,-8.4e+07,1.6e+07,-6.7e+07,-6.7e+07,-6.7e+07,-6.7e+07,1.03e+08,1.03e+08,8.88e+08,1.68e+08,1.68e+08,2.215e+09,2.61e+08,1.37e+08,1.37e+08,3.98e+08,2.613e+09,3.76e+08,1.13e+08,2.63e+08,2.93e+08,2.61e+08,6.69e+08,6.78e+08,1.27e+08,8.05e+08,1.474e+09,2.1e+07,1.139e+09,1.139e+09,2.613e+09,-6.7e+07,1.4e+07,-1.53e+08,2.46e+08,4e+07,-1e+06,8e+06,7e+06,-2.46e+08,1e+06,-2.38e+08,-1.91e+08,-1.91e+08,-1.92e+08,-3e+06,6.78e+08,2.26e+08,0.67067,-0.04087,-0.16106,-0.05882,-0.02564,-3.37313,3.31091,1.29412,0.25947,-1.89845,-1.82641,11.78737,32.2736,6.40372,-0.03447,0.11626,-191.66667
"10","2014_Q2",49.9057142857143,"Up",3.9e+08,-9.2e+07,2.98e+08,-2.58e+08,-1.51e+08,-1.07e+08,4e+07,3.7e+07,-7e+06,3e+07,-1.1e+07,1.9e+07,1.9e+07,1.9e+07,1.9e+07,71078788.4690202,71078788.4690202,877745549.916385,192096079.326095,192096079.326095,2160604183.87212,253926227.096063,154251129.823547,154251250.517884,408177356.919611,2568781540.79173,396241020.7754,108562687.867786,287678332.907614,281632206.686977,252675736.203063,677874849.316305,620508239.511801,129189655.548532,749697895.060333,1427572744.37664,21941388.4706398,1141208797.3463,1141208796.42339,2568781540.80003,1.9e+07,6e+06,-3.4e+07,-2e+06,-1.1e+07,0,2.2e+07,2.2e+07,8e+06,-4e+06,5e+06,1.6e+07,1.6e+07,1.6e+07,4.6e+07,0,5.5e+07,0.7641,0.10256,0.04872,-0.0351584164380046,-0.0150463983634776,2.89474,3.13427434758281,1.25302016486344,0.241885509603169,0.5448,0.52951,11.1828,33.8733967285678,1.57706,-0.0171339087027142,0.095537902608471,-142.610997817167
