"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",297.76171875,"Up",24225000,-22900000,1325000,-25185000,-10483000,-14702000,-23860000,3252000,178000,-524000,3074000,-20608000,-20608000,0,-20608000,-20608000,-20131000,-62140000,2.71e+08,107378000,4361000,4361000,3541000,2545000,2545000,281447000,48767000,34899000,34899000,83666000,365113000,20979000,6644000,14335000,3640000,565000,565000,25184000,18818000,3797000,2526000,22615000,47799000,491468000,-176675000,2506000,317299000,15000,317314000,365113000,-20608000,1879000,123000,4377000,-1279000,-813000,3677000,2792000,-14229000,-5800000,-66620000,-1880000,75364000,75364000,1445000,74929000,-5920000,-5920000,1056000,-4864000,-21981000,22458000,0.0547,-0.98493,-2.56512,-0.19583,-0.17019,11.17563,0.15064,0.06151,-12.70869,-12.70869,4.95443,64.89306,-0.18087,11.30713,10.41668
"2","2011_Q1",463.920967741935,"Up",29729000,-27483000,2246000,-27964000,-11008000,-16956000,-25718000,-1999000,117000,-159000,-2116000,-27717000,-25656000,0,-25656000,-25656000,-25643000,-25643000,257933000,143060000,5215000,5215000,4006000,2905000,2905000,270059000,54847000,32547000,32547000,87394000,357453000,21911000,7116000,14795000,4765000,565000,565000,27241000,19011000,3653000,2523000,22664000,49905000,506992000,-202318000,2872000,307546000,2000,307548000,357453000,-25656000,1980000,4411000,-2498000,-576000,-465000,-933999.999999996,-523000,-21763000,-5104000,47492000,-1070000,10829000,10829000,0,9759000,35488000,35488000,194000,35682000,-23738000,23776000,0.07555,-0.86508,-0.86256,-0.08338,-0.07174,9.9137,0.16227,0.06652,-5.24443,-5.24443,6.08009,62.8984,-0.07655,9.86423,9.10479
"3","2011_Q2",416.12619047619,"Down",37174000,-34382000,2792000,-35714000,-15978000,-19736000,-32922000,-225000,-276000,-577000,51000,-33147000,-33147000,0,-33147000,-33147000,-33137000,-33137000,227176000,165776000,5417000,5417000,8724000,5649000,5649000,246966000,74065000,29403000,29403000,103468000,350434000,38022000,18324000,19698000,4499000,565000,565000,43086000,23014000,3530000,2542000,26544000,69630000,512504000,-235455000,3417000,280466000,338000,280804000,350434000,-33147000,2105000,4847000,6624000,305000,-5072000,6188000,5203000,-19571000,-14413000,39164000,3409000,122000,122000,-494000,3037000,22630000,22630000,86000,22716000,-30817000,27513000,0.07511,-0.88562,-0.8914,-0.11801,-0.09456,5.73193,0.24797,0.07851,-6.77708,-6.77708,7.60272,57.36008,-0.10626,6.47899,6.06473
"4","2011_Q3",325.79296875,"Down",32002000,-29136000,2866000,-45694000,-22249000,-23445000,-42828000,-165000,35999.9999999999,-304000,-201000,-42993000,-42993000,0,-42818000,-42818000,-42615000,-42615000,186970000,152169000,5967000,5967000,6874000,5207000,5207000,205018000,92618000,27025000,27025000,119643000,324661000,42576000,12236000,30340000,5317000,591000,591000,48484000,22609000,3032000,2185000,25641000,74125000,523280000,-278070000,5191000,250401000,135000,250536000,324661000,-42818000,2726000,7644000,4175000,-1057000,2233000,-135000,3134000,-28273000,-16066000,11111000,-803000,4162000,4162000,-2000,3357000,-13805000,-13805000,198000,-13607000,-40102000,27926000,0.08956,-1.33829,-1.33164,-0.1701,-0.13126,4.22857,0.29587,0.08602,-8.71549,-8.71549,6.54496,51.21128,-0.15139,3.96599,3.71355
"5","2011_Q4",207.369047619048,"Down",36276000,-35729000,547000,-44615000,-21174000,-23441000,-44068000,628000,318000,-291000,310000,-43440000,-43440000,0,-43914000,-43914000,-43690000,-43690000,123794000,106142000,4982000,4982000,8492000,9432000,9432000,146700000,115850000,38752000,38752000,154602000,301302000,55579000,25246000,30333000,5267000,2044000,2044000,62890000,21165000,13672000,9434000,34837000,97727000,530852000,-321760000,-5451000,203641000,-66000,203575000,301302000,-43914000,2897000,6896000,16197000,986000,-1784000,4940000,12055000,-17924000,-40769000,-26639000,-1055000,703000,703000,-1000,-353000,-44916000,-44916000,-1111000,-46027000,-41171000,26432000,0.01508,-1.2148,-1.20438,-0.21461,-0.145,2.33264,0.48005,0.08773,-8.93535,-8.93535,7.41906,41.64806,-0.17929,2.36482,2.20936
"6","2012_Q1",116.149516129032,"Down",41539000,-56368000,-14829000,-44525000,-23830000,-20695000,-59354000,-25000,-78999.9999999999,-371000,53999.9999999999,-59379000,-59379000,-5.55111512312578e-17,-59632000,-59632000,-59428000,-59428000,103592000,95703000,6936000,6936000,9070000,19873000,19873000,139471000,128101000,52539000,43001000,180640000,320111000,57361000,26379000,30982000,31766000,3139000,3139000,92266000,25851000,41182000,37085000,67033000,159299000,548164000,-381188000,-5924000,161052000,-240000,160812000,320111000,-59632000,3349000,7072000,22483000,-2209000,-704000.000000001,4655000,20741000,-26728000,-25776000,-17783000,28553000,3458000,3458000,3e+06,35011000,-9500000,-9500000,-939000,-10439000,-56005000,57617000,-0.35699,-1.42887,-1.43066,-0.36955,-0.18565,1.51162,0.99059,0.17999,-12.15404,-12.15404,8.49543,32.93788,-0.22891,0.82091,0.77459
"7","2012_Q2",44.8296825396825,"Down",29469000,-43811000,-14342000,-43059000,-21715000,-21344000,-57401000,-599000,-448000,-1054000,-151000,-5.8e+07,-94652000,0,-94896000,-94896000,-94548000,-94548000,103477000,103417000,4707000,4707000,8921000,9059000,9059000,126164000,150702000,45242000,35801000,195944000,322108000,56870000,26010000,30860000,32275000,3411000,3411000,92556000,49090000,48067000,43980000,97157000,189713000,613172000,-475736000,-4540000,132896000,-501000,132395000,322108000,-94896000,3687000,43288000,-13935000,2227000,-65000,-2417000,-13680000,-61856000,-21777000,-13566000,23208000,58699000,58699000,19744038.7719609,81907000,6485000,6485000,1229000,7714000,-53714000,81365000,-0.48668,-1.94784,-3.20839,-0.71414,-0.29353,1.36311,1.43293,0.2526,-19.33668,-19.33668,6.02691,27.1795,-0.36111,0.41166,0.38522
"8","2012_Q3",53.7285714285714,"Up",19263000,-23636000,-4373000,-40731000,-22231000,-18500000,-45104000,-1782000,-757000,-1260000,-1025000,-46886000,-46886000,-4.44089209850063e-16,-47135000,-47135000,-46806000,-46806000,67119000,67064000,3461000,3461000,8764000,10086000,10086000,89430000,158637000,47016000,37671000,205653000,295083000,46003000,20841000,25162000,47273000,3019000,3019000,96295000,46705000,60799000,56853000,107504000,203799000,626603000,-522542000,-12028000,92033000,-749000,91284000,295083000,-47135000,3820000,10616000,2944999.99999999,994000,195000,-6657000,8413000,-29754000,-23588000,-24542000,15914000,4370000.00000001,4370000.00000001,35899841.4887239,20284000,-34012000,-34012000,-2341000,-36353000,-41284000,93978000,-0.22702,-2.34148,-2.42984,-0.51275,-0.15862,0.92871,2.23258,0.31848,-9.57263,-9.57263,3.93961,18.82232,-0.19022,-0.65059,-0.59549
"9","2012_Q4",41.7629032258065,"Down",19108000,-4444000,14664000,-33091000,-17355000,-15736000,-18427000,-263000,-927000,-1224000,664000,-18690000,-20128000,0,-20388000,-20388000,-20293000,-20293000,44429000,44373000,3807000,3807000,8311000,9995000,9995000,66542000,164703000,30335000,21087000,195038000,261580000,42435000,18374000,24061000,3992000,1532000,1532000,47959000,113670000,23289000,18893000,136959000,184918000,632779000,-542835000,-12479000,77465000,-803000,76662000,261580000,-20388000,3179000,6818000,-17692000,-357000,482000,-2126000,-15691000,-28083000,-5541000,-5543000,-18520000,117000,117000,3e+07,11597000,-22029000,-22029000,-662000,-22691000,-15248000,117662000,0.76743,-0.96436,-1.06202,-0.26471,-0.07758,1.38748,2.41212,0.44981,-4.15026,-4.15026,3.90791,15.84291,-0.09325,-4.80279,-3.97422
"10","2013_Q1",48.22,"Up",5854000,-5423000,431000,-35467000,-17417000,-18050000,-35036000,-1456000,-1322000,-1388000,-134000,-36492000,-43386000,0,-43614000,-43614000,-43492000,-43492000,30689000,30592000,3846000,3846000,6034000,8925000,8925000,49494000,163121000,30219000,21067000,193340000,242834000,39802000,15392000,24410000,4691000,1333000,1333000,45826000,110591000,20188000,6672000,130779000,176605000,666240000,-586327000,-12807000,67106000,-877000,66229000,242834000,-43614000,3884000,13364000,-4813000,-27000,2307000,-611000,-6482000,-31179000,-5952000,-5993000,1942000,22975000,22975000,-588000,24329000,-12843000,-12843000,-938000,-13781000,-31152000,115282000,0.07362,-5.98497,-7.42945,-0.65669,-0.1791,1.08004,2.66658,0.47474,-8.89486,-8.89486,1.19724,13.72432,-0.21563,-2.71549,-2.41446
