"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q4",2.68968253968254,"Down",52956000,-10422000,42534000,-27483000,-20191000,-7292000,15051000,-1434000,-1347000,-87000,13617000,8964000,-5320000,3644000,3644000,3644000,3644000,123968000,123968000,274008000,274008000,5536000,5536000,403512000,10545000,5663000,1171000,4492000,16208000,419720000,220201000,206194000,14007000,220922000,1732000,1732000,53064000,273986000,170832000,-25098000,145734000,145734000,419720000,3644000,959000,5508000,6230000,16341000,-2184000,-2184000,248000,248000,-976000,72201000,86358000,86358000,86358000,16010000,52053000,25376000,0.8032,0.28422,0.06881,0.025,0.00868,6.96378,1.82649,1.88004,0.12402,0.02885,0.02135,0.41932,1.15396,0.20093,0.01826,0.12719,-4.49188,-4.77809
"2","2017_Q1",3.42258064516129,"Up",72410000,-13259000,59151000,-35114000,-25495000,-9619000,24037000,-1073000,-411000,-662000,22964000,22964000,-12684000,10280000,10280000,10280000,10280000,133400000,133400000,377240000,377240000,5763000,5763000,516403000,14779000,6414000,1778000,4636000,21193000,537596000,344136000,321163000,22973000,344136000,3233000,3233000,29080000,373216000,179198000,-14818000,164380000,164380000,537596000,10280000,1186000,5641000,18937000,36044000,-3909000,-3909000,4279000,4279000,-1758000,-22703000,9432000,9432000,9432000,25223000,25847000,52935000,0.81689,0.33196,0.14197,0.06254,0.01912,5.14932,1.50058,2.27045,0.04808,0.02653,0.02996,0.18687,0.42422,0.13661,0.05314,0.27362,-4.26408,-4.47447999999999
"3","2017_Q2",4.57238095238095,"Up",53352000,-12549000,40803000,-38867000,-28406000,-10461000,1936000,-792000,-364000,-428000,1144000,1144000,3765000,4909000,4909000,4909000,4909000,106573000,106573000,315283000,315283000,10825000,10825000,432681000,16057000,6529000,1778000,4751000,22586000,455267000,252895000,231524000,21371000,252895000,4594000,4594000,30441000,283336000,181840000,-9909000,171931000,171931000,455267000,4909000,1493000,5395000,-34537000,-22740000,-4249000,-4249000,275000,275000,-1114926.52185422,162000,-26827000,-26827000,-26827000,3429000,25847000,-39122000,0.76479,0.03629,0.09201,0.02855,0.01078,-7.96944,1.71091,1.64796,0.05677,0.01253,0.01127,0.13622,0.43897,-0.09989,0.02426,-0.19332,-23.54214,-41.69731
"4","2017_Q3",5.40444444444444,"Up",72804000,-15151000,57653000,-37959000,-25824000,-12135000,19694000,-1303000,-413000,-890000,18391000,18391000,458000,18849000,18849000,18849000,18849000,115859000,115859000,382209000,382209000,17250000,17250000,515318000,17144000,8796000,1778000,7018000,25940000,541258000,311509000,290399000,21110000,311509000,4520000,4520000,31520000,343029000,189289000,8940000,198229000,198229000,541258000,18849000,1696000,3610000,-13386000,10769000,-4269000,-4269000,3143000,3143000,-149000,2786000,9286000,9286000,9286000,21390000,2.7e+07,3277000,0.79189,0.27051,0.2589,0.09509,0.03482,0.173860000000002,1.65426,1.73047,0.04988,0.04707,0.04289,0.1818,0.495,0.00817999999999997,0.08204,0.01426,-4.15423,-4.51198
"5","2017_Q4",5.52142857142857,"Up",79413000,-17397000,62016000,-43608000,-30427000,-13181000,18408000,-2354000,-513000,-1841000,16054000,16054000,-5825000,10229000,10229000,10229000,10229000,132798000,132798000,470452000,470452000,12712000,12712000,615962000,17396000,9273000,1778000,7495000,26669000,642631000,395937000,370532000,25405000,395937000,4435000,4435000,31435000,427372000,196090000,19169000,215259000,215259000,642631000,10229000,1968000,6032000,773000,19002000,-2318000,-2318000,644000,644000,-33000,255000,16939000,16939000,16939000,20376000,2.7e+07,24656000,0.78093,0.2318,0.12881,0.04752,0.01592,2.4104,1.55571,1.98539,0.04201,0.02513,0.02312,0.19512,0.52889,0.06058,0.04146,0.09995,-5.19229,-5.74739
"6","2018_Q1",5.12229508196721,"Down",102648000,-21133000,81515000,-52197000,-35168000,-17029000,29318000,-1282000,-408000,-874000,28036000,28036000,-11225000,16811000,16811000,16811000,16811000,155950000,155950000,599565000,599565000,10298000,10298000,765813000,17405000,13946000,3359000,10587000,31351000,797164000,518532000,490377000,28155000,518532000,6049000,6049000,33049000,551581000,209603000,35980000,245583000,245583000,797164000,16811000,2052000,7685000,-2355000,24193000,-2228000,-5228000,5500000,5500000,-989000,4187000,23152000,23152000,23152000,31370000,2.7e+07,38012000,0.79412,0.28562,0.16377,0.06845,0.02109,2.26114,1.47689,2.24601,0.03387,0.04087,0.0378,0.24954,0.59702,0.09241,0.06033,0.13642,-4.11062,-4.39832
"7","2018_Q2",7.0453125,"Up",85668000,-22897000,62771000,-52841000,-35140000,-17701000,9930000,-7e+05,-156000,-544000,9230000,9230000,-160000,9070000,9070000,9070000,9070000,138952000,138952000,556733000,556733000,10837000,10837000,706522000,18046000,14488000,3359000,11129000,32534000,739056000,469741000,440684000,29057000,469741000,6384000,6384000,6384000,476125000,217881000,45050000,262931000,262931000,739056000,9070000,2251000,7642000,-7156000,11807000,-2656000,-2656000,1212000,1212000,-361000,-26149000,-16998000,-16998000,-16998000,12181000,0,2529000,0.73272,0.11591,0.10587,0.0345,0.01227,0.27883,1.50407,1.81084,0,0.02179,0.02036,0.20579,0.63161,0.00608,0.03368,0.00939,-11.40727,-13.99315
"8","2018_Q3",11.8603174603175,"Up",112333000,-26601000,85732000,-59570000,-40086000,-19484000,26162000,-1064000,32000,-1096000,25098000,25098000,-5755000,19343000,19343000,19343000,19343000,141681000,141681000,645555000,645555000,13170000,13170000,800406000,23031000,15968000,3359000,12609000,38999000,839405000,531584000,503208000,28376000,531584000,6847000,6847000,6847000,538431000,236581000,64393000,300974000,300974000,839405000,19343000,2579000,12863000,-34183000,602000.000000002,-6701000,-6701000,9011000,9011000,-183000,8828000.00000001,2729000,2729000,2729000,28741000,0,-6388000,0.7632,0.2329,0.17219,0.06427,0.02304,-0.33025,1.5057,1.78896,0,0.04586,0.04275,0.26636,0.71365,-0.01515,0.06284,-0.02075,-4.92958,-5.41553
"9","2018_Q4",12.5157142857143,"Up",118825000,-29344000,89481000,-67218000,-44597000,-22621000,22263000,-158000,237000,-395000,22105000,22105000,-1813000,20292000,20292000,20292000,20292000,166349000,166349000,640098000,640098000,18614000,18614000,825061000,29402000,19250000,3359000,15891000,48652000,873713000,529211000,493284000,35927000,529211000,7488000,7488000,7488000,536699000,252329000,84685000,337014000,337014000,873713000,20292000,3277000,11576000,-9009000,26136000,-5366000,-5366000,3956000,3956000,-58000,3898000,24668000,24668000,24668000,25540000,0,12978000,0.75305,0.18736,0.17077,0.06021,0.02323,0.63956,1.55904,1.59251,0,0.0475,0.04357,0.27814,0.78887,0.03038,0.0589,0.03767,-6.51327,-7.47199
"10","2019_Q1",16.3839344262295,"Up",160468000,-35256000,125212000,-76244000,-52158000,-24086000,48968000,336000,220000,116000,49304000,49304000,-9869000,39435000,39435000,39435000,39435000,207232000,207232000,834764000,834764000,14527000,14527000,1056523000,33046000,28303000,8460000,19843000,61349000,1117872000,713991000,669147000,44844000,713991000,9314000,9314000,9314000,723305000,270447000,124120000,394567000,394567000,1117872000,39435000,3715000,10048000,-5140000,48058000,-10468000,-10468000,9647000,9647000,-6354000,3293000,40883000,40883000,40883000,52683000,0,46944000,0.78029,0.30516,0.24575,0.09995,0.03528,1.19041,1.47974,1.83316,0,0.09119,0.08424,0.37108,0.91242,0.10856,0.09764,0.11623,-3.93356,-4.23199
