"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q3",15.7369841269841,"Up",128833000,-41301000,87532000,-74721000,-14460000,-4377000,-55884000,12811000,-6329000,-6329000,6482000,39000,6521000,-2600000,3921000,3921000,3921000,3921000,2733000,2733000,6202000,6202000,2124000,6846000,5016000,17905000,120672000,147384000,123484000,9288000,268056000,285961000,27090000,6124000,13934000,61000,5454000,5454000,32605000,203943000,46854000,46854000,250797000,283402000,8747000,-6188000,2559000,2559000,285961000,3921000,4377000,-510000,4687000,12475000,-8881000,-8881000,0,-8881000,667000,-5588000,-1994000,-1994000,-1994000,17188000,204004000,15594000,0.67942,0.09944,0.03043,1.53224,0.01371,3.97705,0.54915,110.74717,0.7134,0.1712,0.1712,5.62517,0.11173,0.68087,0.01547,11.70997,15.7108
"2","2012_Q4",14.4608064516129,"Down",128173000,-41021000,87152000,-76286000,-14955000,-4486000,-56845000,10866000,-5036000,-5036000,5830000,45000.0000000001,5875000,-2226000,3649000,3649000,3649000,3649000,3098000,3098000,7042000,7042000,2173000,6551000,4813000,18864000,124892000,145917000,123484000,9297000,270809000,289673000,26853000,6970000,17293000,61000,5059000,5059000,31973000,203929000,47184000,47184000,251113000,283086000,9126000,-2539000,6587000,6587000,289673000,3649000,4486000,1410000,-120000.000000004,9425000,-11446000,-11446000,2425000,-9021000,-16000,-39000,365000.000000004,365000.000000004,365000.000000004,15352000,203990000,6012000,0.67996,0.08478,0.02847,0.55397,0.0126,1.64757,0.59,42.97647,0.70421,0.16042,0.16042,5.63471,0.28958,0.2643,0.01416,13.08572,18.48813
"3","2013_Q1",20.5735,"Up",126578000,-40408000,86170000,-77350000,-15938000,-4575000,-56837000,8820000,-5090000,-5090000,3730000,-223000,3507000,-945000,2562000,2562000,2562000,2562000,15533000,15533000,5935000,5935000,2750000,6739000,4690000,30957000,126516000,146256000,123484000,9469000,272772000,303729000,35257000,10411000,18085000,60000,5961000,5961000,41278000,203918000,48029000,48029000,251947000,293225000,10481000,23000,10504000,10504000,303729000,2562000,4575000,493000,9067000,16697000,-12126000,-12126000,7935000,-4191000,-14000,-71000,12435000,12435000,12435000,13395000,203978000,11281000,0.68077,0.06968,0.02024,0.24391,0.00844,4.4032,0.74996,27.91556,0.67158,0.11262,0.11262,5.56429,0.46175,0.49591,0.00976,14.06831,21.36565
"4","2013_Q2",30.5878125,"Up",133624000,-42411000,91213000,-79619000,-16760000,-4810000,-58049000,11594000,-5007000,-5007000,6587000,-95000,6492000,-1693000,4799000,4799000,4799000,4799000,6454000,6454000,7306000,7306000,2341000,7545000,5374000,23646000,130936000,145457000,123484000,8872000,276393000,300039000,26571000,8969000,13547000,58000,6491000,6491000,33120000,203906000,47284000,47284000,251190000,284310000,10907000,4822000,15729000,15729000,300039000,4799000,4810000,-305000,-9980000,-676000,-11352000,-11352000,2980000,-8372000,-15999.9999999995,-31000.0000000001,-9079000,-9079000,-9079000,16404000,203964000,-3235000,0.68261,0.08677,0.03591,0.30511,0.01599,-0.674100000000001,0.71395,18.07553,0.67979,0.20985,0.20985,5.84305,0.68779,-0.14146,0.01798,12.04036,17.03554
"5","2013_Q3",33.88484375,"Up",140880000,-45318000,95562000,-82159000,-16454000,-5178000,-60527000,13403000,-5011000,-5011000,8392000,-456000,7936000,-2967000,4969000,4969000,4969000,4969000,7268000,7268000,6787000,6787000,2315000,8198000,5904000,24568000,143256000,144644000,123484000,7995000,287900000,312468000,34025000,12284000,15082000,57000,5379000,5379000,39461000,203894000,47159000,47159000,251053000,290514000,12163000,9791000,21954000,21954000,312468000,4969000,5178000,606000,4851000,15604000,-16417000,-16417000,1166000,-15251000,-15000,461000,814000,814000,814000,18581000,203951000,9982000,0.67832,0.09514,0.03527,0.22634,0.0159,2.00885,0.62259,13.23285,0.65271,0.21691,0.21691,6.14977,0.95835,0.43574,0.0182,10.58517,14.67455
"6","2013_Q4",44.605,"Up",140678000,-45162000,95516000,-83733000,-15956000,-5129000,-62648000,11783000,-4457000,-4457000,7326000,312000.000000001,7638000,-2596000,5042000,5042000,5042000,5042000,5886000,5886000,6997000,6997000,2457000,9429000,7005000,24769000,144407000,144086000,123484000,7819000,288493000,313262000,28788000,8966000,17519000,56000,5968000,5968000,34812000,203882000,46653000,46653000,250535000,285347000,13082000,14833000,27915000,27915000,313262000,5042000,5129000,-3999.99999999907,-4786000,5381000,-11022000,-11022000,3924000,-7098000,-15000.0000000075,335000,-1382000,-1382000,-1382000,16912000,203938000,3700000,0.67897,0.08376,0.03584,0.18062,0.0161,0.73384,0.71151,10.222,0.65101,0.21935,0.21935,6.12,1.2144,0.16096,0.0181,11.71074,16.80828
"7","2014_Q1",47.064262295082,"Up",136155000,-43232000,92923000,-81998000,-16489000,-5258000,-60251000,10925000,-3568000,-3568000,7357000,-16371000,-9014000,3461000,-5553000,-5553000,-5553000,-5553000,10978000,10978000,6011000,6011000,2564000,13372000,5857000,32925000,144527000,141333000,123484000,5682000,285860000,318785000,29721000,10802000,18801000,61000,8305000,8305000,38087000,73981000,48411000,48411000,122392000,160479000,149026000,9280000,158306000,158306000,318785000,-5553000,5258000,16228000,-66000,15867000,-8234000,-8234000,4888000,-3346000,-129013000,-7429000,5092000,5092000,5092000,16183000,74042000,4422000,0.68248,0.08024,-0.04078,-0.03508,-0.01742,-0.79633,0.86447,1.01373,0.23226,-0.22831,-0.22831,5.59801,6.50875,0.18181,-0.01978,3.89693,5.77245
"8","2014_Q2",40.3969841269841,"Down",145436000,-45529000,99907000,-85187000,-17570000,-5345000,-62272000,14720000,-603000,-603000,14117000,15000.0000000037,14132000,-5413000,8719000,8719000,8719000,8719000,2406000,2406000,8434000,8434000,2497000,9040000,6007000,22377000,149429000,141468000,123484000,5624000,290897000,313274000,20780000,8763000,11852000,61000,6042000,6042000,26883000,66968000,50627000,50627000,117595000,144478000,150797000,17999000,168796000,168796000,313274000,8719000,5345000,-182000,-6985000,6897000,-16229000,-16229000,6731000,-9498000,-7015000.00000003,-5971000,-8572000,-8572000,-8572000,20065000,67029000,2264000,0.68695,0.10121,0.05995,0.05165,0.02783,0.25966,0.83238,0.855929999999999,0.21396,0.33276,0.33276,5.55062,6.44217,0.08641,0.03044,3.22068,4.39015
"9","2014_Q3",47.54421875,"Up",154185000,-48960000,105225000,-89530000,-16808000,-5578000,-67144000,15695000,-568000,-568000,15127000,-32000,15095000,-5781000,9314000,9314000,9314000,9314000,3867000,3867000,8433000,8433000,2539000,10571000,6848000,25410000,162207000,142121000,123484000,6188000,304328000,329738000,24566000,9174000,15226000,61000,6435000,6435000,31062000,68954000,50298000,50298000,119252000,150314000,152111000,27313000,179424000,179424000,329738000,9314000,5578000,253000,3903000,19048000,-19795000,-19795000,-12000,-19807000,1985000,2220000,1461000,1461000,1461000,21273000,69015000,11162000,0.68246,0.10179,0.06041,0.05191,0.02825,1.19841,0.81804,0.83776,0.2093,0.35453,0.35453,5.86899,6.82971,0.42488,0.03118,3.06247,4.15088
"10","2014_Q4",55.07640625,"Up",155298000,-48980000,106318000,-90762000,-16025000,-6038000,-68699000,15556000,-536000,-536000,15020000,-183000,14837000,-5682000,9155000,9155000,9155000,9155000,1879000,1879000,8163000,8163000,2392000,10775000,6184000,23209000,180170000,140001000,123484000,4194000,320171000,343380000,26558000,7721000,18691000,61000,7232000,7232000,33851000,68938000,50767000,50767000,119705000,153556000,153356000,36468000,189824000,189824000,343380000,9155000,6038000,-69000,4701000,19825000,-22914000,-22914000,702000.000000001,-22212000,-14000,399000,-1988000,-1988000,-1988000,21594000,68999000,9063000,0.68461,0.10017,0.05895,0.04823,0.02666,0.98995,0.68562,0.80894,0.20094,0.34752,0.34747,5.89498,7.20556,0.34402,0.02957,3.10827,4.31473
"11","2015_Q1",62.313606557377,"Up",156224000,-48781000,107443000,-93684000,-18504000,-6086000,-69094000,13759000,-521000,-521000,13238000,-163000,13075000,-4087000,8988000,8988000,8988000,8988000,5087000,5087000,6340000,6340000,2719000,11034000,6060000,25180000,191371000,141405000,123484000,3941000,332776000,357956000,31052000,10151000,20901000,61000,8310000,8310000,39423000,68924000,50022000,50022000,118946000,158369000,154131000,45456000,199587000,199587000,357956000,8988000,6086000,1088000,2174000,18336000,-15141000,-15141000,0,-15141000,-17000,13000,3208000,3208000,3208000,19845000,68985000,10965000,0.68775,0.08807,0.05753,0.04503,0.02511,1.21996,0.63871,0.79348,0.19272,0.341,0.34093,5.92703,7.57219,0.416,0.02821,3.21985,4.64409
"12","2015_Q2",52.7804761904762,"Down",163875000,-51123000,112752000,-95200000,-19318000,-6847000,-69035000,17552000,-438000,-438000,17114000,-94000,17020000,-6519000,10501000,10501000,10501000,10501000,3523000,3523000,9538000,9538000,2458000,10392000,7467000,25911000,204882000,139125000,123484000,4586000,344007000,369918000,27114000,11076000,14592000,42000,8469000,8469000,35625000,72927000,49449000,49449000,122376000,158001000,155960000,55957000,211917000,211917000,369918000,10501000,6847000,-93000.0000000002,-4434000,12821000,-19257000,-19257000,-1.16415321826935e-10,-19257000,3984000,4872000,-1564000,-1564000,-1564000,24399000,72969000,7227000,0.68804,0.10711,0.06408,0.04955,0.02839,0.68822,0.72733,0.74558,0.19726,0.39724,0.39712,6.19913,8.01648,0.27339,0.03141,2.84626,3.95659
"13","2015_Q3",51.52265625,"Down",171900000,-54223000,117677000,-99031000,-18768000,-7401000,-72862000,18646000,-414000,-414000,18232000,0,18232000,-6983000,11249000,11249000,11249000,11249000,5519000,5519000,9229000,9229000,2529000,12020000,7336000,29297000,218589000,138314000,123484000,3775000,356903000,386200000,29763000,12337000,17426000,36000,8897000,8897000,38696000,73926000,49189000,49189000,123115000,161811000,157183000,67206000,224389000,224389000,386200000,11249000,7401000,294000,2437000,21381000,-20643000,-20643000,139000,-20504000,991000,1119000,1996000,1996000,1996000,26047000,73962000,14824000,0.68457,0.10847,0.06544,0.05013,0.02913,1.31781,0.75711,0.72112,0.19151,0.42464,0.42453,6.48908,8.47049,0.55959,0.03237,2.62767,3.67065
"14","2015_Q4",37.40890625,"Down",172105000,-55409000,116696000,-103300000,-19090000,-7596000,-76614000,13396000,-493000,-493000,12903000,-387000,12516000,-4571000,7945000,7945000,7945000,7945000,972000.000000001,972000.000000001,9058000,9058000,2661000,13033000,6352000,25724000,237611000,135931000,123484000,3618000,373542000,399266000,34261000,13175000,21086000,52000,9768000,9768000,44081000,70394000,50779000,50779000,121173000,165254000,158861000,75151000,234012000,234012000,399266000,7945000,7596000,2992000,6233000,24766000,-26319000,-26319000,10000,-26309000,-3515000,-3004000,-4547000,-4547000,-4547000,20992000,70446000,5477000,0.67805,0.07784,0.04616,0.03395,0.0199,0.68936,0.58356,0.70618,0.17644,0.29916,0.29907,6.48036,8.81138,0.20623,0.02237,3.30955,5.18617
"15","2016_Q1",35.1986885245902,"Down",179512000,-56573000,122939000,-107680000,-18962000,-8731000,-79987000,15259000,-544000,-544000,14715000,-1901000,12814000,-3973000,8841000,8841000,8841000,8841000,5281000,5281000,9217000,9217000,2910000,13830000,6382000,31238000,248992000,135415000,123484000,3434000,384407000,415645000,34140000,12405000,21735000,69000,12096000,12096000,46305000,74275000,51083000,51083000,125358000,171663000,159990000,83992000,243982000,243982000,415645000,8841000,8731000,5496000,-684000,22384000,-21351000,-21351000,-250000,-21601000,3487000,3526000,4309000,4309000,4309000,23990000,74344000,5928000,0.68485,0.085,0.04925,0.03624,0.02127,0.67051,0.67461,0.70359,0.17886,0.33266,0.33258,6.75458,9.18042,0.22306,0.02393,2.87882,4.52605
"16","2016_Q2",28.22296875,"Down",176677000,-54050000,122627000,-106474000,-20843000,-8336000,-77295000,16153000,-558000,-558000,15595000,-12000,15583000,-5688000,9895000,9895000,9895000,9895000,4053000,4053000,9483000,9483000,2669000,10073000,8073000,26278000,262838000,135273000,123484000,3292000,398111000,424389000,34460000,19778000,14682000,55000,9078000,9078000,43593000,74176000,51775000,51775000,125951000,169544000,160958000,93887000,254845000,254845000,424389000,9895000,8336000,160000.000000001,-380000,18011000,-16791000,-16791000,-2427000,-19218000,-113000.000000002,-21000,-1228000,-1228000,-1228000,24489000,74231000,13006000,0.69407,0.09143,0.05601,0.03883,0.02332,1.3144,0.6028,0.66528,0.17491,0.37191,0.37182,6.64057,9.57858,0.48884,0.02598,2.86569,4.34458
"17","2016_Q3",24.18375,"Down",181532000,-54607000,126925000,-112267000,-21259000,-8625000,-82383000,14658000,-535000,-535000,14123000,-82000,14041000,-5125000,8916000,8916000,8916000,8916000,4809000,4809000,10167000,10167000,2648000,9e+06,7171000,26624000,274960000,135291000,123484000,3310000,410251000,436875000,36706000,19022000,17684000,55000,10404000,10404000,47165000,71161000,53568000,53568000,124729000,171894000,162178000,102803000,264981000,264981000,436875000,8916000,8625000,591000,7426000,25558000,-25447000,-25447000,3632000,-21815000,-3015000,-2987000,756000,756000,756000,23283000,71216000,10387000,0.69919,0.08075,0.04912,0.03365,0.02041,1.16498,0.56449,0.6487,0.16301,0.33451,0.33443,6.81061,9.94141,0.38969,0.02288,2.85217,4.53043
"18","2016_Q4",27.8169841269841,"Up",182256000,-54726000,127530000,-115754000,-22026000,-9513000,-84215000,11776000,-542000,-542000,11234000,-18513000,-7279000,2748000,-4531000,-4531000,-4531000,-4531000,4862000,4862000,10259000,10259000,2875000,8534000,6381000,26530000,271055000,141902000,123484000,3160000,412957000,439487000,43357000,23608000,19749000,87000,12249000,12249000,55693000,69110000,53797000,53797000,122907000,178600000,162615000,98272000,260887000,260887000,439487000,-4531000,9513000,11452000,6354000,22788000,-20805000,-20805000,-9.31322574615479e-10,-20805000,-2021000,-1930000,53000,53000,53000,21289000,69197000,4090000,0.69973,0.06461,-0.02486,-0.01737,-0.01031,-0.90267,0.47636,0.68459,0.15745,-0.1696,-0.1696,6.82192,9.76512,0.15309,-0.0118,3.02198,5.46323
"19","2017_Q1",25.3056451612903,"Down",171305000,-51226000,120079000,-109803000,-17498000,-10302000,-82003000,10276000,-536000,-536000,9740000,-7037000,2703000,-271000,2432000,2432000,2432000,2432000,4196000,4196000,8771000,8771000,2865000,11110000,7806000,26942000,270920000,143703000,123484000,5842000,414623000,441565000,35364000,16165000,19199000,89000,11316000,11316000,46769000,71423000,59198000,59198000,130621000,177390000,163471000,100704000,264175000,264175000,441565000,2432000,10302000,8350000,-6762000,14322000,-19322000,-19322000,0,-19322000,3979000,4334000,-666000,-666000,-666000,20578000,71512000,-5235000,0.70097,0.05999,0.0142,0.00921,0.00551,-2.15255,0.57607,0.67149,0.16195,0.09091,0.09085,6.40328,9.87471,-0.19568,0.00616,3.27126,6.5508
"20","2017_Q2",22.6761904761905,"Down",175607000,-50948000,124659000,-115363000,-23237000,-9186000,-82940000,9296000,-584000,-584000,8712000,-32414000,-23702000,8642000,-15060000,-15060000,-15060000,-15060000,7712000,7712000,9207000,9207000,2688000,9757000,9547000,29364000,241705000,155576000,123484000,5867000,397281000,426645000,31017000,14481000,16536000,91000,12455000,12455000,43563000,76063000,57231000,57231000,133294000,176857000,164191000,85597000,249788000,249788000,426645000,-15060000,9186000,21226000,-3140000,12212000,-11674000,-11674000,0,-11674000,2978000,2978000,3516000,3516000,3516000,18482000,76154000,-4974000,0.70987,0.05294,-0.08576,-0.06029,-0.0353,0.33028,0.67406,0.70803,0.1785,-0.56248,-0.56248,6.55884,9.32946,-0.18578,-0.0393,3.70317,7.36252
