"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q4",28.061746031746,"Down",152350000,-57421000,94929000,-169224000,-43951000,-125273000,-74295000,-17367000,-15309000,-1679000,-379000,-91662000,12637000,-79025000,1034000,-77991000,-77991000,2481000,-75510000,-75510000,367896000,367896000,17521000,17521000,385417000,4860076000,5842530000,-982454000,769534000,284986000,484548000,5629610000,6015027000,2109301000,131627000,1977674000,2225052000,46389000,100774000,100774000,147163000,2372215000,3100236000,-28827000,-30886456.3643416,3071409000,571403000,3642812000,6015027000,-77991000,45121000,-6924000,-9471000,-49265000,-61175000,123799000,158599000,-131629000,123364000,-8265000,101069000,101069000,101069000,-29174000,162140000,-100854000,0.6231,-0.48766,-0.49564,-0.02073,-0.01255,1.33564,0.17322,0.6512,0.02696,-0.65719,-0.65719,1.32595,26.73138,-0.87776,-0.01933,-0.02582,7.05272,2.76945
"2","2018_Q1",28.4567213114754,"Up",156371000,-63765000,92606000,-86056000,-51933000,-34123000,6550000,-16684000,-14328000,-2778000,422000,-10134000,-18213000,-28347000,9595000,-18752000,-18752000,4850000,-13902000,-13902000,316676000,316676000,21881000,21881000,338557000,5006174000,6017504000,-1011330000,727076000,261811000,465265000,5733250000,6071807000,2164299000,138607000,2025692000,2280050000,46537000,161277000,161277000,207814000,2487864000,3064805000,-95809000,1612000,2970608000,613335000,3583943000,6071807000,-18752000,52896000,25629000,-8983000,50790000,-94671000,8252999.99999999,-110118000,43946000,-4937999.99999999,12468000,-46860000,-46860000,-46860000,59446000,162288000,-53803000,0.59222,0.04189,-0.0889,-0.00388,-0.00229,3.87016,0.14849,0.69417,0.02673,-0.1319,-0.1319,1.48367,28.18547,-0.51049,0.00323,-0.01377,-2.59711,-23.57069
"3","2018_Q2",31.173125,"Up",163037000,-63182000,99855000,-75990000,-49160000,-26830000,23865000,-20586000,-19257000,-1902000,573000,3279000,-8973000,-5694000,908000,-4786000,-4786000,596000,-4190000,-4190000,221578000,221578000,26830000,26830000,248408000,4873442000,5918554000,-1045112000,939896000,368052000,571844000,5813338000,6061746000,2051233000,130185000,1921048000,2166984000,96685000,191877000,191877000,288562000,2455546000,3082106000,-99999000,14867000,2996974000,609226000,3606200000,6061746000,-4786000,50173000,16596000,-27322000,34661000,-82489000,1331000,-93345000,3e+05,-5225000,-31465000,-90149000,-90149000,-90149000,74038000,212436000,-36681000,0.61247,0.14638,-0.0257,-0.00116,-0.00069,8.75442,0.11463,0.68092,0.03505,-0.03552,-0.03552,1.3822,25.40777,-0.31097,0.00557,-0.00915,-0.12348,-0.38307
"4","2018_Q3",31.8873015873016,"Up",159447000,-60576000,98871000,-73093000,-48117000,-24976000,25778000,-13678000,-18027000,3836000,513000,12100000,12236000,24336000,-313000.000000001,24023000,24023000,-3449000,20574000,20574000,239440000,239440000,22248000,22248000,261688000,4826316000,5871948000,-1045632000,826945000,368308000,458637000,5653261000,5914949000,2036833000,130431000,1906402000,2072562000,96833000,126265000,126265000,223098000,2295660000,3036374000,-105962000,19662000,2950074000,669215000,3619289000,5914949000,24023000,49139000,-10005000,-4273000,58884000,149653000,-646000,144641000,-159051000,-4657000,-190245000,13280000,13280000,13280000,74917000,132562000,220610000,0.62009,0.16167,0.12903,0.00568,0.00348,10.72276,0.12626,0.63428,0.02241,0.17442,0.17442,1.35176,25.01016,1.87029,0.01215,0.05689,-1.42662,-4.14609
"5","2018_Q4",32.7733333333333,"Up",158443000,-63487000,94956000,-71483000,-46603000,-24880000,23473000,-1404000,-18979000,13484000,4091000,22069000,3472000,25541000,841000,26382000,26382000,-3552000,22830000,22830000,253148000,253148000,127061000,127061000,380209000,4672949000,5693545000,-1020596000,958036000,361014000,597022000,5630985000,6011194000,1917149000,147211000,1769938000,1917149000,296981000,165209000,165209000,462190000,2379339000,3152109000,-110219000,24132000,3066022000,565833000,3631855000,6011194000,26382000,47646000,-10612000,-20300000,43116000,18589000,25492000,37585000,69456000,-4547000,37820000,118521000,118521000,118521000,71119000,296981000,68567000,0.59931,0.14815,0.14409,0.00629,0.0038,3.00337,0.19832,0.65513,0.0494,0.19048,0.19048,1.32197,25.58131,0.57209,0.01219,0.01675,0.61633,1.86738
"6","2019_Q1",34.6103278688525,"Up",163255000,-65618000,97637000,-108402000,-67556000,-40846000,-10765000,15798000,-18184000,23991000,9991000,5033000,-3341000,1692000,-698000,994000,994000,-284000,710000,710000,260553000,260553000,138979000,138979000,399532000,4740859000,5792734000,-1051875000,856894000,322878000,534016000,5597753000,5997285000,1969341000,130960000,1838381000,1969341000,297129000,185323000,185323000,482452000,2451793000,3156466000,-176018000,6700000,2987148000,558344000,3545492000,5997285000,994000,68701000,-22037000,3874000,51532000,-81865000,67845000,-22554000,28677000,-11723000,-9654999.99999997,19323000,19323000,19323000,57936000,297129000,-19357000,0.59806,-0.06594,0.00434999999999999,0.000200000000000001,0.00012,-27.26338,0.20288,0.69152,0.04954,0.00587000000000001,0.00587000000000001,1.34988,24.69942,-0.16005,0.00693,-0.00481,0.63132,-3.39768
"7","2019_Q2",36.3885714285714,"Up",155199000,-61723000,93476000,-81680000,-48719000,-32961000,11796000,-12622000,-17174000,3601000,951000,-826000,27902000,27076000,1172000,28248000,28248000,-3387000,24861000,24861000,395584000,395584000,17877000,17877000,413461000,4621582000,5696891000,-1075309000,989651000,321366000,668285000,5611233000,6024694000,1970618000,134776000,1835842000,1970618000,297277000,174920000,174920000,472197000,2442815000,3151360000,-151157000,-3452000,2996751000,585128000,3581879000,6024694000,28248000,49936000,-30928000,-29348000,17908000,40484000,6555000,44188000,-3098000,-5771000,-48167000,13929000,13929000,13929000,61732000,297277000,71696000,0.6023,0.07601,0.16019,0.00694,0.00413,2.88387,0.20981,0.68199,0.04934,0.20283,0.20143,1.26618,24.4487,0.58492,0.01583,0.01768,-1.59248,-8.33393
"8","2019_Q3",34.70859375,"Down",160617000,-61938000,98679000,-77679000,-45995000,-31684000,2.1e+07,-12865000,-13107000,-1810000,2052000,8135000,-11412000,-3277000,-51000,-3327999.99999999,-3327999.99999999,287999.999999999,-3040000,-3040000,280349000,280349000,16429000,16429000,296778000,4710966000,5804631000,-1093665000,999531000,319756000,679775000,5710497000,6007275000,1500599000,140132000,1360467000,1500599000,296952000,192638000,192638000,489590000,1990189000,3646041000,-184373000,-19156000,3442512000,574574000,4017086000,6007275000,-3327999.99999999,47117000,11591000,-20505000,34875000,-112340000,1001999.99999999,-112896000,-477642000,-4372000,-38662000,-116683000,-116683000,-116683000,68117000,296952000,-64677000,0.61437,0.13075,-0.01893,-0.000760000000000001,-0.00051,21.27533,0.19777,0.49543,0.04943,-0.0230600000000001,-0.02321,1.2186,26.11822,-0.4907,0.00602,-0.01435,0.24374,0.79062
"9","2019_Q4",35.41,"Up",167077000,-63555000,103522000,-78730000,-46862000,-31868000,24792000,-12367000,-10583000,-1144000,-640000,12425000,-1461000,10964000,-432000,10532000,10532000,-1172000,9360000,9360000,230147000,230147000,13573000,13573000,243720000,4760693000,5870590000,-1109897000,1017851000,320920000,696931000,5778544000,6022264000,1518602000,160031000,1358571000,1518602000,297124000,205771000,205771000,502895000,2021497000,3644675000,-205192000,-25578000,3413905000,586862000,4000767000,6022264000,10532000,47815000,-1229000,2738000,59856000,-73814000,0,-76730000,-2173000,-3830000,-36184000,-53058000,-53058000,-53058000,72607000,297124000,1963000,0.61961,0.14839,0.05602,0.00234,0.00155,0.20972,0.16049,0.50528,0.04934,0.06975,0.06975,1.24496,25.43837,0.01463,0.00878,0.00044,0.92246,2.70156
"10","2020_Q1",33.9117741935484,"Down",164877000,2772000.00000001,167649000,-137479000,-50004000,-87475000,30170000,-10851000,-11831000,-2042000,3022000,19319000,18760000,38079000,613000,38692000,38692000,-4302000,34390000,34390000,126413000,126413000,16103000,16103000,142516000,4655948000,5775519000,-1119571000,1187787000,543026000,644761000,5843735000,5986251000,1283479000,157702000,1125777000,1483479000,297295000,206042000,206042000,503337000,1986816000,3634384000,-231164000,-16744000,3386476000,612959000,3999435000,5986251000,38692000,50927000,-30594000,2322000,61347000,-83041000,-19518000,-95234000,-34027000,-3820000,-67317000,-101204000,-101204000,-101204000,81097000,497295000,-234999.999999993,1.01681,0.18298,0.20858,0.0086,0.00574,-0.00683000000000336,0.09607,0.49677,0.08307,0.25632,0.25632,1.22889,25.24075,-0.00174999999999995,0.01373,-4.99999999999974e-05,4.57331,12.29307
