"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",7.14296875,"Up",20279000,-11496000,8783000,-8072000,-7808000,-264000,711000,60000,-29000,89000,771000,1539000,-722000,817000,817000,817000,817000,25748998.6203633,26120132.3919306,32339032.6611529,32339032.6611529,2733915.83249865,3049665.07677138,434694.107537542,63871612.1907862,13306304.7889534,31810831.9544018,21050995.1859382,6446508.78369929,1488597.31488528,45117136.7433553,108988748.934141,26036002.8101299,11739728.2682934,14296274.5418365,3108783.93550879,3108783.93550879,33380062.6481428,548692.284289021,548691.126595401,548692.284289021,33928754.9324318,128022381.535209,-52866516.8244953,-95931.9106656501,75059994.0017096,75059994.0017096,108988748.934141,817000,1036000,42000,1456000,3351000,-663000,-663000,36000,2724000,2724000,105000,2829000,1747000,0,3262000,0.43311,0.03506,0.04029,0.134910445831386,0.110055734345412,3.99266,-0.30215383156396,0.42145370082161,0.0379173809308705,0.03374,0.03351,0.83753,2.88791590033018,0.13472,0.129017808740231,76.6187364588407,721.604850677648
"2","2011_Q1",8.5,"Up",24997000,-14758000,10239000,-7924000,-7551000,-373000,2315000,22000,-28000,50000,2337000,2337000,-1306000,1031000,1031000,1031000,1031000,30524000,30524000,21175000,21175000,807000,1950000,1861000,54456000,14384000,34363000,21051000,6050000,2262000,48747000,103203000,12679000,7516000,5163000,2863000,2863000,17811000,1482000,1482000,1482000,19293000,129666000,-46075000,319000,83910000,83910000,103203000,1031000,976000,1218000,4237000,7462000,-901000,-901000,-51000,6510000,6510000,119000,6629000,3291000,2269000,7933000,0.40961,0.09261,0.04124,0.01229,0.00999,7.69447,3.05744,0.22992,0.02199,0.04258,0.04225,1.03238,3.46549,0.32763,0.01176,-8.58554,-12.20518
"3","2011_Q2",7.72968253968254,"Down",22622000,-11466000,11156000,-8353000,-7951000,-402000,2803000,-79000,-39000,-40000,2724000,2724000,-1385000,1339000,1339000,1339000,1339000,31654500.4598789,31527872.5360231,18603405.7796157,18603405.7796157,348528.055833783,1649028.30774287,2104185.29748749,52255462.6030713,14464148.4036822,34784889.3485327,21051001.6046873,5850330.40543357,2434967.56170491,49249037.7522149,101504500.355286,8225499.06329002,6112923.91056886,2112575.15272115,2340822.02149707,2340822.02149707,12492562.4506191,1722019.23857033,1722019.6244682,1722019.23857033,14214581.6891894,130719956.15493,-43909661.0585016,479643.970221883,87289918.6660968,87289918.6660968,101504500.355286,1339000,983000,757000,-5008000,-1929000,-841000,-841000,54000,-2716000,-2716000,57000,-2659000,3786000,0,-678000,0.49315,0.12391,0.05919,-0.0170634819437954,-0.0138544114484705,-0.50635,4.20228211052132,0.162817933059463,0.0193892063563765,0.0553,0.05428,0.93425,3.6415088665566,-0.028,-0.0163234362467438,-33.6961296529469,-232.255785225883
"4","2011_Q3",6.07515625,"Down",19021000,-10553000,8468000,-8281000,-7966000,-315000,187000,-189000,-34000,-155000,-2000,756000,-326000,430000,430000,430000,430000,30756000,30647000,21500000,21500000,648000,1888000,1759000,54792000,14021000,34037000,21051000,5755000,2337000,48058000,102850000,9428000,6647000,2781000,1958000,1958000,13707000,1567000,1567000,1567000,15274000,131396000,-44306000,486000,87576000,87576000,102850000,430000,1006000,-4000,1418000,2850000,-399000,-399000,259000,2710000,2710000,72000,2782000,1193000,2321000,2538000,0.44519,0.00983000000000002,0.02261,0.00491,0.00418,5.90233,3.99737,0.17441,0.02257,0.01772,0.01726,0.78376,3.60855,0.10458,0.00469999999999999,-23.83487,-152.05882
"5","2011_Q4",5.82349206349206,"Down",24023000,-13050000,10973000,-8059000,-7701000,-358000,2914000,-90000,-33000,-57000,2824000,2824000,-169000,2655000,2655000,2655000,2655000,29051000,28998000,27920000,27920000,857000,2544000,1549000,60372000,13590000,33168000,21051000,5647000,2362000,46758000,107130000,13315000,8416000,4899000,2741000,2741000,18399000,1346000,1346000,1346000,19745000,131953000,-45014000,446000,87385000,87385000,107130000,2655000,939000,1126000,-2577000,2143000,-458000,-458000,-3270000,-1585000,-1585000,-64000,-1649000,3853000,2343000,987000,0.45677,0.1213,0.11052,0.03038,0.02478,0.37175,3.28127,0.22595,0.02187,0.10916,0.10684,0.98771,3.59284,0.04058,0.02915,-6.93174,-9.16541
"6","2012_Q1",5.98854838709677,"Up",28002000,-14788000,13214000,-10227000,-9828000,-399000,2987000,-34000,-7000,-27000,2953000,2953000,-1229000,1724000,1724000,1724000,1724000,28286000,28229000,34346000,34346000,311000,3313000,2026000,66256000,13625000,33109000,21051000,5442000,2818000,46734000,112990000,16547000,10476000,6071000,4902000,4902000,22630000,1347000,1347000,1347000,23977000,132587000,-44031000,457000,89013000,89013000,112990000,1724000,792000,1349000,-2071000,1794000,-708000,-708000,-1863000,-777000,-777000,8000.00000000003,-769000,3779000,1181000,2229000,0.47189,0.10667,0.06157,0.01937,0.01526,1.29292,2.92779,0.26937,0.01045,0.07313,0.07152,1.18778,3.77574,0.09455,0.01883,-7.17253,-9.07432000000002
"7","2012_Q2",4.53857142857143,"Down",25212000,-13220000,11992000,-9500000,-8994000,-506000,2492000,-4000,-25000,21000,2488000,2488000,-945000,1543000,1543000,1543000,1543000,31136000,31055000,26307000,26307000,330000,2526000,1779000,60299000,13716000,33099000,21051000,5362000,2960000,46815000,107114000,13665000,9221000,4444000,1973000,1973000,16826000,1362000,1362000,1362000,18188000,132793000,-44373000,506000,88926000,88926000,107114000,1543000,778000,194000,2960000,5475000,-788000,-788000,-1889000,2798000,2798000,28000,2826000,3270000,1188000,6387000,0.47565,0.09884,0.0612,0.01735,0.01441,4.13934,3.58368,0.20453,0.01109,0.06541,0.0636,1.06871,3.76949,0.27074,0.01687,-9.15841,-12.01766
"8","2012_Q3",4.90031746031746,"Up",20911000,-11880000,9031000,-8843000,-7874000,-969000,188000,-81000,-9000,-72000,107000,107000,-39000,68000,68000,68000,68000,24765000,24725000,25750000,25750000,389000,2463000,1206000,53367000,14090000,32611000,21051000,5161000,2756000,46701000,100068000,11308000,6459000,4849000,2367000,2367000,14862000,1349000,1349000,1349000,16211000,132891000,-49584000,550000,83857000,83857000,100068000,68000,764000,83000,-1090000,-175000,-938000,-938000,-5290000,-6403000,-6403000,73000,-6330000,952000,1187000,-1037000,0.43188,0.00899,0.00325000000000002,0.000810000000000002,0.00068,-15.25,3.59084,0.19332,0.01186,0.00294,0.00284,0.90496,3.62907,-0.04488,0.000790000000000003,-24.76681,-125.41489
"9","2012_Q4",3.97645161290323,"Down",24907000,-14671000,10236000,-8633000,-8064000,-569000,1603000,-27000,0,-27000,1576000,1576000,-382000,1194000,1194000,1194000,1194000,24540000,24483000,29586000,29586000,957000,3333000,1522000,58416000,13824000,32282000,21051000,4990000,2578000,46106000,104522000,14972000,9825000,5147000,3014000,3014000,19170000,952000,952000,952000,20122000,133358000,-49099000,141000,84400000,84400000,104522000,1194000,782000,284000,-1026000,1234000,-345000,-345000,-710000,179000,179000,-421000,-242000,2385000,1184000,1396000,0.41097,0.06436,0.04794,0.01415,0.01142,1.16918,3.04726,0.23841,0.01133,0.05401,0.05186,1.12676,3.81814,0.06315,0.0138,-9.79287,-14.57018
"10","2013_Q1",4.508,"Up",26614000,-17128000,9486000,-8569000,-7750000,-819000,917000,-9999.99999999999,19000,-29000,907000,907000,-936000,-29000,-29000,-29000,-29000,24497000,24453000,30169000,30169000,513000,4685000,3956000,59864000,13749000,32284000,21051000,4838000,2707000,46033000,105897000,17771000,12828000,4943000,3175000,3175000,20946000,715000,715000,715000,21661000,133719000,-49128000,-316000,84236000,84236000,105897000,-29000,765000,254000,1143000,2133000,-463000,-463000,-1226000,443999.999999999,443999.999999999,-474000,-30000.0000000009,1682000,0,3298000,0.35643,0.03446,-0.00109,-0.000340000000000003,-0.000269999999999999,-113.72414,2.85802,0.25715,0,-0.00132,-0.00126999999999999,1.20792,3.82317,0.14968,-0.000339999999999997,-14.56421,-26.71429
