"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2013_Q4",10.7515625,"Down",8980000,-5525000,-2500000,-3025000,928000,-634000,-717000,294000,-119000,175000,175000,295000,-39000,256000,24091.2017396729,256000,4399000,4399000,14022000,869000,18719000,438761000,496673000,-57912000,22600000,11601000,10999000,470343000,489062000,4602000,4602000,9880090.00985534,524000,524000,5126000,4942000,4942000,128334000,133460000,309194000,-41443281.5693442,309450000,46152000,355602000,489062000,295000,3025000,9000,188000,3517000,-14541000,-15746000,-9813900.45140378,-183957000,208280000,208280000,-1256560.33945688,-7695000,16628000,4399000,4399000,4399000,3953000,123392000,0.10334,0.02851,0.00072,0.00052,3.65178,0.37531,0.2523,0.01042,0.01042,0.36542,12.59236,0.359735951930857,0.00053,-433.117678800812,30.10195,128.22522
"2","2014_Q2",11.482380952381,"Up",13691000,-8735000,-2605000,-6130000,822000,-1206000,-1251000,-384000,-333000,-717000,-717000,1429000,-152000,1277000,-16000,1261000,6344000,6344000,14389000,1254000,21085000,512573000,575229000,-62656000,32179000,13174000,19005000,550530000,571615000,9411000,6345000,3066000,778000,778000,10189000,6960000,6960000,221431000,231620000,312386000,269000,304873000,35122000,339995000,571615000,1429000,6130000,-2376000,-2027000,3156000,-33933000,-20233000,-5368000,20432000,674408480.459478,674607042.766958,-695280.169728439,-639999.999999998,14424000,-2653000,-2653000,-2653000,6952000,214471000,0.06004,0.0921,0.00371,0.00221,2.06939,0.68125,0.3752,0.04961,0.04961,0.5386,11.9937,0.21118,0.01181,4.25694,29.93772,253.19586
"3","2014_Q3",11.55078125,"Up",14996000,-8783000,-2780000,-6003000,2321000,-1588000,-1537000,733000,-652000,81000,81000,81000,-8000,73000,-24000,49000,9272000,9272000,14603000,1467000,24254000,653794000,720366000,-66572000,42016000,22652000,19364000,701568000,725822000,9356000,6281000,3075000,964000,964000,10320000,7451000,7451000,379301000,389621000,312706000,-410000,301512000,34689000,336201000,725822000,81000,6003000,-491000,626000,6219000,-144575000,-144424000,-3066000,146425000,575124480.459478,575323042.766958,-319426.723242813,-2226000,141133000,2928000,2928000,2928000,8324000,371850000,0.15477,0.00327,0.00015,7e-05,2.35019,1.15889,0.51232,0.00193,0.00193,0.58993,11.86133,0.12061,0.00435,62.57143,43.55815,156.21629
"4","2014_Q4",12.3484375,"Up",18036000,-11305000,-3273000,-8032000,1852000,-1955000,-1957000,-103000,-576000,-679000,-679000,-679000,80000,-599000,-24000,-623000,60541000,60541000,14876000,1738000,75724000,722689000,794224000,-71535000,44071000,23558000,20513000,772504000,848228000,14811000,9620000,5191000,1329000,1329000,16140000,7927000,7927000,279659000,295799000,538679000,-16416000,522263000,30166000,552429000,848228000,-679000,8032000,-524000,1697000,8526000,-78740000,-75518000,-3075000,-99975000,221675000,221773000,-98000,-364000,118261000,51269000,51269000,51269000,9884000,271732000,0.10268,-0.03454,-0.00113,-0.00073,4.6917,0.53545,0.32035,-0.01858,-0.01858,0.53795,15.5773,0.09172,0.00295,-4.93579,21.36696,114.03402
"5","2015_Q1",13.2383606557377,"Up",19858000,-11929000,-3486000,-8443000,2452000,-1680000,-1655000,772000,-627000,145000,145000,145000,0,145000,-38000,107000,8606000,8606000,14949000,1812000,23555000,853578000,930462000,-76884000,51034000,28136000,22898000,908630000,932185000,15297000,10053000,5244000,2865000,2865000,18162000,8768000,8768000,368146000,386308000,542752000,-23004000,519748000,26129000,545877000,932185000,145000,8443000,39000,-2024000,6603000,-140373000,-140406000,-5191000,87377000,0,0,1.45519152283669e-11,-318000,81868000,-51935000,-51935000,-51935000,10895000,359378000,0.12348,0.00539,2e-04,0.00011,1.29694,0.70768,0.38552,0.00246,0.00246,0.45706,11.96262,0.11948,0.0058,48.51402,32.19569,143.05546
"6","2015_Q2",12.5652380952381,"Down",21340000,-13430000,-3546000,-9884000,2139000,-1825000,-1826000,314000,-233000,81000,81000,80999.9999999999,-4000.00000000001,77000.0000000001,-50000,27000,47541000,47541000,15027000,1892000,62568000,902747000,985887000,-83140000,48718000,26504000,22214000,955478000,1018046000,18205000,11566000,6639000,4423000,4423000,22628000,9112000,9112000,281556000,304184000,719748000,-31382000,688366000,25496000,713862000,1018046000,80999.9999999999,9884000,-423000,233000,9775000,-51192000,-49255000,-5244000,-99998000,1.84e+08,1.84e+08,0,-343000,78415000,38935000,38935000,38935000,12023000,272444000,0.10023,0.00127,4e-05,3.00000000000002e-05,2.76507,0.42611,0.26761,0.000530000000000002,0.000530000000000002,0.42104,13.58165,0.10347,0.0053,194.22222,18.70606,105.14399
"7","2015_Q3",11.70453125,"Down",22722000,-14230000,-3740000,-10490000,2618000,-1646000,-1658000,972000,-776000,196000,196000,196000,-8000,188000,-49000,139000,9988000,9988000,15347000,2210000,25335000,955365000,1044904000,-89539000,52810000,28580000,24230000,1012193000,1037528000,15912000,9257000,6655000,5477000,5477000,21389000,9711000,9711000,308623000,330012000,721133000,-37549000,683584000,23932000,707516000,1037528000,196000,10490000,-1239000,-1398000,8049000,-63852000,-64939000,-6639000,26319000,-67000,0,-67000,-276000,19337000,-37553000,-37553000,-37553000,13108000,298912000,0.11522,0.00612,2e-04,0.00013,1.18449,0.46644,0.2881,0.00253,0.00253,0.4134,12.43715,0.12079,0.00667,47.76259,22.04181,110.36058
"8","2015_Q4",13.17234375,"Up",23674000,-14420000,-3778000,-10642000,3017000,-2200000,-2245000,817000,-2e+05,617000,617000,617000,-24000,593000,-53000,540000,5082999.99999999,5082999.99999999,2221000,2221000,7304000,1010384000,1106787000,-96403000,53498000,27838000,25660000,1067938000,1075242000,21390000,13886000,7504000,6651000,6651000,28041000,10523000,10523000,348281000,376322000,722654000,-46159000,676495000,22425000,698920000,1075242000,617000,10642000,-596000,3073000,13736000,-63857000,-49951000,-6655000,39034000,-74000,6999.9999999702,-81000,-995000,31310000,-4904999.99999999,-4904999.99999999,-4904999.99999999,13659000,337758000,0.12744,0.02281,0.00077,5e-04,0.26048,0.53843,0.31412,0.00979,0.00979,0.4293,12.26735,0.12068,0.00687,12.32407,24.35574,110.26682
"9","2016_Q1",14.3698360655738,"Up",26164000,-14773000,-3952000,-10821000,4273000,-2689000,-2724000,1584000,-528000,1056000,1056000,1056000,-40000,1016000,-71000,945000,5201000,5201000,3040000,3040000,8241000,1085143000,1188766000,-103623000,55780000,30383000,25397000,1145010000,1153251000,20437000,12631000,7806000,5990000,5990000,26427000,11539000,11539000,433080000,459507000,723275000,-51136000,672139000,21605000,693744000,1153251000,1056000,10821000,-1235000,-1694000,8948000,-73879000,-72629000,-7504000,79935000,-8217000,-8174000,-43000,-415000,63799000,118000,118000,118000,15094000,421541000,0.16332,0.03612,0.00136,0.00082,0.31184,0.66236,0.36552,0.01709,0.01709,0.47307,12.15285,0.13568,0.0075,7.94074,27.58315,97.43506
"10","2016_Q2",16.866875,"Up",27504000,-14816000,-3602000,-11214000,5145000,-3193000,-3254000,1952000,-475000,1477000,1477000,1477000,-52000,1425000,-78000,1347000,6402000,6402000,2939000,2939000,9341000,1106635000,1217802000,-111167000,56020000,28802000,27218000,1166799000,1176140000,22711000,14897000,7814000,7616000,7616000,30327000,11995000,11995000,459312000,489639000,723628000,-58920000,664708000,21793000,686501000,1176140000,1477000,11214000,-556000,1995000,14130000,-30568000,-30968000,-7506000,26912000,-115000,7.45058059692383e-09,-115000,-1252000,18039000,1201000,1201000,1201000,16359000,447317000,0.18706,0.04897,0.00196,0.00115,0.30801,0.71324,0.38033,0.02437,0.02431,0.49763,12.02665,0.13581,0.00773,5.57238,26.95244,85.69776
