"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",24.9634920634921,"Up",24780700000,-23871900000,908800000,-586200000,-586100000,-1e+05,322600000,-2.5e+07,-33900000,8900000,297600000,-122600000,1.75e+08,-236800000,-61800000,-38200000,-38200000,-38200000,1584800000,1584800000,5921900000,5921900000,6861900000,720400000,557800000,1.5089e+10,1438600000,3004700000,2269300000,735400000,5345700000,20434700000,11748800000,10047100000,1701700000,362300000,12146700000,2103500000,1243300000,3346800000,15493500000,2929100000,-188900000,2124100000,76900000,4941200000,4941200000,20434700000,-61800000,66300000,97800000,2.2e+07,75800000,159300000,-716100000,-28100000,1003100000,-99600000,4.06e+08,-32200000,-3.7e+07,-3.7e+07,627978570.842431,627978570.842431,-3.2e+07,-74100000,-64200000,-1134400000,-1134400000,-1134400000,30100000,0,-8.4e+07,31300000,363200000,363200000,363200000,388900000,2465800000,752800000,0.03667,0.01302,-0.00154,-0.00773,-0.00187,-19.70681,1.24223,3.13557,0.12067,-0.10638,-0.10638,69.0078,13.75996,2.09635,0.17878,0.00301,0.08703,-1.68063,2.26536,2.73094
"2","2010_Q3",23.49734375,"Down",24919700000,-2.3962e+10,957700000,-605700000,-605200000,-5e+05,3.52e+08,-21800000,-27400000,5600000,330200000,34800000,3.65e+08,-134800000,230200000,234500000,234500000,234500000,1746800000,1746800000,4927500000,4927500000,7.961e+09,8.23e+08,674100000,15458300000,1423200000,3042600000,2294700000,747900000,5363200000,20821500000,1.2153e+10,10543100000,1609900000,12700000,1.2203e+10,2099200000,1293200000,3392400000,15595400000,2.893e+09,-173800000,2306500000,200400000,5226100000,5226100000,20821500000,230200000,59500000,9600000,20100000,-10500000,222900000,985300000,-1099100000,496100000,-159400000,524600000,-43400000,-42900000,-42900000,313989285.421215,313989285.421215,0,91600000,-6.3e+07,-350500000,-350500000,-350500000,-52200000,-5e+07,11500000,-454200000,1.62e+08,1.62e+08,1.62e+08,411500000,2111900000,725800000,0.03843,0.01413,0.00941,0.04487,0.01126,3.0951,1.26676,2.98414,0.10143,0.65302,0.64583,69.39488,14.55333,2.02116,0.17544,0.03447,0.08409,0.26866,0.88724,1.03722
"3","2010_Q4",25.6334375,"Up",24342800000,-23332700000,1010100000,-6.28e+08,-628500000,5e+05,382100000,-26400000,-27600000,1200000,355700000,7500000,363200000,-138400000,224800000,222400000,222400000,222400000,2638800000,2638800000,5550200000,5550200000,7214900000,673400000,534500000,16077300000,1406100000,2981600000,2261800000,719800000,5192900000,21270200000,12479500000,10766600000,1712900000,232600000,12747400000,1875600000,1286300000,3161900000,15909300000,2897200000,-172400000,2463900000,172200000,5360900000,5360900000,21270200000,224800000,68600000,29600000,36900000,-7300000,555200000,-634600000,746100000,223500000,220200000,879300000,-60400000,-61900000,-61900000,104663095.140405,104663095.140405,12800000,88100000,-6.3e+07,-3e+05,-3e+05,-3e+05,-3400000,0,-8700000,-75400000,8.92e+08,8.92e+08,8.92e+08,450700000,2108200000,1083900000,0.04149,0.0157,0.00914,0.04149,0.01046,4.87365,1.26122,2.96765,0.09912,0.61984,0.61538,67.84504,14.94119,3.0209,0.17559,0.0326,0.1238,0.28327,-1.17728,-1.38864
"4","2011_Q1",29.8325806451613,"Up",24459800000,-23555400000,904400000,-596100000,-577200000,-18900000,308300000,-26800000,-24100000,-2700000,281500000,27300000,308800000,-1.15e+08,193800000,223300000,223300000,223300000,2755300000,2755300000,5170600000,5170600000,6355900000,637100000,637100000,14918900000,1468800000,2.911e+09,2253200000,657800000,5071300000,19990200000,11304400000,9494900000,1809500000,233200000,11537600000,1896100000,1280400000,3176500000,14714100000,2889900000,-3.31e+08,2647200000,7e+07,5276100000,5276100000,19990200000,193800000,59600000,1.34e+08,2.1e+07,-7e+06,-62400000,386400000,858100000,-1271700000,-35200000,324100000,3.4e+07,-118200000,-118200000,0,0,-12800000,21400000,-62800000,-8e+05,-800000.00000003,-8e+05,-164500000,-1.8e+08,-799999.999999996,-228700000,116800000,116800000,116800000,367900000,2129300000,454500000,0.03697,0.0126,0.00913,0.04232,0.01117,2.03538,1.29307,2.78882,0.10652,0.62201,0.61959,68.13315,14.69666,1.26602,0.17493,0.03294,0.05233,0.28124,-1.70155,-2.03049
"5","2011_Q2",32.01,"Up",24437500000,-23475300000,962200000,-593200000,-581500000,-11700000,3.69e+08,-14500000,-2.2e+07,7500000,354500000,69700000,424200000,-129800000,294400000,294800000,294800000,294800000,2712200000,2712200000,5454100000,5454100000,7087500000,664400000,664400000,15918200000,1475300000,3.579e+09,2896900000,682100000,5054300000,20972500000,1.2218e+10,10532300000,1685700000,233600000,12451600000,1906400000,1375500000,3281900000,15733500000,2865600000,-539800000,2.876e+09,37200000,5.239e+09,5.239e+09,20972500000,294400000,68500000,-48800000,21400000,-70200000,-96400000,-272300000,-731800000,1033100000,-125400000,2.17e+08,-61900000,-61900000,-61900000,0,0,-559900000,84100000,-70300000,-4e+05,-4e+05,-4e+05,-261400000,-269800000,-12100000,-344200000,-43100000,-43100000,-43100000,437500000,2.14e+09,4.09e+08,0.03937,0.0151,0.01206,0.05627,0.01406,1.38738,1.27841,3.00315,0.10204,0.84494,0.83774,70.04156,15.01576,1.17226,0.20149,0.0417,0.04672,0.23847,-1.30789,-1.55068
"6","2011_Q3",31.4046875,"Down",25371800000,-24377600000,994200000,-639900000,-606800000,-33100000,354300000,-16200000,-21900000,5700000,338100000,-10400000,327700000,-112800000,214900000,215400000,215400000,215400000,1.348e+09,1.348e+09,5825300000,5825300000,8314200000,789500000,789500000,1.6277e+10,1484800000,5087900000,4282600000,805300000,6572700000,22849700000,13341200000,11778800000,1562400000,289900000,13631100000,2380200000,1.417e+09,3797200000,17428300000,2876700000,-518400000,3023700000,39400000,5421400000,5421400000,22849700000,214900000,73200000,27800000,2.1e+07,6800000,-172500000,163800000,-868500000,729700000,-197500000,143800000,-61400000,-61400000,-61400000,0,0,-1735100000,-1937500000,-67700000,485500000,485500000,-8999999.99999999,2500000,0,9200000,429500000,-1364200000,-1364200000,-1364200000,427500000,2670100000,306400000,0.03919,0.01396,0.00849,0.03973,0.00943,1.42247,1.19411,3.21472,0.11685,0.61986,0.6142,73.01237,15.60115,0.88173,0.19482,0.02977,0.03222,0.3143,3.09263,3.73158
"7","2011_Q4",30.9639682539683,"Down",26071400000,-24909100000,1162300000,-699800000,-669400000,-30400000,462500000,-18900000,-25100000,6200000,443600000,-18500000,425100000,-175600000,249500000,246100000,246100000,246100000,1961800000,1961800000,6282500000,6282500000,7717700000,723400000,723400000,16685400000,1469800000,5041600000,4265700000,775900000,6511400000,23196800000,13647400000,11961500000,1685900000,113700000,13761100000,2362100000,1416800000,3778900000,1.754e+10,2887100000,-487200000,3189800000,67100000,5656800000,5656800000,23196800000,249500000,97500000,39900000,1.8e+07,21900000,527300000,-470400000,552200000,223600000,221900000,9.14e+08,-59800000,-59800000,-59800000,0,0,0,-74400000,-67900000,-177200000,-218700000,-218700000,25100000,0,-5800000,-225800000,613800000,613800000,613800000,5.6e+08,2475800000,1203100000,0.04458,0.01774,0.00944,0.04351,0.01061,4.88866,1.2125,3.10069,0.10673,0.70617,0.69756,74.81033,16.23185,3.45222,0.19484,0.03288,0.12599,0.2759,0.91786,1.11135
"8","2012_Q1",31.0788709677419,"Up",26763300000,-2.572e+10,1043300000,-685100000,-670300000,-14800000,358200000,-21400000,-2.4e+07,2600000,336800000,4200000,3.41e+08,-133800000,207200000,202700000,202700000,202700000,1.929e+09,1.929e+09,6.156e+09,6.156e+09,7.334e+09,8.97e+08,8.97e+08,1.6316e+10,1.512e+09,5.018e+09,4.259e+09,7.59e+08,6.53e+09,2.2846e+10,1.3043e+10,1.1332e+10,1.711e+09,3.27e+08,1.337e+10,2.175e+09,1.452e+09,3.627e+09,1.6997e+10,2.898e+09,-4.57e+08,3.331e+09,7.7e+07,5.849e+09,5.849e+09,2.2846e+10,207200000,73800000,143100000,19600000,-4500000,-304400000,121900000,383100000,-630400000,-1.79e+08,120200000,-104900000,-107900000,-107900000,7.16e+08,7.16e+08,-5e+06,-100200000,-68100000,4099999.99999988,-4e+05,-9e+05,26800000,-199999.999999985,-15300000,-52500000,-32500000.0000002,-32500000.0000002,-32500000,4.32e+08,2.502e+09,156500000,0.03898,0.01338,0.00757,0.03466,0.00887,0.772080000000001,1.22034,2.90597,0.10952,0.57733,0.56842,76.227,16.65907,0.44574,0.19396,0.02762,0.01596,0.33596,1.32639,1.59966
"9","2012_Q2",31.0838095238095,"Up",2.6792e+10,-2.5708e+10,1.084e+09,-6.71e+08,-6.44e+08,-2.7e+07,4.13e+08,-2.7e+07,-2.3e+07,-4e+06,3.86e+08,-1e+06,3.85e+08,-1.48e+08,2.37e+08,2.37e+08,2.37e+08,2.37e+08,2010600000,2010600000,6232600000,6232600000,7497200000,982800000,982800000,16723200000,1.494e+09,4965800000,4249300000,716500000,6459800000,2.3183e+10,13463500000,11748900000,1714600000,333100000,13796600000,2.195e+09,1477500000,3672500000,17469100000,2886500000,-725200000,3492600000,6e+07,5713900000,5713900000,2.3183e+10,2.37e+08,7.8e+07,2.2e+07,2e+07,2e+06,1.67e+08,-6.9e+07,-1.61e+08,4.1e+08,-1.3e+07,5.04e+08,-4.5e+07,-4.5e+07,-4.5e+07,10000000.0000001,10000000.0000001,-7e+06,-4.2e+07,-7.7e+07,-5e+06,143585152.816346,62458189.4969514,-2.82e+08,-3e+08,-1.7e+07,-3.81e+08,8.1e+07,8.1e+07,8.1e+07,4.91e+08,2528100000,7.61e+08,0.04046,0.01542,0.00885,0.04148,0.01022,3.21097,1.21212,3.0573,0.10905,0.68696,0.67908,77.65797,16.56203,2.2058,0.22319,0.03231,0.0783,0.32489,1.05397,1.25303
"10","2012_Q3",30.2995238095238,"Down",2.7078e+10,-2.5964e+10,1.114e+09,-6.61e+08,-6.39e+08,-2.2e+07,4.53e+08,-2.4e+07,-2.3e+07,-1e+06,4.29e+08,-3e+06,4.26e+08,-1.62e+08,2.64e+08,2.62e+08,2.62e+08,2.62e+08,1797700000,1797700000,5995400000,5995400000,8888900000,1097100000,1097100000,17779100000,1514100000,4.97e+09,4244300000,725700000,6484100000,24263200000,14281900000,12456700000,1825200000,341800000,14623700000,2211400000,1500400000,3711800000,18335500000,2900400000,-707600000,3679800000,55100000,5927700000,5927700000,24263200000,2.64e+08,7.8e+07,2.4e+07,2.2e+07,2e+06,-4.8e+08,2.36e+08,-1.392e+09,7.08e+08,-3.2e+07,-1.14e+08,-5.6e+07,-5.6e+07,-5.6e+07,2.5e+07,2.5e+07,1.49011611938477e-08,-4.2e+07,-7.5e+07,8e+06,-1000000.00000012,-1000000.00000006,-7000000.00000006,-5.96046447753906e-08,1.7e+07,-57000000.0000001,-2.13e+08,-2.13e+08,-2.13e+08,5.31e+08,2553200000,1.57e+08,0.04114,0.01673,0.00968,0.0442,0.0108,0.59924,1.21577,3.09319,0.10523,0.75942,0.75072,78.48696,17.18174,0.45507,0.21739,0.03376,0.01573,0.28626,1.42279,1.66777
