"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2011_Q2",9.23349206349206,"Up",3297000,2693000,3240000,-547000,604000,17000,335000,252000,-102000,3195000,-2364000,-103000,-2261000,831000,831000,833000,-2e+05,633000,633000,633000,633000,-17185712.4917863,-572285665.148605,153828065.055312,118382422.290048,-2518182.89979436,120900605.189842,-4947350.7150041,1854813.32322588,-320465375.127927,-178626778.959815,173307825.171949,-351934604.131764,-147999389.809023,-18725326.121591,-345351494.890429,4655721.87723099,-1660670.13751187,22276119.4238816,-385051.401099075,24886119.7625017,24886119.7625017,-320465375.127927,1238000,-447000,-7094000,-1235000,-8776000,-204000,2224000,4311000,6367000,-1171000,-1171000,-1171000,0,0.25205,0.19199,0.0724790159749565,0.0104512516884779,-12.4133229779795,-0.369079080269854,0.31006,0.31006,1.61498,13.0322472980638,0.09993,0.0130730935664432,0.32227,-119.267293375082
"2","2011_Q3",8.4021875,"Down",3258000,2676000,3185000,-509000,582000,53000,327000,252000,-142000,3116000,-2378000,-82000,-2296000,738000,738000,738000,-164000,574000,574000,574000,574000,-6240356.24589314,-238928832.574303,116019532.527656,150111211.145024,-2312591.44989718,152423802.594921,849824.64249795,2740406.66161294,24591812.4360365,56164610.5200925,171763912.585974,-115599302.065882,-53668694.9045114,-2489663.06079548,6252.55478554964,4926860.93861549,-1659835.06875594,21140059.7119408,178474.299450462,24585559.8812508,24585559.8812508,24591812.4360365,970000,-271000,-4778000,-3619000,-8668000,-203000,-1758000,8874000,6945000,-753000.000000001,-753000.000000001,-753000.000000001,9.31322574615479e-10,0.22652,0.17618,0.0386595079874782,0.00513562584423892,0.760203511010225,-0.123759540134927,0.28116,0.28116,1.59587,12.4363686490319,0.09944,0.00671154678322161,0.35366,-36.3568516875408
"3","2011_Q4",8.92285714285714,"Up",3110000,2708000,3150000,-442000,402000,0,301000,251000,-1e+05,3010000,-2419000,-80000,-2339000,591000,591000,591000,-109000,482000,482000,482000,482000,1314214.58470229,-58286277.5247676,99812510.8425519,167674737.048341,-2174863.81663239,169849600.864974,3789941.54749932,2897802.22053765,217299604.145345,188985870.173364,175736637.528658,13249232.644706,-2710564.96817046,6240112.31306817,192515417.518262,5065620.31287183,-1659278.35625198,20744353.2373136,633491.433150154,24784186.6270836,24784186.6270836,217299604.145345,829000,-454000,-8159000,-1465000,-10078000,-205000,-54000,12380000,12159000,2910000,2910000,2910000,0,0.19003,0.15498,0.0240098359958261,0.00255854194807964,7.95762783700341,0.0074801532883576,0.23579,0.23579,1.52139,12.265376216344,0.10028,0.00355384892774054,0.42531,4.29959943748641
"4","2012_Q1",9.57822580645161,"Up",3212000,2791000,3209000,-418000,421000,1000,329000,261000,-91000,3121000,-2414000,-81000,-2333000,707000,707000,707000,-148000,559000,559000,559000,559000,5944000,12784000,98486000,175450000,-2101000,177551000,4776000,2611000,300140000,248246000,183589000,64657000,17012000,9558000,274816000,5114000,-1659000,20881000,988000,25324000,25324000,300140000,1126000,-405000,-9064000,-1555000,-11024000,-225000,2752000,6367000,8934000,-963999.999999999,-963999.999999999,-963999.999999999,17012000,0.22011,0.17403,0.02207,0.00186,10.852,0.05668,0.27363,0.27363,1.57229,12.39626,0.11014,0.00261,0.4025,15.65488
"5","2012_Q2",10.6471428571429,"Up",3547000,2875000,3276000,-401000,672000,49000,356000,267000,-92000,3455000,-2562000,-94000,-2468000,893000,893000,893000,-206000,687000,687000,687000,687000,8115000,17424000,105319000,177814000,-2087000,179901000,4711000,2164000,315595000,262354000,193684000,68670000,17636000,9558000,289548000,5114000,-1659000,21342000,1250000,26047000,26047000,315595000,1407000,-26000,-6601000,-1231000,-7858000,-226000,605000,14108000,14487000,8036000,8036000,8036000,17636000,0.25176,0.19368,0.02638,0.00218,11.11637,0.05588,0.33513,0.33513,1.73027,12.70601,0.11025,0.00289,0.32897,10.66181
"6","2012_Q3",11.1853968253968,"Up",3669000,2919000,3300000,-381000,750000,106000,367000,277000,-67000,3602000,-2500000,-97000,-2403000,1102000,1102000,1049000,-258000,791000,791000,791000,791000,7992000,4704000,113570000,178492000,-2126000,180618000,4688000,1858000,311312000,263237000,204829000,58408000,12742000,8516000,284495000,5114000,-1659000,21907000,1455000,26817000,26817000,311312000,1336000,-62000,-8116000,480000,-7698000,-226000,-5913000,883000,-5256000,-11618000,-11618000,-11618000,12742000,0.30035,0.21559,0.0295,0.00254,10.60876,0.04093,0.38582,0.38582,1.7896,13.08034,0.11023,0.00327,0.28571,4.31034
"7","2012_Q4",12.1332258064516,"Up",3504000,2919000,3264000,-345000,585000,-37000,338000,284000,-11000,3493000,-2611000,-80000,-2531000,882000,882000,882000,-196000,686000,686000,686000,686000,6041000,17766000,116518000,181861000,-2214000,184075000,5610000,1977000,329773000,279304000,215387000,63917000,14467000,8526000,302297000,5156000,-1659000,22368000,1611000,27476000,27476000,329773000,992000,-1011000,-3079000,-4360000,-8450000,-225000,1705000,16067000,17589000,10131000,10131000,10131000,14467000,0.25171,0.19578,0.02497,0.00208,11.00222,0.04387,0.33447,0.33447,1.70841,13.39624,0.1097,0.00276,0.32799,9.55329
"8","2013_Q1",12.8928333333333,"Up",3556000,2906000,3238000,-332000,650000,26000,325000,299000,-145000,3411000,-2672000,-85000,-2587000,739000,739000,739000,-139000,6e+05,6e+05,6e+05,6e+05,6663000,12727000,112126000,195095000,-2335000,197430000,5752000,2398000,334761000,284481000,218566000,65915000,13722000,8668000,306871000,5205000,-1659000,22740000,1604000,27890000,27890000,334761000,904000,-246000,4082000,-15594000,-11758000,-228000,-775999.999999999,5177000,4222000,-6632000,-6632000,-6632000,13722000,0.20782,0.16873,0.02151,0.00179,11.0029,0.04099,0.29206,0.29206,1.73093,13.57583,0.11098,0.00247,0.38,9.5521
"9","2013_Q2",12.495,"Down",3645000,2981000,3307000,-326000,664000,21000,342000,301000,-25000,3620000,-2867000,-92000,-2775000,753000,753000,753000,-138000,615000,615000,615000,615000,8248000,8030000,112500000,199780000,-2338000,202118000,5849000,2558000,336965000,284457000,218326000,66131000,15005000,8743000,308205000,5258000,-1650000,23108000,2044000,28760000,28760000,336965000,759000,-241000,25000,-4710000,-4926000,-247000,1264000,-24000,1055000,-3112000,-3112000,-3112000,15005000,0.20658,0.16872,0.02138,0.00183,10.71645,0.04453,0.29887,0.29887,1.77135,13.97642,0.12003,0.00256,0.40163,8.97344
"10","2013_Q3",12.316875,"Down",3731000,3053000,3370000,-317000,678000,2000,336000,340000,-56000,3675000,-2728000,-83000,-2645000,947000,947000,947000,-2e+05,747000,747000,747000,747000,7790000,9149000,116365000,203319000,-2367000,205686000,5781000,2178000,344582000,292241000,221281000,70960000,14685000,8560000,315486000,5304000,-1650000,23607000,1835000,29096000,29096000,344582000,1591000,-79000,-4490000,-4575000,-9144000,-248000,-339000,7784000,7234000,-319000,-319000,-319000,14685000,0.25382,0.20021,0.02567,0.00217,10.84293,0.04262,0.36215,0.36215,1.80883,14.10607,0.12023,0.00289,0.33199,7.28089
