"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q3",18.56984375,"Up",6334000,-10528000,-3281000,-7247000,-4194000,-389000,-4583000,-4583000,-4583000,-4583000,-4583000,-4583000,228847000,228847000,1679000,1679000,230526000,2515000,1503000,1503000,4018000,234544000,1609000,1609000,28749000,28749000,30358000,42916000,42916000,42916000,73274000,245751000,-84481000,161270000,161270000,234544000,-4583000,165000,2056000,-5891000,-8253000,-453000,-1706000,31000,31000,106970000,97011000,97011000,97011000,-4029000,0,-0.66214,-0.72356,-0.02842,-0.01954,7.59358,0.45436,0,-1.3742,-1.3742,1.89923,48.35624,-0.02245,56.79995,54.56533
"2","2013_Q4",13.97046875,"Down",6385000,-12542000,-3836000,-8706000,-6157000,44000,-6113000,-6113000,-6113000,-6113000,-6113000,-6113000,216791000,216791000,4676000,4676000,221467000,5392000,1403000,1403000,6795000,228262000,1144000,1144000,30346000,30346000,31490000,39072000,39072000,39072000,70562000,248294000,-90594000,157700000,157700000,228262000,-6113000,306000,2515000,-5568000,-8860000,-2115000,-2015000,27000,27000,-1180999.99999999,-12056000,-12056000,-12056000,-5851000,0,-0.96429,-0.9574,-0.03876,-0.02678,7.03293,0.44744,0,-0.1676,-0.1676,0.17506,4.32364,-0.03107,37.05196,35.21049
"3","2014_Q1",15.1501639344262,"Up",6335000,-14450000,-4685000,-9765000,-8115000,34000,-8081000,-8081000,-8081000,-8081000,-8081000,-8081000,206279000,206279000,5708000,5015000,211987000,10920000,1483000,1483000,12403000,224390000,4359000,4359000,30515000,30515000,34874000,37849000,37156000,37849000,72723000,250342000,-98675000,151667000,151667000,224390000,-8081000,331000,1665000,630000,-5455000,-5290000,-5290000,284000,284000,233000,-10512000,-10512000,-10512000,-7784000,0,-1.28098,-1.27561,-0.05328,-0.03601,6.07865,0.47949,0,-0.21709,-0.21709,0.17018,4.07441,-0.04264,26.50039,25.41947
"4","2014_Q2",16.0288888888889,"Up",6335000,-17003000,-5540000,-11463000,-10668000,59000,-10609000,-10609000,-10609000,-10609000,-10609000,-10609000,192499000,192499000,3421000,2728000,195920000,11984000,1606000,1606000,13590000,209510000,2601000,2601000,30445000,30445000,33046000,32299000,31606000,32299000,65345000,253449000,-109284000,144165000,144165000,209510000,-10609000,475000,2535000,-4335000,-11934000,-2517000,-2517000,671000,671000,671000,-13780000,-13780000,-13780000,-10193000,0,-1.68398,-1.67466,-0.07359,-0.05064,5.92871,0.45327,-1.6940658945086e-21,-0.28454,-0.28454,0.16991,3.86662,-0.06012,18.88541,18.04453
"5","2014_Q3",23.07125,"Up",6335000,-19668000,-5737000,-13931000,-13333000,10000,-13323000,-13323000,-1526000,-1526000,-1526000,-1526000,175710000,175710000,7159000,4053000,182869000,12857000,44896000,1668000,57753000,240622000,2586000,2586000,36961000,36961000,39547000,35319000,32213000,35319000,74866000,276566000,-110810000,165756000,165756000,240622000,-1526000,542000,-9321000,-1019000,-11324000,-2017000,-6690000,1225000,1225000,1225000,-16789000,-16789000,-16789000,-12791000,0,-2.10466,-0.24088,-0.00921,-0.00634,4.62409,0.45166,0,-0.04038,-0.04038,0.16765,4.38649,-0.00759,13.737,13.17858
"6","2014_Q4",33.4109375,"Up",6365000,-23296000,-6647000,-16649000,-16931000,-21000,-16952000,-17030000,-17030000,-17030000,-17030000,-17030000,215374000,89603000,7946000,4840000,223320000,14978000,43449000,1162000,106873000,330193000,3641000,3641000,34883000,34883000,38524000,29777000,26671000,29777000,68301000,389806000,-127840000,261892000,261892000,330193000,-17030000,1541000,3070000,-8352000,-20771000,-1769000,-175581000,479000,479000,110245000,-86107000,-86107000,-86107000,-15390000,-2.91038304567337e-11,-2.66002,-2.67557,-0.06503,-0.05158,5.79691,0.2608,2.71050543121376e-20,-0.39231,-0.39231,0.14663,6.03305,-0.05839,13.99441,12.72069
"7","2015_Q1",65.97,"Up",6386000,-25834000,-5303000,-20531000,-19448000,72000,-19376000,-19544000,-19544000,-19544000,-19544000,-19544000,473555000,347845000,6434000,6434000,479989000,15740000,42562000,1215000,76750000,556739000,2954000,2954000,40024000,40024000,42978000,22504000,22504000,22504000,65482000,638712000,-147384000,491257000,491257000,556739000,-19544000,1670000,3238000,-1028000,-15664000,-2405000,27595000,2851000,2851000,246311000,258242000,258242000,258242000,-17778000,0,-3.04541,-3.06044,-0.03978,-0.0351,11.16825,0.13329,0,-0.42986,-0.42986,0.14046,10.80489,-0.03804,26.63714,24.3498
"8","2015_Q2",101.857936507937,"Up",6344000,-31055000,-7336000,-23719000,-24711000,139000,-24572000,-24787000,-24787000,-24787000,-24787000,-24787000,334884000,133174000,5952000,4039000,340836000,16850000,41700000,1294000,192980000,533816000,2551000,2551000,39462000,39462000,42013000,17304000,15391000,17304000,59317000,646793000,-172171000,474499000,474499000,533816000,-24787000,1710000,5777000,-6859000,-24159000,-1156000,-192976000,2464000,2464000,2464000,-214671000,-214671000,-214671000,-23001000,2.3283064365387e-10,-3.89518,-3.90716,-0.05224,-0.04643,8.11263,0.12501,4.33680868994202e-19,-0.49308,-0.49308,0.1262,9.43909,-0.0504,14.55954,13.55202
"9","2015_Q3",91.1696875,"Down",4940000,-54990000,-10724000,-44266000,-50050000,228000,-49822000,-51795000,-51795000,-51795000,-51795000,-51795000,810507000,593299000,4945000,4546000,815452000,16803000,40976000,1511000,183717000,999169000,2339000,2339000,25694000,25694000,28033000,52170000,51771000,52170000,80203000,1142985000,-223966000,918966000,918966000,999169000,-51795000,1799000,18162000,19716000,-12118000,-1412000,-7993000,3057000,3057000,480236000,460125000,460125000,460125000,-48251000,0,-10.13158,-10.48482,-0.05636,-0.05184,29.089,0.08728,0,-1.01793,-1.01793,0.09709,18.06054,-0.05333,16.79772,16.19395
"10","2015_Q4",49.94890625,"Down",1323000,-44100000,-13705000,-30395000,-42777000,263000,-42514000,-42866000,-42926000,-42926000,-42926000,-42926000,707464000,417510000,5691000,4957000,713155000,61564000,48675000,10150000,304486000,1017641000,3469000,3469000,30108000,30108000,33577000,51281000,50547000,95058000,128635000,1155848000,-266892000,889006000,889006000,1017641000,-42926000,1872000,9615000,2372000,-29067000,-1050000,-149725000,3388000,3388000,3003000.00000006,-175789000,-175789000,-175789000,-40905000,43777000,-32.33333,-32.44596,-0.04829,-0.04218,21.23939,0.1447,0.04302,-0.76412,-0.76412,0.02355,15.82512,-0.04362,16.22508,15.51504
