"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","prepaid_pension_costs","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",26.135,"Down",394500000,-206700000,187800000,-221400000,-127300000,-38400000,-55700000,-33600000,-16100000,-16600000,5e+05,-49700000,-21400000,-71100000,-2e+05,-71300000,-71300000,41500000,-29800000,-29800000,294800000,289400000,5300000,344900000,30700000,314200000,6.45e+08,2.3e+08,2.565e+09,730700000,1662300000,160500000,11500000,2.795e+09,3.44e+09,173700000,39800000,133900000,4800000,916700000,914200000,1095200000,1044300000,675300000,468500000,206800000,1719600000,2814800000,383700000,-29800000,-13691585.6738538,353900000,271100000,6.25e+08,3439800000,-71300000,38400000,33400000,46800000,47300000,-14800000,-29600000,-3200000,-47600000,1.03e+08,-9700000,92900000,92600000,92600000,5829.01386076715,92600000,4800000,1049100000,3.7e+07,0.47605,-0.08517,-0.07554,-0.04768,-0.00866,-1.24161,0.58893,4.50368,0.30497,-0.46105,-0.46105,6.1035,5.47536,0.57245,-0.01268,0.01575,157.14583,-22.4494
"2","2015_Q4",30.40140625,"Up",411100000,-211300000,199800000,-188900000,-93500000,-40600000,-54800000,10900000,-14600000,-14600000,0,-3700000,-6e+05,-4300000,-9e+05,-5200000,-5200000,2700000,-2500000,-2500000,333100000,327700000,6200000,344400000,2.8e+07,316400000,683700000,221500000,2564900000,728200000,1662300000,162900000,11500000,2786400000,3470100000,171700000,28900000,142800000,4800000,9.37e+08,9.34e+08,1113500000,1043200000,682200000,478500000,203700000,1725400000,2838900000,3.95e+08,-32300000,9e+05,363600000,267400000,6.31e+08,3469900000,-5200000.00000001,40600000,1.3e+07,30300000,78700000,-33800000,0,0,-33800000,-6800000,3e+05,-6500000,38400000,38400000,-1e+05,38300000,51500000,1.048e+09,48900000,0.48601,0.02651,-0.00608,-0.00396,-0.00072,-19.56,0.61401,4.49905,0.30201,-0.0384600000000001,-0.03846,6.32471,5.59393,0.75232,-0.00106,0.02071,13.88155,65.58716
"3","2016_Q1",30.0608196721311,"Down",425400000,-2.14e+08,211400000,-199200000,-102500000,-42400000,-54300000,12200000,-14200000,-14500000,3e+05,-2e+06,6e+05,-1400000,9e+05,-5e+05,-5e+05,6e+05,1e+05,1e+05,352500000,3.48e+08,4800000,336600000,25300000,311300000,693900000,2.25e+08,2579900000,735300000,1663400000,163700000,12100000,2804900000,3498800000,166400000,39400000,1.27e+08,4200000,9.43e+08,937700000,1113600000,1039800000,664400000,478500000,185900000,1704200000,2817800000,454600000,-32200000,3200000,425600000,255200000,680800000,3498600000,-5e+05,42400000,13100000,6100000,61100000,-22500000,-3.4e+07,9e+05,-55600000,-489700000,11500000,14900000,20400000,20400000,-1e+05,20300000,54600000,1.044e+09,37300000,0.49694,0.02868,0.00024,0.00015,3e-05,373,0.62311,4.13895,0.29839,0.00151,0.00151,6.42171,6.42473,0.56307,4e-05,0.01561,12.66484,56.68033
"4","2016_Q2",31.32921875,"Up",433700000,-226100000,207600000,-206300000,-105700000,-38900000,-61700000,1300000,-13600000,-14300000,7e+05,-12300000,-4600000,-16900000,-1400000,-18300000,-18300000,7800000,-10500000,-10500000,440100000,431700000,6100000,365600000,3.4e+07,331600000,811800000,223800000,2561200000,711400000,1663400000,169700000,10500000,2.785e+09,3596800000,1.87e+08,60900000,126100000,4200000,1003600000,994200000,1194800000,1038700000,6.89e+08,504300000,184700000,1727700000,2922500000,477900000,-42700000,1400000,436600000,237500000,674100000,3596600000,-18300000,38900000,20300000,64400000,105300000,-1.2e+07,0,-3900000,-15900000,-7000000.00000006,6400000,-5700000.00000001,83700000,83700000,-46356.8663370205,83700000,40200000,1042900000,9.4e+07,0.47867,0.003,-0.02421,-0.01558,-0.00292,-8.95237999999995,0.67944,4.33541,0.28995,-0.15479,-0.15479,6.39355,6.4363,1.38574,-0.00224,0.03907,14.99502,463.69231
"5","2016_Q3",31.89046875,"Up",456200000,-232300000,223900000,-214200000,-112800000,-39300000,-62100000,9700000,-15100000,-14300000,-8e+05,-5400000,-6100000,-11500000,4e+05,-11100000,-11100000,2200000,-8900000,-8900000,481700000,472100000,7400000,371600000,4e+07,331600000,860700000,233300000,2576700000,727700000,1664900000,170400000,6700000,2.81e+09,3670700000,195300000,66300000,1.29e+08,4100000,1033700000,1026800000,1233100000,1037700000,7.46e+08,518200000,227800000,1783700000,3016800000,489700000,-51600000,2900000,4.41e+08,212700000,653700000,3670500000,-11100000,39300000,19500000,44700000,92400000,-14600000,-41300000,-1200000,-57100000,-6100000,16900000,5100000,40400000,40400000,0,40400000,4.9e+07,1041800000,78700000,0.49079,0.02126,-0.01951,-0.01361,-0.00242,-8.8427,0.698,4.61496,0.28382,-0.11143,-0.11143,5.71164,5.52133,0.98533,-0.00131,0.03223,11.43061,57.74227
"6","2016_Q4",35.0865079365079,"Up",472100000,-241500000,230600000,-209400000,-106200000,-43400000,-59800000,21200000,-15100000,-14400000,-7e+05,6100000,1300000,7400000,9e+05,8300000,8300000,-3500000,4800000,4800000,565800000,556200000,10800000,3.64e+08,31300000,332700000,940600000,230800000,2569800000,705500000,1678100000,171800000,6600000,2800600000,3741200000,187800000,63200000,124600000,4100000,1043300000,1043300000,1235200000,1036700000,7.67e+08,528400000,238600000,1803700000,3038900000,5.48e+08,-46800000,2700000,503900000,198200000,702100000,3.741e+09,8300000,43400000,2.1e+07,2.7e+07,99700000,-16200000,-16600000,-4.65661287307739e-10,-32800000,-5400000,22600000,17200000,84100000,84100000,0,84100000,64600000,1040800000,74500000,0.48846,0.04491,0.01017,0.00684,0.00128,15.52083,0.7615,4.3283,0.2782,0.05733,0.04962,5.63816,6.01794,0.88973,0.00191,0.02968,7.35294,22.40566
"7","2017_Q1",36.2296774193548,"Up",485900000,-245700000,240200000,-222300000,-125300000,-38500000,-58500000,17900000,-15300000,-14200000,-1100000,2600000,-3100000,-5e+05,-3e+05,-8e+05,-8e+05,-1100000,-1900000,-1900000,572700000,566100000,8e+06,352100000,24500000,327600000,932800000,2.31e+08,2623100000,716500000,1718400000,172100000,16100000,2854100000,3786900000,204700000,61700000,1.43e+08,4e+06,1053500000,1043500000,1262200000,1035700000,774800000,532700000,242100000,1810500000,3072700000,608300000,-48700000,2700000,562300000,151700000,7.14e+08,3786700000,-8e+05,38500000,25200000,26200000,89100000,-2e+07,-60600000,3e+06,-77600000,-7600000,9100000,-1500000,1e+07,1e+07,-1e+05,9900000,56400000,1039700000,62900000,0.49434,0.03684,-0.00391,-0.00266,-5e-04,-33.10526,0.73903,4.3035,0.27455,-0.02162,-0.02537,5.52781,6.39697,0.71558,-0.00502,0.02487,8.28014,26.08939
"8","2017_Q2",40.0380952380952,"Up",489700000,-2.57e+08,232700000,-2.27e+08,-128400000,-31600000,-6.7e+07,5700000,-11100000,-12800000,1700000,-5400000,3300000,-2100000,-1e+06,-3100000,-3100000,3700000,6e+05,6e+05,670600000,658200000,8400000,367200000,25200000,3.42e+08,1046200000,228100000,2615600000,701100000,1718400000,178600000,12100000,2843700000,3889900000,202200000,7e+07,132200000,6e+06,1114800000,1111800000,1.323e+09,1031400000,796100000,559100000,2.37e+08,1827500000,3150500000,645800000,-48100000,7e+05,598400000,140800000,739200000,3889700000,-3100000,31600000,19100000,7.9e+07,126600000,-19800000,-4e+06,-5800000,-29600000.0000001,-2700000.00000006,4800000,-4900000.00000006,92100000,92100000,0,92100000,37300000,1037400000,97500000,0.47519,0.01164,0.00123,0.000810000000000001,0.00015,162.5,0.79078,4.26204,0.26669,0.0067,0.00599000000000001,5.4654,6.67857,1.08817,0.00295,0.03789,9.83378,64.35088
"9","2017_Q3",43.0952380952381,"Up",557800000,-286500000,271300000,-265200000,-134300000,-55500000,-75400000,6100000,-19300000,-2.2e+07,2700000,-13200000,3.2e+07,18800000,4600000,23400000,18100000,2700000,20800000,20800000,591200000,578800000,17400000,996400000,55500000,378800000,1.605e+09,2.97e+08,4351900000,1332300000,2820900000,186700000,1.2e+07,4648900000,6253900000,399800000,66400000,333400000,580800000,1343500000,1.217e+09,2324100000,2419100000,1015700000,584300000,250800000,3434800000,5758900000,435300000,-27300000,-22800000,385200000,109600000,494800000,6253700000,18100000,55500000,-19200000,58900000,113300000,-16700000,-1867200000,0,-1883900000,1947600000,-11100000,1689400000,-81200000,-81200000,1800000,-79400000,61600000,2999900000,99200000,0.48638,0.01094,0.03729,0.04204,0.00333,4.76923,0.69059,11.63884,0.47968,0.20432,0.1177,5.47937,3.78389,0.97446,0.00528,0.02199,39.10227,394.86885
"10","2017_Q4",47.4157142857143,"Up",582200000,-291300000,290900000,-258800000,-124200000,-6e+07,-74600000,32100000,-22700000,-24400000,1700000,9400000,-5300000.00000001,4100000,3e+06,7100000,3e+07,-7600000,22400000,22400000,553300000,536900000,17300000,4.33e+08,49800000,383200000,1003600000,296300000,4395100000,1316800000,2.882e+09,1.85e+08,11300000,4691400000,5.695e+09,480100000,49500000,430600000,16100000.0000001,1254300000,1254300000,1750500000,2415800000,1059500000,594800000,292100000,3475300000,5225800000,451600000,-4900000,-51600000,395100000,7.4e+07,469100000,5694900000,3e+07,6e+07,-16700000,58100000,131400000,-23700000,443200000,-3900000,415600000,-606200000,15300000,-590500000,-43500000,-43500000,1600000,-41900000,92100000,2431900000,123500000,0.49966,0.05514,0.03847,0.04775,0.00393,5.51338999999999,0.57332,11.14006,0.42702,0.19506,0.12784,5.06984,3.44056,1.07545,0.00566,0.03118,20.39739,58.52336
