"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","abnormal_gains_losses","other_abnormal_items","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",40.2579365079365,"Down",1457200000,-1.235e+09,222200000,-8.8e+07,-81400000,-6600000,134200000,-1800000,-14900000,13100000,132400000,4e+05,4e+05,132800000,-32800000,1e+08,102500000,-1900000,100600000,100600000,44601807911.2797,44601807911.2797,3128307151.35423,3128307151.35423,-9550362020.44045,-9343438573.2867,-866243145.696122,28836314468.9067,6245934200.11257,-3844111132.97065,2414842248.38537,907263566.620301,-7440248432.82355,274031484.847224,2401823067.14192,31238137536.0487,-3393625012.74828,-749316731.106623,-2644308281.64165,16481377684.0305,-614034906.992607,17095412591.0231,13435222000.8924,-10765720545.9924,1029434464.23332,1332469330.87905,-303034866.64573,-9736286081.75907,3698935919.13338,2569206651.92996,4490058.36083677,2564716593.56912,22266208262.0031,2634690593.89916,27470105507.8322,69096110.3393882,27539201618.1716,31238137537.3049,102500000,92100000,-8300000,14200000,11600000,-34100000,-13900000,111500000,78900000,-222800000,18500000,172400000,-236200000,-236200000,-236200000,1e+05,-236100000,-22300000,-2300000,14500000,-16800000,-17400000,-5100000,-27500000,-91200000,-91200000,-13300000,-104500000,226300000,0,9e+06,0.15248,0.09209,0.06904,2.68238138489248,1.93958763075742,0.08946,-4.87837017676065,-0.443998205127447,0.273972476476226,0.22627,0.22541,3.27755,61.4690429913022,0.02024,0.05016,2.113480695731,1.19066552050757,0.22167,-30.266720448356,-28.3434065240716
"2","2010_Q3",43.80078125,"Up",1709700000,-1402700000,3.07e+08,-106900000,-82900000,-2.4e+07,200100000,-34500000,-11900000,-22600000,165600000,5600000,5600000,171200000,-50400000,120800000,1.09e+08,-1200000,107800000,107800000,20581553955.6398,20581553955.6398,1773803575.67711,1773803575.67711,-3479031010.22022,-3450469286.64335,-127571572.848061,15425857234.4534,5691517100.05628,-717655566.485325,2049871124.19268,553181783.310151,-3500224216.41177,179515742.423612,4973861533.57096,20399718768.0243,-802062506.374139,53491634.4466887,-855554140.820827,7024038842.01525,-206567453.496304,7230606295.51156,6389861000.44622,-3875610272.9962,1271917232.11666,880284665.439525,391632566.677135,-2603693040.87954,3786167959.56669,2532353325.96498,4495029.18041839,2527858296.78456,12736554131.0015,1302695296.94958,16571602753.9161,41948055.1696941,16613550809.0858,20399718768.6525,1.09e+08,138900000,19500000,3200000,23300000,-7e+06,-92599999.9999999,-96500000,77800000,-86700000,12800000,174800000,-190600000,-190600000,-190600000,23100000,-154600000,-23399999.9999999,15200000,32900000,-17700000,-17700000,-3e+05,-5700000,14500000.0000001,14500000.0000001,34900000,49400000,3.39e+08,0,106200000,0.17956,0.11704,0.06305,1.17300069244624,0.846908815378711,0.98516,0.527394911619675,0.0731708974362764,0.175556238238113,0.24225,0.24143,3.84202,37.1038564956511,0.23865,0.0525799999999999,0.924360347865501,0.536957760253785,0.21707,-13.690175224178,-12.9347532620358
"3","2010_Q4",57.07671875,"Up",1731900000,-1255400000,476500000,-87600000,-82300000,-5300000,388900000,-32300000,-1e+07,-22300000,356600000,7e+05,7e+05,357300000,-125300000,2.32e+08,223500000,-9e+05,222600000,222600000,7575617985.21328,7575617985.21328,978701191.892372,978701191.892372,-233643670.073408,-318756428.881117,226976142.38398,8001919078.15112,5454072366.68543,1230614811.17156,1846490374.7309,372627261.103384,-1130774738.80392,142271914.141204,6684687177.85699,14686606256.0081,602979164.541954,446330544.815563,156648619.726391,1986579614.00508,7377515.50123212,1979202098.50385,2660120333.48207,-166403424.332065,1384572410.70555,619028221.813175,765544188.892378,1218168986.37349,3878289319.85556,2521551108.65499,4498343.06013946,2517052765.59485,7686751377.00051,570765098.983193,10779067584.6387,29249351.7232314,10808316936.3619,14686606256.2175,223500000,101600000,-1600000,3100000,1100000,-5800000,153200000,-32300000,15300000,26900000,143300000,476700000,-208800000,-208800000,-208800000,4100000,-204700000,-6e+08,-46800000,-43300000,-3500000,-3500000,2e+06,-6.39e+08,-3.67e+08,-3.67e+08,10700000,-356300000,490500000,0,560200000,0.27513,0.22455,0.12853,0.35964689748208,0.258326271792904,2.51662,3.13357830387322,0.350656965812092,0.124885412746038,0.5,0.49821,3.89016,24.1619488318837,1.25831,1.34771,0.283720115955167,0.184292586751262,2.69542,-4.93997840805934,-4.91630775401193
"4","2011_Q1",66.9064516129032,"Up",1860300000,-1172700000,687600000,-1.4e+08,-113700000,-26300000,547600000,-13400000,-12800000,-6e+05,534200000,-5800000,-5800000,528400000,-138800000,389600000,396500000,-4e+05,396100000,396100000,2.523e+09,2.523e+09,614800000,614800000,1002300000,834700000,319400000,4974800000,5465600000,2267300000,1763200000,305900000,54700000,143500000,7732900000,12707700000,1172200000,566700000,605500000,98300000,83100000,15200000,1303900000,1245600000,1409800000,501700000,908100000,2655400000,3959300000,2527500000,4500000,2.523e+09,5905300000,289400000,8722200000,26200000,8748400000,12707700000,396500000,112400000,2600000,3e+06,15100000,-15500000,20600000,-2.1e+07,-8e+07,52200000,69400000,532100000,-2.75e+08,-2.75e+08,-2.75e+08,-600000.000000015,-270900000,-22300000,-17300000,-13700000,-3600000,-5100000,-5e+05,-38400000.0000002,222800000,222800000,8400000,231200000,6.6e+08,1343900000,544400000,0.36962,0.29436,0.21292,0.04528,0.03117,1.3744,3.81532,0.45257,0.10575,0.88891,0.88653,4.17482,19.57406,1.22172,0.0500400000000001,0.03638,0.04733,0.0562999999999994,-1.78652,-2.15321
"5","2011_Q2",58.7696825396825,"Down",2188300000,-1683600000,504700000,-94400000,-88100000,-6300000,410300000,-5e+06,-7e+06,2e+06,405300000,-6e+05,-6e+05,404700000,-109600000,295100000,298900000,-1200000,297700000,297700000,2362700000,2362700000,553900000,553900000,1045300000,792900000,271700000,4754800000,5658100000,2.659e+09,1758500000,293300000,442800000,164400000,8317100000,13071900000,1256300000,552100000,704200000,88500000,75900000,12600000,1379100000,1244100000,1.39e+09,481300000,908700000,2634100000,4013200000,2540900000,4500000,2536400000,6180700000,309100000,9030700000,2.8e+07,9058700000,13071900000,298900000,104700000,2700000,13100000,-30400000,2e+07,149900000,41300000,-42300000,88700000,62200000,556200000,-294700000,-294700000,-294700000,-1600000,-681600000,-22300000,-10900000,-7200000,-3700000,-3700000,-1300000,-3.3e+07,-158400000,-158400000,-1900000,-160300000,5.15e+08,1332600000,479800000,0.23064,0.1875,0.13604,0.03286,0.02277,1.61169,3.44776,0.44302,0.10194,0.66824,0.66614,4.91201,20.27093,1.07699,0.05006,0.02716,0.04073,0.07491,-2.00019,-2.5106
"6","2011_Q3",55.718125,"Down",2674800000,-1906500000,768300000,-110100000,-89300000,-20800000,658200000,649100000,-5600000,-30900000,1307300000,-3e+05,-3e+05,1.307e+09,-281300000,1025700000,1026800000,-1200000,1025600000,1025600000,3659400000,3659400000,6.51e+08,6.51e+08,816900000,3.97e+08,230800000,5524300000,5.969e+09,2706100000,1794200000,289800000,4.42e+08,180100000,8675100000,14199400000,1202900000,532500000,670400000,520800000,54500000,466300000,1.77e+09,788400000,1370200000,501100000,869100000,2158600000,3928600000,2560500000,4500000,2.556e+09,7.184e+09,496700000,10241200000,29600000,10270800000,14199400000,1026800000,105700000,-667100000,3e+06,36500000,-706600000,66300000,-87600000,227700000,-41500000,-32300000,531700000,-2.91e+08,-2.91e+08,-2.91e+08,1.031e+09,7.4e+08,-22300000,-24500000,-21400000,-3099999.99999997,-3800000.00000001,7400000,-30200000,1241500000,1241500000,55200000,1296700000,763900000,1309200000,820500000,0.28724,0.24607,0.38343,0.09986,0.07223,0.80002,3.12107,0.3825,0.0922,2.30058,2.29287,6,22.97263,1.84051,0.05002,0.08092,0.06336,0.0217399999999998,-3.07658,-3.57065
"7","2011_Q4",44.7147619047619,"Down",2214300000,-1360700000,853600000,-82800000,-83600000,8e+05,770800000,-31900000,-2e+05,-31700000,738900000,-16100000,-16100000,722800000,-175900000,546900000,542600000,-5e+05,542100000,542100000,3352100000,3352100000,777900000,777900000,1133600000,4.3e+08,318700000,5693600000,6330300000,2675200000,1828800000,235700000,438900000,171800000,9005500000,14699100000,1362700000,645400000,717300000,124500000,74200000,50300000,1534500000,762200000,1392800000,514100000,878700000,2.155e+09,3689500000,2.577e+09,4500000,2572500000,7703700000,702700000,10983400000,26200000,11009600000,14699100000,542600000,114100000,61300000,2600000,52200000,6500000,-352100000,-137600000,-314900000,1.45e+08,-44600000,365900000,-311600000,-311600000,-311600000,-1e+07,-271600000,-22400000,-4.23e+08,19700000,-442700000,-459600000,-1.5e+07,-452400000,-358100000,-358100000,50800000,-307300000,884900000,886700000,397100000,0.38549,0.3481,0.24482,0.04924,0.03688,0.73252,3.71039,0.33512,0.06032,1.21465,1.21086,4.96146,24.6099,0.88976,0.05019,0.04248,0.02988,0.04132,-2.78608,-3.1985
"8","2012_Q1",46.8366129032258,"Up",2860400000,-1865200000,995200000,-170300000,-111500000,-58800000,824900000,1.2e+07,7700000,4300000,836900000,-100000.000000004,-1e+05,836800000,-1.86e+08,650800000,645200000,4e+06,649200000,649200000,3906400000,3906400000,9.26e+08,9.26e+08,1266400000,586100000,308300000,6684900000,6635900000,2466100000,1829800000,6500000,434300000,195500000,9.102e+09,15786900000,1784700000,941100000,843600000,71600000,23600000,4.8e+07,1928500000,761300000,1435200000,580100000,855100000,2196500000,4.125e+09,2600800000,4500000,2596300000,8330600000,710200000,11641600000,20300000,11661900000,15786900000,645200000,122900000,177500000,2400000,138300000,36800000,27300000.0000001,-113400000,-115200000,277500000,-21600000,972900000,-365900000,-365900000,-365900000,6e+05,-358900000,-22300000,-53700000.0000001,-50600000,-3100000.00000006,-3100000,5e+06,-69400000.0000001,544600000,544600000,9700000,554300000,947800000,832900000,795200000,0.34792,0.28839,0.22696,0.05567,0.04112,1.22489,3.46637,0.35372,0.05276,1.4543,1.44878,6.40771,26.07885,1.78136,0.04996,0.04821,0.05709,0.03435,-3.24277,-3.72591
"9","2012_Q2",42.0179365079365,"Down",3083300000,-2235100000,848200000,-118600000,-101100000,-17500000,729600000,-6e+05,5100000,-5700000,7.29e+08,7e+05,7e+05,729700000,-205100000,524600000,526400000,-4e+05,5.26e+08,5.26e+08,4.038e+09,4.038e+09,784600000,784600000,1.402e+09,533200000,309700000,6757800000,6890900000,2532100000,1895700000,4700000,433100000,198600000,9.423e+09,16180800000,1626100000,903100000,7.23e+08,87700000,13600000,74100000,1783900000,737400000,1420800000,579700000,841100000,2158200000,3942100000,2614800000,4500000,2610300000,8834200000,769200000,12218200000,20500000,12238700000,16180800000,526400000,120300000,9.1e+07,13800000,52600000,24600000,-183400000,130600000,-135800000,-164200000,-1.4e+07,554300000,-391400000,-391400000,-391400000,-1100000,-392500000,-22400000,-6500000,-1e+07,3500000,-1800000,-1100000,-28800000,1.33e+08,1.33e+08,-1400000,131600000,849900000,825100000,480200000,0.27509,0.23663,0.1706,0.04298,0.03251,0.91293,3.78822,0.3221,0.05099,1.17779,1.17437,6.90394,27.35826,1.07524,0.05016,0.03786,0.03315,0.04259,-3.78033,-4.40365
"10","2012_Q3",48.7084126984127,"Up",3014500000,-2133300000,881200000,-84200000,-100600000,16400000,7.97e+08,59200000,4100000,55100000,856200000,-8e+05,-8e+05,855400000,-230700000,624700000,625600000,-2e+06,623600000,623600000,3627600000,3627600000,919200000,919200000,1206700000,605900000,417700000,6359400000,6.975e+09,2467900000,1830100000,5800000,439300000,192700000,9442900000,15802300000,1488700000,853600000,635100000,541800000,28300000,513500000,2098700000,1008900000,1374500000,589400000,785100000,2383400000,4482100000,1456500000,4300000,1452200000,9435500000,408100000,11300100000,20100000,11320200000,15802300000,625600000,120200000,109900000,3200000,76800000,29900000,-3.38e+08,-144400000,1.93e+08,-229600000,-1.57e+08,517700000,-387100000,-387100000,-387100000,2499999.99999999,-384600000,-22300000,727700000,14700000,7.13e+08,-28400000,-4400000,-460400000,-327300000,-327300000,-83100000,-410400000,917200000,1550700000,422800000,0.29232,0.26439,0.20687,0.05509,0.03946,0.678,3.03016,0.39594,0.09813,1.40641,1.40229,6.7986,25.48512,0.95354,0.05029,0.04534,0.02968,0.03576,-2.26439,-2.6059
