"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q1",7.4672131147541,"Down",169474000,-102926000,66548000,-46752000,-37532000,-9220000,19796000,-6279000,-6868000,589000,13517000,7995000,-494000,7501000,7501000,-1875000,5626000,5626000,7728000,7728000,115478000,115478000,79082000,21727000,21727000,224015000,40438000,40438000,365860000,110902000,51000,4258000,406298000,630313000,108697000,53428000,2268000,53001000,18729000,2500000,2500000,129926000,215170000,4062000,588000,3474000,219232000,349158000,129324000,1041000,802000,131167000,149988000,281155000,630313000,7501000,9220000,6393000,-9717000,13397000,-7284000,-10494000,-120199000,117337000,-2862000,41000,41000,23000,64000,29016000,233899000,12509000,0.39267,0.11681,0.0332,0.02001,0.00893,2.22343,1.72417,1.24187,0.37108,0.24107,0.11111,7.26172,5.62032,0.53599,0.01084,0.0241,7.7947,11.42509
"2","2018_Q2",9.788125,"Up",137211000,-85921000,51290000,-44111000,-34810000,-9301000,7179000,-4454000,-5896000,1442000,2725000,2697000,-460000,2237000,2237000,-1338000,899000,899000,6450000,6450000,88616000,88616000,73950000,24670000,24670000,193686000,40910000,40910000,363205000,113498000,81999.9999999995,4160000,404115000,597801000,74440000,23222000,2634000,48584000,41556000,2500000,2500000,118496000,200097000,4618000,689000,3929000,204715000,323211000,130296000,-8917000,1304000,122683000,151907000,274590000,597801000,2237000,9301000,23999.9999999991,-2107000,9455000,-5866000,-6501000,7389000,-10857000,-3468000,-514000,-514000,-763999.999999999,-1278000,16480000,241653000,8967000,0.3738,0.05232,0.00655,0.00327,0.0015,9.97442,1.63454,1.17707,0.40424,0.03852,0.01776,5.8793,5.25679,0.38422,0.00173,0.01722,14.27203,32.76264
"3","2018_Q3",20.0866666666667,"Up",138723000,-85717000,53006000,-43879000,-34229000,-9650000,9127000,-8186000,-5584000,-2602000,941000,941000,-70000,871000,871000,-454000,417000,417000,10892000,10892000,96474000,96474000,63591000,18515000,18515000,189472000,43022000,43022000,358500000,113052000,78000,4033000,401522000,590994000,69373000,22219000,2073000,45081000,50279000,2500000,2500000,122152000,198178000,4323000,259000,4064000,202501000,324653000,131628000,2357000,207000,134192000,132149000,266341000,590994000,871000,9650000,3018000,-853000,12686000,-8251000,-8251000,6433000,-8028000,-1595000,2840000,2840000,1602000,4442000,18777000,248457000,9743000,0.3821,0.06579,0.00301,0.00157,0.00071,23.36451,1.55112,1.21894,0.42041,0.01786,0.00822,5.94255,5.74846,0.41737,8e-04,0.01877,12.65191,26.02882
"4","2018_Q4",16.6968253968254,"Down",176915000,-108898000,68017000,-51228000,-41267000,-9961000,16789000,-7184000,-5750000,-1434000,9605000,9605000,-1519000,8086000,8086000,-6056000,2030000,2030000,10576000,10576000,127026000,127026000,81206000,25302000,25302000,244110000,44469000,44469000,360186000,112977000,5795000,3896000,404655000,648765000,99909000,34978000,2371000,62560000,62872000,2500000,2500000,165281000,196181000,10885000,65000,10820000,207066000,372347000,142430000,4387000,163000,146980000,129438000,276418000,648765000,8086000,9961000,7337000,-26117000,-732999.999999998,-6753000,-6753000,10226000,-1556000,8670000,1184000,1184000,-1500000,-315999.999999999,26750000,259053000,-4601000,0.38446,0.0949,0.01147,0.00734,0.00313,-2.2665,1.47694,1.34704,0.3993,0.08542,0.07723,7.44435,6.18473,-0.1936,0.00372,-0.00842,9.28886,14.79999
"5","2019_Q1",18.3634426229508,"Up",233224000,-150210000,83014000,-55247000,-45043000,-10204000,27767000,-5997000,-4509000,-1488000,21770000,17251000,-3383000,13868000,13868000,-9751000,4117000,4117000,13486000,13486000,148627000,148627000,86622000,11904000,11904000,260639000,44296000,44296000,361405000,116078000,7407000,4275000,405701000,666340000,112657000,36130000,4492000,72035000,30593000,5014451.05716,5014451.05716,143250000,216704000,13132000,5000,13127000,229836000,373086000,146158000,8717000,-167000,154708000,138546000,293254000,666340000,13868000,10204000,8755000,-4244000,28583000,-5996000,-5996000,-16176000,-2477000,-18653000,3934000,3934000,-1024000,2910000,37971000,247297000,31114000,0.35594,0.11906,0.01765,0.01404,0.00618,7.55744,1.81947,1.27223,0.37113,0.16576,0.16107,9.39018,6.22893,1.25273,0.00744,0.05619,6.15762,8.42046
"6","2019_Q2",21.2574603174603,"Up",167065000,-103656000,63409000,-50698000,-40468000,-10230000,12711000,-4137000,-4137000,-542099.466778157,8574000,8574000,-1429000,7145000,7145000,-4950000,2195000,2195000,22546000,22546000,117618000,117618000,75396000,16935000,16935000,232495000,42863000,42863000,413705000,121892000,21081000,37577000,456568000,689063000,79200000,25753000,5441000,48006000,33061000,7839000,7839000,120100000,214045000,57498000,23000,57475000,271543000,391643000,166213000,12557000,1e+05,178870000,118550000,297420000,689063000,7070000,10050000,2636000,7546000,27302000,-3613000,-9982000,-667000,-6903000,-7570000,9750000,9750000,-690000,9060000,22761000,247106000,28123000,0.37955,0.07608,0.01314,0.00738,0.00319,12.8123,1.93585,1.3168,0.35861,0.08239,0.07713,6.27121,6.71434,1.05567,0.00365,0.04671,9.866,17.66659
"7","2019_Q3",23.13296875,"Up",191199000,-119998000,71201000,-54072000,-43647000,-10425000,17129000,-3544000,-3698000,154000,13585000,13585000,-2170000,11415000,11415000,-6283000,5132000,5132000,19485000,19485000,131646000,131646000,75298000,17170000,17170000,243599000,43331000,43331000,429244000,124510000,29673000,45745000,472575000,716174000,90648000,32852000,1046000,56750000,29948000,8602000,8602000,129198000,211383000,79228000,20000,79208000,290611000,419809000,176689000,16044000,-336000,192397000,103968000,296365000,716174000,11490000,11004000,4517000,-6359000,20652000,-8117000,-8117000,-6320000,-9831000,-16151000,-3616000,-3616000,555000,-3061000,28133000,241331000,15827000,0.37239,0.08959,0.02684,0.01732,0.00717,3.08398,1.88547,1.41653,0.33697,0.17148,0.15971,6.38863,6.42866,0.52884,0.00832,0.02565,7.88561,12.95149
"8","2019_Q4",16.326875,"Down",223307000,-137801000,85506000,-62896000,-52424000,-10472000,22610000,-4197000,-3620000,-577000,18413000,18413000,-2865000,15548000,15548000,-6909000,8639000,8639000,13492000,13492000,163088000,163088000,94347000,14039000,14039000,284966000,53954000,53954000,471385000,124282000,55232000,66706000,525339000,810305000,127051000,61415000,937000,64699000,29264000,9525000,9525000,165840000,208460000,129417000,38000,129379000,337877000,503717000,200369000,24683000,-874000,224178000,82410000,306588000,810305000,15548000,11200000,3314000,-15030000,15032000,-15425000,-15425000,-3077000,-3961000,-7038000,-7431000,-7431000,1438000,-5993000,33810000,237724000,6220000,0.38291,0.10125,0.03869,0.02818,0.01066,0.719990000000001,1.71832,1.64298,0.29338,0.26915,0.25009,6.95725,6.98439,0.19379,0.01282,0.00923,6.63212,9.91738
"9","2020_Q1",10.1951612903226,"Down",213551000,-151125000,62426000,-68263000,-57264000,-10999000,-5837000,-2439000,-2887000,448000,-8276000,-8276000,1988000,-6288000,-6288000,2047000,-4241000,-4241000,25229000,25229000,151564000,151564000,62124000,20280000,20280000,259197000,65712000,65712000,471558000,124835000,57547000,67684000,537270000,796467000,106748000,42531000,637000,63580000,39507000,11314000,11314000,157569000,202816000,130938000,341000,130597000,333754000,491323000,204178000,20442000,791000,225411000,79733000,305144000,796467000,-6288000,12264000,2129000,19674000,27779000,-15109000,-15109000,3841000,-1422000,2419000,15089000,15089000,-3352000,11737000,6427000,242323000,9004000,0.29232,-0.02733,-0.01986,-0.0139,-0.00532,-2.12308,1.64497,1.61013,0.30425,-0.12142,-0.11598,6.11421,6.45378,0.25779,-0.00625,0.01327,33.77843,-37.19274
"10","2020_Q2",4.84412698412698,"Down",136700000,-81417000,55283000,-58302000,-47313000,-10989000,-3019000,-3569000,-2655000,-914000,-6588000,-6588000,856000.000000001,-5732000,-5732000,1606000,-4126000,-4126000,55413000,55413000,105176000,105176000,53284000,15031000,15031000,228904000,64470000,64470000,464559000,124329000,58008000,65039000,529029000,757933000,78424000,29806000,138000,48480000,45373000,11949000,11949000,135746000,197175000,128414000,310000,128104000,325589000,461335000,206574000,16316000,-785000,222105000,74493000,296598000,757933000,-5732000,11937000,3581000,27166000,36952000,-4961000,-4961000,-118000,-2675000,-2752000,29239000,29239000,945000.000000001,30184000,8918000,242548000,30267000,0.40441,-0.02208,-0.03018,-0.01391,-0.00544,-7.33568,1.68627,1.55542,0.32001,-0.11807,-0.11807,3.91197,6.35603,0.86616,-0.00618,0.04534,20.98397,-61.98576
