"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2011_Q3",5.8646875,"Down",10909000,-740000,10169000,-9352000,-2060000,-6392000,-9e+05,817000,-3107000,-3107000,-2290000,-3555000,-5845000,-5845000,-5899000,1996000,-3903000,-3903000,13307000,13307000,4229000,4229000,8328000,1954000,6374000,25864000,402965000,426688000,102790000,97867000,505755000,531619000,8124000,3253000,4871000,265887000,-316152160.959897,6200000,6200000,6200000,272087000,178065000,174162000,85370000,259532000,531619000,-5760000,4385000,1052000,123000,-2e+05,-12326000,-21235000,1644000,-151529000,-20600000,35078000,13643000,13643000,13643000,5202000,255870000,0.93217,0.07489,-0.35778,-0.01504,-0.00734,0.09727,1.04838,0.4813,-0.25756,-0.25756,0.71989,11.49308,-0.10849,-0.01063,0.42121,46.6288,296.89474
"2","2011_Q4",5.7584126984127,"Down",15153000,-1315000,13838000,-11502000,-2453000,-7765000,-1284000,2336000,-4324000,-4324000,-1988000,263000,-1725000,-1725000,-572000.000000001,188000,-384000,-384000.000000001,11988000,11988000,4808000,4808000,11756000,1817000,9939000,28552000,444303000,471123000,108091000,103168000,552394000,580946000,12162000,6003000,6159000,303290000,17500000,7135000,7135000,24635000,327925000,181523000,169805000,83216000,253021000,580946000,-572000.000000002,8332000,-720000,1731000,8771000,-36991000,-50225000,-4871000,45373000,-367000,40135000,-1319000,-1319000,-1319000,10668000,308628000,0.91322,0.15416,-0.0253400000000001,-0.00152,-0.00066,0.09414,1.29604,0.53125,-0.02428,-0.02428,0.95812,10.73677,0.30799,0.00789,-12.6849,27.80652,126.9863
"3","2012_Q1",6.89016129032258,"Up",8312000,-534000,7778000,-9697000,-3713000,-5159000,-825000,-1919000,-1082000,-1082000,-3001000,374000,-2627000,-2627000,-2617000,1212000,-1405000,-2423000,16498000,16498000,5592000,5592000,8366000,1355000,7011000,30456000,472254000,502258000,121804000,116881000,594058000,624514000,12204000,6044000,6160000,308983000,93009053.653299,5622000,5622000,5622000,314605000,180078000,230693000,79216000,309909000,624514000,-2756000,8016000,67000,-1218000,4109000,-26344000,-42434000,-7177000,-16125000,-2863000,42835000,4510000,4510000,4510000,6097000,296779000,0.93576,-0.23087,-0.29151,-0.00782,-0.00388,0.09857,1.01515,0.47522,-0.15312,-0.15312,0.52526,10.21781,0.45353,0.00776,-2.96203,45.97031,-146.05576
"4","2012_Q2",7.76936507936508,"Up",17539000,-1496000,16043000,-13186000,-2998000,-8779000,-1409000,2857000,-4088000,-4088000,-1231000,-78000.0000000001,-1309000,-1309000,-1361000,972000,-389000,-1942000,18462000,18462000,5710000,5710000,10018000,1490000,8528000,34190000,498931000,532723000,124084000,119161000,623015000,657205000,12437000,4644000,7793000,309690000,39999999.9999999,6268000,6268000,46268000,355958000,154751000,223751000,77496000,301247000,657205000,-1361000,8860000,843000,-455000,7887000,-30181000,-38615000,-7713000,40405000,-5392457.81102442,32692000,1964000,1964000,1964000,11717000,337253000,0.9147,0.16289,-0.11072,-0.00645,-0.00295,0.1104,1.18162,0.51316,-0.12272,-0.12272,1.10834,9.77912,0.4874,0.00895,-3.97168,27.20756,111.58243
"5","2012_Q3",8.67126984126984,"Up",19340000,-2424000,16916000,-14085000,-3308000,-9153000,-1624000,2831000,-4122000,-4122000,-1291000,-453000,-1744000,-1744000,-1528000,887000,-641000,-2235000,5113000,5113000,6210000,6210000,12423000,1954000,10469000,23746000,548624000,586126000,137433000,132510000,686057000,709803000,16041000,5754000,10287000,303355000,5e+06,9080000,9080000,14080000,317435000,249494000,318494000,73874000,392368000,709803000,-1528000,9272000,1656000,288000,9688000,-53595000,-72249000,-6296000,-44745000,-7134000,49212000,-13349000,-13349000,-13349000,12103000,292314000,0.87466,0.14638,-0.11556,-0.0057,-0.00315,0.07828,0.80902,0.41182,-0.1147,-0.1147,0.99257,12.80455,0.32312,0.00585,-2.817,23.72974,101.4486
"6","2012_Q4",10.1475806451613,"Up",21102000,-1262000,19840000,-15581000,-3656000,-10236000,-1689000,4259000,-3549000,-3549000,710000,-2014000,-1304000,-1304000,-4916000,1248000,-3668000,-5262000,10684000,10684000,7100000,7100000,11849000,5706000,6143000,29633000,613908000,655789000,160370000,155447000,774278000,803911000,20951000,8179000,12772000,182845000,1.12e+08,10060000,10060000,122060000,304905000,409183000,429840000,69166000,499006000,803911000,-4916000,10354000,6177000,1016000,12631000,-72959000,-100446000,-10287000,-18393000,-8115000,93386000,5571000,5571000,5571000,14613000,273894000,0.9402,0.20183,-0.24936,-0.01054,-0.00655,0.16207,0.61102,0.3407,-0.17686,-0.17686,0.70926,12.12824,0.34576,0.00642,-1.95496,18.01204,61.80089
"7","2013_Q1",11.9833333333333,"Up",26071000,-7659000,18412000,-14531000,-4655000,-14259000,4383000,3881000,-4332000,-4332000,-451000,-2787000,-3238000,-3238000,-2394000,613000,-1781000,-3372000,19006000,19006000,9351000,9351000,7053000,1556000,5497000,35410000,770052000,816227000,199662000,194739000,969714000,1005124000,23412000,12111000,11301000,253807000,249300000,12557000,12557000,261857000,515664000,427976000,427605000,61855000,489460000,1005124000,-2394000,14987000,1538000,3674000,17805000,-161864000,-205893000,-14310000,205347000,-6000,196410000,8322000,8322000,8322000,18868000,479215000,0.70623,0.14886,-0.12934,-0.00689,-0.00335,0.13952,1.05354,0.47677,-0.096,-0.096,0.74223,12.17374,0.4074,0.01115,-4.24377,24.39098,118.58001
"8","2013_Q2",13.025,"Up",29988000,-2696000,27292000,-22617000,-4506000,-15398000,-2713000,4675000,-4647000,-4647000,27999.9999999998,-575000,-547000,-547000,-418000,265000,-153000,-1775000,11980000,11980000,10373000,10373000,17400000,3657000,13743000,39753000,811808000,864065000,197442000,192519000,1009250000,1049003000,24954000,8832000,16122000,24954000,423844000,14129000,7277000,437973000,462927000,525265000,518521000,67555000,586076000,1049003000,-418000,15610000,868000,-3481000,12579000,-47801000,-62335000,-12842000,-56817999.9999999,-5149000,42730000,-7026000,-7026000,-7026000,20285000,423844000,0.9101,0.1559,-0.05919,-0.00303,-0.00169,1.59305,0.78988,0.40404,-0.07087,-0.07087,1.19729,17.94734,0.51272,0.01081,-7.23493,20.30387,88.09925
"9","2013_Q3",12.35875,"Down",31843000,-2316000,29527000,-24126000,-4477000,-16244000,-3405000,5401000,-4843000,-4843000,558000,-832000,-274000,-274000,-184000,357000,173000,-2410000,19763000,19763000,10949000,10949000,12542000,3268000,9274000,43254000,885344000,943851000,220448000,215525000,1105792000,1149046000,30132000,12873000,17259000,258030000,2.25e+08,14209000,14209000,239209000,497239000,507001000,579807000,7.2e+07,651807000,1149046000,-184000,16435000,616000,4298000,21165000,-67814000,-92639000,-14792000,30553000,-6704000,79257000,7783000,7783000,7783000,21836000,452898000,0.92727,0.16961,-0.07568,-0.0037,-0.0021,0.16763,0.76286,0.39415,-0.05737,-0.05737,0.75804,12.13625,0.35213,0.01107,-6.13776,19.83582,80.19533
"10","2013_Q4",12.85140625,"Up",34643000,-6299000,28344000,-21726000,-4376000,-17261000,-89000,6618000,-5367000,-5367000,1251000,-986000,265000,265000,294000,335000,629000,-2147000,23909000,23909000,12911000,12911000,10400000,3590000,6810000,47220000,942376000,1006938000,223556000,218633000,1165932000,1213152000,31443000,16158000,15285000,258260000,2.7e+08,14827000,14827000,284827000,543087000,526254000,598160000,71905000,670065000,1213152000,294000,17463000,3322000,390999.999999998,21470000,-63424000,-79916000,-20037000,43814000,1885000,62592000,4146000,4146000,4146000,24081000,496686000,0.81817,0.19103,-0.06198,-0.0032,-0.00177,0.18284,0.8105,0.40942,-0.05022,-0.05022,0.81029,12.35354,0.46866,0.01514,-9.33256,19.63278,71.43805
