"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"1","2011_Q2",16.3136507936508,"Up",207178000,-174141000,33037000,-21028000,-10582000,-10446000,12009000,-139000,-159000,20000,11870000,11870000,-4653000,7217000,7217000,7217000,7217000,7217000,1282000,4984000,3440000,16923000,-7250000,-6427000,-18000,594000,594000,-197000,379000,10875000,10875000,0,10875000,13291000,0,14134000,0.15946,0.05796,0.03483,1.95843,0.19388,0.17419,5.56571,0.3797
"2","2011_Q3",13.9146875,"Down",240813000,-200634000,40179000,-23255000,-10958000,-12297000,16924000,-154000,-169000,15000,16770000,16770000,-5201000,11569000,11569000,11569000,11569000,11569000,1322000,-3557000,-5358000,3976000,-1025000,-630000,5000,548000,548000,-201999.999999999,350999.999999996,3697000,3697000,0,3697000,18246000,-1.86264514923096e-09,17064000,0.16685,0.07028,0.04804,1.47498,0.30816,0.27819,6.4145,0.45453
"3","2011_Q4",14.8138095238095,"Up",234288000,-196432000,37856000,-22698000,-10496000,-12202000,15158000,-140000,-161000,21000,15018000,15018000,-4322000,10696000,10696000,10696000,10696000,10696000,1386000,-381000,-34362000,-22661000,-2286000,-11341000,9510000,4819000,4819000,553000,14882000,-19120000,-19120000,0,-19120000,16544000,0,-15782000,0.16158,0.0647,0.04565,-1.4755,0.28018,0.24921,6.13721,-0.41341
"4","2012_Q1",16.9508064516129,"Up",260303000,-220271000,40032000,-25430000,-12267000,-13163000,14602000,-187000,-197000,10000,14415000,14415000,-3684000,10731000,10731000,10731000,10731000,10731000,1463000,-2506000,554000,10242000,-5641000,-6372000,37000.0000000019,4310000,4310000,-6370000,-2023000,1847000,1847000,1.81898940354586e-12,1847000,16065000,28151000,14662000,0.15379,0.0561,0.04123,1.36632,0.27107,0.24586,6.57547,0.37037
"5","2012_Q2",16.3812698412698,"Down",247885000,-208259000,39626000,-26112000,-12288000,-13824000,13514000,-177000,-194000,17000,13337000,13337000,-4845000,8492000,8492000,8492000,8492000,8492000,1535000,780000,14330000,25137000,-8045000,-6354000,3008000,611000,611000,15000,3634000,22417000,22417000,-80000,22337000,15049000,30600000,26179000,0.15986,0.05452,0.03426,3.08278,0.21043,0.19569,6.14246,0.6487
"6","2012_Q3",13.0014285714286,"Down",249915000,-207301000,42614000,-28896000,-13239000,-15657000,13718000,-153000,-173000,20000,13565000,13565000,-4791000,8774000,8774000,8774000,8774000,8774000,1612000,11359000,-9992000,11753000,-10215000,-7392000,4033000,1315000,1315000,401000,5749000,10110000,10110000,-13000,10097000,15330000,34658000,-86000,0.17051,0.05489,0.03511,-0.00979999999999981,0.21635,0.20027,6.16237,-0.00212000000000012
"7","2012_Q4",9.14370967741936,"Down",240178000,-199449000,40729000,-31139000,-13977000,-17162000,9590000,-180000,-189000,9000,9410000,9410000,-2333000,7077000,7077000,7077000,7077000,7077000,1967000,-18987000,-7919000,-17862000,-3450000,-3060000,967000,5768000,5768000,188000,6923000,-13999000,-13999000,483000,-13516000,11557000,36116000,2521000,0.16958,0.03993,0.02947,0.35622,0.17208,0.15864,5.84005,0.0613
"8","2013_Q1",11.613,"Up",275896000,-233448000,42448000,-33256000,-15676000,-17580000,9192000,-153000,-161000,8000,9039000,9039000,-3529000,5510000,5510000,5510000,5510000,5510000,1957000,3485999.99999999,-13514000,-2561000.00000001,-3152000,-2913000,-3296000,855000,855000,-48000,-2489000,-7963000,-7963000,-72000,-8035000,11149000,32757000,-1988000,0.15386,0.03332,0.01997,-0.360799999999999,0.1327,0.12301,6.64441,-0.04788
"9","2013_Q2",10.32984375,"Down",270707000,-235692000,35015000,-33333000,-15112000,-18221000,1682000,-140000,-155000,15000,1542000,1542000,-643000,899000,899000,899000,899000,899000,1955000,-8412000,-20996000,-26554000,-919000,-920000,5059000,359000,359000,-669000,4749000,-22725000,-22725000,222000,-22503000,3637000,38056000,-17635000,0.12935,0.00621,0.00332,-19.61624,0.02158,0.02035,6.49692,-0.42324
"10","2013_Q3",12.60609375,"Up",291487000,-251365000,40122000,-32514000,-13690000,-18824000,7608000,-145000,-152000,7000,7463000,7463000,-2549000,4914000,4914000,4914000,4914000,4914000,2019000,-850000,26074000,32157000,-1871000,-1582000,-1109000,421000,421000,16000,-672000.000000002,29903000,29903000,172000,30075000,9627000,37128000,36379000,0.13765,0.0261,0.01686,7.40313,0.1173,0.11314,6.95789,0.86838
