"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"39","2020_Q2",1.28539682539683,"Down",5197000,-1.4e+07,-8803000,-7410000,-7410000,-16213000,-72000,-296000,-16285000,-880000,-17165000,2000,-17163000,-17163000,-16947000,-16947000,60484000,60484000,5718000,5718000,41121000,9331000,8309000,116654000,39285000,95163000,95163000,134448000,251102000,28361000,19653000,8708000,46215000,43996000,74576000,65976000,6258000,6258000,59718000,76176000,150752000,83507000,28877000,-10639000,100621000,100350000,251102000,-17163000,3013000,3410000,4713000,-6027000,-3506000,3769000,263000,-9000,-9000,-5773000,-5773000,-5773000,-13200000,10200000,-11995000,-1.69386,-3.11968,-3.26092,-0.16888,-0.06749,0.70779,1.56423,1.50226,0.04062,-1.37035,-1.37035,0.42024,8.13633,-0.96993,-0.096,-0.06795,3.80939,3.10146
"40","2020_Q3",1.7646875,"Up",17458000,-23602000,-6144000,-6537000,-6537000,-12681000,-33000,-167000,-12714000,-267000,-12981000,1000,-12980000,-12980000,-12791000,-12791000,48540000,48540000,6789000,6789000,47116000,19147000,18120000,121592000,39469000,92723000,92723000,132192000,253784000,26263000,18054000,8209000,59264000,57045000,99477000,60757000,6006000,6006000,54751000,67007000,166484000,83454000,16086000,-10499000,87760000,87300000,253784000,-12980000,2871000,-856000,-3791000,-14756000,-3333000,-3855000,-7188000,0,1e+07,-11944000,-11944000,-11944000,-9810000,20200000,-16935000,-0.35193,-0.72637,-0.73267,-0.14652,-0.0504,1.32398,1.22231,1.90703,0.0796,-1.03112,-1.03112,1.40733,7.07456,-1.36517,-0.07602,-0.10065,2.88889,2.23484
"41","2020_Q4",2.195,"Up",25202000,-29281000,-4079000,-7158000,-7158000,-11237000,-48000,-208000,-11285000,-30103000,-41388000,75000,-41313000,-41313000,-40322000,-40322000,32757000,32757000,10293000,10293000,60186000,15411000,4919000,118647000,19443000,73015000,73015000,92458000,211105000,32372000,20606000,11766000,55321000,53102000,103518000,56806000,5754000,5754000,51052000,61181000,164699000,83793000,-24236000,-10359000,47857000,46406000,211105000,-41313000,2070000,28414000,-7369000,-18198000,-1258000,3673000,2415000,0,0,-15783000,-15783000,-15783000,-9167000,20200000,-17869000,-0.16185,-0.44588,-1.59995,-0.8689,-0.191,0.44316,1.14615,3.54909,0.09569,-3.24466,-3.24466,2.02798,3.851,-1.4379,-0.32673,-0.14479,1.3698,1.11747
"42","2021_Q1",3.61409836065574,"Up",60590000,-55066000,5524000,-8710000,-8710000,-3186000,-1496000,-1554000,-4682000,-9683000,-14365000,-277000,-14642000,-14642000,-14383000,-14383000,54047000,54047000,9421000,9421000,38831000,18679000,4644000,120978000,19642000,42122000,42122000,61764000,182742000,26375000,17840000,8535000,27169000,24950000,71149000,43428000,7046000,7046000,36382000,81096000,152245000,82223000,-38619000,-11763000,30497000,30497000,182742000,-14642000,1248000,21058000,-27588000,-19924000,-1582000,1.86264514923096e-09,-1582000,-3983000,42796000,21290000,21290000,21290000,-1938000,55273000,-30831000,0.0911700000000001,-0.05258,-0.23738,-0.47162,-0.07871,2.14357,1.70035,4.99213,0.30246,-0.87008,-0.87008,3.66531,1.84488,-1.86508,-0.11133,-0.23863,-0.63261,-0.38481
"43","2021_Q2",6.08269841269841,"Up",32370000,-31054000,1316000,-9151000,-9151000,-7835000,-2387000,-2502000,-10222000,-28778000,-3.9e+07,-132000,-39132000,-39132000,-39132000,-39132000,31556000,31556000,6217000,6217000,37054000,22396000,13398000,97223000,19516000,41331000,41331000,60847000,158070000,32458000,27168000,5290000,10076000,8234000,61849000,67117000,6698000,6698000,60419000,103928000,165777000,82680000,-76998000,-11607000,-7707000,-7707000,158070000,-39132000,1197000,32271000,-16612000,-22276000,-169000,-1589314.85154715,-169000,-46000,-46000,-22491000,-22491000,-22491000,-6638000,56126000,-23287000,0.04065,-0.24205,-1.2089,5.07746,-0.24756,0.59509,1.57194,-21.50993,0.35507,-1.95645,-1.95645,1.61838,-0.38532,-1.16426,-0.3387,-0.20156,-3.70142,-3.13593
"44","2021_Q3",5.27265625,"Down",37354000,-35357000,1997000,-6294000,-6294000,-4297000,-2982000,-3212000,-7279000,3572000,-3707000,-504000,-4211000,-4211000,-4211000.00000001,-4211000.00000001,20730000,20730000,8505000,8505000,48783000,31823000,21276000,109841000,19790000,40427000,40427000,60217000,170058000,39084000,34612000,4472000,9927000,8462000,69529000,61780000,6350000,6350000,55430000,109967000,179496000,82842000,-79047000,-11451000,-9438000,-9438000,170058000,-4211000,999000,-2250000,-16371000,-21833000,-831000,181999.999999998,-649000,-496000,11656000,-10826000,-10826000,-10826000,-3298000,68705000,-19996000,0.05346,-0.11503,-0.11273,0.446179999999999,-0.02476,4.74852,1.57979,-19.01844,0.40401,-0.20881,-0.20881,1.85224,-0.46799,-0.99153,-0.03479,-0.16519,-14.54669,-11.16477
"45","2021_Q4",4.18765625,"Down",58307000,-56769000,1538000,-5701000,-5701000,-4163000,-3417000,-3562000,-7580000,9836000,2256000,-1525000,731000,731000,731000,731000,27486000,27486000,7733000,7733000,44635000,44738000,38441000,124592000,18927000,40586000,40586000,59513000,184105000,41609000,28335000,13274000,10929000,9842000,62699000,60606000,6002000,6002000,54604000,131326000,194025000,83463000,-81231000,-11296000,-9920000,-9920000,184105000,731000,1108000,-8218000,-6470000,-12849000,-550000,0,-550000,-1039000,20155000,6756000,6756000,6756000,-3055000,80881000,-8550000,0.02638,-0.0714,0.01254,-0.07369,0.00397,-11.69631,1.98714,-19.55897,0.43932,0.0364,0.0364,2.90313,-0.49392,-0.42571,0.00556,-0.06499,-17.47791,-12.82609
"46","2022_Q1",4.0991935483871,"Down",75019000,-68412000,6607000,-6386000,-6386000,221000,-3714000,-4041000,-3493000,3910000,416999.999999998,748000,1165000,1165000,1165000,1165000,26240000,26240000,9571000,9571000,56012000,44903000,39816000,136726000,18236000,45702000,45702000,63938000,200664000,55500000,41185000,14315000,13820000,12529000,69320000,53516000,35000,35000,53481000,1.33e+08,202320000,83932000,-80066000,-5522000,-1656000,-1656000,200664000,1165000,1e+06,-2067000,1463000,1561000,-307000,0,-307000,-176000,-2500000,-1246000,-1246000,-1246000,1221000,79484000,1629000,0.08807,0.00294999999999998,0.01553,-0.7035,0.00580999999999999,1.39828,1.97239,-122.17391,0.3961,0.0937500000000001,0.09375,6.03684,-0.13326,0.13109,0.00886999999999999,0.0124,43.60688,240.92308
"47","2022_Q2",4.76806451612903,"Up",93236000,-83178000,10058000,-10713000,-10713000,-655000,-4209000,-5705000,-4864000,-20730000,-25594000,-253000,-25847000,-25847000,-25847000,-25847000,41011000,41011000,22088000,22088000,58476000,46403000,38200000,167978000,18515000,44257000,44257000,62772000,230750000,60877000,46482000,14395000,31027000,30378000,91904000,76302000,-17438636.8873697,-17437891.7736813,76302000,164874000,256778000,85323000,-105913000,-5438000,-26028000,-26028000,230750000,-25847000,1024000,27153000,5315000,7645000,-960000,1239132.56907248,-960000,-17000,8086000,14771000,14771000,14771000,369000,88572000,4977000,0.10788,-0.00703,-0.27722,0.99305,-0.11201,-0.19256,1.82776,-9.86545,0.38384,-1.18639,-1.1142,4.27956,-1.19469,0.22845,-0.18616,0.03585,128.8916,-72.61221
"48","2022_Q3",4.17734375,"Down",56786000,-50197000,6589000,-4053000,-4053000,2536000,-5096000,-5757000,-2560000,18746000,16186000,-1647000,14539000,14539000,14539000,14539000,21531000,21531000,23488000,23488000,75845000,29616000,18428000,150480000,19284000,42590000,42590000,61874000,212354000,58892000,46767000,12125000,27226000,27226000,86118000,54427000,-52037910.6621091,-52035675.3210439,54427000,136387000,222505000,86578000,-91374000,-5355000,-10151000,-10151000,212354000,14539000,1036000,-18078000,-7538000,-10041000,-1848000,3990397.70721745,-1848000,0,-7591000,-19480000,-19480000,-19480000,3572000,81960000,-4167000,0.11603,0.04466,0.25603,-1.43227,0.06847,-0.286609999999999,1.74737,-21.91952,0.38596,0.59343,0.59343,2.31782,-0.41433,-0.17008,0.11517,-0.03301,16.91741,23.82847
