"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q4",17.261746031746,"Down",72025000,-79946000,-7921000,-10734000,-10734000,-18655000,307000,-27000,-18348000,-59000,-18407000,6793000,-11614000,-11614000,-11614000,-11614000,121210000,70207000,17098000,17098000,70263000,11657000,10831000,220228000,40036000,58267000,25070000,98303000,318531000,42085000,32043000,10042000,7120000,7120000,49205000,26557000,12219000,6504000,14338000,26557000,75762000,90881000,172518000,-8080000,242769000,242769000,318531000,-11614000,2349000,-6925000,6373000,-9817000,-168000,-20866000,-21034000,-5000,-1121000,-31972000,-31972000,-31972000,-16306000,0,-16894000,-0.10998,-0.25901,-0.16125,-0.04784,-0.03646,1.45462,4.47572,0.31207,0,-0.94467,-0.94467,5.85846,19.74665,-1.37415,-0.03898,-0.06273,7.43346,6.49745
"30","2018_Q1",15.1354098360656,"Down",79241000,-83374000,-4133000,-9301000,-9301000,-13434000,256000,-64000,-13178000,-7000,-13185000,2047000,-11138000,-11138000,-11138000,-11138000,130705000,87788000,7581000,7581000,50842000,10819000,10819000,199947000,38253000,57704000,26737000,95957000,295904000,33200000,23329000,9871000,7117000,4720000,40317000,23855000,11319000,5763000,12536000,23855000,64172000,90474000,161380000,-7567000,231732000,231732000,295904000,-11138000,2345000,2453000,15765000,9425000,-354000,8514000,8160000,-4000.00000000012,-4000,17581000,17581000,17581000,-11089000,0,2275000,-0.05216,-0.16953,-0.14056,-0.04806,-0.03764,-0.20426,4.95937,0.27692,0,-0.90592,-0.90592,6.44514,18.84812,0.18504,-0.04358,0.00890000000000002,11.78691,9.72941999999999
"31","2018_Q2",15.3859375,"Up",82973000,-83569000,-596000,-7996000,-7996000,-8592000,349000,-32000,-8243000,0,-8243000,1839000,-6404000,-6404000,-6404000,-6404000,117543000,65255000,12911000,12911000,61421000,13474000,13145000,205349000,53023000,59258000,26309000,112281000,317630000,37461000,26273000,11188000,13930000,6496000,51391000,40157000,10865000,5480000,29292000,40157000,91548000,89035000,154976000,-7531000,226082000,226082000,317630000,-6404000,2550000,-1438000,-10853000,-16145000,46000,-8971000,-8925000,2537000,2537000,-22533000,-22533000,-22533000,-6042000,0,-18688000,-0.00718,-0.10355,-0.07718,-0.02833,-0.02016,2.91818,3.99582,0.40493,0,-0.5204,-0.5204,6.74248,18.37167,-1.51861,-0.02405,-0.07019,19.45432,13.68052
"32","2018_Q3",17.2295238095238,"Up",66743000,-61904000,4839000,-8385000,-8385000,-3546000,561000,-27000,-2985000,-2.91038304567337e-11,-2985000,649000,-2336000,-2336000,-2336000,-2336000,81497000,25144000,25665000,25665000,98171000,13101000,13101000,218434000,50277000,61162000,27544000,111439000,329873000,50542000,38600000,11942000,16970000,8285000,67512000,37664000,10511000,5197000,27153000,37664000,105176000,89237000,152640000,-7495000,224697000,224697000,329873000,-2336000,2898000,-765000,-34709000,-34912000,78000.0000000001,-5277000,-5199000,0,0,-40111000,-40111000,-40111000,-648000,0,-35928000,0.0725,-0.05313,-0.035,-0.0104,-0.00708,15.38014,3.23548,0.46808,0,-0.18965,-0.18965,5.4185,18.24193,-2.9168,-0.0089,-0.13694,125.76698,22.9828
"33","2018_Q4",11.3471428571429,"Down",78968000,-82806000,-3838000,-5448000,-5448000,-9286000,426000,-26000,-8860000,573000,-8287000,2115000,-6172000,-6172000,-6172000,-6172000,60138000,32876000,38886000,38886000,100471000,10905000,10905000,210400000,47273000,66830000,31053000,114103000,324503000,53384000,42498000,10886000,16574000,7889000,69958000,35223000,10208000,4914000,25015000,35223000,105181000,89981000,146468000,-7459000,219322000,219322000,324503000,-6172000,2893000,-2051000,-13649000,-18979000,1227000,25483000,26710000,1000,1000,7732000,7732000,7732000,-6393000,0,-20930000,-0.0486,-0.11759,-0.07816,-0.02814,-0.01902,3.39112,3.00752,0.47957,0,-0.50074,-0.50074,6.40669,17.79363,-1.69805,-0.02425,-0.08223,9.40685,6.4762
"34","2019_Q1",7.38508196721311,"Down",87835000,-91867000,-4032000,-7222000,-7222000,-11254000,357000,-70000,-10897000,-2.3283064365387e-10,-10897000,-14772000,-25669000,-25669000,-25669000,-25669000,63089000,45070000,18218000,18218000,64562000,9964000,9964000,155833000,45317000,88587000,67066000,133904000,289737000,45697000,34749000,10948000,16353000,7668000,62050000,34077000,10816000,5841000,23261000,34077000,96127000,90720000,120799000,-8188000,193610000,193610000,289737000,-25669000,3676000,14897000,42833000,35737000,-1078000,-22454000,-23532000,-11000,-10999.9999999991,12194000,12194000,12194000,-7578000,0,48949000,-0.0459,-0.12813,-0.29224,-0.13258,-0.08859,-1.90693,2.51141,0.4965,0,-2.08252,-2.08252,7.12602,15.70751,3.97121,-0.11274,0.21498,8.32528,5.60592
"35","2019_Q2",6.4547619047619,"Down",70708000,-77557000,-6849000,-7667000,-7667000,-14516000,283000,-36000,-14233000,2774140.313728,-14233000,201000,-14032000,-14032000,-14032000,-14032000,66998000,6.5e+07,9290000,9290000,52700000,9041000,9041000,138029000,43406000,162648000,141127000,206054000,344083000,43629000,30586000,13043000,25192000,22973000,68821000,94803000,10659000,5752000,84144000,94803000,163624000,86201000,106975000,-8145000,180459000,180459000,344083000,-14032000,3206000,2601000,9932000,1707000,-760000,3283000,2523000,15700000,15700000,19930000,19930000,19930000,-11310000,0,-2339000,-0.09686,-0.2053,-0.19845,-0.07776,-0.04078,0.16669,2.00562,0.90671,0,-1.13739,-1.13739,5.73137,14.62745,-0.18959,-0.05098,-0.0085,5.92378,4.61546
"36","2019_Q3",5.00078125,"Down",73661000,-67637000,6024000,-15352000,-15352000,-9328000,-32000,-115000,-9360000,-6515000,-15875000,-11999.9999999981,-15887000,-15887000,-15887000,-15887000,69859000,69859000,12880000,12880000,61788000,8986000,8986000,153513000,40396000,143729000,122208000,184125000,337638000,40483000,30141000,10342000,28907000,26688000,69390000,93847000,10463000,5663000,83384000,104047000,173437000,83562000,91088000,-8101000,164201000,164201000,337638000,-15887000,3265000,8391000,-12629000,-16860000,10168000,7.45058059692383e-09,10168000,1351000,11551000,4859000,4859000,4859000,-6063000,10200000,-8512000,0.08178,-0.12663,-0.21568,-0.09675,-0.04705,0.53578,2.21232,1.05625,0.03021,-1.28615,-1.28615,5.96332,13.29309,-0.689099999999999,-0.05923,-0.03173,9.83985,6.39569
"37","2019_Q4",3.00078125,"Down",40651000,-46061000,-5410000,-7772000,-7772000,-13182000,140000,-223000,-13042000,-23074000,-36116000,387000,-35729000,-35729000,-35729000,-35729000,59441000,59441000,8735000,8735000,55656000,8178000,8178000,132010000,38912000,118365000,118365000,157277000,289287000,35871000,23994000,11877000,25862000,23643000,61733000,88358000,10268000,5574000,78090000,98558000,160291000,82677000,55359000,-8057000,128996000,128996000,289287000,-35729000,3016000,24037000,-1724000,-10400000,-1181000,19202000,18021000,-18039000,-18039000,-10418000,-10418000,-10418000,-10166000,10200000,-13458000,-0.13308,-0.32427,-0.87892,-0.27698,-0.12351,0.37667,2.1384,1.2426,0.03526,-2.89078,-2.89078,3.28901,10.43687,-1.08887,-0.15701,-0.05914,4.84369,3.73547
"38","2020_Q1",1.49661290322581,"Down",44938000,-53003000,-8065000,-7511000,-7511000,-15576000,-142000,-235000,-15718000,6589000,-9129000.00000001,-461000,-9590000,-9590000,-9535000,-9535000,66257000,66257000,6991000,6991000,25092000,11339000,3769000,109679000,38564000,96959000,96959000,135523000,245202000,21490000,11713000,9777000,27940000,25721000,49430000,68418000,6510000,6510000,61908000,78618000,128048000,83154000,45824000,-10780000,117209000,117154000,245202000,-9590000,2951000,-3406000.00000001,16619000,6574000,3505000,-21302000,242000,0,7.45058059692383e-09,6816000,6816000,6816000,-12625000,10200000,7959999.99999999,-0.17947,-0.34661,-0.21218,-0.08139,-0.03889,-0.83482,2.21888,1.09299,0.0416,-0.77147,-0.77147,3.63589,9.48327,0.64404,-0.0487,0.04066,4.44016,3.59893
