"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",14.8621875,"Up",25455000,-13826000,11629000,-19907000,-16209000,-3698000,-8278000,-3822000,-3822000,-3871000,-12100000,-12100000,226247963.678948,-12100000,-12100000,-12100000,-12100000,128356860.070881,128356860.071555,-9346302.74020952,-9346302.74020952,-3297325.66015967,-8896038.9542101,-8896038.9509346,106817192.716302,13085237.5547348,-116872851.695943,345913296.271923,-2578927.82769389,-103787614.141209,3029578.57509258,-1480083.59895695,-8805093.54074429,7325009.94178734,-4584306.62455197,21474768.6353523,602255.935859869,602255.935859869,22077024.5712122,17492717.9466602,370516585.286551,-384979724.658606,-14463139.3715676,-14463139.3715676,3029578.57509258,-12100000,1250000,4207000,-6221000,-12864000,-1646000,-1646000,357000,357000,0,357000,-14153000,-14153000,-14153000,-7028000,0,-571634874.065247,0.45685,-0.3252,-0.47535,-0.924514388615518,-0.37690709899744,65.9879875072697,11.8794435689517,1.83637109415051,0.541855083355186,-0.30549,-0.30549,0.64267,0.0877643973022613,-12.3780192794195,-0.426487669050881,-2.82406075762338,26.6449399748001,20.8235590399613
"2","2011_Q1",17.7175806451613,"Up",27767000,-13941000,13826000,-19120000,-14682000,-4438000,-5294000,-11133000,-11133000,-11192000,-16427000,-20858000,113458981.839474,-20858000,-20858000,-20858000,-20858000,113274000,113274000,16841000,16841000,11430000,912000,912000,142457000,12522000,1254000,163294648.135961,1254000,13776000,156233000,14703000,4895000,9808000,18950000,69433000,1619000,1619000,71052000,90002000,450084000,-383853000,66231000,66231000,156233000,-20858000,1131000,14195000,-2171000,-7703000,-2917000,-2917000,40739000,40739000,0,19976000,9356000,9356000,9355999.99999999,-4163000,69433000,-275687437.032624,0.49793,-0.19066,-0.75118,-0.31493,-0.13351,32.3141087536348,7.51752,1.35891,0.44442,-0.52661,-0.52661,0.70105,1.67217,-5.97503963970975,-0.15193,-1.36408037881169,10.53111,8.28126
"3","2011_Q2",20.4947619047619,"Up",28258000,-14725000,13533000,-20806000,-16217000,-4589000,-7273000,-2575000,-2575000,-2612000,-9848000,-9848000,45490660.6131581,-9848000,-9848000,-9848000,-9848000,107856129.976373,107856129.976148,23681517.5800698,23681517.5800698,16611275.2200532,4680679.65140337,4680679.65031153,152829602.427899,13857420.8150884,52380033.8986478,64668216.0453204,2879725.94256463,66237454.7137365,219067057.141636,20937611.1996523,9557947.84691476,11379663.3527376,27130685.5415173,94442327.1215492,1662998.02138004,1662998.02138004,96105325.1429293,123236010.684447,491526554.904483,-395695508.447131,95831046.4571892,95831046.4571892,219067057.141636,-9848000,1163000,3873000,-3054000,-7866000,-2897000,-2897000,2515000,2515000,-538000,1977000,-8786000,-8786000,-8786000,-6110000,0,-103910479.010875,0.47891,-0.25738,-0.3485,-0.0837202037948273,-0.0387476336675199,12.4932329178783,5.78549131034944,1.26467130194983,0.429949972214938,-0.24864,-0.24864,0.71344,2.18035603423258,-2.25552987990325,-0.0444691103163729,-0.515633459603896,2.72761834173331,2.17723532001289
"4","2011_Q3",18.37875,"Down",32211000,-17673000,14538000,-29452000,-22620000,-6832000,-14914000,-4507000,-4507000,-4546000,-19421000,-19421000,11339000,-8082000,-8082000,-8082000,-8082000,106746000,106746000,20361000,20361000,15957000,4770000,4770000,147834000,16125000,62231000,26727000,3104000,78356000,226190000,21645000,9369000,12276000,26611000,104177000,1303000,1303000,105480000,132091000,507221000,-413122000,94099000,94099000,226190000,-8082000,1684000,-5506000,2822000,-9082000,-2663000,-40518000,1245000,1245000,-129000,51858000,2258000,2258000,2258000,-13230000,104177000,-24410000,0.45134,-0.46301,-0.25091,-0.08589,-0.03573,3.02029,5.55537,1.40374,0.46057,-0.17571,-0.17571,0.70031,2.04585,-0.53071,-0.0405,-0.12231,0.194179999999998,0.172249999999998
"5","2011_Q4",17.0888888888889,"Down",44594000,-26033000,18561000,-28329000,-23691000,-4638000,-9768000,-3794000,-3794000,-3825000,-13562000,-13562000,0,-13562000,-13562000,-13562000,-13562000,103812000,103812000,17269000,17269000,13123000,3653000,3653000,137857000,18295000,59628000,26164000,2791000,77923000,215780000,21366000,8604000,12762000,24761000,106319000,1260000,1260000,107579000,132340000,510124000,-426684000,83440000,83440000,215780000,-13562000,2836000,4972000,4918000,-836000,-3278000,-3278000,1264000,1264000,-10000,1180000,-2934000,-2934000,-2934000,-6932000,106319000,-5292000,0.41622,-0.21904,-0.30412,-0.16254,-0.06285,0.39021,5.56751,1.58605,0.49272,-0.2865,-0.2865,0.94206,1.7627,-0.1118,-0.071,-0.0277,-0.36166,-0.25665
"6","2012_Q1",19.5175806451613,"Up",47192000,-27112000,20080000,-30592000,-24788000,-5804000,-10512000,-3700000,-3700000,-3732000,-14212000,-14212000,-127000,-14339000,-14339000,-14339000,-14339000,93955000,93955000,23190000,23190000,11838000,3652000,3652000,132635000,19422000,69265000,37536000,2727000,88687000,221322000,24482000,11418000,13064000,27995000,108540000,2052000,2052000,110592000,138587000,512419000,-429684000,82735000,82735000,221322000,-14339000,2820000,6007000,-2156000,-7668000,-2276000,-2276000,436000,436000,-269000,86999.9999999925,-9857000,-9857000,-9857000,-7692000,108540000,-11997000,0.4255,-0.22275,-0.30384,-0.17331,-0.06479,0.83667,4.73781,1.67507,0.49042,-0.3023,-0.3023,0.99492,1.74426,-0.25293,-0.07417,-0.06206,-1.89613,-1.38746
"7","2012_Q2",18.6788888888889,"Down",47754000,-27458000,20296000,-31191000,-25759000,-5432000,-10895000,-3839000,-3839000,-3867000,-14734000,-14734000,-46000.0000000001,-14780000,-14780000,-14780000,-14780000,83006000,83006000,26197000,26197000,14703000,4313000,4313000,128219000,19947000,67515000,37536000,2647000,87462000,215681000,29023000,16107000,12916000,32580000,110844000,2040000,2040000,112884000,145464000,514681000,-444464000,70217000,70217000,215681000,-14780000,2844000,5960000,-2927000,-8903000,-1699000,-1699000,633000,633000,-980000,-347000,-10949000,-10949000,-10949000,-8051000,110844000,-12631000,0.42501,-0.22815,-0.3095,-0.21049,-0.06853,0.8546,3.93551,2.07164,0.51393,-0.31046,-0.31046,1.00308,1.47492,-0.26532,-0.08072,-0.06898,-3.45771,-2.55512
"8","2012_Q3",20.8025396825397,"Up",51035000,-28704000,22331000,-32850000,-26329000,-6521000,-10519000,-3888000,-3888000,-3912000,-14407000,-14407000,-69000,-14476000,-14476000,-14476000,-14476000,70144000,70144000,25591000,25591000,16426000,4304000,4304000,116465000,21422000,65792000,37536000,2503000,87214000,203679000,27222000,13687000,13535000,43140000,99382000,2068000,2068000,101450000,144590000,518029000,-458940000,59089000,59089000,203679000,-14476000,2654000,5669000,-4961000,-11114000,-2550000,-2550000,1009000,1009000,-207000,802000,-12862000,-12862000,-12862000,-7865000,113231000,-15307000,0.43756,-0.20611,-0.28365,-0.24499,-0.07107,1.05741,2.6997,2.44699,0.55593,-0.30269,-0.30269,1.06714,1.23555,-0.32007,-0.08301,-0.08778,-5.47832,-4.09611
"9","2012_Q4",21.2738709677419,"Up",54752000,-30362000,24390000,-32861000,-26302000,-6559000,-8471000,-3918000,-3918000,-3949000,-12389000,-12389000,-28000,-12417000,-12417000,-12417000,-12417000,63443000,63443000,30145000,30145000,15089000,5567000,5567000,114244000,24910000,64227000,37536000,2333000,89137000,203381000,34032000,16216000,17816000,49342000,101517000,2070000,2070000,103587000,152929000,521809000,-471357000,50452000,50452000,203381000,-12417000,2594000,5748000,626000,-3449000,-4687000,-4687000,1500000,1500000,-65000,1435000,-6701000,-6701000,-6701000,-5877000,115651000,-9910000,0.44546,-0.15472,-0.22679,-0.24612,-0.06105,0.7981,2.31535,3.03118,0.56864,-0.25846,-0.25846,1.13968,1.05018,-0.20628,-0.07383,-0.05893,-8.88344,-6.16314
"10","2013_Q1",23.0821666666667,"Up",57828000,-32509000,25319000,-31405000,-25558000,-5847000,-6086000,-4039000,-4039000,-4066000,-10125000,-10125000,-69000,-10194000,-10194000,-10194000,-10194000,57293000,57293000,33294000,33294000,14867000,4482000,4482000,109936000,25422000,62701000,37536000,2202000,88123000,198059000,28412000,9361000,19051000,48286000,103730000,1867000,1867000,105597000,153883000,525727000,-481551000,44176000,44176000,198059000,-10194000,2938000,6164000,-4501000,-5593000,-2055000,-2055000,1785000,1785000,-287000,1498000,-6150000,-6150000,-6150000,-3148000,118159000,-9635000,0.43783,-0.10524,-0.17628,-0.23076,-0.05147,0.94516,2.27677,3.48341,0.59658,-0.21139,-0.21139,1.19915,0.91605,-0.1998,-0.06208,-0.05868,-19.33482,-10.00099
