"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.3355555555556,"Up",127027000,-51699000,75328000,-49983000,-27204000,-22779000,25345000,2929000,924000,-603000,1527000,-187000,28274000,28274000,-10080000,18194000,18194000,18194000,18194000,257936767.185921,49307249.668303,208629517.517618,66319609.8544725,66319609.8544725,54405768.6096203,9488176.26878322,1829495.68564729,-11700577.5112969,388150321.918797,73088672.9291507,52212870.329038,1547579.63932223,-43311333.7495899,68459702.3497949,1847839.44891504,126849122.897511,514999444.816308,82539675.8558841,71028228.2556532,2047817.57673421,9819532.04449217,2592461.33109285,2592461.33109285,85132137.186977,9999967.62081365,8789845.70999588,58238635.0830433,143370772.27002,168659268.273618,-497025297.656128,680963171.190919,19031530.7378788,371628672.546287,371628672.546287,514999444.816308,18194000,2593000,-1108000,7341000,27020000,-2329000,-2329000,-2329000,-8861000,-11190000,-5577000,-7990000,2340000,-13194000,2636000,2636000,168000,2804000,27938000,0,43030000,0.59301,0.19952,0.14323,0.0693935919525568,0.0522050653580357,2.36507,5.78922337150368,0.360244425826068,0.0878320452585536,0.29346,0.28852,2.04886,6.33597709627319,0.69404,0.08995,0.0726734198526625,0.130839983864463,0.30653,-6.17460730222531,-6.68052209817038
"2","2010_Q3",24.7728125,"Up",150361000,-61032000,89329000,-50712000,-28455000,-22257000,38617000,3335000,1059000,-595000,1654000,-188000,41952000,41952000,-14201000,27751000,27751000,27751000,27751000,179910000,29507000,150403000,71640000,71640000,63947000,20689000,3302000,8026000,336186000,74046000,210358000,2130000,-22385407.638661,32009445.7498861,2130000,286534000,622720000,66152000,44294000,3909000,17949000,7737000,7737000,73889000,13343000,10491000,61093000,134982000,187291000,-395391000,679855000,15983000,487738000,487738000,622720000,27751000,2625000,167000,-8584000,21959000,-2460000,-2460000,-2460000,-16842000,-19302000,-5594000,5069000,5069000,681000.000000002,3338000,3338000,-770000,2568000,41242000,47750000,44399000,0.5941,0.25683,0.18456,0.0569,0.04456,1.59991,4.54988,0.27675,0.07668,0.44635,0.43701,2.41843,7.84485,0.71412,0.08997,0.06076,0.0809,0.20158,-3.2045,-3.42233
"3","2010_Q4",26.40546875,"Up",162957000,-65658000,97299000,-52254000,-29452000,-22802000,45045000,4125000,992000,-630000,1622000,-266000,49170000,49170000,-17086000,32084000,32084000,32084000,32084000,182930000,26062000,156868000,69395000,69395000,69952000,20913000,3493000,7353000,343190000,74098000,238382000,2034000,-8382363.05546442,10262778.2999544,2034000,314514000,657704000,47735000,26970000,1896000,18869000,8136000,8136000,55871000,17517000,10909000,65267000,121138000,191723000,-379036000,702281000,21598000,536566000,536566000,657704000,32084000,2624000,238000,-20879000,14067000,-2586000,-2586000,-2586000,-25507000,-28093000,-5651000,12360000,12360000,9116000,-4910000,-4910000,1465000,-3445000,47669000,47750000,41290000,0.59708,0.27642,0.19689,0.0598,0.04878,1.28693,6.14254,0.22577,0.0726,0.51109,0.49857,2.59585,8.54731,0.65774,0.09002,0.0627,0.06861,0.17613,-2.83581,-3.001
"4","2011_Q1",33.8177419354839,"Up",165329000,-68422000,96907000,-52050000,-29588000,-22462000,44857000,3936000,1146000,-608000,1754000,-163000,48793000,48793000,-12833000,35960000,35960000,35960000,35960000,189156000,31677000,157479000,70893000,70893000,74274000,20590000,3270000,3962000,354913000,73986000,261160000,1915000,0,0,1915000,337061000,691974000,39823000,22785000,0,17038000,10138000,10138000,49961000,22191000,11841000,69691000,119652000,194663000,-381251000,731962000,26948000,572322000,572322000,691974000,35960000,2703000,975000,-9895000,29743000,-2497000,-2497000,-2497000,-13837000,-16334000,-5680000,-2813000,5173000,-8325000,5084000,5084000,531000,5615000,47560000,47500000,48001000,0.58615,0.27132,0.21751,0.06283,0.05197,1.33484,7.1038,0.20906,0.06864,0.57068,0.55664,2.62377,9.08275,0.76178,0.09014,0.06486,0.07477,0.15795,-2.97847,-3.15795
"5","2011_Q2",31.9995238095238,"Down",165522000,-66727000,98795000,-53189000,-29552000,-23637000,45606000,3829000,1187000,-602000,1789000,-125000,49435000,49435000,-15177000,34258000,34258000,34258000,34258000,136843000,37321000,99522000,84455000,84455000,79034000,28181000,3410000,12687000,328513000,74382000,379831000,1904000,4063881.52773221,-1998589.14997721,1904000,456117000,784630000,52086000,33902000,1699000,16485000,17516000,17516000,69602000,26610000,14632000,73110000,142712000,206695000,-343678000,754676000,24225000,641918000,641918000,784630000,34258000,2724000,2605000,-3100000,36487000,-3045000,-3045000,-3045000,-62772000,-65817000,-5775000,31815000,31815000,34887000,5557000,5557000,87000,5644000,48330000,46500000,57362000,0.59687,0.27553,0.20697,0.05337,0.04366,1.67441,4.71988,0.22232,0.05926,0.53371,0.5194,2.57867,10.00044,0.89364,0.08997,0.05599,0.08022,0.16857,-1.86929,-1.98095
"6","2011_Q3",25.24546875,"Down",184227000,-77400000,106827000,-55517000,-30898000,-24619000,51310000,4664000,1409000,-594000,2003000,-117000,55974000,55974000,-19031000,36943000,36943000,36943000,36943000,162477000,23787000,138690000,83266000,83266000,86676000,26742000,3362000,10425000,359161000,74961000,372432000,1825000,5111481.52773221,1047310.85002279,1825000,449218000,808379000,54996000,38488000,2431755.99351611,16508000,9312000,9312000,64308000,23888000,15086000,70388000,134696000,209146000,-342174000,785493000,21218000,673683000,673683000,808379000,36943000,2745000,-624000,-9805000,29259000,-3242000,-3242000,-3242000,-35639000,-38881000,-5821000,1206999.99999999,1207000,-4281000.00000001,-13903000,-13903000,369000,-13534000,54055000,46500000,60039000,0.57987,0.27852,0.20053,0.05484,0.0457,1.62518,5.58501,0.19994,0.05752,0.57105,0.55863,2.84771,10.41354,0.92806,0.08998,0.05747,0.08069,0.15757,-2.14554,-2.26032
"7","2011_Q4",24.7580952380952,"Down",192194000,-82718000,109476000,-58369000,-31475000,-26894000,51107000,4265000,1438000,-599000,2037000,-155000,55372000,55372000,-19159000,36213000,36213000,36213000,36213000,153915000,32526000,121389000,89631000,89631000,87313000,28071000,3337000,12487000,358930000,75698000,348103000,18564000,4445000,5918000,8201000,442365000,801295000,56522000,33150000,1916000,21456000,18708000,18708000,75230000,14853000,14853000,61353000,136583000,211576000,-376569000,815730000,13975000,664712000,664712000,801295000,36213000,2966000,1338000,2528000,43045000,-3244000,-3244000,-3244000,33424000,7418000,-5799000,-34569000,609000,-40237000,10226000,10226000,-1487000,8739000,54073000,46500000,72516000,0.56961,0.26591,0.18842,0.05448,0.04519,2.00249,4.7711,0.20548,0.05803,0.56567,0.5571,3.00219,10.3832,1.13274,0.09058,0.05786,0.09988,0.16014,-1.98648,-2.10177
"8","2012_Q1",26.8053225806452,"Up",175286000,-76066000,99220000,-58105000,-32954000,-25151000,41115000,4246000,1210000,-603000,1813000,-297000,45361000,45361000,-14198000,31163000,31163000,31163000,31163000,202326000,42979000,159347000,76130000,76130000,87800000,24987000,3119000,9743000,391243000,75295000,332008000,18968000,3492000,8345000,7131000,426271000,817514000,51967000,29404000,3169000,19394000,9965000,9965000,61932000,12077000,12077000,63451000,125383000,214357000,-375534000,840206000,13102000,692131000,692131000,817514000,31163000,3064000,1746000,5708000,41681000,-2247000,-2247000,-2247000,-23399000,-25545000,-5729000,107000,494000,-6560000,9576000,9576000,877000,10453000,44179000,51374000,61838000,0.56605,0.23456,0.17778,0.04502,0.03812,1.98434,6.3173,0.18116,0.06284,0.48937,0.4826,2.75261,10.86889,0.97107,0.08997,0.04883,0.08184,0.18384,-3.41683,-3.67146
"9","2012_Q2",23.8001587301587,"Down",134735000,-60648000,74087000,-57906000,-33111000,-24795000,16181000,3881000,1273000,-588000,1861000,141000,20062000,20062000,-7102000,12960000,12960000,12960000,12960000,198074000,36539000,161535000,74796000,74796000,95805000,24446000,3861000,8037000,393121000,76502000,367474000,15956000,3492000,5633000,6831000,459932000,853053000,60058000,31235000,10186000,18637000,11376000,11376000,71434000,21588000,21588000,68088000,139522000,218070000,-370937000,846386000,20012000,713531000,713531000,853053000,12960000,3095000,20000,8460000,24535000,-3820000,-4086000,-4086000,-26282000,-30102000,-5739000,3560000,3560000,-1026000,-6593000,-6593000,153000,-6440000,19276000,46500000,31018000,0.54987,0.1201,0.09619,0.01816,0.01519,2.39336,5.50328,0.19554,0.05451,0.20311,0.19985,2.11154,11.18229,0.48611,0.08994,0.02392,0.03968,0.44282,-7.86335,-9.36741
"10","2012_Q3",17.4104761904762,"Down",183998000,-88797000,95201000,-68363000,-35906000,-32457000,26838000,4194000,1346000,-580000,1926000,492000,31032000,32785000,-11714000,21071000,21071000,21071000,21071000,206417000,36968000,169449000,118511000,118511000,103776000,25597000,4670000,8124000,454301000,81981000,348424000,26183000,3492000,8368000,14323000,456588000,910889000,85941000,46978000,10677000,28286000,27251000,27251000,113192000,14908000,14908000,84417000,197609000,220490000,-383319000,861428000,14681000,713280000,713280000,910889000,21071000,3520000,-110000,-12020000,12461000,-3701000,-3701000,-3701000,2740000,6535000,-5737000,-12664000,768000,-18208000,787999.999999998,787999.999999998,-359000,429000,30358000,69509000,26351000,0.5174,0.14586,0.11452,0.02954,0.02313,1.25058,4.01354,0.27704,0.07631,0.33114,0.32715,2.89164,11.20963,0.41412,0.09016,0.03361,0.03303,0.27227,-4.50978,-5.10127
