"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q4",151.234375,"Up",6222000,-23863000,-3611000,-20252000,-17641000,-967000,-977000,-18608000,-18608000,-18608000,-18608000,-18608000,-18608000,1956982.55496672,-127802416.489112,-107111019.939337,-107111019.939337,-16545708.6251098,-16537284.016469,-121699746.00948,-183993270.545439,12836202.5025375,-6873651.94962608,19709854.4521636,33451362.707457,33451362.707457,46287565.2099945,22643259.0207327,15000547.3985307,15000547.3985307,37643806.4192634,83931371.629258,137590868.604273,-403868899.833128,-267924642.174697,-267924642.174697,-183993270.545439,-18608000,1370000,-2365000,-19266000,29943000,29080000,215000,215000,215000,10029000,10029000,10029000,0,-2.83526,-2.99068,-0.581961829580804,-0.344340518959089,-3.71381776599144,2.38481862492541,0.239410774328248,-5.99852,-5.99852,2.00574,-105.032707137985,-0.426908788302468,-187.249187740403
"2","2011_Q1",141.857258064516,"Down",11957000,-22042000,-4564000,-17478000,-10085000,-229000,-989000,-10314000,-10314000,-10314000,-10314000,-10314000,-10314000,140198000,45791000,391000,391000,4864000,4864000,145453000,151048000,25134000,9247000,15887000,16959000,16959000,42093000,17636000,19549000,19549000,37185000,79278000,308304000,-236514000,71770000,71770000,151048000,-10314000,1724000,4593000,-3627000,-47742000,-48157000,57529000,57529000,57529000,5745000,5745000,5745000,17636000,-0.84344,-0.86259,-0.14371,-0.06828,3.45552,1.10461,0.11676,-3.03273,-3.03273,3.51583,21.10324,-0.09466,12.1529
"3","2011_Q2",167.940476190476,"Up",133614000,-47245000,-9228000,-38017000,86369000,-1003000,-947000,85366000,85366000,85366000,85366000,85366000,85366000,225114172.481678,98437722.1630375,36027756.6464456,36027756.6464456,11427319.5417033,11424511.338823,272569248.669827,306244090.181813,29549432.4991542,14378467.316542,15170965.1826121,7749712.43084767,7749712.43084767,37299144.9300018,16617330.3264224,21615150.8671564,21615150.8671564,38232481.1935789,75531626.1235807,394803710.465243,-164452200.055624,230712464.058232,230712464.058232,306244090.181813,85366000,2022000,5098000,92858000,-37732000,-38051000,478000,478000,478000,55285000,55285000,55285000,0,0.64641,0.6389,0.00554727652693465,0.0149651729863629,7.50749592199715,0.469875458358196,0.0622914085572508,23.85791,22.77459,37.34216,70.905959045995,0.0114645961008228,72.0700500801345
"4","2011_Q3",175.6734375,"Up",26554000,-31449000,-6371000,-25078000,-4895000,-836000,-847000,-5730999.99999997,-5731000.00000001,-5730999.99999999,-5730999.99999999,-5730999.99999999,-5730999.99999999,264308000,81013000,28770000,28770000,9294000,9294000,302372000,340791000,29254000,12938000,16316000,3747000,3747000,33001000,17815000,22015000,22015000,39830000,72831000,424775000,-156879000,267960000,267960000,340791000,-5730999.99999999,2568000,-44591000,-47361000,-85181000,-86103000,113401000,113401000,113401000,-20063000,-20063000,-20063000,17815000,-0.18434,-0.21582,-0.02139,-0.01682,9.16251,0.2718,0.05228,-1.55500999999999,-1.4787,7.20499,72.70655,-0.01862,50.35608
"5","2011_Q4",161.704761904762,"Down",3585000,-26680000,-6582000,-20098000,-23095000,-723000,-785000,-23818000,-23818000,-23818000,-23818000,-23818000,-23818000,259828000,45913000,9747000,9747000,5559000,5559000,275134000,317758000,29117000,9678000,19439000,2803000,2803000,31920000,17900000,21640000,21640000,39540000,71460000,427291000,-180697000,246298000,246298000,317758000,-23818000,3051000,21195000,861000,-36198000,-36789000,828000,828000,828000,-35100000,-35100000,-35100000,17900000,-6.44212,-6.64379,-0.0967,-0.07496,8.61949,0.29014,0.05633,-5.52763,-5.30574,0.832,57.1603,-0.08333,10.47534
"6","2012_Q1",133.909677419355,"Down",1096000,-25528000,-6986000,-18542000,-24432000,-737000,-730000,-25169000,-25169000,-25169000,-25169000,-25169000,-25169000,221128000,43506000,7210000,7210000,6057000,6057000,234395000,295050000,31744000,8904000,22840000,2865000,2865000,34609000,15619000,21281000,21281000,36900000,71509000,429574000,-205866000,223541000,223541000,295050000,-25169000,2742000,2064000,-19907000,17636000,16840000,660000,660000,659999.999999985,-2407000,-2407000,-2407000,15619000,-22.29197,-22.96442,-0.11259,-0.0853,6.77266,0.31989,0.05294,-5.83494,-5.62298,0.254089999999999,51.82358,-0.09664,8.41147
"7","2012_Q2",117.793650793651,"Down",860000,-33759000,-8983000,-24776000,-32899000,-347000,-646000,-33246000,-33246000,-33246000,-33246000,-33246000,-33246000,224327000,73065000,9489000,9489000,3487000,3487000,237303000,264689000,22177000,7555000,14622000,2872000,2872000,25049000,25800000,20933000,20933000,46733000,71782000,431959000,-239112000,192907000,192907000,264689000,-33246000,3122000,-1048000,-30626000,59613000,58506000,3855000,3855000,1683000,29563000,29563000,29563000,25800000,-38.25465,-38.65814,-0.17234,-0.1256,9.47355,0.37211,0.09747,-7.68623,-7.68623,0.19883,44.59865,-0.13873,6.03444
"8","2012_Q3",109.081746031746,"Down",1877000,-30636000,-9186000,-21450000,-28759000,-787000,-721000,-29546000,-29546000,-29546000,-29546000,-29546000,-29546000,215894000,85789000,9182000,9182000,5208000,5208000,230284000,240866000,27481000,4276000,23205000,1650000,1650000,29131000,23933000,21970000,21970000,45903000,75034000,434481000,-268658000,165832000,165832000,240866000,-29546000,-219000,1498000,-27667000,40959000,39722000,662000.000000001,662000.000000001,662000,12717000,12717000,12720000,23933000,-15.32179,-15.74108,-0.17817,-0.12267,7.90512,0.45247,0.09936,-6.82009,-6.82009,0.43327,38.27893,-0.13954,6.67481
"9","2012_Q4",74.6535483870968,"Down",1018000,-30399000,-9300000,-21099000,-29381000,-741000,-787000,-30122000,-30122000,-30122000,-30122000,-30122000,-30122000,189692000,114103000,9298000,9298000,7770000,7770000,206760000,218530000,32951000,10259000,22692000,1715000,1715000,34666000,21624000,24048000,24048000,45672000,80338000,436981000,-298780000,138192000,138192000,218530000,-30122000,2859000,2592000,-24065000,53793000,51954000,-3220000,-3220000,452000,28341000,28341000,28338000,21624000,-28.86149,-29.58939,-0.21797,-0.13784,5.96435,0.58135,0.09895,-6.93544,-6.93544,0.23439,31.81801,-0.16383,5.7203
"10","2013_Q1",75.435,"Up",15531000,-33496000,-9463000,-24033000,-17965000,-882000,-850000,-18847000,-21480000,-21480000,-21480000,-21480000,-21480000,160602000,76134000,20649000,20649000,9430000,6190000,190681000,207469000,36980000,10628000,26352000,2150000,2150000,39130000,19228000,30173000,30173000,49401000,88531000,439217000,-320260000,118938000,118938000,207469000,-21480000,2264000,-4913000,-23371000,-9170000,-14935000,339000,339000,339000,-37967000,-37967000,-37967000,19228000,-1.15671999999999,-1.38303999999999,-0.1806,-0.10353,4.87301,0.74435,0.09268,-4.93929,-4.93929,3.57133,27.34961,-0.1276,7.86941
