"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",8.14619047619048,"Down",38068000,-19831000,18237000,-24366000,-16319000,-8047000,-6129000,1616000,1616000,-4513000,-4513000,-127000,-4640000,-4640000,-4640000,-4640000,-570582455.625825,-570942896.148976,-341253540.511182,-341253540.511182,339281756.1454,-158859157.336267,-75352540.2241706,-83506617.1120963,-731413397.327873,80368035.5679505,17038319.1640712,78890768.8397797,38788002.4876866,-100640452.163395,97406354.7320217,-634007042.595851,434129063.032633,210500328.893812,223628734.138821,208681184.174656,132465840.43923,76215343.7354264,642810244.907405,84723201.6510329,-33087165.8094315,-38084292.7976186,4997126.98818705,-1501289401.30534,-858479156.397934,-68353773.646499,244477449.789038,33265190.6390322,209388866.781571,224472113.802083,-634007042.595851,-4640000,1389000,3077000,-10073000,-10247000,-1332000,-1332000,-1332000,6101000,803000,803000,803000,-3343000,-3343000,451000,-2892000,-4740000,0,-16018000,0.47906,-0.161,-0.12189,2.07554119133395,0.871291644446665,3.45216,-7.70601409972668,-3.66732143229863,-2.86300943895867,-0.07909,-0.07909,0.64888,10.9738132590774,-0.27303,1.03279375431567,9.65262664219597,-878.541069628505,625.81245353439
"2","2011_Q3",5.8534375,"Down",54246000,-24780000,29466000,-25781000,-16468000,-9313000,3685000,676000,676000,4361000,4361000,-263000,4098000,4098000,4098000,4098000,-228989227.812912,-229169448.074488,-125147270.255591,-125147270.255591,214414878.0727,-50105578.6681334,-16651270.1120853,-33454308.5560481,-189827198.663937,62284517.7839753,77247659.5820356,74572384.4198899,46658001.2438433,-43982726.0816975,139532177.366011,-50295021.2979258,281963531.516317,124574664.446906,157388867.069411,138704592.087328,90403420.219615,48301171.8677132,420668122.453702,80774120.9906197,-6437082.90471577,-12658146.3988093,6221063.49409353,-703084700.65267,-282416578.198967,162017613.17675,42684224.8945188,13432595.3195161,218134433.390785,232121556.901041,-50295021.2979258,4098000,1501000,2065000,2798000,10462000,-1918000,-1918000,-1918000,-6041000,2713000,2713000,2713000,7134000,7134000,-163000,6971000,5186000,0,6328999.99999999,0.54319,0.06793,0.07554,0.826465595666977,0.336225822223333,1.54441,-2.97169204986334,-1.20735571614932,-1.36180971947934,0.06913,0.06677,0.91505,7.12411162953868,0.10676,0.363406877157834,4.33198332109799,-366.518424814252,267.887841767195
"3","2011_Q4",3.99746031746032,"Down",54747000,-27434000,27313000,-27839000,-18548000,-9291000,-526000,22000,22000,-504000,-504000,-656000,-1160000,-1160000,-1160000,-1160000,-16983409.2709708,-17043482.691496,1693909.91480304,1693909.91480304,137733959.357567,8183807.11062219,12556576.6293049,-4372769.51868271,130628267.112021,51016505.9279918,111009886.527345,70267128.1399633,51647000.4146144,-10904242.0272325,162026392.455337,292654659.567358,176044843.838772,69602554.8156354,106442289.023137,103941530.695776,71219140.073205,32722390.6225711,279986374.151234,78143060.4953099,7442639.03176141,896951.200396903,6545687.83136451,-225048566.884223,54937807.267011,302096871.058917,-80064258.3684937,3335198.43983869,225367811.130262,237716852.300347,292654659.567358,-1160000,1556000,2029000,-11729000,-9304000,-811000,-811000,-811000,15986000,738000,738000,738000,7420000,7420000,399000,7819000,1030000,0,-10854000,0.49889,-0.00961,-0.02119,0.154245198555659,0.0512319407411109,9.3569,-0.079394016621114,0.221994761283561,-0.456223239826445,-0.01935,-0.01935,0.91306,4.82841054317956,-0.18102,0.0177189590526115,1.34102110703266,-95.6284849380841,76.4325039223983
"4","2012_Q1",6.20951612903226,"Up",75223000,-42997000,32226000,-57085000,-42435000,-14650000,-24859000,-26000,-26000,-24885000,-24885000,-70000.0000000002,-24955000,-25409000,-24980000,-24980000,95906000,95906000,61853000,61853000,97836000,30127000,21115000,9012000,285722000,44823000,125239000,66039000,54474000,4726000,170062000,455784000,109063000,38645000,70418000,93981000,68152000,25829000,203044000,76761020.1651033,12413000,6092000,6321000,12413000,215457000,374033000,-144385000,127000,229775000,240327000,455784000,-25409000,3120000,8479000,35302000,21492000,39000,39000,39000,15371000,1347000,1347000,1347000,38210000,38210000,364000,38574000,-21739000,-1.86264514923096e-09,13672000,0.42841,-0.33047,-0.33208,-0.10394,-0.05481,-0.547319999999999,1.40719,0.89652,0,-0.40012,-0.41401,1.2049,3.68046,0.21899,-0.09884,0.0541,4.4117,3.858
"5","2012_Q2",6.70396825396825,"Up",100451000,-76023000,24428000,-49115000,-28550000,-20565000,-24687000,-2858000,-2858000,-27545000,-27545000,-538000,-28083000,-28083000,-26510000,-26510000,140150000,140150000,77913000,77913000,83318000,29842000,17868000,11974000,331223000,41963000,126849000,61952000,55858000,9039000,168812000,500035000,73708000,24763000,48945000,98412000,74441000,23971000,172120000,76559000,12335000,6438000,5897000,88894000,261014000,399975000,-170895000,962000,230042000,239021000,500035000,-28083000,8319000,4260000,-33812000,-49316000,-995000,-995000,-995000,-2379000,911000,911000,97011000,45316000,45316000,-1072000,44244000,-16368000,76559000,-50637000,0.24318,-0.24576,-0.26391,-0.11091,-0.05302,1.91011,1.92437,1.09201,0.15311,-0.3773,-0.3773,1.42964,3.27401,-0.72068,-0.08084,-0.15442,3.88508,2.57589
"6","2012_Q3",6.41555555555556,"Down",106423000,-66180000,40243000,-43967000,-27131000,-16836000,-3724000,-4378000,-4378000,-8102000,-8102000,-367000,-8469000,-12191000,-10387000,-10387000,148467000,148467000,73928000,73928000,82881000,22876000,12481000,10395000,328152000,40825000,123059000,57865000,56187000,9007000,163884000,492036000,64851000,22017000,42834000,106520000,83552000,22968000,171371000,77468000,11741000,5997000,5744000,89209000,260580000,403069000,-181282000,2494000,224281000,231456000,492036000,-12191000,8202000,4086000,10802000,10899000,-2905000,-2905000,-2905000,-2905000,1119000,1119000,1119000,9113000,9113000,-796000,8317000,4478000,77468000,12742000,0.37814,-0.03499,-0.0976,-0.04488,-0.02111,-1.22673,1.91486,1.12583,0.15744,-0.14692,-0.14692,1.50532,3.17238,0.18023,-0.03239,0.03974,-15.85507,19.06525
"7","2012_Q4",6.66177419354839,"Up",101816000,-65705000,36111000,-48811000,-26413000,-22398000,-12700000,-838000,-838000,-13538000,-13538000,-1247000,-14785000,-16533000,-14881000,-14881000,151328000,151328000,72481000,72481000,85122000,23347000,13798000,9549000,332278000,39668000,120783000,53842000,56180000,10761000,160451000,492729000,75182000,23468000,51714000,107894000,88724000,19170000,183076000,78460000,14492000,8280000,6212000,92952000,276028000,405464000,-196163000,1877000,211178000,216701000,492729000,-16533000,7991000,3509000,10663000,5630000,-3814000,-3814000,-3814000,-3814000,674000,674000,674000,2490000,2490000,371000,2861000,-4709000,78460000,3387000,0.35467,-0.12473,-0.14616,-0.06867,-0.0302,-0.22761,1.81497,1.27377,0.15924,-0.20924,-0.20924,1.43161,2.96932,0.04762,-0.04806,0.01094,15.4742,5.73764
"8","2013_Q1",4.788,"Down",100533000,-64043000,36490000,-51613000,-30125000,-21488000,-15123000,-4447000,-4447000,-19570000,-19570000,-443000,-20013000,-21646000,-20264000,-20264000,143504000,143504000,67890000,67890000,81693000,23171000,16715000,6456000,316258000,37458000,119454000,49819000,59215000,10420000,156912000,473170000,72926000,18209000,54717000,101248000,83071000,18177000,174174000,79466000,15663000,9675000,5988000,95129000,269303000,409215000,-216427000,2837000,195625000,203867000,473170000,-21646000,8080000,6479000,1595000,-5492000,-3055000,-3055000,-3055000,-3055000,1745000,1745000,1745000,-6802000,-6802000,-1022000,-7824000,-7043000,79466000,-8060000,0.36297,-0.15043,-0.20157,-0.0994,-0.04283,0.39775,1.81576,1.32097,0.16794,-0.28354,-0.28354,1.40671,2.73728,-0.11278,-0.06777,-0.02696,9.09243,4.23448
"9","2013_Q2",5.05203125,"Up",82748000,-59072000,23676000,-44305000,-25731000,-18574000,-20629000,-704000,-704000,-21333000,-21333000,-597000,-21930000,-36235000,-24130000,-24130000,121861000,121861000,57620000,57620000,81739000,24308000,17619000,6689000,285528000,39536000,112953000,39122000,59344000,14487000,152489000,438017000,71276000,28025000,43251000,98970000,77797000,21173000,170246000,80507000,18174000,12582000,5592000,98681000,268927000,411208000,-240557000,2302000,172953000,169090000,438017000,-36235000,7827000,13732000,1514000,-13162000,-5551000,-5551000,-5319000,-9412000,251000,251000,251000,-22323000,-22323000,680000,-21643000,-12802000,80507000,-16242000,0.28612,-0.2493,-0.29161,-0.14271,-0.05509,0.6731,1.67715,1.59044,0.1838,-0.33516,-0.33516,1.14936,2.40229,-0.2256,-0.09011,-0.06066,3.23028,2.00465
"10","2013_Q3",6.31921875,"Up",77779000,-51153000,26626000,-48892000,-31653000,-17239000,-22266000,-2580000,-2580000,-24846000,-24846000,-667000,-25513000,-30355000,-29171000,-29171000,94773000,94773000,63468000,63468000,88830000,24932000,14766000,10166000,272003000,37209000,106423000,36317000,59389000,10717000,143632000,415635000,62134000,20668000,41466000,105848000,87272000,18576000,167982000,81565000,15261000,9968000,5293000,96826000,264808000,418082000,-269728000,2473000,150827000,150827000,415635000,-30355000,6093000,6999000,-11386000,-28649000,-3888000,-3888000,-3888000,-3888000,4896000,4896000,4896000,-27641000,-27641000,553000,-27088000,-16173000,81565000,-30780000,0.34233,-0.28627,-0.37505,-0.19341,-0.07018,1.05516,1.61924,1.75571,0.19624,-0.40032,-0.40032,1.06737,2.06981,-0.4224,-0.11779,-0.12429,0.81667,0.59319
"11","2013_Q4",7.75953125,"Up",70547000,-50494000,20053000,-45088000,-29391000,-15697000,-25035000,-5565000,-5565000,-30600000,-30600000,-603000,-31203000,-31203000,-31203000,-31203000,181526000,181526000,53992000,53992000,92225000,25827000,15869000,9958000,353570000,35325000,108183000,34102000,59368000,14713000,143508000,497078000,56761000,14982000,41779000,107205000,91091000,16114000,163966000,197658000,13409000,9087000,4322000,211067000,375033000,420585000,-300931000,2391000,122045000,122045000,497078000,-31203000,5925000,4947000,201000,-20130000,-2414000,-2414000,-2414000,-2414000,408000,408000,110870000,88326000,88326000,-1573000,86753000,-19110000,197658000,-20720000,0.28425,-0.35487,-0.4423,-0.25567,-0.06277,0.66404,2.15636,3.07291,0.39764,-0.42157,-0.42157,0.95313,1.6489,-0.27994,-0.09367,-0.0622,-0.84417,-0.64438
"12","2014_Q1",9.45377049180328,"Up",84900000,-57615000,27285000,-40010000,-25323000,-14687000,-12725000,-4284000,-4284000,-17009000,-17009000,-1706000,-18715000,-18715000,-18715000,-18715000,174397000,73313000,55458000,55458000,81592000,24488000,12595000,11893000,335935000,34733000,105261000,31896000,59368000,13997000,139994000,475929000,51274000,15920000,35354000,104585000,86893000,17692000,155859000,198768000,14467000,9085000,5382000,213235000,369094000,424599000,-319646000,1882000,106835000,106835000,475929000,-18715000,5719000,9738000,-978000,-4236000,-3505000,-3505000,-3505000,-105908000,1900000,1900000,1900000.00000001,-108244000,-108244000,31000,-108213000,-7006000,198768000,-9783000,0.32138,-0.14988,-0.22044,-0.17518,-0.03932,0.52274,2.15538,3.4548,0.41764,-0.25208,-0.25208,1.14354,1.43899,-0.13177,-0.05847,-0.03057,-3.47859,-1.91521
"13","2014_Q2",8.65952380952381,"Down",76641000,-50163000,26478000,-38764000,-25814000,-12950000,-12286000,-2460000,-2460000,-14746000,-14746000,-787000,-15533000,-15533000,-15533000,-15533000,161595000,62436000,60136000,60136000,87989000,24524000,13083000,11441000,334244000,34728000,104189000,29695000,58124000,16370000,138917000,473161000,54491000,18146000,36345000,108316000,88433000,19883000,162807000,199916000,15772000,10305000,5467000,215688000,378495000,427508000,-335179000,2337000,94666000,94666000,473161000,-15533000,5448000,4941000,-6110000,-11254000,-3206000,-3206000,-3206000,-1480000,629000,629000,629000,-12105000,-12105000,1228000,-10877000,-6838000,199916000,-15367000,0.34548,-0.16031,-0.20267,-0.16408,-0.03283,0.98931,2.05301,3.99821,0.42251,-0.20794,-0.20794,1.02598,1.26728,-0.20572,-0.05005,-0.04951,-5.60412,-3.11908
