"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",39.4392063492064,"Up",1.5593e+10,-1.0412e+10,5.181e+09,-3.939e+09,-3.143e+09,-5.16e+08,1.242e+09,-1.87e+08,-1.87e+08,1.055e+09,1.055e+09,-3.84e+08,6.71e+08,6.71e+08,6.71e+08,6.71e+08,1.578e+09,1.578e+09,7.249e+09,8.395e+09,8.395e+09,1.7222e+10,2.2784e+10,3.3229e+10,-1.0445e+10,3.317e+09,3.317e+09,2.6101e+10,4.3323e+10,9.333e+09,6.15e+09,3.183e+09,8.64e+08,1.0197e+10,1.4794e+10,2.735e+09,9.16e+08,1.819e+09,1.7529e+10,2.7726e+10,3.072e+09,1.3098e+10,-5.73e+08,1.5597e+10,1.5597e+10,4.3323e+10,6.71e+08,5.16e+08,2.12e+08,-2.41e+08,1.158e+09,-3.95e+08,2.2e+08,-1.75e+08,-1.26e+08,-1.17e+09,-3.09e+08,6.9e+07,-3.78e+08,-1.605e+09,-6.22e+08,-6.22e+08,-6.22e+08,1.758e+09,1.5658e+10,1.506e+09,0.33226,0.07965,0.04303,0.04302,0.01549,2.24441,1.68893,1.77765,0.36142,0.90688,0.89983,21.07447,21.07988,2.03541,0.17029,9.06887792008839,0.02345,0.04431,0.18778,8.0091,11.33655
"2","2010_Q3",37.71140625,"Down",1.5531e+10,-1.0293e+10,5.238e+09,-3.972e+09,-3.262e+09,-4.96e+08,1.266e+09,-1.86e+08,-1.86e+08,1.08e+09,1.08e+09,-4.01e+08,6.79e+08,6.79e+08,6.79e+08,6.79e+08,1.54e+09,1.54e+09,7.728e+09,7.977e+09,7.977e+09,1.7245e+10,2.2969e+10,3.3787e+10,-1.0818e+10,3.441e+09,3.441e+09,2.641e+10,4.3655e+10,9.285e+09,6.228e+09,3.057e+09,8.15e+08,1.01e+10,1.5737e+10,2.55e+09,7.4e+08,1.81e+09,1.8287e+10,2.8387e+10,3.145e+09,1.269e+10,-5.67e+08,1.5268e+10,1.5268e+10,4.3655e+10,6.79e+08,4.96e+08,2.84e+08,-7.89e+08,6.7e+08,-5.64e+08,1.4e+07,-5.5e+08,-1.26e+08,8.28e+08,-8.6e+08,4.7e+07,-9.07e+08,-1.58e+08,-3.8e+07,-3.8e+07,-3.8e+07,1.762e+09,1.6552e+10,8.1e+08,0.33726,0.08151,0.04372,0.04447,0.01555,1.19293,1.70743,1.85925,0.37915,0.92874,0.9218,21.24333,20.8836,1.10792,0.17234,6,0.02342,0.02357,0.18557,8.51986,11.85782
"3","2010_Q4",40.92515625,"Up",1.5605e+10,-1.0562e+10,5.043e+09,-4.076e+09,-3.344e+09,-5.33e+08,9.67e+08,-1.94e+08,-1.94e+08,7.73e+08,7.73e+08,-2.38e+08,5.35e+08,5.35e+08,5.35e+08,5.35e+08,9.36e+08,9.36e+08,9.55e+09,7.86e+09,7.86e+09,1.8346e+10,2.3129e+10,3.4348e+10,-1.1219e+10,3.474e+09,3.474e+09,2.6603e+10,4.4949e+10,1.094e+10,7.761e+09,3.179e+09,8.5e+08,1.179e+10,1.568e+10,2.6e+09,8.14e+08,1.786e+09,1.828e+10,3.007e+10,3.187e+09,1.2254e+10,-5.62e+08,1.4879e+10,1.4879e+10,4.4949e+10,5.35e+08,5.33e+08,1.63e+08,-2.07e+08,1.024e+09,-6.12e+08,2.1e+07,-5.91e+08,-1.8e+08,-1.11e+08,-7.53e+08,1.7e+07,-7.7e+08,-1.037e+09,-6.04e+08,-6.04e+08,-6.04e+08,1.5e+09,1.653e+10,9.19e+08,0.32317,0.06197,0.03428,0.03596,0.0119,1.71776,1.55606,2.02097,0.36775,0.74783,0.74202,21.81297,20.79815,1.2846,0.25161,6,0.02102,0.02702,0.33645,10.396,16.12616
"4","2011_Q1",39.0138709677419,"Down",2.0661e+10,-1.4458e+10,6.203e+09,-4.426e+09,-3.72e+09,-5.39e+08,1.777e+09,-1.9e+08,-1.9e+08,1.587e+09,1.587e+09,-5.52e+08,1.035e+09,1.035e+09,1.035e+09,1.035e+09,1.712e+09,1.712e+09,7.596e+09,7.905e+09,7.905e+09,1.7213e+10,2.296e+10,3.4515e+10,-1.1555e+10,3.532e+09,3.532e+09,2.6492e+10,4.3705e+10,9.951e+09,6.625e+09,3.326e+09,1.19e+08,1.007e+10,1.5607e+10,2.541e+09,9.34e+08,1.607e+09,1.8148e+10,2.8218e+10,3.37e+09,1.2698e+10,-5.81e+08,1.5487e+10,1.5487e+10,4.3705e+10,1.035e+09,5.39e+08,2.78e+08,5.67e+08,2.419e+09,-4.89e+08,6.1e+07,-4.28e+08,-1.77e+08,-7.95e+08,-2.36e+08,1.61e+08,-3.97e+08,-1.215e+09,7.76e+08,7.76e+08,7.76e+08,2.316e+09,1.5726e+10,2.946e+09,0.30023,0.08601,0.05009,0.06683,0.02368,2.84638,1.70933,1.82204,0.35982,1.46186,1.44897,29.1822,21.87429,4.16102,0.25,7,0.03591,0.08728,0.17101,6.05095,7.88633
"5","2011_Q2",36.0434920634921,"Down",1.5935e+10,-1.0838e+10,5.097e+09,-3.833e+09,-3.233e+09,-5.12e+08,1.264e+09,-1.83e+08,-1.83e+08,1.081e+09,1.081e+09,-3.92e+08,6.89e+08,6.89e+08,6.89e+08,6.89e+08,1.424e+09,1.424e+09,7.696e+09,7.248e+09,7.248e+09,1.6368e+10,2.3378e+10,3.4714e+10,-1.1336e+10,3.25e+09,3.25e+09,2.6628e+10,4.2996e+10,9.525e+09,6.296e+09,3.229e+09,1.313e+09,1.0838e+10,1.4416e+10,2.512e+09,9.16e+08,1.596e+09,1.6928e+10,2.7766e+10,3.402e+09,1.2398e+10,-5.7e+08,1.523e+10,1.523e+10,4.2996e+10,6.89e+08,5.12e+08,1.52e+08,-3.01e+08,1.052e+09,-6.31e+08,2.61e+08,-3.7e+08,-1.74e+08,-414949553.938916,-7.96e+08,1.6e+07,-8.12e+08,-9.7e+08,-2.88e+08,-2.88e+08,-2.88e+08,1.776e+09,1.5729e+10,1.236e+09,0.31986,0.07932,0.04324,0.04524,0.01602,1.7939,1.51024,1.82311,0.36582,0.99423,0.98852,22.99423,21.97691,1.78355,0.25108,7,0.02578,0.03693,0.25254,8.05462,11.31725
"6","2011_Q3",37.1690625,"Up",1.624e+10,-1.0872e+10,5.368e+09,-4.068e+09,-3.472e+09,-5.1e+08,1.3e+09,-1.91e+08,-1.91e+08,1.109e+09,1.109e+09,-4.05e+08,7.04e+08,7.04e+08,7.04e+08,7.04e+08,8.9e+08,8.9e+08,7.926e+09,7.243e+09,7.243e+09,1.6059e+10,2.5981e+10,3.7568e+10,-1.1587e+10,3.459e+09,3.459e+09,2.944e+10,4.5499e+10,1.024e+10,6.519e+09,3.721e+09,1.38e+09,1.162e+10,1.616e+10,2.613e+09,9.69e+08,1.644e+09,1.8773e+10,3.0393e+10,3.441e+09,1.2213e+10,-5.48e+08,1.5106e+10,1.5106e+10,4.5499e+10,7.04e+08,5.1e+08,1.03e+08,-3.3e+07,1.284e+09,-1.746e+09,-1.9e+07,-1.765e+09,-1.72e+08,7.62e+08,-6.63e+08,1.8e+07,-6.81e+08,-5.3e+07,-5.34e+08,-5.34e+08,-5.34e+08,1.81e+09,1.754e+10,4.36e+08,0.33054,0.08005,0.04335,0.0466,0.01547,0.61932,1.38201,2.01198,0.3855,1.03408,1.02759,23.85429,22.1886,0.64042,0.25264,6,0.02484,0.01237,0.24432,9.1989,12.80769
"7","2011_Q4",39.167619047619,"Up",1.6402e+10,-1.1164e+10,5.238e+09,-4.18e+09,-3.525e+09,-5.46e+08,1.058e+09,-2e+08,-2e+08,8.58e+08,8.58e+08,-3.03e+08,5.55e+08,5.55e+08,5.55e+08,5.55e+08,8.21e+08,8.21e+08,9.89e+09,7.661e+09,7.661e+09,1.8372e+10,2.6583e+10,3.8618e+10,-1.2035e+10,3.492e+09,3.492e+09,3.0075e+10,4.8447e+10,1.1326e+10,8.053e+09,3.273e+09,2.813e+09,1.4139e+10,1.6156e+10,2.888e+09,1.199e+09,1.689e+09,1.9044e+10,3.3183e+10,3.487e+09,1.234e+10,-5.63e+08,1.5264e+10,1.5264e+10,4.8447e+10,5.55e+08,5.46e+08,3.46e+08,-8.08e+08,6.39e+08,-1.366e+09,-1.03e+08,-1.469e+09,-2.03e+08,1.177e+09,-1.68e+08,3.2e+07,-2e+08,7.87e+08,-4.3e+07,-4.3e+07,-6.9e+07,1.604e+09,1.8969e+10,-2.67e+08,0.31935,0.0645,0.03384,0.03636,0.01146,-0.48108,1.29938,2.17394,0.39154,0.82442,0.81822,24.36423,22.6738,-0.39661,0.30154,6,0.02042,-0.00719,0.36577,11.31421,17.15312
"8","2012_Q1",40.2596774193548,"Up",2.1288e+10,-1.4986e+10,6.302e+09,-4.602e+09,-3.876e+09,-5.63e+08,1.7e+09,-2.92e+08,-2.92e+08,1.408e+09,1.408e+09,-4.27e+08,9.81e+08,9.81e+08,9.81e+08,9.81e+08,7.94e+08,7.94e+08,7.918e+09,7.737e+09,7.737e+09,1.6449e+10,2.6681e+10,3.9063e+10,-1.2382e+10,3.5e+09,3.5e+09,3.0181e+10,4.663e+10,1.0501e+10,6.857e+09,3.644e+09,3.786e+09,1.4287e+10,1.3697e+10,2.825e+09,1.191e+09,1.634e+09,1.6522e+10,3.0809e+10,3.543e+09,1.2959e+10,-6.81e+08,1.5821e+10,1.5821e+10,4.663e+10,9.81e+08,5.63e+08,3.6e+07,8.79e+08,2.459e+09,-5.88e+08,1.2e+07,-5.76e+08,-2.01e+08,-1.57e+09,-1.26e+08,2.3e+07,-1.49e+08,-1.904e+09,-2.1e+07,-2.1e+07,-2.7e+07,2.263e+09,1.7483e+10,2.981e+09,0.29604,0.07986,0.04608,0.06201,0.02104,3.03874,1.15133,1.94735,0.37493,1.46549,1.4529,31.80161,23.6346,4.45324,0.30027,6,0.03272,0.08251,0.20489,7.37472,9.81706
"9","2012_Q2",43.0779365079365,"Up",1.6867e+10,-1.1541e+10,5.326e+09,-4.041e+09,-3.392e+09,-5.29e+08,1.285e+09,-1.84e+08,-1.84e+08,1.101e+09,1.101e+09,-4.04e+08,6.97e+08,6.97e+08,6.97e+08,6.97e+08,6.75e+08,6.75e+08,7.67e+09,7.246e+09,7.246e+09,1.5591e+10,2.7233e+10,3.9384e+10,-1.2151e+10,3.351e+09,3.351e+09,3.0584e+10,4.6175e+10,9.963e+09,6.292e+09,3.671e+09,2.483e+09,1.2446e+10,1.4967e+10,2.899e+09,1.209e+09,1.69e+09,1.7866e+10,3.0312e+10,3.65e+09,1.2854e+10,-6.41e+08,1.5863e+10,1.5863e+10,4.6175e+10,6.97e+08,5.29e+08,8.6e+07,-5e+06,1.307e+09,-8.28e+08,1.69e+08,-6.59e+08,-2.01e+08,-5.5e+07,-5.1e+08,8.2e+07,-5.92e+08,-7.68e+08,-1.2e+08,-1.2e+08,-1.19e+08,1.814e+09,1.745e+10,1.385e+09,0.31576,0.07618,0.04132,0.04394,0.01509,1.98709,1.25269,1.91086,0.37791,1.04608,1.03659,25.31442,23.80759,2.07864,0.30167,6,0.0248,0.03825,0.28838,9.24752,13.05447
"10","2012_Q3",47.3931746031746,"Up",1.6779e+10,-1.1297e+10,5.482e+09,-4.228e+09,-3.589e+09,-5.31e+08,1.254e+09,-1.82e+08,-1.82e+08,1.072e+09,1.072e+09,-3.68e+08,7.04e+08,7.04e+08,7.04e+08,7.04e+08,1.442e+09,1.442e+09,7.733e+09,7.24e+09,7.24e+09,1.6415e+10,2.7441e+10,3.9983e+10,-1.2542e+10,3.469e+09,3.469e+09,3.091e+10,4.7325e+10,1.0044e+10,6.505e+09,3.539e+09,3.285e+09,1.3329e+10,1.5229e+10,2.87e+09,1.173e+09,1.697e+09,1.8099e+10,3.1428e+10,3.775e+09,1.2774e+10,-6.52e+08,1.5897e+10,1.5897e+10,4.7325e+10,7.04e+08,5.31e+08,-3.6e+07,-34999999.9999999,1.164e+09,-7.57e+08,-1.1e+07,-7.68e+08,-1.98e+08,1.015e+09,-4.37e+08,1.01e+08,-5.38e+08,3.66e+08,7.62e+08,7.62e+08,7.67e+08,1.785e+09,1.8514e+10,1.361e+09,0.32672,0.07474,0.04196,0.04429,0.01488,1.93324,1.23153,1.97698,0.39121,1.07203,1.062,25.55048,24.2074,2.07248,0.30151,5,0.02419,0.03651,0.28125,9.56415,13.61404
