"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",8.98238095238095,"Up",704851000,-371637000,333214000,-262660000,-250771000,70554000,-28480000,-28480000,42074000,42074000,-15948000,26126000,26126000,26126000,26126000,-601286468.770946,-601286468.770946,4082454.33643837,4082454.33643837,730922705.599253,82791684.4688181,98669592.536674,216510375.633564,212093815.95802,1198523857.20254,342431595.866682,856092261.335859,1410617673.16056,1627128048.79412,-202089047.14812,168642449.419031,239605530.067229,-610337026.634379,853047479.018585,650958431.870465,1723503293.61768,20043100.2170375,-10180887.6244143,30223987.8414518,1743546393.83471,2394504825.70518,720894911.915709,-1257517293.76762,-230793961.161692,-767376776.911054,-767376776.911054,1627128048.79412,11889000,8345000,-26570000,19790000,-42456000,-357000,-54000,2000,-403000,-23069000,-23069000,411000,-22658000,82443000,0,0.47274,0.1001,0.03707,0.0984361571890512,-0.00528128194931512,-0.535735503915701,-2.58089026356371,1.61971857107391,0.14364,0.14211,3.87517,-4.20007527509781,-0.0231774641332582,41.0264910300641,45.943183417767
"2","2010_Q3",9.446875,"Up",720467000,-376182000,344285000,-259928000,-247497000,84357000,-28414000,-28414000,55943000,55943000,-21383000,34560000,34560000,34560000,34560000,-160577822.923649,-160577822.923649,37751484.7788128,37751484.7788128,617854235.199751,69927228.1562727,49136864.1788913,564955125.211188,175309938.652673,771662952.400847,157662198.622227,614000753.77862,946972891.05352,1511928016.26471,204162984.28396,208505149.806344,70539510.0224095,-74881675.544793,248762826.339528,452925810.623488,1620510097.87256,59015700.0723458,20074370.7918619,38941329.2804839,1679525797.9449,2132451608.56839,665832303.971903,-1186749764.58921,-99559987.0538975,-620523592.303685,-620523592.303685,1511928016.26471,12431000,5888000,20253000,73132000,-15588000,-50856000,68000,68000,-50771000,6773000,6773000,-1142000,5630999.99999999,96788000,0,0.47786,0.11709,0.04797,-0.0275712809369829,0.0190462393502283,1.19202149869477,-3.31040675452124,1.23408619035797,0.18995,0.1879,3.95989,-3.40587175836594,0.0207575119555806,22.270073676688,24.9975411392557
"3","2010_Q4",12.94953125,"Up",742975000,-382117000,360858000,-268254000,-255588000,92604000,-28255000,-28255000,64349000,64349000,-23233000,41116000,41116000,41116000,41116000,28303000,28303000,52172000,52172000,586573000,69570000,29924000,736618000,163960000,616486000,96732000,519754000,780446000,1517064000,376541000,223705000,9387000,143449000,14477000,391018000,1573904000,77644000,35822000,41822000,1651548000,2042566000,647682000,-1135056000,-38039000,-525502000,-525502000,1517064000,12666000,4650000,-3528000,54904000,-12302000,-50812000,142000,142000,-50636000,-8034000,-8034000,-1083000,-9117000,105270000,1588381000,0.48569,0.12464,0.05534,-0.07824,0.0271,1.88385,-3.88689,1.04701,0.22592,0.22331,4.0825,-2.88753,0.03605,14.81978,16.84677
"4","2011_Q1",13.4961290322581,"Up",747797000,-381780000,366017000,-272602000,-258465000,93415000,-27833000,-27833000,65582000,65582000,-23556000,42026000,42026000,42026000,42026000,59494000,59494000,54989000,54989000,604357000,75935000,29510000,794775000,168119000,626518000,109352000,517166000,794637000,1589412000,404607000,224931000,12180000,167496000,3045000,407652000,1560537000,82495000,41803000,40692000,1643032000,2050684000,652137000,-1093030000,-20276000,-461272000,-461272000,1589412000,14137000,145572000,11513000,69420000,-14676000,-25542000,652000,666000,-24701000,30043000,30043000,1148000,31191000,107552000,1563582000,0.48946,0.12492,0.0562,-0.09111,0.02644,1.94964,-4.44572,0.98375,0.23076,0.22783,4.10607,-2.53279,0.03547,13.98475,16.10114
"5","2011_Q2",15.5173015873016,"Up",793564000,-414173000,379391000,-287019000,-272908000,92372000,-29523000,-29523000,62849000,62849000,-21900000,40949000,40949000,40949000,40949000,38381000,38381000,54326000,54326000,632043000,83577000,36465000,808327000,176957000,685156000,140243000,544913000,862113000,1670440000,388905000,225716000,28275000,134914000,48299000,437204000,1557952000,82178000,43115000,39063000,1640130000,2077334000,663346000,-1052081000,-18056000,-406894000,-406894000,1670440000,14111000,52044000,-37885000,28270000,-93925000,45879000,2874000,2874000,44617000,-21038000,-21038000,-75000,-21113000,106483000,1606251000,0.47808,0.1164,0.0516,-0.10064,0.02451,1.84886,-5.10534,0.96157,0.22442,0.21874,4.3492,-2.23002,0.03195,14.72413,16.97343
"6","2011_Q3",17.00625,"Up",801805000,-409991000,391814000,-286158000,-271381000,105656000,-27793000,-27793000,77863000,77863000,-28585000,49278000,49278000,49278000,49278000,59102000,59102000,57828000,57828000,636909000,86711000,39268000,840550000,180549000,685925000,139116000,546809000,866474000,1707024000,418997000,236749000,13704000,168544000,3094000,422091000,1543001000,83260000,44499000,38761000,1626261000,2048352000,667002000,-1002803000,-5424000,-341328000,-341328000,1707024000,14777000,51923000,30655000,97355000,-16470000,-61079000,933000,933000,-60518000,20367000,20367000,354000,20721000,120433000,1546095000,0.48866,0.13177,0.06146,-0.14437,0.02887,1.9914,-6.00113,0.90573,0.26953,0.26259,4.38562,-1.86696,0.03826,12.34706,14.07391
"7","2011_Q4",19.412380952381,"Up",836576000,-426044000,410532000,-274280000,-259007000,136252000,-27742000,-27742000,108510000,108510000,-39367000,69143000,69143000,69143000,69143000,52717000,52717000,62775000,62775000,664966000,81893000,32499000,862351000,182900000,680212000,134877000,545335000,863112000,1725463000,429872000,239303000,16529000,174040000,3218000,433090000,1481740000,71722000,46040000,25682000,1553462000,1986552000,673920000,-933660000,-1246000,-261089000,-261089000,1725463000,15273000,75024000,-20785000,69512000,-16496000,-63545000,2874000,2874000,-59595000,-6579000,-6579000,194000,-6385000,151525000,1484958000,0.49073,0.16287,0.08265,-0.26483,0.04007,1.99116,-7.60872,0.86061,0.37749,0.36683,4.56739,-1.42545,0.05337,9.45218,10.51171
"8","2012_Q1",22.673064516129,"Up",837186000,-424318000,412868000,-298679000,-283118000,114189000,-27472000,-27472000,86717000,86717000,-32362000,54355000,54355000,54355000,54355000,63481000,63481000,61996000,61996000,665246000,88425000,33530000,879148000,182489000,666963000,129658000,537305000,849452000,1728600000,457002000,262114000,9379000,185509000,3004000,460006000,1410111000,77465000,51311000,26154000,1487576000,1947582000,683097000,-879305000,-22671000,-218982000,-218982000,1728600000,15561000,-156746000,24164000,96704000,-19844000,-70561000,4261000,4261000,-64553000,12307000,12307000,-1543000,10764000,129750000,1413115000,0.49316,0.1364,0.06493,-0.24822,0.03144,1.91117,-8.8938,0.81749,0.296,0.28756,4.55912,-1.19252,0.04275,10.4018,11.8193
"9","2012_Q2",26.2865079365079,"Up",864815000,-442958000,421857000,-308567000,-293014000,113290000,-63961000,-63961000,49329000,49329000,-19195000,30134000,30134000,30134000,30134000,71525000,71525000,58433000,58433000,684357000,94200000,36529000,908515000,184427000,699756000,137832000,561924000,884183000,1792698000,421525000,250282000,18813000,152430000,4736000,426261000,1452484000,82478000,55089000,27389000,1534962000,1961223000,703805000,-849171000,-23056000,-168525000,-168525000,1792698000,15553000,70477000,-42051000,43979000,-56589000,20055000,8993000,8993000,20541000,7931000,7931000,113000,8044000,128843000,1457220000,0.4878,0.131,0.03484,-0.17881,0.01681,2.13136,-11.63758,0.81286,0.16316,0.15843,4.68255,-0.91248,0.02198,10.75491,12.2314
"10","2012_Q3",26.7560317460317,"Up",889281000,-452495000,436786000,-305129000,-289189000,131657000,-22355000,-22355000,109302000,109302000,-41489000,67813000,67813000,67813000,67813000,64810000,64810000,5.6e+07,5.6e+07,689367000,91153000,37073000,901330000,187393000,701209000,135981000,565228000,888602000,1789932000,420394000,250265000,2865000,167264000,2096000,422490000,1354068000,82587000,56057000,26530000,1436655000,1859145000,722904000,-781358000,-10656000,-69213000,-69213000,1789932000,15940000,67174000,10997000,94111000,-13521000,-101329000,11118000,11118000,-87771000,-7181000,-7181000,466000,-6715000,147597000,1356164000,0.49117,0.14805,0.07626,-0.97977,0.03789,2.13338,-26.86121,0.75766,0.36392,0.35483,4.77238,-0.37144,0.04952,8.74919,9.80847
