"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q4",16.6979032258065,"Up",86706603,-61306972,25399631,-21416563,-2760154,-18656409,3983068,-142976,-144403,3840092,3840092,-1300121,2539971,2539971,2200793,2200793,44971534.9708995,41338248.9242816,-1265916.80934646,-1265916.80934646,47261244.854337,4141865.66781387,1859810.44163077,95108728.683704,41678017.6870228,1190839.46122946,2573105.37882166,238744.462923123,40136092.2234498,135244820.907154,68879866.2721835,63879823.7140315,5000042.55815204,69184035.3851949,-9798491.56865934,2009043.68071807,9454731.53353345,-7789447.88794126,61394587.4972537,53466953.6721158,20387992.9012684,73850233.4099001,73850233.4099001,135244820.907154,2539971,2556708,-705299,-364375,4027005,-4711660,-3700899,78367,-479958,-153852,-153852,-153852,6539776,0,2763862,0.29294,0.04594,0.02538,0.00562251405806615,0.000957473879724724,1.25585,0.994784171059477,0.81352542518663,-0.0889376679295305,0.09837,0.09837,3.87564,3.28747768974819,0.12354,0.00774938832826668,-1.06103176847162,-11.6349611979813,-32.135890421077
"2","2013_Q1",16.7515,"Up",89932519,-63558030,26374489,-24799959,-4447920,-20352039,1574530,-92908,-93470,1481622,1481622,-582174,899448,899448,972815,972815,18069000,17291000,1855000,1855000,37544000,1439000,596000,58907000,64603000,1178000,927000,251000,66755000,125662000,33815000,26032000,7783000,34087000,5536000,13090000,4144000,18626000,52713000,52698000,20255000,72949000,72949000,125662000,899448,2737377,7357080,-3749604,7244301,-11735573,-13567997,-26127632,20313742,13990046,13990046,13990046,4311907,5808000,-10591096,0.29327,0.01751,0.01082,0.01334,0.00774,-10.88706,1.72814,0.7226,0.04622,0.04348,0.04279,4.01984,3.2607,-0.4734,0.01059,-0.11531,-2.84352,-7.78709
"3","2013_Q2",21.9834375,"Up",95831000,-67994000,27837000,-24048000,-3326000,-20722000,3789000,-253000,-255000,3536000,3536000,-1315000,2221000,2221000,2221000,2221000,11133024,10270427,2100666,2100666,38399972,1578513,626975,53212175,77925078,1159377,398005,250343,80155309,133367484,29395661,20061204,9334457,29775960,13276417,15137061,3616478,28413478,58189438,52704067,22475976,75178046,75178046,133367484,2221000,3009000,-597000,-2293000,2340000,-8824000,-9005000,-64000,-356000,-7021000,-7021000,-7021000,6798000,13656716,-3004000,0.29048,0.03954,0.02318,0.02954,0.01665,-1.35254,1.78709,0.77402,0.1024,0.09928,0.09887,4.28349,3.36034,-0.13427,0.02136,-0.02889,0.37124,0.666060000000001
"4","2013_Q3",29.696875,"Up",106485000,-74668000,31817000,-26301000,-3342000,-22959000,5516000,-399000,-401000,5117000,5117000,-1900000,3217000,3217000,3217000,3217000,11326045,9497330,1483034,1483034,42536486,2392339,885025,57737904,85649939,1143390,388886,243475,86793329,144531233,35838842,26319211,9519631,36191845,15818236,13887439,4959413,29705675,65897520,52940905,25693174,78633713,78633713,144531233,3217000,3242000,1122000,772000,8353000,-8841000,-9246000,-63999.9999999981,119999.999999998,-773000.000000004,-773000.000000004,-773000.000000004,8758000,16171239,2589000,0.29879,0.0518,0.03021,0.04091,0.02226,0.80479,1.59533,0.83803,0.11189,0.14366,0.14355,4.75512,3.51141,0.11561,0.0296,0.02382,0.55323,0.87839
"5","2013_Q4",31.25796875,"Up",113164000,-80571000,32593000,40439000,-3242000,43681000,73032000,-607000,-610000,72425000,4602000,-1716000,2886000,2886000,2886000,2886000,7387932,5651928,1881530,1881530,43372662,2035933,508965,54678057,91837518,1139797,388886,239882,92977315,147655372,35311931,26847736,8464195,35311931,15978408,14802347,5549553,30780755,66092686,52984115,28579066,81562686,81562686,147655372,2886000,3464000,637000,-2535000,4452000,-8195000,-8105000,-154000,-192000,-3845000,-3845000,-3845000,76496000,15978408,67482000,0.28802,0.64536,0.0255,0.03538,0.01955,23.38254,1.54843,0.81033,0.10821,0.12883,0.12862,5.05153,3.64088,3.01233,0.02569,0.60068,0.1123,0.11763
"6","2014_Q1",33.086393442623,"Up",115175000,-81689000,33486000,-96735000,-3569000,-93166000,-63249000,-898000,-9e+05,-64147000,3676000,-1448000,2228000,2228000,2228000,2228000,9281000,8132000,2401000,2401000,45472000,2711000,1097000,59865000,98910000,1128000,9e+05,228000,100038000,159903000,38224000,28918000,9306000,38398000,19648000,17324000,6877000,36972000,75370000,53726000,30807000,84533000,84533000,159903000,2228000,3807000,1417000,3120000,10572000,-8843000,-8268000,-276000,176000,2480000,2480000,2480000,-59442000,19822000,-63717000,0.29074,-0.54916,0.01934,0.02636,0.01393,-28.59829,1.55907,0.8916,0.12396,0.09859,0.09923,5.09677,3.74078,-2.81963,0.01831,-0.52365,-0.17733,-0.16666
"7","2014_Q2",22.3196825396825,"Down",120580000,-85199000,35381000,-29951000,-3889000,-26062000,5430000,-706000,-707000,4724000,4724000,-1802000,2922000,2922000,2922000,2922000,7372000,6222000,1698000,1698000,48572000,2066000,870000,59708000,102772000,1128000,9e+05,228000,103900000,163608000,38104000,28080000,10024000,38293000,19611000,18111000,7174000,37722000,76015000,53864000,33729000,87593000,87593000,163608000,2922000,3938000,344000,-1894000,5310000,-7684000,-7184000,-341901.189236511,-36000,-1910000,-1910000,-1910000,9368000,19800000,1592000,0.29342,0.04503,0.02423,0.03336,0.01786,0.54483,1.55924,0.86782,0.12102,0.13003,0.13003,5.36603,3.89805,0.07085,0.02328,0.01268,1.32664,2.28877
"8","2014_Q3",16.35828125,"Down",130343000,-91590000,38753000,-31636000,-3548000,-28088000,7117000,-703000,-704000,6414000.00000001,6414000,-2415000,3999000,3999000,3999000,3999000,7909000,7814000,1801000,1801000,53090000,2462000,1183000,65262000,108518000,1684000,9e+05,784000,110202000,175464000,44809000,34096000,10713000,45004000,19560000,18722000,6606000,38282000,83286000,54450000,37728000,92178000,92178000,175464000,3999000,4116000,-958000,3181000,10338000,-10169000,-9124000,0,378000,1592000,1592000,1592000,11233000,19755000,6660000,0.29732,0.0546000000000001,0.03068,0.04338,0.02279,1.66542,1.45014,0.90353,0.11259,0.17786,0.17786,5.79729,4.09982,0.29622,0.03061,0.05097,1.05457,1.66447
"9","2014_Q4",16.878125,"Up",134036000,-95424000,38612000,-32527000,-3585000,-28942000,6085000,-706000,-706000,5379000,5379000,-2015000,3364000,3364000,3364000,3364000,6634000,6634000,1706000,1706000,56017000,1727000,872000,66084000,113268000,1679000,9e+05,779000,114947000,181031000,47058000,35718000,11340000,47259000,19508000,18572000,5904000,38080000,85339000,54600000,41092000,95692000,95692000,181031000,3364000,4502000,-146000,107000,7827000,-9067000,-8972000,-135000,-35000,-1180000,-1180000,-1180000,10587000,19508000,3642000,0.28807,0.0454,0.0251,0.03515,0.01858,1.08264,1.39834,0.89181,0.10776,0.14963,0.14963,5.96178,4.25628,0.16199,0.02515,0.02723,1.21602,2.11569
"10","2015_Q1",23.1226229508197,"Up",135715000,-96959000,38756000,-33140000,-3801000,-29339000,5616000,-379000,-379000,5237000,5237000,-2049000,3188000,3188000,3188000,3188000,5113000,5113000,2146000,2146000,58381000,1473000,641000,67113000,120224000,1648000,9e+05,748000,121872000,188985000,49657000,33835000,15822000,49886000,21748000,18497000,5409000,40245000,90131000,54574000,44280000,98854000,98854000,188985000,3188000,4656000,-264000,694000,8274000,-9592000,-9592000,-130000,-203000,-1521000,-1521000,-1521000,10272000,21977000,3423000,0.28557,0.04138,0.02349,0.03225,0.01687,1.07371,1.34533,0.91176,0.11629,0.1418,0.1418,6.0365,4.39695,0.15225,0.02288,0.02457,1.64174,3.00285
"11","2015_Q2",20.8049206349206,"Down",145887000,-103593000,42294000,-35853000,-4227000,-31626000,6441000,-735000,-735000,5706000,5706000,-2142000,3564000,3564000,3564000,3564000,1855000,1855000,1650000,1650000,61807000,1696000,967000,67008000,126934000,6537000,5789000,748000,133471000,200479000,50720000,36185000,14535000,50999000,28093000,18810000,4742000,46903000,97902000,54733000,47844000,102577000,102577000,200479000,3564000,4981000,-3085000,1446000,6906000,-7568000,-13169000,3060000,3005000,-3258000,-3258000,-3258000,11422000,28372000,7442000,0.28991,0.04415,0.02443,0.03474,0.01778,2.0881,1.31391,0.95442,0.14152,0.15844,0.15844,6.48549,4.56012,0.33084,0.0238,0.04969,2.32157,4.11691
"12","2015_Q3",19.50015625,"Down",157744000,-110874000,46870000,-37487000,-4156000,-33331000,9383000,-714000,-714000,8669000,8669000,-3266000,5403000,5403000,5403000,5403000,7236000,7236000,2173000,2173000,64727000,2020000,1184000,76156000,129196000,6405000,5641000,764000,135601000,211757000,60826000,41067000,19759000,61122000,24933000,17624000,3946000,42557000,103679000,54831000,53247000,108078000,108078000,211757000,5403000,5149000,-4269000,11140000,17423000,-8385000,-8385000,-3082000,-3657000,5381000,5381000,5381000,14532000,25229000,20553000,0.29713,0.05948,0.03425,0.04999,0.02552,3.804,1.24597,0.9593,0.11914,0.24014,0.24014,7.01101,4.80358,0.91349,0.0358,0.13617,1.23816,1.91762
"13","2015_Q4",18.02359375,"Down",158650000,-112508000,46142000,-38908000,-4322000,-34586000,7234000,-768000,-768000,6466000,6466000,-2121000,4345000,4345000,4345000,4345000,3234000,3234000,2671000,2671000,69763000,2075000,1230000,77743000,139067000,6393000,5632000,761000,145460000,223203000,61746000,44970000,16776000,62067000,27324000,21282000,6382000,48606000,110673000,54938000,57592000,112530000,112530000,223203000,4345000,5402000,-2494000,-2361000,4892000,-8841000,-8841000,0,-53000,-4002000,-4002000,-4002000,12636000,27645000,3555000,0.29084,0.0456,0.02739,0.03861,0.01947,0.81818,1.25257,0.9835,0.12386,0.19307,0.19307,7.04943,5.00014,0.15796,0.02691,0.02202,1.93186,3.37448
"14","2016_Q1",16.3447540983607,"Down",162397000,-115607000,46790000,-41219000,-4809000,-36410000,5571000,-776000,-776000,4795000,4795000,-1903000,2892000,2892000,2892000,2892000,2915000,2915000,2576000,2576000,74818000,1974000,1108000,82283000,145219000,6422000,5623000,799000,151641000,233924000,69545000,49896000,19649000,69878000,27274000,21284000,6073000,48558000,118436000,55004000,60484000,115488000,115488000,233924000,2892000,5805000,-4589000,7674000,11782000,-11943000,-11943000,-327000,-158000,-319000,-319000,-319000,11376000,27607000,9010000,0.28812,0.0343,0.01781,0.02504,0.01236,3.11549,1.17752,1.02553,0.11802,0.12851,0.12851,7.21632,5.13186,0.40037,0.01759,0.05481,2.17053,4.43224
"15","2016_Q2",11.98421875,"Down",167786000,-119491000,48295000,-41601000,-4754000,-36847000,6694000,-653000,-653000,6041000,6041000,-2293000,3748000,3748000,3748000,3748000,2142000,2142000,2107000,2107000,79282000,2006000,1137000,85537000,150159000,6520000,5615000,905000,156679000,242216000,69349000,52994000,16355000,69755000,27246000,25754000,9620000,5.3e+07,122755000,55229000,64232000,119461000,119461000,242216000,3748000,6045000,-684000,384000,9493000,-10168000,-10168000,-10000,-98000,-773000,-773000,-773000,12739000,27652000,5248000,0.28784,0.0399,0.02234,0.03137,0.01547,1.40021,1.22625,1.02757,0.11416,0.16655,0.16655,7.45582,5.30843,0.2332,0.02168,0.03036,2.00251,3.81088
"16","2016_Q3",10.0290625,"Down",177395000,-125792000,51603000,-45154000,-4936000,-40218000,6449000,-733000,-733000,5716000,5716000,-2139000,3577000,3577000,3577000,3577000,5600000,5600000,2270000,2270000,82519000,2722000,2722000,93111000,158813000,6564000,5607000,957000,165377000,258488000,69859000,55188000,14671000,70277000,38380000,26592000,9987000,64972000,135249000,55430000,67809000,123239000,123239000,258488000,3577000,6192000,-3514000,2263000,8518000,-13484000,-13484000,8587000,8424000,3458000,3458000,3458000,12641000,38798000,3559000,0.29089,0.03635,0.02016,0.02902,0.01384,0.99497,1.32491,1.09745,0.1501,0.15893,0.15893,7.88207,5.4758,0.15813,0.01896,0.01887,2.62622,5.14777
"17","2016_Q4",9.63619047619048,"Down",179274000,-128344000,50930000,-46915000,-4813000,-42102000,4015000,-768000,-768000,3247000,3247000,-567000,2680000,2680000,2680000,2680000,2703000,2703000,2593000,2593000,86368000,3347000,3347000,95011000,172003000,6599000,5599000,1e+06,178602000,273613000,69343000,56050000,13293000,69778000,49336000,28522000,10961000,77858000,147636000,55627000,70489000,125977000,125977000,273613000,2680000,6380000,-3331000,-3008000,2721000,-15638000,-15638000,10250000,10020000,-2897000,-2897000,-2897000,10395000,49771000,-7684000,0.28409,0.0224,0.01495,0.02127,0.00979,-2.86716,1.36162,1.17193,0.1819,0.11908,0.11908,7.96579,5.59761,-0.34143,0.01312,-0.03762,4.52795,11.72304
"18","2017_Q1",9.68709677419355,"Up",181044000,-130100000,50944000,-47723000,-4739000,-42984000,3221000,-890000,-890000,2331000,2331000,-865000,1466000,1466000,1466000,1466000,4017000,4017000,3747000,3747000,86330000,3233000,3233000,97327000,178297000,6622000,5601000,1021000,184919000,282246000,66063000,53615000,12448000,66541000,58857000,30123000,12178000,88980000,155521000,55460000,71955000,126725000,126725000,282246000,1466000,6916000,15389000,-15676000,8095000,-14450000,-14450000,8059000,7669000,1314000,1314000,1314000,10137000,59335000,-19124000,0.28139,0.01779,0.0081,0.01157,0.00519,-13.04502,1.46266,1.22723,0.21022,0.06512,0.06512,8.04177,5.62898,-0.84947,0.00678,-0.08846,5.45704,17.17417
"19","2017_Q2",7.98396825396825,"Down",183577000,-131424000,52153000,-47987000,-4883000,-43104000,4166000,-983000,-983000,3183000,3183000,-1122000,2061000,2061000,2061000,2061000,7142000,7142000,2619000,2619000,87987000,1745000,1745000,99493000,181619000,7169000,5595000,1574000,188788000,288281000,70115000,53738000,16377000,70599000,58386000,30308000,12007000,88694000,159293000,55640000,74016000,128988000,128988000,288281000,2061000,7121000,-213000,5125000,14094000,-10493000,-10493000,-363000,-476000,3125000,3125000,3125000,11287000,58870000,7041000,0.28409,0.02269,0.01123,0.01598,0.00715,3.4163,1.40927,1.23494,0.20421,0.09176,0.09176,8.17311,5.74273,0.31348,0.00945,0.03227,4.58297,12.41671
"20","2017_Q3",5.42952380952381,"Down",192203000,-138045000,54158000,-48643000,-4959000,-43684000,5515000,-879000,-879000,4636000,4636000,-1640000,2996000,2996000,2996000,2996000,4234000,4234000,3189000,3189000,92514000,1722000,1722000,101659000,187126000,7169000,5594000,1575000,194295000,295954000,74553000,60888000,13665000,75060000,57896000,30848000,11605000,88744000,163804000,55682000,77012000,132150000,132150000,295954000,2996000,7319000,-4710000,2745000,8350000,-10541000,-10541000,-587000,-716999.999999999,-2908000,-2908000,-2908000,12834000,58403000,6678000,0.28177,0.02869,0.01559,0.02267,0.01012,2.22897,1.35437,1.23953,0.19734,0.13334,0.13334,8.55419,5.88147,0.29721,0.01353,0.03016,4.22074,9.82212
