"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",192.543650793651,"Up",157901000,-63384000,94517000,-34591000,-28542000,59926000,244000,60170000,60170000,-23791000,36379000,36379000,36379000,36379000,143982000,91266000,180886000,9724000,9724000,334592000,90996000,11463000,1758000,102459000,437051000,52529000,21837000,166549000,219078000,12173000,12173000,12173000,231251000,1765000,203750000,205800000,205800000,437051000,36379000,4198000,2144000,20386000,63107000,-12170000,-12170000,-12170000,-12361000,-23438000,27308000,27308000,27308000,64124000,0,96131000,0.59858,0.37952,0.23039,0.17677,0.08324,2.64249,1.52727,1.12367,0,2.67571,2.64979,11.61378,15.1368,7.07054,6,0.21493,0.44102,-2.24537,-2.40266
"2","2010_Q3",150.4509375,"Down",159283000,-66261000,93022000,-34331000,-28270000,58691000,247000,58938000,58938000,-23281000,35657000,35657000,35657000,35657000,140918000,88010000,180655000,10278000,10278000,331851000,97734000,13040000,1714000,110774000,442625000,37551000,24934000,165744000,203295000,12169000,12169000,12169000,215464000,840000,226036000,227161000,227161000,442625000,35657000,4304000,1375000,-16589000,24747000,-10477000,-10477000,-10477000,-10669000,-17334000,-3256000,-3256000,-3256000,62995000,0,59210000,0.584,0.36847,0.22386,0.15697,0.08056,1.66054,1.63236,0.94851,0,2.6288,2.60213,11.74307,16.74735,4.36523,5,0.19255,0.2474,-2.23697,-2.40102
"3","2010_Q4",117.2821875,"Down",147597000,-65759000,81838000,-43589000,-37006000,38249000,331000,38580000,38580000,-15239000,23341000,23341000,23341000,23341000,124806000,84122000,181695000,18788000,12024000,325289000,103742000,13990000,2033000,117732000,443021000,52733000,41301000,184996000,237729000,12313000,12313000,12313000,250042000,136000,192548000,192979000,192979000,443021000,23341000,4311000,1716000,24224000,53592000,-9420000,-9420000,-9420000,2940000,-60420000,-3888000,-3888000,-3888000,42560000,0,72603000,0.55447,0.25914,0.15814,0.12095,0.05269,3.11054,1.36832,1.2957,0,1.73333,1.72169,10.96072,14.33083,5.39158,6,0.164,0.35366,-2.93247,-3.26299
"4","2011_Q1",105.790967741935,"Down",171951000,-74153000,97798000,-38893000,-32309000,58905000,406000,59311000,59311000,-23428000,35883000,35883000,35883000,35883000,76493000,64107000,22011000,10231000,10231000,108735000,116063000,10380000,2006000,126443000,235178000,42726000,41792000,3804000,46530000,12644000,12644000,12644000,59174000,1339000,174625000,176004000,176004000,235178000,35883000,4496000,6693000,-25697000,21375000,-13948000,-13948000,-13948000,14216000,-55606000,-20015000,-20015000,-20015000,63401000,-1.86264514923096e-09,47184000,0.56876,0.34257,0.20868,0.20388,0.15258,1.31494,2.33688,0.33621,0,2.74377,2.72854,13.14811,13.45802,3.60789,7,0.2608,0.25012,-1.2065,-1.29858
"5","2011_Q2",102.203650793651,"Down",171956000,-74976000,96980000,-37755000,-30564000,59225000,-65000,59160000,59160000,-23369000,35791000,35791000,35791000,35791000,71094000,71094000,25711000,11415000,11415000,108220000,118957000,10440000,2672000,129397000,237617000,55554000,27107000,15612000,71166000,13148000,13148000,93148000,164314000,124000,73179000,73303000,73303000,237617000,35791000,4904000,4017000,22460000,67172000,-11384000,-11384000,-11384000,1002000,-61187000,6987000,6987000,6987000,64129000,8e+07,98574000,0.56398,0.34442,0.20814,0.48826,0.15062,2.75416,1.52067,2.24157,0.33668,2.80846,2.79748,13.49309,5.75196,7.73493,6,0.29417,0.59221,0.13888,0.15038
"6","2011_Q3",87.42453125,"Down",163789000,-76373000,87416000,-37271000,-30821000,50145000,-1141000,49004000,49004000,-19357000,29647000,29647000,29647000,29647000,50558000,50558000,22349000,10884000,10884000,83791000,120774000,12789000,4110000,133563000,217354000,41234000,31983000,8306999.99999999,64541000,14446000,14446000,114446000,178987000,2558000,36454000,38367000,38367000,217354000,29647000,5261000,2712000,-17359000,20261000,-6678000,-6678000,-6678000,-6678000,-34119000,-20536000,-20536000,-20536000,55406000,1.15e+08,50726000,0.53371,0.30616,0.18101,0.77272,0.1364,1.711,1.29826,4.66513,0.52909,2.53697,2.52702,14.01583,3.28316,4.34075,5,0.24823,0.30228,1.16309,1.28511
"7","2011_Q4",75.3922222222222,"Down",135865000,-68170000,67695000,-43290000,-36757000,24405000,-1204000,23201000,23201000,-9266000,13935000,13935000,13935000,13935000,57071000,57071000,21200000,12785000,12785000,91056000,121898000,11251000,3839000,133149000,224205000,45496000,38014000,14893000,82889000,15066000,15066000,97566000,180455000,6179000,38411000,43750000,43750000,224205000,13935000,5614000,5081000,10686000,35316000,-6825000,-6825000,-6825000,-6825000,-21978000,6513000,6513000,6513000,30019000,1.05e+08,43146000,0.49825,0.17963,0.10257,0.31851,0.06215,3.09623,1.09853,4.12469,0.46832,1.19943,1.19727,11.69435,3.76571,3.71372,6,0.15818,0.26338,1.59662,1.9639
"8","2012_Q1",89.0603225806452,"Up",155824000,-72484000,83340000,-37972000,-31615000,45368000,-1211000,44157000,44157000,-17486000,26671000,26671000,26671000,26671000,57137000,57137000,25006000,12525000,12131000,94668000,121149000,15316000,5190000,136465000,231133000,34039000,34039000,15645000,77184000,21656000,21656000,111656000,188840000,413000,42491000,42293000,42293000,231133000,26671000,5746000,6639000,-7442000,31614000,-5104000,-5104000,-5104000,-12104000,-19444000,66000,66000,66000,51114000,117500000,56054000,0.53483,0.29115,0.17116,0.63062,0.11539,2.10168,1.22652,4.46504,0.50837,2.30399,2.29784,13.46095,3.65351,4.84226,5,0.21281,0.30892,1.18095,1.33052
"9","2012_Q2",77.5701587301587,"Down",149532000,-73764000,75768000,-34910000,-28117000,40858000,-1207000,39651000,39651000,-15662000,23989000,23989000,23989000,23989000,52704000,52704000,23320000,13365000,13365000,89389000,119542000,15303000,5115000,134845000,224234000,52306000,36517000,1584000,83890000,21818000,21818000,84318000,168208000,2063000,54615000,56026000,56026000,224234000,23989000,5817000,2350000,4326000,36482000,-4050000,-4050000,-4050000,-4050000,-36865000,-4433000,-4433000,-4433000,46675000,92500000,62613000,0.5067,0.27324,0.16043,0.42818,0.10698,2.61007,1.06555,3.00232,0.41252,2.1008,2.09018,13.09502,4.90638,5.48323,6,0.21048,0.36757,0.85262,0.97401
"10","2012_Q3",67.0333333333333,"Down",146254000,-75652000,70602000,-34434000,-27981000,36168000,-1107000,35061000,35061000,-13849000,21212000,21212000,21212000,21212000,48690000,48690000,24218000,12022000,11886000,84930000,118836000,16377000,4869000,135213000,220143000,25757000,25757000,3442000,59199000,21697000,21697000,91697000,150896000,5850000,63955000,69247000,69247000,220143000,21212000,5932000,2356000,-23321000,6179000,-5821000,-5821000,-5821000,-5821000,-4371999.99999999,-4014000,-4014000,-4014000,42100000,1e+08,26807000,0.48274,0.2473,0.14504,0.30632,0.09636,1.26377,1.43465,2.1791,0.45425,1.85566,1.84725,12.79451,6.05783,2.34511,6,0.17327,0.14039,1.21876,1.41866
