"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",8.39619047619048,"Up",142033000,-84855000,57178000,-59826000,-50016000,-9810000,-2648000,-3780000,-3806000,26000,-6428000,-849000,-7277000,586000,-6691000,-6691000,-6691000,-6691000,21947000,21947000,61551000,61551000,8209000,27577000,8439000,119284000,267289000,284087000,146098000,126571000,11418000,551376000,670660000,53223000,8684000,32520000,31865000,90430000,177290000,14266000,9754000,4512000,191556000,281986000,387701000,515000,458000,388674000,388674000,670660000,-6691000,9810000,129000,-1738000,1510000,-637000,141000,-778000,-778000,-8665000,-78000,-2709000,-9864000,-9864000,-9864000,7162000,181977000,4201000,0.40257,-0.01864,-0.04711,-0.01721,-0.00998,-0.62786,1.31908,0.72551,0.27134,-0.22303,-0.22303,4.73443,12.9558,0.14003,-0.01144,0.00718,22.34432,-60.43429
"2","2014_Q3",9.41171875,"Up",158433000,-87615000,70818000,-62343000,-52235000,-10108000,8475000,-3745000,-3826000,81000,4730000,-10480000,-5750000,2481000,-3269000,-3269000,-3269000,-3269000,31347000,31347000,65322000,65322000,7463000,29508000,7974000,133640000,258498000,278405000,144475000,126571000,7359000,536903000,670543000,46307000,5454000,32392000,31746000,80199000,190898000,14023000,9407000,4616000,204921000,285120000,387719000,-2754000,458000,385423000,385423000,670543000,-3269000,10108000,6699000,-11867000,1671000,-691000,170000,-861000,-861000,-691000,10354000,8420000,9400000,9400000,9399999.99999997,18583000,192398000,3544000,0.44699,0.05349,-0.02063,-0.00848,-0.00488,-1.08412,1.66635,0.73976,0.28693,-0.10897,-0.10897,5.2811,12.84743,0.11813,-0.00552,0.00599,8.66658,19.00307
"3","2014_Q4",11.93640625,"Up",165061000,-94070000,70991000,-64894000,-53990000,-10904000,6097000,-4370000,-4374000,4000,1727000,-1665000,62000,-4770000,-4708000,-4708000,-4708000,-4708000,135063000,135063000,73303000,73303000,11106000,26031000,7298000,245503000,290481000,294061000,155133000,132476000,6452000,584542000,830045000,58221000,8643000,36640000,36006000,97111000,230025000,15429000,8710000,5016000,245454000,342565000,494484000,-7462000,458000,487480000,487480000,830045000,-4708000,10904000,1934000,12672000,20802000,-837000,542000,-1379000,-1379000,-64631000,38893000,147545000,103716000,103716000,103716000,17001000,232275000,33606000,0.43009,0.03694,-0.02852,-0.00966,-0.00567,-7.13806,2.52807,0.70273,0.27983,-0.1544,-0.1544,5.41339,15.98754,1.10215,0.00462,0.04571,5.71802,15.94423
"4","2015_Q1",14.1818032786885,"Up",186796000,-101880000,84916000,-66216000,-55588000,-10628000,18700000,-5906000,-5679000,-227000,12794000,-321000,12473000,-1010000,11463000,11463000,11463000,11463000,123709000,123709000,80151000,80151000,9824000,26228000,9129000,239912000,283786000,297128000,156742000,134042000,6344000,580914000,820826000,56367000,9306000,36456000,35806000,95073000,219802000,21824000,13394000,5609000,241626000,336699000,484595000,4001000,-4469000,484127000,484127000,820826000,11463000,10628000,1783000,-6411000,17463000,-1820000,174000,-1994000,-1994000,-7616000.00000003,-11029000,-21201000,-11354000,-11354000,-11354000,29328000,222052000,22107000,0.45459,0.10011,0.06137,0.02368,0.01397,1.92855,2.52345,0.69548,0.27052,0.3066,0.3066,4.99626,12.94902,0.5913,0.02963,0.03037,3.35321,5.25898
"5","2015_Q2",13.2585714285714,"Down",250617000,-140712000,109905000,-104832000,-89130000,-15702000,5073000,-8993000,-8992000,-1000,-3920000,-2472000,-6392000,326000,-6066000,-6066000,-6066000,-6066000,26929000,26929000,117087000,117087000,16076000,37221000,14725000,197313000,423852000,528820000,346837000,175290000,6693000,952672000,1149985000,82769000,13204000,63105000,62463000,149144000,359463000,26198000,13050000,6364000,385661000,534805000,621691000,-2065000,-4446000,615180000,615180000,1149985000,-6066000,15702000,749000,14670000,25055000,-1692000,12120070.2054996,-1692000,-1692000,-380226000,121238000,258391000,-96780000,-96780000,-96780000,20775000,362733000,33427000,0.43854,0.02024,-0.0242,-0.00986,-0.00527,-5.51055,1.32297,0.86935,0.31542,-0.14186,-0.14186,5.86106,14.38692,0.78174,0.00724,0.03329,16.16385,66.19436
"6","2015_Q3",10.15,"Down",299493000,-160361000,139132000,-117053000,-99667000,-17386000,22079000,-7604000,-7623000,19000,14475000,-2581000,11894000,-699000,11195000,11195000,11195000,11195000,12674000,12674000,136787000,136787000,18820000,38047000,15180000,206328000,451793000,527304000,345665000,175147000,6492000,979097000,1185425000,92846000,12257000,66660000,66028000,163015000,383101000,27281000,12709000,7137000,410382000,573397000,607321000,9130000,-4423000,612028000,612028000,1185425000,11195000,17386000,2269000,-4718000,26132000,-1477000,717000,-2194000,-2194000,-48477000,22910000,8090000,-14255000,-14255000,-14255000,39465000,386610000,33969000,0.46456,0.07372,0.03738,0.01829,0.00944,3.0343,1.2657,0.93688,0.32614,0.25008,0.24671,6.69019,13.67171,0.75881,0.02521,0.03311,9.47513,16.93627
"7","2015_Q4",11.535625,"Up",312056000,-175757000,136299000,-118076000,-99863000,-18213000,18223000,-7830000,-7820000,-10000,10393000,-3575000,6818000,-710000,6108000,6108000,6108000,6108000,30330000,30330000,130905000,130905000,18404000,36497000,13505000,216136000,438260000,526880000,343728000,177569000,5583000,965140000,1181276000,109257000,17827000,67145000,66527000,179911000,368755000,28810000,12301000,8244000,397565000,577476000,606362000,1837000,-4399000,603800000,603800000,1181276000,6108000,18703000,2745000,26087000,53643000,-1835000,664000,-2499000,-2499000,-6427000,-14877000,-29560000,17656000,17656000,17656000,36926000,372264000,61888000,0.43678,0.0584,0.01957,0.01012,0.00517,10.13229,1.20135,0.9564,0.31514,0.13665,0.13694,6.98122,13.50802,1.38454,0.02069,0.06159,9.25998,18.76387
"8","2016_Q1",10.686393442623,"Down",333649000,-179725000,153924000,-134073000,-117622000,-16451000,19851000,-7980000,-7622000,-358000,11871000,46827000,58698000,-2321000,56377000,56377000,56377000,56377000,146638000,146638000,136249000,136249000,15744000,33279000,14549000,331910000,384824000,480386000,303575000,171119000,5692000,865210000,1197120000,109744000,9571000,62294000,62294000,175547000,350266000,24234000,11054000,9192000,374500000,550047000,605478000,44753000,-3158000,647073000,647073000,1197120000,56377000,15961000,-52546000,-9303000,10489000,137432000,141202000,-3770000,-3770000,136432000,-15877000,-30613000,116308000,116308000,116308000,35812000,353775000,166262000,0.46134,0.0595,0.16897,0.08713,0.04709,2.94911,1.89072,0.85005,0.29552,1.28326,1.27849,7.59457,14.72877,3.78448,0.06931,0.16219,5.78401,10.43459
"9","2016_Q2",11.08328125,"Up",300104000,-174453000,125651000,-116175000,-100084000,-16091000,9476000,-7190000,-7354000,164000,2286000,-2446000,-160000,5127000,4967000,4967000,4967000,4967000,79390000,79390000,118560000,118560000,17517000,40871000,20497000,256338000,381414000,555438000,339339000,206236000,9863000,936852000,1193190000,86846000,13334000,72308000,72308000,172663000,340085000,42692000,26944000,11289000,382777000,555440000,606322000,34915000,-3134000,637750000,637750000,1193190000,4967000,16091000,-2349000,-8881000,9828000,-2345000,243000,-2588000,-2588000,-61072000,-877000,-16004000,-67248000,-67248000,-67248000,25567000,353594000,9214000,0.41869,0.03158,0.01655,0.00779,0.00416,1.85504,1.48461,0.87094,0.29634,0.11166,0.11086,6.74641,14.33677,0.20713,0.01909,0.00891,10.72492,28.93668
"10","2016_Q3",11.7934375,"Up",314830000,-172557000,142273000,-123287000,-106029000,-17258000,18986000,-7434000,-7524000,89999.9999999999,11552000,-2240000,9312000.00000001,71000,9382999.99999999,9382999.99999999,9383000.00000001,9383000.00000001,60689000,60689000,125566000,125566000,17033000,40793000,19307000,244081000,371718000,573026000,350830000,214270000,7926000,944744000,1188825000,86154000,11395000,72798000,72798000,172461000,340100000,43299000,26359000,11819000,383399000,555860000,606940000,29495000,-3117000,632965000,632965000,1188825000,9382999.99999999,17258000,829000,-6474000,20996000,-22000,2832999.99999999,-2855000,-2855000,-24114000,-878000,-15583000,-18701000,-18701000,-18701000,36244000,353609000,29677000,0.4519,0.06031,0.0298,0.01482,0.00789,3.16285,1.41528,0.87818,0.29744,0.21072,0.20862,7.07031,14.21484,0.66647,0.02339,0.02882,8.08189,15.42821
