"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",1.416875,"Up",19537730,-15166985,4370745,-2849670,-725909,-2123761,1521075,-2787670,-2603433,-1266595,-100694,-1367289,-3461,-1370750,-1370750,366400,-1004350,-1004350,6652762.93481073,6652762.93481073,1737914.07746389,1637710.22689675,2746380.5337724,19898.1907880725,2726482.34298433,11137057.546047,183086613.971988,183086613.971988,196548947.766637,207686005.312684,13925544.3636843,12966739.778161,466484.456213493,-7527842.10144475,-7527842.10144475,136926953.255495,55019377.2944041,55019377.2944041,191946330.549899,-36881287.925675,53799955.1926387,-15403893.771779,1514773.49518325,14224901.2676023,15739674.7627855,207686005.312684,-1370750,2123761,372467,-682599,442879,-1301813,-1301813,-1301813,-165920,-1467733,-121188,-55600,-176788,-1201642,-1201642,-1201642,3644836,0,1663885,0.22371,0.07785,-0.05141,-0.0489554766795152,-0.013124081460039,-1.65668,0.0344708737821623,5.0377322657538,0.890690470957382,-0.10524,-0.10506,2.04726,4.01746972103531,0.17435,-0.0159165573200547,0.0379555679266543,155.452540260161,717.38844867526
"2","2011_Q1",1.61387096774194,"Up",18819501,-14658435,4161066,-2827469,-702045,-2125424,1333597,-2626799,-2638641,-1293202,-17516.0000000001,-1310718,151517,-1159201,-1159201,304882,-854319,-854319,2992888,2992888,1985755,1885755,4541504,2335783,2205721,9520147,183898660,183898660,200063284,209583431,6335145,6335145,379428.473728096,555902,555902,86582875,72192253,72192253,158775128,0,55778389,-16837182,38941207,11867096,50808303,209583431,-1159201,2125424,480753,-1059196,387780,-675130,-675130,-675130,39957,-635173,-353908.000000002,-152283.000000002,-506191,-753584,-753584,-753584,3459021,151884081,1573178,0.2211,0.07086,-0.0454,-0.01681,-0.00408,-1.84144,0.10995,3.12498,0.7247,-0.08953,-0.08938,1.97221,4.08089,0.16486,-0.00421,0.00776,43.04432,111.64632
"3","2011_Q2",1.71253968253968,"Up",18535572,-14506213,4029359,-3080570,-957093,-2123477,948789,-2293054,-2582491,-1344265,56237,-1288028,-48441,-1336469,-1336469,347151,-989318,-989318,2799195.10506309,2799195.10506309,2403879.7241787,2303947.67436775,5539890.73874253,2916820.35307064,2623070.38567189,10742965.5679843,183682775.676004,183682775.676004,200947848.411121,211690813.979105,5172995.29543856,5382505.82394632,317141.236864048,3188453.86714825,3188453.86714825,68686836.9981685,74383941.9018653,74383941.9018653,143070778.900034,18606358.1418917,56386922.4357871,-17465548.659407,57527731.9182722,11092303.1607992,68620035.0790715,211690813.979105,-1336469,2123477,297902,2691499,3776409,-1087634,-1093834,-1093834,-178490,-1266124,-174705,-349552,-524257,1986028,1986028,1986028,3072266,0,4724572,0.21739,0.05119,-0.05337,-0.00248817444016159,-0.00034947284665368,-4.77558,0.155553042072613,2.16966257808207,0.636703176347539,-0.10348,-0.10348,1.93875,4.0698042596549,0.49417,9.21857733515788e-05,0.00511981069111523,9.2955849132795,-52.0382970584199
"4","2011_Q3",1.43328125,"Down",23129721,-16352617,6777104,-2998438,-848528,-2149910,3778666,-2882500,-2715519,896166,-351333,544833,-788335,-243502,-243502,60939,-182563,-182563,4335037,4335037,2782229,2682229,5848688,2520675,3328013,12965954,182877356,182877356,200248388,213214342,7400695,7400695,277610.745621349,2819916,2819916,67120831,71790249,71790249,138911080,2.5e+07,56292594,-18009063,63283531,11019731,74303262,213214342,-243502,2149910,679707,-1467817,1118298,-2121706,-2127761,-2127761,54688,-2067018,-23018907,23323749,304842,-643878,-643878,-643878,5928576,128690469,3127388,0.293,0.16337,-0.00789000000000001,-0.00246,-0.00086,-17.13046,0.19317,1.86952,0.60357,-0.01898,-0.01829,2.40498,3.98064,0.32518,-0.000900000000000001,0.01541,20.9756,32.90988
"5","2011_Q4",1.3631746031746,"Down",20015184,-15655011,4360173,-3536332,-1348791,-2187541,823841,-3026542,-2743003,-2202701,636106,-1566595,71693,-1494902,-1494902,377858,-1117044,-1117044,5399225,5399225,2628793,2528793,5478197,1923747,3554450,13506215,182002524,182002524,199090811,212597026,9163835,8901659,258825,2093955,2093955,64791023,75029937,75029937,139820960,25226530,56292594,-19320142,62198982,10577084,72776066,212597026,-1494902,2187541,-86141,1911785,2518283,-945290,-959740,-959740,-163825,-1109115,-127300,-217681,-344981,1064187,1064187,1064187,3011382,128563170,3906184,0.21784,0.04116,-0.05581,-0.01535,-0.00525,-3.49689,0.20846,1.92125,0.60473,-0.11512,-0.11355,2.06278,3.8104,0.40257,-0.00555,0.0194,40.89948,149.49965
"6","2012_Q1",1.54709677419355,"Up",19492027,-15268151,4223876,-3113334,-871382,-2241952,1110542,-2665005,-2765994,-1554463,-1705535,-3259998,-140372,-3400370,-3400370,844849,-2555521,-2555521,4409959,4409959,1827496,1727496,4567847,1877456,2690391,10805302,181469432,181469432,198494144,209299446,7696018,7437246,258772,3396152,3396152,45904680,94157825,94157825,140062505,25353698,57010577,-22074739,60289536,8947405,69236941,209299446,-3400370,2241952,2198034,-902464,137152,-1798497,-1798497,-1798497,110481,-1688016,407165,413258,561598,-989266,-989266,-989266,3352494,128970335,791905,0.2167,0.05697,-0.13111,-0.03691,-0.01221,-0.309879999999999,0.23539,2.02294,0.6162,-0.26007,-0.2739,1.98365,3.55532,0.0805899999999999,-0.01159,0.004,37.15454,112.16179
"7","2012_Q2",2.04492063492064,"Up",20025146,-15407454,4617692,-3311550,-1131587,-2179963,1306142,-3018153,-3283947,-1712011,-1163758,-2875769,-104575,-2980344,-2980344,685989,-2294355,-2294355,6000615,6000615,3415798,3315798,4458359,2324583,2133776,13874772,180389194,180389194,197285901,211160673,10181520,9921828,259692,5212130,5212130,21168870,123758079,123758079,144926949,25480118,57120977,-24569090,58032005,8201719,66233724,211160673,-2980344,2179963,2001028,992842,2193489,-759098,-759098,-759098,396501,-362597,562964,-544427,-240236,1590656,1590656,1590656,3486105,129533299,3824424,0.23059,0.06523,-0.11457,-0.03464,-0.01087,-1.66688,0.65543,2.18811,0.61343,-0.22982,-0.22519,2.0059,3.2607,0.38309,-0.0104,0.01954,35.43573,94.5783
"8","2012_Q3",2.34142857142857,"Up",25112521,-17252363,7860158,-3158538,-962947,-2195591,4701620,-4368643,-4280563,332977,-1521142,-1188165,-958146,-2146311,-2146311,492658,-1653653,-1653653,6965540,6965540,3501853,3401853,4500288,2164384,2335904,14967681,178864147,178864147,193788872,208756553,8405904,8146331,259573,6527601,6527601,19083725,137254076,137254076,156337801,14085669,57120977,-26422738,44783908,7634844,52418752,208756553,-2146311,2195591,2934744,-181405,2802619,-1404582,-1404582,-1404582,-236283,-1640865,11870997,-11808134,-196829,964925,964925,964925,6897211,141404296,6269370,0.313,0.18722,-0.06585,-0.03155,-0.00792,-3.79122,0.78432,2.98248,0.67736,-0.16537,-0.15459,2.51131,3.06989,0.62695,-0.00719,0.03235,19.49176,28.59413
"9","2012_Q4",2.17209677419355,"Down",21771214,-16449253,5321961,-3128481,-978474,-2150007,2193480,-2600950,-2438487,-407470,-1659750,-2067220,-27979,-2095199,-2095199,480178,-1615021,-1615021,8475187,8475187,2562224,2462224,4892720,2141685,2751035,15930131,177393787,177393787,192106930,208037061,8926188,8537009,389179,8342956,8342956,21419364,136634050,136634050,158053414,14156482,57120977,-28337753,42939706,7043941,49983647,208037061,-2095199,2150007,1900861,1334309,3289978,-354025,-354025,-354025,-247089,-601114,-620026,-299618,-1179217,1509647,1509647,1509647,4343487,140784270,5351750,0.24445,0.10075,-0.07418,-0.03231,-0.00776,-3.31373,0.74373,3.1621,0.67673,-0.16151,-0.14952,2.17717,2.87838,0.53519,-0.00711,0.02805,30.46149,60.31926
"10","2013_Q1",2.326,"Up",20434339,-15331505,5102834,-3142026,-1005818,-2136208,1960808,-217920,-380807,1742888,224918,1967806,-155697,1812109,1812109,-416957,1395152,1395152,7175716,7175716,1487580,1487580,4764845,1684951,3079894,13428141,176427904,176427904,190602728,204030869,7175863,6786684,389179,5595574,5595574,16796657,135674432,135674432,152471089,14227650,57120977,-27179392,44169235,7390545,51559780,204030869,1812109,2136208,-2029565,-1192881,725871,-371005,-390409,-390409,-180540,-551545,-1084618,-1,-1473797,-1299471,-1299471,-1299471,4097016,139699652,2688827,0.24972,0.09596,0.06827,0.02706,0.00684,1.92726,0.79945,2.95717,0.6847,0.13952,0.16818,2.04346,2.9942,0.26889,0.00933,0.01406,32.34645,67.58639
