"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",1.62234375,"Down",7996000,-6192000,1804000,-1406000,-1406000,398000,-218000,-218000,-224000,180000,180000,20000,2e+05,2e+05,2e+05,2e+05,15239694.5611347,15239694.5611347,-20473357.2320478,-20473357.2320478,-2581038.17657858,6900320.36896008,6760604.32320564,-914380.478531606,2931135.03753159,4779848.31553036,36884.874809682,49174.8900864536,7708714.38621367,6794333.90768206,10757101.2468978,9527617.45001338,1229483.79688437,-22735409.6866177,-11978308.4402682,2319835.00395251,26.955892178228,26.955892178244,2319861.95984469,-9658446.48042352,43435848.4958079,-26983068.1077023,16452780.3881056,16452780.3881056,6794333.90768206,2e+05,134000,738000,949000,2021000,-23000,-23000,-3327000,1588000,3586000,3586000,3586000,532000,0,1438000,0.22561,0.04977,0.02501,-0.233376645504373,-0.144457301241216,7.19,5.65203416691942,-0.357810005634565,-0.525988478454884,0.00841,0.00801,0.33624,0.691980733430569,0.06047,-0.164737913555142,1.29584309643035,-75.6595239022055,-950.844415913262
"2","2011_Q1",1.92,"Up",4140000,-2786000,1354000,-1878000,-1878000,-524000,-297000,-297000,-305000,-821000,-821000,265000,-556000,-556000,-556000,-556000,3926000,3926000,1767000,1767000,18211000,376000,376000,24280000,3008000,3808000,73000,66000,6816000,31096000,7043000,6350000,693000,5012000,12055000,1018000,0,0,1018000,13073000,43125000,-25102000,18023000,18023000,31096000,-556000,133000,-95000,18000,-499999.999999999,-345000,-345000,572000,691000,-154000,-154000,-154000,-391000,6030000,-983000.000000001,0.32705,-0.12657,-0.1343,-0.03085,-0.01788,1.76799,2.0141,0.72535,0.19392,-0.02338,-0.02242,0.17409,0.75789,-0.04134,-0.02312,-0.04087,-5.38107,-4.01527
"3","2011_Q2",1.80968253968254,"Down",13818000,-10116000,3702000,-1712000,-1712000,1990000,-235000,-235000,-243000,1755000,1755000,-667000,1088000,1088000,1088000,1088000,1156268.47962176,1156268.47962176,9712452.4106826,9712452.4106826,20525096.0588595,-939523.456320025,-892951.441068546,30454293.4928439,2964038.3208228,3133050.56148988,83705.041730106,74858.3699711821,6097845.20459544,36552138.6974393,4511049.58436742,4135544.18332887,375505.401038543,12515219.8955392,17026269.4800894,376804.998682497,-8.98529739274265,-8.98529739274799,376796.013385104,17403065.4934745,43023217.168064,-23874143.9640992,19149073.2039648,19149073.2039648,36552138.6974393,1088000,127000,708000,-7440000,-5517000,-85000,-85000,5500000,5410000,-192000,-192000,-192000,2117000,0,-4741000,0.26791,0.14402,0.07874,0.0434680485014575,0.0276807670804052,-4.35754,1.33779861102686,0.900515835211522,0.384057826151628,0.04575,0.04323,0.58106,0.805210588856477,-0.19936,0.0292218045183806,-0.251712698810117,13.3606704674018,196.585879471088
"4","2011_Q3",1.47484375,"Down",14712000,-12005000,2707000,-1178000,-1178000,1529000,-270000,-270000,-274000,1259000,1259000,-478000,781000,781000,781000,781000,2921000,2921000,8946000,8946000,13814000,488000,488000,26169000,2916000,2705000,81000,79000,5621000,31790000,3144000,2894000,250000,8700000,11844000,135000,0,0,135000,11979000,43045000,-23234000,19811000,19811000,31790000,781000,127000,436000,622999.999999999,1967000,-85000,-85000,-2695000,-2695000,-813000,-813000,-813000,1656000,8835000,2672000,0.184,0.10393,0.05309,0.0394199999999999,0.02457,3.42125,2.20947,0.60466,0.27792,0.03284,0.03125,0.61866,0.83307,0.11236,0.02726,0.0932800000000002,3.57126,3.86789000000009
"5","2011_Q4",1.33603174603175,"Down",11935000,-10465000,1470000,-1463000,-1463000,7000,-188000,-188000,-190000,-181000,-181000,68000,-113000,-113000,-113000,-113000,5189000,5189000,4617000,4617000,10008000,1781000,1781000,21595000,3043000,2798000,79000,79000,5841000,27436000,3710000,3332000,378000,3821000,7531000,150000,0,0,150000,7681000,43101000,-23346000,19755000,19755000,27436000,-113000,125000,27000,7343000,7382000,-250000,-250000,-4864000,-4864000,2268000,2268000,2268000,132000,3971000,7157000,0.12317,0.00059,-0.00947,-0.00572,-0.00412,-63.33628,2.86748,0.38881,0.14474,-0.00475,-0.00475,0.50188,0.83072,0.30096,-0.00476,0.30165,-9.22727,-174
"6","2012_Q1",2.78838709677419,"Up",3857000,-3051000,806000,-1804000,-1804000,-998000,-167000,-167000,-174000,-1165000,-1165000,443000,-722000,-722000,-722000,-722000,3958000,3958000,2453000,2453000,17734000,611000,611000,24756000,3441000,3254000,89000,79000,6695000,31451000,5930000,5227000,703000,6361000,12291000,121000,0,0,121000,12412000,43107000,-24068000,19039000,19039000,31451000,-722000,118000,-487000,-2128000,-3219000,-526000,-526000,2511000,2514000,-1231000,-1231000,-1231000,-880000,6482000,-3977000,0.20897,-0.25875,-0.18719,-0.03792,-0.02296,5.50830999999999,2.01416,0.65192,0.2061,-0.03036,-0.02857,0.16219,0.80058,-0.16723,-0.02829,-0.15583,-2.86818,-2.52905999999999
"7","2012_Q2",3.50825396825397,"Up",14854000,-8886000,5968000,-1750000,-1750000,4218000,-171000,-171000,-171000,4047000,4047000,-1538000,2509000,2509000,2509000,2509000,148000,148000,8884000,8884000,16624000,1612000,566000,27268000,3482000,709000,91000,116000,4191000,31459000,4935000,4524000,411000,4830000,9765000,145000,0,0,145000,9910000,43108000,-21559000,21549000,21549000,31459000,2509000,127000,1539000,-6305000,-2130000,-170000,-173000,-1507000,-1507000,-3810000,-3810000,-3810000,4345000,4975000,-592000,0.40178,0.28396,0.16891,0.11643,0.07975,-0.23595,2.79242,0.45988,0.15814,0.10548,0.09706,0.6245,0.90597,-0.02489,0.09459,-0.02232,1.11093,1.14438
"8","2012_Q3",3.66,"Up",22251000,-12014000,10237000,-1768000,-1768000,8469000,-186000,-186000,-187000,8283000,8283000,-3148000,5135000,5135000,5135000,5135000,4008000,4008000,8186000,8186000,33137000,3786000,3786000,49117000,3727000,306000,92000,214000,4033000,53150000,15842000,14483000,1359000,5446000,21288000,5064000,0,-1.13686837721616e-13,5064000,26352000,43223000,-16425000,26798000,26798000,53150000,5135000,137000,1548000,-8227000,-1407000,-383000,-383000,5534000,5650000,3860000,3860000,3860000,8606000,10510000,3144000,0.46007,0.38061,0.23078,0.19162,0.09661,0.612269999999998,2.30726,0.98336,0.19774,0.21538,0.19616,0.93327,1.12398,0.13187,0.13764,0.08427,0.75552,0.767739999999998
"9","2012_Q4",3.54435483870968,"Down",14473000,-9109000,5364000,-1650000,-1650000,3714000,-174000,-174000,-174000,3540000,3540000,-1347000,2193000,2193000,2193000,2193000,3437000,3437000,5094000,5094000,34682000,938000,938000,44151000,3685000,503000,84000,419000,4188000,48339000,5724000,3788000,1936000,8527000,14251000,4991000,0,0,4991000,19242000,43328000,-14231000,29097000,29097000,48339000,2193000,153000,103000,-5971000,-3522000,-103000,-103000,3010000,3054000,-571000,-571000,-571000,3867000,13518000,-860000,0.37062,0.25662,0.15152,0.07537,0.04537,-0.39216,3.0981,0.66131,0.27965,0.09165,0.08255,0.60485,1.21602,-0.03594,0.05146,-0.02018,2.60693,2.71432
"10","2013_Q1",4.10016666666667,"Up",4869000,-3896000,973000,-2494000,-2494000,-1521000,-153000,-153000,-161000,-1674000,-1674000,4638000,2964000,2964000,2964000,2964000,3991000,3991000,1956000,1956000,40167000,910000,554000,47024000,4765000,4305000,76000,341000,10208000,57232000,6880000,6219000,661000,12736000,19616000,4920000,0,1.81898940354586e-12,4920000,24536000,43963000,-11267000,32696000,32696000,57232000,2964000,139000,-4022000,-1288000,-2207000,-611000,-1338000,4137000,4099000,554000.000000001,554000.000000001,554000.000000001,-1382000,17656000,-7919000,0.19984,-0.31238,0.60875,0.09065,0.05179,-2.67173,2.39723,0.75043,0.3085,0.12313,0.11051,0.20227,1.3583,-0.32898,0.05887,-0.15727,-9.88784,-8.98422
