"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",14.27484375,"Down",65843000,-29857000,35986000,-22551000,-10296000,-11291000,-964000,13435000,81000,13516000,13516000,-297000,13219000,13219000,13219000,13219000,168537457.671533,-51961764.2425228,220499221.914056,17963156.6932697,17963156.6932697,28999405.6668072,4176346.99046936,4950964.8458985,219676367.022079,73792709.9973316,446233.907140776,-323328.295336612,769559.407577751,94445562.8537239,314121929.875803,2186628.11004389,2394810.55625664,-208182.446212756,3111600.49340802,6981396.38198658,6981396.38198658,6981396.38198658,10092996.8753946,227850351.60951,74492920.5516619,1685660.83923634,304028933.000408,304028933.000408,314121929.875803,13219000,2020000,4669000,-4408000,15500000,-5819000,28000,-5791000,-14679000,2319000,3000,-14676000,-4967000,-4967000,280000,-4687000,15455000,0,5525000,0.54654,0.20405,0.20077,0.0631831856686164,0.0576266496613386,0.41796,14.3022259851345,-0.00152221129857874,0,0.36532,0.35039,1.81962,8.20189904804934,0.15269,0.0614893692217884,-0.422847410254389,12.217115350023,49.0008074420194
"2","2011_Q1",13.141935483871,"Down",47057000,-23316000,23741000,-19780000,-8865000,-10256000,-659000,3961000,160000,4121000,4121000,-540000,3581000,3581000,3581000,3581000,177719000,48010000,129709000,18347000,18347000,25789000,2518000,2314000,224373000,37262000,788000,39000,749000,57230000,281603000,17771000,8979000,8792000,28970000,5738000,5738000,5738000,34708000,178269000,66647000,1979000,246895000,246895000,281603000,3581000,2392000,3587000,683000,10243000,-4207000,10926000,6719000,-13455000,1074000,-143000,-13598000,3364000,3364000,371000,3735000,6353000,0,3369000,0.50452,0.08417,0.0761,0.0145,0.01272,0.9408,7.74501,0.14058,0,0.09994,0.09467,1.31334,6.89073,0.09403,0.01417,0.01334,-27.97403,-44.86721
"3","2011_Q2",13.6404761904762,"Up",44468000,-22163000,22305000,-20389000,-9490000,-10086000,-813000,1916000,183000,2099000,2099000,-206000,1893000,1893000,1893000,1893000,172799930.776156,90939171.4141743,81860759.3619815,18129114.4355768,18129114.4355768,24831781.4443976,1996551.00317688,1481928.3847005,217757377.659307,29320930.0008895,831505.364286408,109776.098445537,721730.197474083,48386479.0487587,266143856.708066,21564957.296652,11224813.1479145,10340144.1487376,35387299.8355307,5168867.87267114,5168867.87267114,5168867.87267114,40556167.7082018,156095132.79683,67042609.8161127,2449946.38692122,225587688.999864,225587688.999864,266143856.708066,1893000,2270000,4207000,-140000,8230000,-3056000,29612000,26556000,-9255000,4455000,435000,-8820000,25966000,25966000,86000,26052000,4186000,0,1196000,0.5016,0.04309,0.04257,0.00496060477712788,0.00378611677955379,0.6318,5.87551633828851,0.179137403766193,0,0.05405,0.05243,1.26964,6.51698115065022,0.03415,0.00495271025940388,0.11387080341813,-35.303536783341,-61.3649824806731
"4","2011_Q3",11.09671875,"Down",51628000,-25070000,26558000,-22519000,-10343000,-11237000,-939000,4039000,24000,4063000,4063000,-581000,3482000,3482000,3482000,3482000,163326000,97685000,65641000,17589000,17589000,24715000,2144000,1692000,207774000,37433000,733000,39000,694000,55386000,263160000,18971000,10929000,8042000,31009000,5021000,5021000,5021000,36030000,152129000,72022000,2979000,227130000,227130000,263160000,3482000,2105000,4134000,3563000,13284000,-2215000,36250000,34035000,-24027000,735000.000000001,38999.9999999999,-23988000,23331000,23331000,292000,23623000,6144000,0,8073000,0.51441,0.07823,0.06744,0.01533,0.01323,2.3185,6.70044,0.15863,0,0.10288,0.09976,1.52538,6.71069,0.23852,0.015,0.0347699999999999,-26.58301,-40.43724
"5","2011_Q4",10.9787301587302,"Down",52962000,-25148000,27814000,-22763000,-10249000,-11792000,-722000,5051000,3000,5054000,5054000,419000,5473000,5473000,5473000,5473000,160831000,92972000,67859000,16420000,16420000,23558000,2317000,1993000,203126000,47608000,708000,39000,669000,64036000,267162000,16140000,9515000,6625000,25089000,5020000,5020000,5020000,30109000,156164000,77495000,3394000,237053000,237053000,267162000,5473000,2175000,3814000,-2557000,8905000,-13524000,-655000,-14179000,917000,917000,-329000,588000,-4686000,-4686000,-27000,-4713000,7226000,0,-9274000,0.52517,0.09537,0.10334,0.02309,0.02049,-1.6945,8.09622,0.12701,0,0.16292,0.15984,1.57653,7.05641,-0.27606,0.02261,-0.03831,-22.25727,-31.84142
"6","2012_Q1",15.3716129032258,"Up",47461000,-22544000,24917000,-22506000,-10198000,-11403000,-905000,2411000,99000,2510000,2510000,-57000,2453000,2453000,2453000,2453000,174198000,96371000,77827000,15097000,15097000,20104000,2106000,1685000,211505000,47794000,893000,239000,654000,62362000,273867000,18225000,8904000,9321000,26070000,4920000,4920000,4920000,30990000,159336000,79948000,3593000,242877000,242877000,273867000,2453000,2182000,950000,7681000,13266000,-2227000,-7963000,-10190000,363000,363000,-118000,245000,3321000,3321000,78000,3399000,4593000,0,10104000,0.525,0.0508,0.05168,0.0101,0.00896,4.11904,8.11297,0.1276,0,0.07271,0.06931,1.40684,7.19934,0.2995,0.0099,0.04078,-37.92685,-72.25135
"7","2012_Q2",17.238253968254,"Up",50484000,-24074000,26410000,-23212000,-11966000,-11118000,-128000,3198000,106000,3304000,3304000,-309000,2995000,2995000,2995000,2995000,180928000,78731000,102197000,19947000,19947000,21547000,2998000,2352000,225420000,51437000,658000,19000,639000,65760000,291180000,21319000,14573000,6746000,31469000,4930000,4930000,4930000,36399000,167773000,82943000,4065000,254781000,254781000,291180000,2995000,2184000,3964000,-2924000,6219000,-4875000,-24315000,-29190000,5021000,5021000,1e+05,5121000,-17850000,-17850000,210000,-17640000,5382000,0,-2108000,0.52314,0.06335,0.05933,0.01176,0.01029,-0.70384,7.16324,0.14286,0,0.08782,0.08428,1.48025,7.47049,-0.06181,0.01153,-0.00812,-33.61724,-56.57536
"8","2012_Q3",17.807619047619,"Up",58607000,-27435000,31172000,-24391000,-12167000,-12468000,244000,6781000,359000,7140000,7140000,-548000,6592000,6592000,6592000,6592000,184657000,81644000,103013000,21415000,21415000,29455000,2624000,1978000,238151000,59584000,625000,19000,606000,71923000,310074000,28736000,17701000,11035000,35584000,5249000,5249000,5249000,40833000,175624000,89535000,4082000,269241000,269241000,310074000,6592000,2269000,4466000,-7254000,6073000,-8296000,1159000,-7137000,3356000,3356000,667000,4023000,2959000,2959000,-46000,2913000,9050000,0,-5952000,0.53188,0.1157,0.11248,0.02448,0.02126,-0.90291,6.69264,0.15166,0,0.19016,0.18313,1.69067,7.76694,-0.1717,0.02402,-0.02168,-20.40409,-27.23153
"9","2012_Q4",17.5806451612903,"Down",56508000,-26495000,30013000,-23693000,-11955000,-11967000,229000,6320000,156000,6476000,6476000,-555000,5921000,5921000,5921000,5921000,185526000,78247000,107279000,21561000,21561000,32623000,2858000,2214000,242568000,59883000,1062000,19000,1043000,72701000,315269000,17364000,11405000,5959000,24864000,5341000,5341000,5341000,30205000,185583000,95456000,4025000,285064000,285064000,315269000,5921000,2413000,2245000,-9421000,1158000,-6010000,-4285000,-10295000,5708000,5708000,68000,5776000,-3361000,-3361000,-36000,-3397000,8733000,0,-6143000,0.53113,0.11184,0.10478,0.02077,0.01878,-1.03749,9.75579,0.10596,0,0.16847,0.1625,1.60785,8.11108,-0.17479,0.02039,-0.02115,-21.24425,-29.35538
"10","2013_Q1",21.9161666666667,"Up",48214000,-22661000,25553000,-24573000,-13930000,-13243000,2600000,980000,-10000,970000,970000,-722000,248000,248000,248000,248000,160625000,75104000,85521000,19383000,19383000,32115000,2178000,2177000,214301000,59412000,1694000,669000,1025000,72861000,287162000,17545000,9859000,7686000,23460000,5408000,5408000,5408000,28868000,194079000,60040000,4175000,258294000,258294000,287162000,248000,2466000,7395000,1353000,11462000,-1865000,21650000,19785000,1157000,1157000,33999.9999999999,-34473000,-3226000,-3226000,83000,-3143000,3446000,0,3656000,0.52999,0.02033,0.00514000000000002,0.000959999999999999,0.000859999999999996,14.74194,9.13474,0.11176,0,0.00697,0.00670000000000001,1.35551,7.26177,0.10279,0.13618,0.01386,-46.61201,-163.90306
"11","2013_Q2",21.78109375,"Down",51470000,-24085000,27385000,-25080000,-13258000,-12123000,301000,2305000,-10000,2295000,2295000,204000,2499000,2499000,2499000,2499000,175043000,93287000,81756000,22669000,22669000,34949000,1770000,1764000,234431000,62871000,1774000,669000,1105000,76360000,310791000,20131000,13256000,6875000,27810000,6670000,6670000,6670000,34480000,209316000,62539000,4456000,276311000,276311000,310791000,2499000,2709000,4626000,-3130000,6704000,-3435000,3685000,250000,11006000,11006000,132000,11138000,18092000,18092000,91000,18183000,5014000,0,-1755000,0.53206,0.04478,0.04855,0.00904,0.00804,-0.70228,8.42974,0.12479,0,0.06892,0.06627,1.41951,7.62048,-0.0484,0.00883,-0.0062,-34.91085,-75.94056
"12","2013_Q3",25.7765625,"Up",57714000,-26786000,30928000,-26014000,-13793000,-12478000,257000,4914000,218000,5132000,5132000,357000,5489000,5489000,5489000,5489000,189619000,101735000,87884000,20319000,20319000,40268000,1746000,1731000,251952000,67281000,1663000,669000,994000,80642000,332594000,25039000,14954000,10085000,32613000,6019000,6019000,6019000,38632000,220648000,68029000,5285000,293962000,293962000,332594000,5490000,3002000,5428000,1593000,15513000,-7366000,-6245000,-13611000,6345000,6345000,-132000,6212999.99999999,8115000,8115000,333000,8448000,7916000,0,1786000,0.53588,0.08514,0.09511,0.01867,0.0165,0.325379999999999,7.72551,0.13142,0,0.14814,0.14354,1.55761,7.93355,0.0482,0.0183,0.00595,-23.95389,-38.58751
