"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","other_income","total_claims_losses","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","equity_securities","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","premium_reserve_unearned","life_policy_benefits","short_term_debt","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q2",23.0853968253968,"Up",1.31e+10,6.788e+09,4.321e+09,1.991e+09,1.405e+09,3.2e+07,5.54e+08,-8.983e+09,-2.932e+09,1.185e+09,1.185e+09,1.185e+09,-3.56e+08,8.29e+08,8.34e+08,1e+06,8.35e+08,-3e+07,8.05e+08,3.46218e+11,2.47585e+11,3.066e+09,9.5527e+10,9.202e+09,1.7554e+10,1.8697e+10,1.73895e+11,5.65566e+11,2.7925e+11,1.41734e+11,1.37516e+11,1.035e+10,3.5281e+10,2.0177e+10,1.84329e+11,5.29387e+11,1.6879e+10,8e+06,1.6871e+10,-1.72e+08,2.0294e+10,-1.191e+09,3.5811e+10,3.68e+08,3.6179e+10,5.65566e+11,2.871e+09,-6.349e+09,-1.249e+09,-7.598e+09,-3e+07,-7.53e+08,0,4.628e+09,3.845e+09,-8.82e+08,-8.82e+08,-2.8e+07,-9.1e+08,3.0527e+10,0.09046,0.06145,0.02225,0.00142,14.63244,0.05398,0.87214,0.86586,14.19256,38.79661,0.0325,0.00157,0.03727,17.99578
"2","2010_Q3",21.49265625,"Down",1.4137e+10,6.584e+09,4.06e+09,3.493e+09,1.482e+09,-1.4e+07,2.025e+09,-8.366e+09,-3.409e+09,2.362e+09,2.362e+09,2.362e+09,-8.27e+08,1.535e+09,1.547e+09,1e+07,1.557e+09,-3.1e+07,1.526e+09,3.58705e+11,2.56094e+11,2.741e+09,9.9861e+10,1.0702e+10,1.8177e+10,1.772e+10,1.68603e+11,5.73907e+11,2.83061e+11,1.42822e+11,1.40239e+11,1.0669e+10,4.1085e+10,2.0647e+10,1.78721e+11,5.34183e+11,1.6904e+10,8e+06,1.6896e+10,-1.72e+08,2.182e+10,822000000.000001,3.9375e+10,3.49e+08,3.9724e+10,5.73907e+11,1.057e+09,410999999.999996,-2.933e+09,-2.522e+09,-3.1e+07,8.86e+08,2.6e+07,2.135e+09,3.016e+09,1.551e+09,1.551e+09,-5.1e+07,1.5e+09,3.1316e+10,0.16708,0.10794,0.03842,0.00266,13.44736,0.05457,1.65426,1.63918,15.32525,42.68348,0.03361,0.00292,0.0203099999999999,8.72735
"3","2010_Q4",22.5428125,"Up",1.2338e+10,6.484e+09,4.364e+09,1.49e+09,1.452e+09,-3.42e+08,3.8e+08,-8.964e+09,-2.989e+09,3.85e+08,3.85e+08,3.85e+08,-6.8e+07,3.17e+08,3.2e+08,-4e+06,3.16e+08,-3e+07,2.86e+08,3.78683e+11,2.72154e+11,2.865e+09,1.03655e+11,1.4557e+10,1.8654e+10,1.7463e+10,1.87898e+11,6.17255e+11,2.89046e+11,1.4536e+11,1.43686e+11,1.1419e+10,4.4756e+10,2.4512e+10,2.00753e+11,5.70486e+11,2.046e+10,9e+06,2.0451e+10,-1.72e+08,2.2096e+10,4.03e+09,4.6415e+10,3.54e+08,4.6769e+10,6.17255e+11,1.265e+09,-3.603e+09,-5.646e+09,-9.249e+09,-3e+07,4.899e+09,3.535e+09,3.364e+09,1.1768e+10,3.784e+09,3.784e+09,7.1e+07,3.855e+09,3.5931e+10,0.0312,0.02318,0.00612,0.00046,12.19795,0.05821,0.29088,0.28847,12.54856,47.20609,0.03051,0.00055,0.1049,55.51688
"4","2011_Q1",25.4446774193548,"Up",1.2672e+10,7.215e+09,4.748e+09,7.09e+08,1.689e+09,-83999999.9999999,-8.96e+08,-9.278e+09,-3.597e+09,-2.03e+08,-2.03e+08,-2.03e+08,1.41e+08,-6.2e+07,-37999999.9999999,-3e+06,-41000000.0000001,-3.1e+07,-72000000.0000001,4.60306e+11,3.34181e+11,3.602e+09,1.22523e+11,1.2957e+10,1.9799e+10,2.7092e+10,2.10752e+11,7.30906e+11,3.81669e+11,2.10757e+11,1.70912e+11,1.0622e+10,4.1786e+10,2.7586e+10,2.2013e+11,6.81793e+11,2.6433e+10,1e+07,2.6423e+10,-1.72e+08,2.1363e+10,1e+09,4.8624e+10,4.88e+08,4.9112e+10,7.30905e+11,2.792e+09,2.14e+09,-1.074e+09,1.066e+09,-8.15e+08,-1.609e+09,-32000000.0000005,-2.792e+09,-5.248e+09,-1.39e+09,-1.39e+09,-1.21e+08,-1.511e+09,3.8208e+10,-0.01602,-0.00568,-0.00147,-9.99999999999999e-05,13.88241,0.05227,-0.06362,-0.0631399999999999,11.1976,42.96655,0.72017,0.00108,-11.31944,-124.38916
"5","2011_Q2",24.1304761904762,"Down",1.5908e+10,8.554e+09,5.313e+09,2.041e+09,1.889e+09,-9.9e+07,2.51e+08,-1.0533e+10,-4.09e+09,1.285e+09,1.285e+09,1.285e+09,-3.61e+08,9.24e+08,8.84e+08,-7e+06,8.77e+08,-1.76e+08,7.01e+08,4.67283e+11,3.42486e+11,3.584e+09,1.21213e+11,1.0692e+10,2.0315e+10,2.7979e+10,2.25072e+11,7.51341e+11,3.87628e+11,2.14641e+11,1.72987e+11,9.885e+09,4.349e+10,2.7604e+10,2.32385e+11,7.00992e+11,2.6679e+10,1.1e+07,2.6668e+10,-1.72e+08,2.2193e+10,1.115e+09,4.9815e+10,5.33e+08,5.0348e+10,7.5134e+11,3.499e+09,-5.192e+09,-2.9e+09,-8.092e+09,-3e+07,2.97e+08,1.92e+08,1.803e+09,2.262e+09,-2.331e+09,-2.331e+09,9.3e+07,-2.238e+09,3.7489e+10,0.08078,0.04407,0.01392,0.00093,13.92294,0.0499,0.59024,0.58416,13.39444,41.94392,0.02526,0.00103,0.0428,20.8537
"6","2011_Q3",19.46203125,"Down",1.7145e+10,9.294e+09,5.093e+09,2.758e+09,1.969e+09,-1.55e+08,9.44e+08,-1.0937e+10,-4.699e+09,1.509e+09,1.509e+09,1.509e+09,-4.47e+08,1.062e+09,1.093e+09,7e+06,1.1e+09,-3.1e+07,1.069e+09,4.8217e+11,3.54163e+11,3.238e+09,1.24769e+11,9.628e+09,2.107e+10,2.8241e+10,2.30374e+11,7.71483e+11,3.9395e+11,2.17597e+11,1.76353e+11,1.0124e+10,4.6481e+10,2.8269e+10,2.38826e+11,7.1765e+11,2.6725e+10,1.1e+07,2.6714e+10,-1.72e+08,2.3399e+10,3.356e+09,5.3308e+10,5.24e+08,5.3832e+10,7.71482e+11,3.289e+09,-1.021e+09,-7.78e+09,-8.801e+09,-3.1e+07,4e+06,26000000.0000002,4.325e+09,4.324e+09,-1.188e+09,-1.188e+09,5.3e+07,-1.135e+09,3.8393e+10,0.08801,0.06235,0.01986,0.00139,13.33129,0.04977,0.89962,0.89018,14.42841,44.86144,0.0260900000000001,0.00152,0.0290000000000002,19.06229
"7","2011_Q4",17.6892063492063,"Down",2.0453e+10,9.342e+09,4.252e+09,6.859e+09,1.998e+09,-5.5e+07,4.916e+09,-1.014e+10,-5.198e+09,5.115e+09,5.115e+09,5.115e+09,-1.673e+09,3.442e+09,3.45e+09,6e+06,3.456e+09,-3e+07,3.426e+09,5.0441e+11,3.6984e+11,3.118e+09,1.31452e+11,1.0001e+10,2.3137e+10,2.7623e+10,2.20059e+11,7.8523e+11,4.005e+11,2.17764e+11,1.82736e+11,1.1136e+10,5.5113e+10,2.4753e+10,2.32853e+11,7.24355e+11,2.6755e+10,1.1e+07,2.6744e+10,-1.72e+08,2.6951e+10,6.813e+09,6.0347e+10,5.27e+08,6.0874e+10,7.85229e+11,2.246e+09,1.728e+09,-8.178e+09,-6.45e+09,-3e+07,-3e+06,4e+06,4.625e+09,4.596e+09,3.92e+08,3.92e+08,-1.3e+07,3.79e+08,3.5889e+10,0.25009,0.16751,0.05628,0.00436,11.89925,0.04571,2.88018,2.86397,17.19447,50.73265,0.02522,0.00473,0.00876,5.06119
"8","2012_Q1",20.9188709677419,"Up",1.6735e+10,9.171e+09,4.927e+09,2.637e+09,1.95e+09,-5.58e+08,1.245e+09,-1.091e+10,-4.55e+09,1.275e+09,1.275e+09,1.275e+09,-3.12e+08,9.63e+08,9.88e+08,2e+06,9.9e+08,-3.1e+07,9.59e+08,5.11379e+11,3.67581e+11,3.023e+09,1.40775e+11,1.0461e+10,2.2481e+10,2.4619e+10,2.27286e+11,7.96226e+11,4.01975e+11,2.177e+11,1.84275e+11,1.1193e+10,4.8917e+10,2.3692e+10,2.52455e+11,7.38232e+11,2.6793e+10,1.1e+07,2.6782e+10,-1.72e+08,2.4814e+10,6.083e+09,5.7519e+10,4.75e+08,5.7994e+10,7.96226e+11,1.239e+09,5.859e+09,-4.734e+09,1.125e+09,-8.18e+08,-1.116e+09,-7.7e+07,2.11e+08,-1.8e+09,5.64e+08,5.64e+08,-1.55e+08,409000000.000001,3.4885e+10,0.07619,0.05731,0.01654,0.0012,12.72945,0.04381,0.80592,0.80152,14.06363,48.33654,0.68742,0.00238,0.85297,19.15608
"9","2012_Q2",18.4834920634921,"Down",1.5916e+10,9.129e+09,6.2e+09,5.87e+08,2.078e+09,-1.1e+08,-1.381e+09,-1.2004e+10,-4.321e+09,-4.09e+08,-4.09e+08,-4.09e+08,2.75e+08,-1.34e+08,-1.2e+08,-2.4e+07,-1.44e+08,-3e+07,-1.74e+08,5.03936e+11,3.66252e+11,3.043e+09,1.34641e+11,1.8667e+10,2.3759e+10,2.5105e+10,2.48137e+11,8.19604e+11,4.04954e+11,2.20813e+11,1.84141e+11,1.0579e+10,4.771e+10,2.3389e+10,2.73848e+11,7.6048e+11,2.6931e+10,1.1e+07,2.692e+10,-1.72e+08,2.464e+10,7.266e+09,5.8666e+10,4.58e+08,5.9124e+10,8.19604e+11,5.758e+09,3.76e+08,1.791e+09,2.167e+09,-3e+07,-9.34e+08,-399281657.222582,1.204e+09,2.4e+08,8.165e+09,8.165e+09,4.1e+07,8.206e+09,3.3968e+10,-0.0257,-0.01093,-0.00294,-0.00021,12.86246,0.04144,-0.14572,-0.14572,13.32896,49.12939,0.02512,-0.00019,-0.17241,-37.41076
"10","2012_Q3",18.731746031746,"Up",1.8398e+10,9.161e+09,4.719e+09,4.518e+09,2.097e+09,-64000000.0000001,2.485e+09,-1.0285e+10,-4.775e+09,3.338e+09,3.338e+09,3.338e+09,-1.038e+09,2.3e+09,2.303e+09,-7999999.99999999,2.295e+09,-3.1e+07,2.264e+09,5.16419e+11,3.84865e+11,2.882e+09,1.28672e+11,1.6035e+10,2.3974e+10,2.4505e+10,2.44255e+11,8.25188e+11,4.14418e+11,2.25909e+11,1.88509e+11,6.933e+09,5.7389e+10,1.8879e+10,2.64745e+11,7.62364e+11,2.6938e+10,1.1e+07,2.6927e+10,-1.72e+08,2.6904e+10,8.735e+09,6.2406e+10,4.18e+08,6.2824e+10,8.25188e+11,6.344e+09,-5.367e+09,-9.577e+09,-1.4944e+10,-30999999.9999999,-1.022e+09,-544060977.286893,7.104e+09,6.051e+09,-2.549e+09,-2.549e+09,-8.3e+07,-2.632e+09,2.5812e+10,0.18143,0.12306,0.03604,0.00274,12.13492,0.03128,1.89847,1.87738,15.42761,52.32961,0.02599,0.00299,0.0136899999999996,2.929
