"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","net_otti_losses_recognised_in_earnings","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","trading_securities","investment_securities_available_for_sale","investment_securities_held_to_maturity","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","goodwill","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","demand_deposits","interest_bearing_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","other_adjustments_2","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",22.2501587301587,"Down",3.359e+09,7.65e+08,8.83e+08,-1.18e+08,2.594e+09,1.178e+09,7e+06,1.344e+09,-3.5e+07,3.324e+09,-2.407e+09,-2.41e+08,-2.166e+09,9.17e+08,9.17e+08,8.84e+08,-2.58e+08,6.26e+08,5.84e+08,-2.5e+07,5.59e+08,5.59e+08,3.307e+09,6.9339e+10,6.2092e+10,6.515e+09,5.1462e+10,4.115e+09,3.3367e+10,-5.2e+08,3.3887e+10,1.583e+09,5.449e+09,1.6077e+10,7.48e+08,2.8255e+10,2.20551e+11,1.31627e+11,3.033e+10,1.01297e+11,1.0165e+10,1.6335e+10,3.1969e+10,1.90096e+11,2.2006e+10,1.2e+07,2.1994e+10,-4.9e+07,9.34e+09,-1.614e+09,2.9683e+10,7.72e+08,3.0455e+10,2.20551e+11,6.01e+08,5.84e+08,-2.5e+07,1.13e+08,3.5e+07,-1.4e+07,4.55e+08,1.191e+09,-4.3e+07,-6.225e+09,6.784e+09,-1.36e+08,5.12e+08,-1.09e+08,1.16e+08,-2e+06,-1.738e+09,-3.93e+08,-2.126e+09,-4.23e+08,-4.23e+08,-2e+06,-4.25e+08,1.03e+09,2.65e+10,1.7e+09,0.273,0.16642,0.01835,0.00253,3.04114,6.24187,0.12015,0.46485,0.46341,2.79327,24.68373,1.41368,0.09064,0.00303,0.00771,0.19499,22.51748,25.29226
"2","2010_Q3",19.58109375,"Down",3.342e+09,7.22e+08,8.62e+08,-1.4e+08,2.62e+09,1.151e+09,1.3e+07,1.391e+09,-2e+07,3.322e+09,-2.317e+09,-2.56e+08,-2.061e+09,1.005e+09,1.005e+09,1.006e+09,-3.04e+08,7.02e+08,6.92e+08,-3.4e+07,6.58e+08,6.58e+08,3.569e+09,7.9428e+10,6.1512e+10,7.936e+09,4.9834e+10,3.742e+09,3.6605e+10,-5.42e+08,3.7147e+10,1.548e+09,5.354e+09,1.6106e+10,5.24e+08,3.0705e+10,2.35693e+11,1.43667e+11,4.2185e+10,1.01482e+11,1.1042e+10,1.6754e+10,3.3125e+10,2.04588e+11,2.2085e+10,1.2e+07,2.2073e+10,-5.5e+07,9.875e+09,-1.509e+09,3.0396e+10,7.09e+08,3.1105e+10,2.35693e+11,6.68e+08,6.92e+08,-3.4e+07,1.44e+08,2e+07,-5.6e+07,-2.108e+09,-1.333e+09,-3.3e+07,-5.091e+09,-8.985e+09,-7.49e+08,-1.4857e+10,-1.1e+08,5.4e+08,1.1e+07,1.6158e+10,-1.28e+08,1.6471e+10,2.81e+08,2.81e+08,-1.9e+07,2.62e+08,1.149e+09,2.7796e+10,-687999999.999999,0.30072,0.19689,0.02115,0.00279,-1.04559,6.57733,0.11793,0.54626,0.54433,2.77446,25.23417,-0.57116,0.09132,0.00326,-0.00291999999999999,0.16717,21.08529,24.10647
"3","2010_Q4",21.231875,"Up",3.423e+09,7.18e+08,8.33e+08,-1.15e+08,2.705e+09,1.094e+09,6e+06,1.568e+09,2.2e+07,3.445e+09,-2.54e+09,-2.82e+08,-2.258e+09,9.05e+08,9.05e+08,8.34e+08,-2.2e+08,6.14e+08,6.11e+08,1.1e+07,6.22e+08,6.22e+08,3.693e+09,8.0793e+10,8.6109e+10,2.4009e+10,5.8238e+10,3.862e+09,3.7333e+10,-5.34e+08,3.7867e+10,1.677e+09,5.818e+09,1.8073e+10,5.8e+08,1.9771e+10,2.54157e+11,1.48981e+11,3.7247e+10,1.11734e+11,2.6809e+10,1.672e+10,2.8756e+10,2.21266e+11,2.282e+10,1.2e+07,2.2808e+10,-8.4e+07,1.0386e+10,-9.69e+08,3.2153e+10,7.38e+08,3.2891e+10,2.54157e+11,6.25e+08,6.11e+08,1.1e+07,1.56e+08,-2.2e+07,8.21e+08,1.451e+09,3.031e+09,-3.8e+07,1.425e+09,-1.194e+09,-2.099e+09,-1.906e+09,-1.09e+08,-9.35e+08,6.69e+08,-1.37e+09,6.92e+08,-1.053e+09,7.2e+07,7.2e+07,5.2e+07,1.24e+08,1.061e+09,4.3529e+10,2.694e+09,0.26439,0.18171,0.01891,0.00245,4.33119,6.72725,0.17127,0.51378,0.51238,2.82742,26.55861,2.22526,0.09003,0.00288,0.0106,0.17524,37.54571,44.01768
"4","2011_Q1",23.7491935483871,"Up",3.751e+09,7.2e+08,8.92e+08,-1.72e+08,3.031e+09,1.336e+09,1e+06,1.861e+09,2.2e+07,3.773e+09,-2.522e+09,-3.2e+08,-2.202e+09,1.251e+09,1.251e+09,9.7e+08,-2.65e+08,7.05e+08,6.94e+08,-1.5e+07,6.79e+08,6.79e+08,3.675e+09,7.3918e+10,8.6704e+10,2.0397e+10,6.2652e+10,3.655e+09,3.731e+10,-4.98e+08,3.7808e+10,1.693e+09,5.696e+09,1.8042e+10,5.08e+08,1.9435e+10,2.47259e+11,1.45339e+11,3.8703e+10,1.06636e+11,2.6084e+10,1.6517e+10,2.6162e+10,2.14102e+11,2.2897e+10,1.2e+07,2.2885e+10,-8.6e+07,1.0898e+10,-1.355e+09,3.2354e+10,8.03e+08,3.3157e+10,2.47259e+11,6.9e+08,6.94e+08,-1.5e+07,2.16e+08,-2.2e+07,3.45e+08,-67999999.9999995,1.161e+09,-1.02e+08,-7.738e+09,9.655e+09,-5.6e+08,1.314e+09,-1.12e+08,3.056e+09,8999999.99999988,-4.523e+09,-9.32e+08,-2.502e+09,-2.7e+07,-2.7e+07,9000000.00000001,-1.8e+07,1.467e+09,4.2601e+10,1.562e+09,0.33351,0.18102,0.02048,0.00275,2.30044,6.45722,0.17229,0.55078,0.54945,3.0427,26.2446,1.26705,0.09085,0.0032,0.00632,0.16495,26.53442,31.11591
"5","2011_Q2",21.6980952380952,"Down",3.646e+09,6.98e+08,8.48e+08,-1.5e+08,2.948e+09,1.254e+09,5e+06,1.579e+09,30446174.3095844,3.646e+09,-2.686e+09,-2.83e+08,-2.403e+09,9.6e+08,9.6e+08,9.49e+08,-2.79e+08,6.7e+08,6.7e+08,-4.5e+07,6.25e+08,6.25e+08,4.058e+09,8.8151e+10,8.8153e+10,2.1845e+10,6.2751e+10,3.557e+09,3.9545e+10,-4.67e+08,4.0012e+10,1.662e+09,5.617e+09,1.8156e+10,5.46e+08,2.0556e+10,2.66444e+11,1.62496e+11,4.0105e+10,1.22391e+11,2.6697e+10,1.7215e+10,2.5896e+10,2.32304e+11,2.3008e+10,1.2e+07,2.2996e+10,-1.52e+08,1.1405e+10,-1.003e+09,3.3258e+10,8.82e+08,3.414e+10,2.66444e+11,6.25e+08,6.7e+08,-4.5e+07,1.83e+08,-30446174.3095844,1.8e+07,-4e+08,4.26e+08,-1.59e+08,-4.678e+09,-1.1567e+10,-7.6e+07,-1.648e+10,-1.12e+08,3.04e+08,-4.4e+07,1.5706e+10,5.76e+08,1.643e+10,3.76e+08,3.76e+08,7e+06,3.83e+08,1.143e+09,4.3912e+10,8.63e+08,0.2633,0.17142,0.01831,0.00235,1.3808,6.80445,0.16481,0.50645,0.50473,2.95444,26.94972,0.69931,0.09076,0.00277,0.00324,0.1792,34.86789,41.51458
"6","2011_Q3",17.205625,"Down",3.85e+09,7.31e+08,8.87e+08,-1.56e+08,3.119e+09,1.293e+09,4.8e+07,1.715e+09,40598054.0427699,3.85e+09,-2.705e+09,-3.01e+08,-2.404e+09,1.145e+09,1.145e+09,1.034e+09,-2.77e+08,7.57e+08,7.57e+08,-2.2e+07,7.35e+08,7.35e+08,5.56e+09,1.21759e+11,8.7989e+10,1.9432e+10,6.4475e+10,4.082e+09,4.1706e+10,-4.41e+08,4.2147e+10,1.729e+09,5.514e+09,1.8191e+10,6.28e+08,2.163e+10,3.04706e+11,1.97953e+11,6.8642e+10,1.29311e+11,2.6571e+10,1.7004e+10,2.8455e+10,2.69983e+11,2.305e+10,1.2e+07,2.3038e+10,-4.25e+08,1.1977e+10,-7.51e+08,3.3851e+10,8.72e+08,3.4723e+10,3.04706e+11,7.35e+08,7.57e+08,-2.2e+07,1.83e+08,-40598054.0427699,1.59e+08,-5.06e+08,5.71e+08,-2.03e+08,-3.3625e+10,-1.337e+09,-3.79e+08,-3.5544e+10,-1.62e+08,1.059e+09,-2.61e+08,3.487e+10,9.64e+08,3.647e+10,1.497e+09,1.497e+09,5000000.00000001,1.502e+09,1.328e+09,4.3575e+10,8.96e+08,0.2974,0.19091,0.02117,0.00241,1.21905,7.77534,0.14301,0.59736,0.59576,3.12905,27.51206,0.72821,0.13166,0.00294,0.00294,0.22041,28.62575,33.20087
"7","2011_Q4",15.4293650793651,"Down",3.694e+09,7.75e+08,9.28e+08,-1.53e+08,2.919e+09,1.226e+09,-2e+06,1.663e+09,2.2e+07,3.716e+09,-2.679e+09,-3.11e+08,-2.368e+09,1.037e+09,1.037e+09,9.45e+08,-2.81e+08,6.64e+08,6.64e+08,-1.3e+07,6.51e+08,6.51e+08,6.691e+09,1.25397e+11,9.7629e+10,2.1044e+10,7.2572e+10,4.013e+09,4.492e+10,-3.92e+08,4.5312e+10,1.705e+09,5.38e+09,1.8045e+10,6.45e+08,2.1775e+10,3.22187e+11,2.1089e+11,8.1821e+10,1.29069e+11,2.5398e+10,1.9399e+10,3.1971e+10,2.87658e+11,2.3129e+10,1.2e+07,2.3117e+10,-8.94e+08,1.2464e+10,-1.004e+09,3.3695e+10,8.34e+08,3.4529e+10,3.22187e+11,6.51e+08,6.64e+08,-1.3e+07,1.91e+08,-2.2e+07,-6.9e+07,-2.431e+09,-1.68e+09,-2.05e+08,-2.0209e+10,3.3e+09,6e+06,-1.7108e+10,-1.61e+08,4.222e+09,-4.62e+08,1.5041e+10,1.585e+09,2.0225e+10,1.437e+09,1.437e+09,-3.06e+08,1.131e+09,1.228e+09,4.4797e+10,-1.127e+09,0.28073,0.17623,0.01885,0.00202,-1.73118,8.33091,0.13904,0.53628,0.53574,3.04305,27.75732,-0.9284,0.13263,0.00252,-0.0035,0.24731,31.03094,36.74638
"8","2012_Q1",17.4177419354839,"Up",3.54e+09,7.8e+08,9.25e+08,-1.45e+08,2.76e+09,1.236e+09,-3e+06,1.532e+09,-2.3e+07,3.517e+09,-2.652e+09,-3.22e+08,-2.33e+09,8.65e+08,8.65e+08,6.89e+08,-2.11e+08,4.78e+08,4.78e+08,2.7e+07,5.05e+08,5.05e+08,4.175e+09,1.31074e+11,1.006e+11,1.8612e+10,7.8467e+10,3.521e+09,4.3585e+10,-3.94e+08,4.3979e+10,1.681e+09,5.152e+09,1.7904e+10,6.6e+08,2.0435e+10,3.25266e+11,2.19094e+11,9.5335e+10,1.23759e+11,2.4401e+10,1.9933e+10,2.7637e+10,2.91065e+11,2.3197e+10,1.2e+07,2.3185e+10,-9.65e+08,1.2812e+10,-1.627e+09,3.3417e+10,7.84e+08,3.4201e+10,3.25266e+11,5.05e+08,4.78e+08,2.7e+07,2.19e+08,2.3e+07,-2.32e+08,2.379e+09,2.894e+09,-6.2e+07,-2.7284e+10,1.6987e+10,-6.87e+08,-1.1046e+10,-1.58e+08,-2.338e+09,-6.3e+07,8.635e+09,-4.36e+08,5.64e+09,-2.512e+09,-2.512e+09,-3999999.99999994,-2.516e+09,1.084e+09,4.4334e+10,3.612e+09,0.24435,0.14266,0.01477,0.00155,7.15248,8.51042,0.1363,0.41915,0.41909,2.9382,27.73609,2.99796,0.13114,0.00204,0.0111,0.31287,37.04705,46.42659
"9","2012_Q2",17.442380952381,"Up",3.646e+09,7.65e+08,9.12e+08,-1.47e+08,2.881e+09,1.239e+09,4e+07,1.559e+09,-4999999.99999999,3.641e+09,-2.647e+09,-2.99e+08,-2.348e+09,9.94e+08,9.94e+08,8.85e+08,-2.54e+08,6.31e+08,6.31e+08,-1.2e+07,6.19e+08,6.19e+08,4.333e+09,1.02321e+11,1.05522e+11,1.7329e+10,8.3374e+10,4.819e+09,4.2642e+10,-3.86e+08,4.3028e+10,1.715e+09,5.072e+09,1.8002e+10,5.99e+08,1.9963e+10,3.00169e+11,1.92462e+11,6.5027e+10,1.27435e+11,2.6281e+10,2.0336e+10,2.6261e+10,2.6534e+11,2.3316e+10,1.2e+07,2.3304e+10,-1.364e+09,1.3277e+10,-1.229e+09,3.4e+10,8.29e+08,3.4829e+10,3.00169e+11,6.19e+08,6.31e+08,-1.2e+07,2.99e+08,4999999.99999999,-2.4e+07,-7.85e+08,1.14e+08,-1.24e+08,2.2774e+10,2.084e+09,-3.67e+08,2.4367e+10,-1.58e+08,3.443e+09,-3.89e+08,-2.7549e+10,3.01e+08,-2.4352e+10,1.29e+08,1.29e+08,2.9e+07,1.58e+08,1.293e+09,4.6617e+10,6.38e+08,0.27263,0.16978,0.01777,0.00206,1.03069,7.61836,0.1553,0.51846,0.51775,3.05378,28.47736,0.53437,0.13234,0.00259,0.00213,0.25525,32.70224,42.53924
"10","2012_Q3",17.7714285714286,"Up",3.617e+09,7.34e+08,8.75e+08,-1.41e+08,2.883e+09,1.286e+09,5e+07,1.49e+09,1.9e+07,3.636e+09,-2.669e+09,-3.09e+08,-2.36e+09,9.67e+08,9.67e+08,5.89e+08,-9.3e+07,4.96e+08,4.96e+08,-3e+07,4.66e+08,4.66e+08,4.522e+09,1.24529e+11,1.10642e+11,1.7308e+10,8.454e+10,8.794e+09,4.5069e+10,-3.62e+08,4.5431e+10,1.711e+09,4.962e+09,1.7909e+10,6.28e+08,2.0311e+10,3.30283e+11,2.21144e+11,7.6933e+10,1.44211e+11,2.7418e+10,1.9536e+10,2.68e+10,2.94898e+11,2.3378e+10,1.2e+07,2.3366e+10,-1.653e+09,1.3588e+10,-1.28e+09,3.4533e+10,8.52e+08,3.5385e+10,3.30283e+11,4.66e+08,4.96e+08,-3e+07,2.99e+08,-1.9e+07,-3.77e+08,-1.09e+08,2.6e+08,-1.47e+08,-1.9623e+10,-1.0884e+10,4.94e+08,-3.016e+10,-1.56e+08,-2.17e+08,2.21e+08,2.9922e+10,3.63e+08,3.0133e+10,2.33e+08,2.33e+08,-4.4e+07,1.89e+08,1.266e+09,4.6954e+10,1.103e+09,0.26735,0.12884,0.01317,0.00141,2.36695,8.33398,0.14216,0.39446,0.39392,3.06175,28.80857,0.93368,0.13205,0.00188,0.00334,0.33476,33.51659,43.88004
