"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"31","2018_Q4",5.2,"Down",5200170,-3405435,1794735,-1512877,-1512877,281858,170134,451992,451992,-216095,235897,235897,-150943,84954,84954,9549942,9549942,4757547,4757547,3256067,397368,2858699,21164977,536282,1976839,137850,2513121,23678098,3738115,472085,2825811,373172,373172,4111287,0,0,0,4111287,24433194,105939,153775,24275370,-4708559,19566811,23678098,523168.690931322,85870.7857454386,2619190.39562966,-1049287.1888357,2178942.68347073,-1167166.68203742,9549942,9549942,9549942,163190.980652245,9549942,1317855.88917788,0,0.34513,0.0542,0.01634,0.00434,0.00359,5.14802,0.21012,5.29395592033938e-23,0.0392,0.03908,2.39959,11.20174,0.00434,-33.8821
"32","2019_Q1",4.39983606557377,"Down",7263901,-5138462,2125439,-2199746,-2199746,-74307,261888,187581,187581,-1008256,-820675,-820675,279880,-540795,-540795,7098259,7098259,8428853,8428853,3450550,588439,2862111,22392281,956429,2809117,143303,3765546,26157827,6207168,3225661,2981507,415385,415385,6622553,0,0,0,6622553,25472903,-434856,-272407,24348102,-4812828,19535274,26157827,-193530,81716,3367260,-4109748,-854302.000000002,-1007700,-19350458,-17619669,-17619669,20752,-17598917,7409.00000000012,-8.88178419700125e-16,0.2926,-0.01023,-0.07445,-0.02768,-0.02067,3.38122,0.339,0,-0.21058,-0.16241,2.82844,9.48075,-0.02768,95.52611
"33","2019_Q2",4.01825396825397,"Down",6499533,-5083832,1415701,-2770410,-2770410,-1354709,712,-1353997,-1353997,66466,-1287531,-1287531,-29231,-1316762,-1316762,987031,987031,11200914,11200914,3354553,453858,2900695,15542498,908298,5881763,3053182,6790061,22332559,3559531,470720,3088811,170239,170239,3729770,0,0,2.27373675443232e-13,3729770,26290111,-1751618,-812063,23308892,-4706103,18602789,22332559,-1287531,25715,4815999,-9392626,-5838443,-830,-830,-5839273,-5839273,-271955,-6111228,-1328994,0,0.21782,-0.20843,-0.20259,-0.07078,-0.05896,4.16715,0.2005,0,-0.50084,-0.50084,2.47214,8.86571,-0.07078,0.728589999999997
"34","2019_Q3",3.535625,"Down",10515287,-8556597,1958690,-1272767,-1272767,685923,782,686705.000000001,-1177879,-244979,-1422858,-1422858,-51114,-1473972,-1473972,2454226,2454226,12148934,12148934,2430608,354969,2075639,17033768,900455,5191980,3048586,6092435,23126203,4379263,770077,3609186,126395,126395,4505658,0,0,0,4505658,27837487,-3225590,-894641,23299718,-4679173,18620545,23126203,-1422858,25565,1510573,1227578,1340858,-8527,-228693.000000004,1612165,1612165,-144970,1467195,711488,1.4210854715202e-14,0.18627,0.06523,-0.14017,-0.07916,-0.06374,3.78053,0.24197,0,-0.53521,-0.53521,3.81821,8.46037,-0.07916,-3.57799
"35","2019_Q4",3.1790625,"Down",22773139,-21075195,1697944,-2778469,-2778469,-1080525,2499,-1078026,-1226734,-248820,-1475554,-1475554,86764,-1388790,-1388790,3523907,3523907,14812688,14812688,2213729,103172,2110557,20550324,1032695,5191034,3123268,6223729,26774053,9148518,4688560,4459958,69369,69369,9217887,3.63797880709171e-12,3.63797880709171e-12,-3.63797880709171e-12,9217887,27986195,-4614380,-622728,22331549,-4775383,17556166,26774053,-1475554,44033,929974,2087365,1585818,-134123,-324843,1260975,1260975,-191294,1069681,-1036492,0,0.07456,-0.04745,-0.06098,-0.07911,-0.05187,2.2294,0.52505,1.35525271560688e-20,-0.45625,-0.45625,7.48152,7.33644,-0.07911,3.26129
"36","2020_Q1",2.09145161290323,"Down",1983088,-1290886,692202,-2220436,1758457,-1528234,-124791,-1653025,-2332634,-493536,-2826170,-2826170,471850,-2354320,-2354320,3142650,3142650,7045846,7045846,5756666,105054,5651612,15945162,989910,3663931,3054706,4653841,20599003,5170643,567619,4603024,68590,130063.784993357,5239233,137167.290422532,137167.290422532,134434.398290266,5239233,28590736,-6968700,-671106,20533392,-5173622,15359770,20599003,-2826170,35607,2976181,-1546918,-1361300,-13,410873,-600427,-600427,219170,-381257,-1492627,2.27373675443232e-13,0.34905,-0.77063,-1.1872,-0.15328,-0.11429,3.04342,0.3411,0,-0.75737,-0.75737,0.63795,6.60548,-0.15328,2.05639
"37","2020_Q2",2.1968253968254,"Up",1786226,-683404,1102822,-2110562,-1221484,-1007740,1456,-1006284,-1748624,-269956.856398275,-1748624,-1748624,121271,-1627353,-1627353,141438,141438,3991830,3991830,10190010,92126,10097884,14323278,711638,3655332,3355824,4366970,18690248,4650858,699855,3951003,224929,224929,4875787,263473,263473,263473,5139260,29034245,-8596053,-1317317,18703337,-5152349,13550988,18690248,-1748624,154577,2058077,-3134388,-2670358,-4538,-4538,-2674896,-2674896,-326316,-3001212,-853163,0,0.6174,-0.56417,-0.91106,-0.12009,-0.08707,2.93763,0.37925,0,-0.50624,-0.50624,0.55566,5.81822,-0.117800000000001,0.14035
"38","2020_Q3",1.96671875,"Down",2021124,-755645,1265479,-1106865,-828189,158614,-15613,143001,-348608,-14747,-363355,-363355,-43978.0000000001,-407333,-407333,119667,119667,4330551,4330551,11040488,94912,10945576,15490706,666280,3598851,3390383,4265131,19755837,4858896,510667,4348229,230732,230732,5089628,230262,230262,230262,5319890,29608815,-9003386,-967302,19638127,-5202180,14435947,19755837,-363355,82434,422031,-546395,-405285,-2482,-2482,92733,92733,-114504,-21771,241048,-1.81898940354586e-12,0.62613,0.07848,-0.20154,-0.02822,-0.02062,3.04358,0.36852,0,-0.12106,-0.12106,0.60068,5.83646,-0.02777,-0.75445
"39","2020_Q4",2.0653125,"Up",1353979,-889107,464872,-4153176,-1031760,-3688304,21260,-3667044,-4013483,-189510,-4202993,-4202993,384899,-3818094,-3818094,143112,143112,1745672,1745672,7273905,239830,7034075,9162689,588514,6886881,6844659,7475395,16638084,5414044,637489,4776555,223177,223177,5637221,177495,177495,177495,5814716,30425954,-12821480,-1256791,16347683,-5524315,10823368,16638084,-4202993,83261,3503435,50821,-565476,41,41,-179989,-179989,203434,23445,-3605043,0,0.34334,-2.72405,-2.81991,-0.352759999999999,-0.22948,1.62539,0.537240000000001,0,-1.07681,-1.07681,0.38186,4.61049,-0.347070000000005,0.0387999999999998
"40","2021_Q1",6.11295081967213,"Up",1374627,-1350707,23920,2013540,-698874,2037460,-11625,2025835,-11631911,18236,-11613675,-11613675,1013561,-10600114,-10600114,131182,131182,1155948,1155948,626189,90382,535807,1913319,523290,3301493,3275104,3824783,5738102,5411359,487692,4923667,271474,204391,5808865,132699,132699,287137,6096002,30749954,-23421594,-1143899,6184461,-6542361,-357900,5738102,-11613675,82022,11369446,-93208,-255415,5621,5621,84861,84861,-96791,-11930,2119482,280470,0.0174,1.48219,-7.71127,29.61753,-1.84732,0.32938,-17.0327,0.04888,-2.90837,-2.90837,0.37716,1.69684,-191.79131,0.07327
"41","2021_Q2",4.14460317460317,"Down",1136799,-1095226,41573,-772364,-772364,-730791,688,-730103,-748456,72707.8185018844,-748456,-748456,14665,-733791,-733791,1023789,1023789,1087742,1087742,482933,71214,411719,2594464,476224,8577713,8567157,9053937,11648401,5777509,566665,5210844,282260,213348,6187994,106282,106282,258527,6446521,31801154,-19559908,-803990,11437256,-6235376,5201880,11648401,-748456,83719,56271,210989,-397477,-293124.121869037,464895.016671631,713592,713592,179015,892607,-647072,280470,0.03657,-0.64285,-0.64549,-0.14106,-0.0629899999999999,0.41927,1.23927,0.02408,-0.19167,-0.19167,0.29694,2.98751,-0.13130000000001,1.01714
"42","2021_Q3",2.8103125,"Down",1884440,-1688464,195976,-1390159,-1387697,-1194183,85720,-1108463,-1090110,-3449.99999999994,-1093560,-1093560,-9359,-1102919,-1102919,4473000,4473000,1262138,1262138,1073743,63125,1010618,6808881,424326,3429273,3429273,3853599,10662480,4981234,564495,4416739,637568,166572,5751270,78660,78660,226662,5977932,36123484,-25258304,-656914,11635866,-6951318,4684548,10662480,-1093560,81409,22907,-1581264,-2570508,-714681.959371206,550114.892427402,3179422,3179422,269789,3449211,-1112774,280470,0.104,-0.63371,-0.58528,-0.23544,-0.10344,1.18389,1.2761,0.0263,-0.2284,-0.2284,0.39025,2.11404,-0.21867,3.51079
"43","2021_Q4",3.35421875,"Up",953194,-1098922,-145728,-2853674,-1601862,-2999402,-519547,-3518949,-3518949,0,-3518949,-3518949,37688,-3481261,-3481261,47784277,47784277,137835,137835,1573169,226836,1346333,49495281,1268938,3624356,3624356,4893294,54388575,4907789,673054,4234735,664596,193799,5581045,212366,212366,359606,5940651,84890662,-28739565,-733247,55417850,-6969926,48447924,54388575,-3518949,93048,1018519,-779710,-3187092,-922438,-922438,43230048,43230048,81229,43311277,-2906354,155900,-0.15288,-3.14669,-3.65221,-0.0718600000000013,-0.06401,8.86846,0.12262,0.00287,-0.32006,-0.32006,0.08764,5.09505,-0.0713100000000081,15.87929
"44","2022_Q1",4.69,"Up",1176599,-1091782,84817,-887379,-2141653,-802562,-75458,-878020,-1412082,-3.63797880709171e-12,-1412082,-1412082,-93290,-1505372,-1505372,44837317,44837317,113242,113242,1916790,341992,1574798,46867349,757257,5178510,5178510,5935767,52803116,4677053,574857,4102196,663560,192044,5343648,237956,237956,390326,5733974,84890662,-30244937,-625449,54020276,-6951134,47069142,52803116,-1412082,174765,-773659,4015941,2004965,-587941,-5117747,-3113276.99999999,-3113276.99999999,166317,-2946960,-627797,155405,0.07209,-0.6821,-1.27943,-0.03198,-0.02851,8.77067,0.12182,0.00294,-0.10033,-0.10033,0.07842,3.60037,-0.03172,55.67409
