"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2013_Q4",10.498125,"Up",2339074,-1993924,345150,-568954,-568954,-223804,-1836,-225640,-225640,14600,-211040,-211040,44530,-166510,-166510,331020,331020,5614697,5614697,1241509,55496,1098513,7187226,306167,385014,18014,691181,7878407,6263148,5930677,332471,322285,322285,6585433,-202089,-202089,-202089,6383344,8901541,-3705186,7113,4830941,-3335878,1495063,7878407,-211040,46763,9491,-395629,-550415,-132,-132,-555637,-555637,851,-554786,-177041,0,0.14756,-0.09568,-0.07119,-0.11137,-0.02113,1.09138,4.26962,-1.92592994438724e-34,-0.28671,-0.28671,4.02755,8.31819,-0.12878,1.47906
"12","2014_Q1",12.9122950819672,"Up",680856,-284593,396263,-1375565,-1375565,-979302,-32954,-1012256,-1012256,-345589,-1357845,-1357845,206419,-1151426,-1151426,3048831,3048831,3142203,3142203,954131,38776,915355,7145165,267662,123378,18278,391040,7536205,3694733,3219240,475493,710172,710172,4404905,-15520,-15520,-15520,4389385,11894999,-4856613,54791,6720650,-3573830,3146820,7536205,-1357845,58966,1007800,-27255,-318334,-733,-733,2717335,2717335,475.999999999996,2717811,-920336,0,0.58201,-1.43834,-1.69114,-0.3659,-0.15279,1.62209,1.39486,0,-0.5698,-0.5698,0.336930000000001,3.32579,-0.36772,3.11327
"13","2014_Q2",12.1130158730159,"Down",3317661,-2387803,929858,-947252,-947252,-17394,23867,6473,6473,22500,28973,28973,246421,275394,275394,1986537,1986537,2905436,2905436,1834857,33996,1800861,6726830,246110,153400,25800,399510,7126340,3688562,3185881,502681,303142,303142,3991704,-15520,-15520,-15520,3976184,11894999,-4581219,42907,6984160,-3834004,3150156,7126340,28973,27575,-22392,-1064790,-1030634,-3399,-3399,-1034033,-1034033,-28261,-1062294,10181,0,0.28028,-0.00524,0.08301,0.08742,0.03864,1.6852,1.26222,3.08148791101958e-33,0.29273,0.29273,3.52654,7.42389,0.08786,114.20818
"14","2014_Q3",9.07890625,"Down",2472189,-1740768,731421,-677115,-677115,54306,46227,100533,100533,-17767,82766,82766,416357,499123,499123,2465342,2465342,541105,541105,976948,42682,934266,3983395,395205,135738,16938,530943,4514338,1165158,731635,433523,146536,146536,1311694,-15520,-15520,-15520,1296174,11894999,-4082097,62212,7502587,-4284423,3218164,4514338,82766,46057,-45957,605233,688099,-189970,-189970,498129,498129,-19324,478805,100363,5.16987882845642e-26,0.29586,0.0219700000000002,0.2019,0.1551,0.11056,3.03683,0.40277,0,0.53055,0.53055,2.62784,7.97496,0.15585,-45.39723
"15","2014_Q4",8.77578125,"Down",2092524,-948514,1144010,-1073701,-1073701,70309,14903,85212,85212,1186,86398,86398,239721,326119,326119,2290635,2290635,343047,343047,1378674,6536.99999999999,1372137,4012356,343482,162509,16709,505991,4518347,996633,350254,646379,172527,172527,1169160,-15520,-15520,-15520,1153640,11894999,-3755977,39900,7806395,-4441688,3364707,4518347,86398,29409,-264264,-136761,-285218,-10333,-10333,-295551,-295551,120844,-174707,99718,0,0.54671,0.0336,0.15585,0.09692,0.07218,3.43183,0.34286,-2.46519032881566e-32,0.34665,0.34665,2.22427,8.29789,0.09737,-32.57954
"16","2015_Q1",7.7172131147541,"Down",3762018,-2536374,1225644,-1032735,-1032735,192909,129182,322091,322091,-85742,236349,236349,249368,485717,485717,902531,902531,481885,481885,3573382,216729,3356653,4957798,294722,461434,16734,756156,5713954,1142318,398756,743562,88477,88477,1230795,-11640,-11640,-11640,1219155,12806999,-3270260,24618,9188830,-4694031,4494799,5713954,236349,52616,39457,-943140,-614718,1304,-1157332,-1328050,-1328050,-60053.9999999999,-1388104,245525,8.27180612553028e-25,0.32579,0.05128,0.12911,0.10806,0.08501,4.02813,0.27124,0,0.50848,0.50848,3.93832,9.61946,0.10834,-4.67853
"17","2015_Q2",7.4384126984127,"Down",2605925,-1409153,1196772,-996144,-996144,200628,-62382,138246,138246,27255,165501,165501,166958,332459,332459,3553187,3553187,959033,959033,1841598,461462,1380136,6353818,266454,971102,28864,1237556,7591374,939679,242511,697168,213181,213181,1152860,-11640,-11640,-11640,1141220,14530319,-2937801,59418,11279409,-4829255,6450154,7591374,165501,55560,42642,260649,524352,-15339,1103902,2596074,2596074,54582,2650656,256188,0,0.45925,0.07699,0.12758,0.05154,0.04379,5.51135,0.17693,3.94430452610506e-31,0.28075,0.28075,2.2006,9.525,0.05164,-17.71032
"18","2015_Q3",6.21453125,"Down",3092580,-1674861,1417719,-1327723,-1327723,89996,-38464,51532,51532,24208,75740,75740,60682,136422,136422,2031747,2031747,1404366,1404366,3080868,666114,2414754,6516981,261927,744016,16726,1005943,7522924,873292,213371,659921,113115,113115,986407,-11640,-11640,-11640,974767,14530319,-2801379,50471,11406884,-4858727,6548157,7522924,75740,52804,77684,-1700170,-1493942,-11769,-11769.0000000002,-1505711,-1505711,-15729,-1521440,142800,-6.61744490042422e-24,0.45843,0.0291,0.04411,0.02083,0.01813,6.60679,0.14886,0,0.11021,0.11021,2.49848,9.21558,0.02087,-22.57597
"19","2015_Q4",4.40109375,"Down",2526762,-1220577,1306185,-1069779,-1069779,236406,61440,297846,297846,34067,331913,331913,19070,350983,350983,1107197,1107197,2028149,2028149,4021711,622827,3398884,7157057,288069,656605,16736,944674,8101731,969441,223561,745880,224937,224937,1194378,-11640,-11640,-11640,1182738,14530319,-2450396,93424,11800820,-4881827,6918993,8101731,331913,32100,87472,-1351899,-900414,-56978,-61791,-962205,-962205,37655,-924550,268506,0,0.51694,0.09356,0.13891,0.05073,0.04332,5.99229,0.17094,0,0.28311,0.28311,2.03814,9.51877,0.05081,-4.68346
"20","2016_Q1",2.93131147540984,"Down",3095361,-1631692,1463669,-973902,-973902,489767,93752,583519,583519,-512751,70768,70768,-173242,-102474,-102474,730322,730322,3082219,3082219,4293147,1265609,3027538,8105688,214003,3490859,2773908,3704862,11810550,1787843,691588,1096255,126201,126201,1914044,-7760,-7760,-7760,1906284,17448169,-2552870,91432,14614204,-4709938,9904266,11810550,70768,24624,204340,-227826,71906.0000000001,-435584,-436413,-364507,-364507,-12368,-376875,514391,-1.05879118406788e-22,0.47286,0.15823,-0.03311,-0.01035,-0.00868,4.23485,0.19247,0,-0.06865,-0.06865,2.07358,9.79005,-0.01035,-1.49116
