"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","net_otti_losses_recognised_in_earnings","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","trading_securities","investment_securities_available_for_sale","investment_securities_held_to_maturity","other_investments","net_loans","net_fixed_assets","goodwill","other_intangible_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","securities_sold_under_repo","short_term_borrowings","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",79.8088888888889,"Up",2.81e+09,5.75e+08,7e+08,-1.25e+08,2.235e+09,2.056e+09,0,1.79e+08,-3e+06,2.807e+09,-1.96e+09,-3.04e+08,-1.656e+09,8.47e+08,8.47e+08,-7.1e+07,7.76e+08,-1.56e+08,6.2e+08,6.2e+08,6.2e+08,-3.6e+07,5.84e+08,3.156e+09,6.3617e+10,9.9323e+10,8.96e+08,5.9025e+10,3.623e+10,3.172e+09,2.4307e+10,2.137e+09,5.945e+09,1.693e+09,3.8096e+10,2.38274e+11,1.81416e+11,1.30459e+11,5.0957e+10,5.321e+09,3.856e+09,1.465e+09,1.1737e+10,1.7732e+10,2.16206e+11,1.0307e+10,5.04e+08,9.803e+09,-8.367e+09,1.8202e+10,-1.27e+09,2.2068e+10,2.2068e+10,2.38274e+11,6.2e+08,5.4e+07,1.5e+08,-3.34e+08,4.9e+08,-1.61e+08,1.563e+09,1.354e+09,-9.5e+08,1.806e+09,-1.78e+08,4.28e+08,-2.59e+08,-2.049e+09,-2.049e+09,2.47e+08,2.47e+08,2.47e+08,9.01e+08,1.7058e+10,5.62e+08,0.30142,0.20783,0.02646,0.00245,0.96233,9.79726,0.07159,1.55569,1.53315,7.48545,50.27238,1.49709,0.47417,0.0032,0.00236,0.30479,15.42952,16.41322
"31","2017_Q4",82.2934920634921,"Up",2.846e+09,6.03e+08,7.61e+08,-1.58e+08,2.243e+09,2.095e+09,1e+06,1.47e+08,-3e+06,2.843e+09,-1.988e+09,-2.86e+08,-1.702e+09,8.55e+08,8.55e+08,-3.3e+07,8.22e+08,-1.37e+08,6.85e+08,6.85e+08,6.85e+08,-5.6e+07,6.29e+08,3.939e+09,6.0956e+10,9.7688e+10,1.135e+09,5.6238e+10,3.685e+10,3.465e+09,2.3581e+10,2.167e+09,5.997e+09,1.658e+09,4e+10,2.35986e+11,1.79263e+11,1.29413e+11,4.985e+10,5.12e+09,3.867e+09,1.253e+09,1.1716e+10,1.739e+10,2.13489e+11,1.0307e+10,5.04e+08,9.803e+09,-8.697e+09,1.8675e+10,-9.84e+08,2.2497e+10,2.2497e+10,2.35986e+11,6.85e+08,5.4e+07,5.9e+07,-2.94e+09,-2.142e+09,-1.6e+08,2.886e+09,3.389e+09,-2.52e+08,5.863e+09,-1.98e+08,-2.12e+08,-3.75e+08,-2.153e+09,-2.938e+09,7.83e+08,7.83e+08,7.83e+08,9.09e+08,1.6836e+10,-2.054e+09,0.30042,0.22101,0.02796,0.00267,-3.2655,9.48967,0.07134,1.68739,1.66174,7.63484,51.77793,-5.51017,0.53117,0.0035,-0.0087,0.31479,14.18812,15.08421
"32","2018_Q1",90.5916393442623,"Up",2.846e+09,6.16e+08,7.97e+08,-1.81e+08,2.23e+09,2.083e+09,9.31322574615479e-10,1.47e+08,2e+06,2.848e+09,-1.998e+09,4.3e+07,-2.041e+09,8.5e+08,8.5e+08,-1.33e+08,7.17e+08,-3.47e+08,3.7e+08,3.7e+08,3.7e+08,-3.6e+07,3.34e+08,2.107e+09,6.7227e+10,1.01913e+11,1.093e+09,5.7121e+10,4.0458e+10,3.241e+09,2.324e+10,2.186e+09,6.022e+09,1.613e+09,3.4117e+10,2.38425e+11,1.84896e+11,1.37721e+11,4.7175e+10,3.986e+09,2.842e+09,1.144e+09,1.162e+10,1.5606e+10,2.16108e+11,1.0303e+10,5.04e+08,9.799e+09,-9.029e+09,1.8856e+10,-1.009e+09,2.2317e+10,2.2317e+10,2.38425e+11,3.7e+08,5.4e+07,5.47e+08,4.105e+09,5.076e+09,-1.52e+08,-5.005e+09,-5.923e+09,2.49e+08,-1.0831e+10,-1.91e+08,-1.145e+09,-3.75e+08,5.634e+09,3.923e+09,-1.832e+09,-1.832e+09,-1.832e+09,9.04e+08,1.5606e+10,5.204e+09,0.29866,0.11736,0.01497,0.0014,15.58084,9.68356,0.06545,0.90322,0.89066,7.6963,51.70801,14.07293,0.51651,0.0022,0.02183,0.57186,14.93252,15.88118
"33","2018_Q2",86.08828125,"Down",3.056e+09,6.43e+08,8.57e+08,-2.14e+08,2.413e+09,2.274e+09,-2e+06,1.41e+08,0,3.056e+09,-2.268e+09,-2.54e+08,-2.014e+09,7.88e+08,7.88e+08,0,7.88e+08,-1.29e+08,6.59e+08,6.59e+08,6.59e+08,-5.6e+07,6.03e+08,2.546e+09,7.9418e+10,9.1776e+10,1.178e+09,4.4304e+10,4.1158e+10,5.136e+09,2.9528e+10,2.194e+09,6.068e+09,1.578e+09,3.7178e+10,2.50286e+11,1.91517e+11,1.34492e+11,5.7025e+10,3.086e+09,2.02e+09,1.066e+09,1.0944e+10,2.234e+10,2.27887e+11,1.03e+10,5.04e+08,9.796e+09,-9.334e+09,1.9311e+10,-1.074e+09,2.2399e+10,2.2399e+10,2.50286e+11,6.59e+08,5e+07,2.17e+08,3.91e+09,4.836e+09,-1.47e+08,1.1523e+10,-1.8471e+10,-1.878e+09,-8.973e+09,-2.1e+08,-1.415e+09,-4.2e+08,6.621e+09,4.576e+09,4.39e+08,4.39e+08,4.39e+08,8.38e+08,1.403e+10,4.73e+09,0.25785,0.19732,0.02692,0.00241,7.84411,10.17398,0.05606,1.64109,1.61827,8.31703,52.26174,12.87289,0.57152,0.00325,0.0189,0.34826,13.70406,14.5736
"34","2018_Q3",76.627619047619,"Down",2.989e+09,6.59e+08,9.07e+08,-2.48e+08,2.33e+09,2.167e+09,9e+06,1.54e+08,-2e+06,2.987e+09,-2.147e+09,-4.02e+08,-1.745e+09,8.4e+08,8.4e+08,-1.49011611938477e-08,8.4e+08,-1.04e+08,7.36e+08,7.36e+08,7.36e+08,-3.6e+07,7e+08,3.886e+09,7.6366e+10,9.1685e+10,1.16e+09,4.7348e+10,3.9594e+10,3.583e+09,2.4069e+10,2.189e+09,5.973e+09,1.5e+09,4.264e+10,2.48308e+11,1.86663e+11,1.34347e+11,5.2316e+10,4.191e+09,3.088e+09,1.103e+09,1.0387e+10,2.4496e+10,2.25737e+11,1.0324e+10,5.04e+08,9.82e+09,-9.317e+09,1.9856e+10,-1.488e+09,2.2571e+10,2.2571e+10,2.48308e+11,7.36e+08,4.8e+07,1.72e+08,-2.39e+09,-1.434e+09,-1.38e+08,-2.698e+09,8.513e+09,1.564e+09,7.241e+09,-1.89e+08,5.96e+08,-2e+07,-4.854e+09,-4.467e+09,1.34e+09,1.34e+09,1.34e+09,8.88e+08,1.4578e+10,-1.536e+09,0.28103,0.23419,0.03101,0.00282,-2.19429,10.0012,0.05871,1.91456,1.8898,8.17518,52.99232,-4.20109,0.51693,0.00358,-0.00619,0.27,12.04054,12.72857
"35","2018_Q4",62.8319047619048,"Down",2.951e+09,6.72e+08,9.16e+08,-2.44e+08,2.279e+09,2.152e+09,-1e+06,1.28e+08,-5e+06,2.946e+09,-2.079e+09,-3.15e+08,-1.764e+09,8.67e+08,8.67e+08,0,8.67e+08,-1.02e+08,7.65e+08,7.65e+08,7.65e+08,-5.6e+07,7.09e+08,4.145e+09,6.3618e+10,9.1865e+10,1.001e+09,4.6102e+10,4.0567e+10,4.195e+09,2.3312e+10,2.193e+09,6.016e+09,1.461e+09,4.1397e+10,2.34007e+11,1.68198e+11,1.26305e+11,4.1893e+10,2.699e+09,1.69e+09,1.009e+09,1.0335e+10,2.8222e+10,2.09454e+11,1.0922e+10,5.04e+08,1.0418e+10,-8.735e+09,2.0387e+10,-1.711e+09,2.4553e+10,2.4553e+10,2.34007e+11,7.65e+08,4.7e+07,2.36e+08,4.374e+09,5.422e+09,-1.51e+08,4.64e+08,1.3514e+10,-6.01e+08,1.3163e+10,-2.09e+08,-1.5e+09,1.848e+09,-1.8465e+10,-1.8326e+10,2.59e+08,2.59e+08,2.59e+08,9.14e+08,1.3034e+10,5.239e+09,0.2938,0.24026,0.02888,0.00303,7.38928,8.53069,0.0557,1.89085,1.86882,7.87011,55.64016,13.97205,0.55739,0.00392,0.02239,0.29478,9.72538,10.2526
"36","2019_Q1",61.2506557377049,"Down",3.135e+09,6.97e+08,9.82e+08,-2.85e+08,2.438e+09,2.318e+09,0,1.2e+08,-8e+06,3.127e+09,-2.497e+09,-14000000.0000001,-2.483e+09,6.3e+08,6.3e+08,-2.4e+07,6.06e+08,-1.73e+08,4.33e+08,4.33e+08,4.33e+08,-4.1e+07,3.92e+08,3.597e+09,7.304e+10,9.2601e+10,8.6e+08,4.5148e+10,4.1914e+10,4.679e+09,2.5722e+10,2.214e+09,7.446e+09,2.369e+09,3.7607e+10,2.44596e+11,1.8036e+11,1.35556e+11,4.4804e+10,4.174e+09,1.082e+09,3.092e+09,1.1093e+10,2.4232e+10,2.19859e+11,1.0565e+10,5.04e+08,1.0061e+10,-8.715e+09,2.0553e+10,-1.356e+09,2.4737e+10,2.4737e+10,2.44596e+11,4.33e+08,8.1e+07,2.1e+08,6.12e+08,1.351e+09,-1.73e+08,-9.45e+08,-1.3268e+10,9.91e+08,-1.5927e+10,-2.2e+08,2.041e+09,-2.37e+08,1.2162e+10,1.3746e+10,-8.3e+08,-8.3e+08,-8.3e+08,7.11e+08,1.5267e+10,1.323e+09,0.20096,0.12504,0.01585,0.0016,3.375,8.88786,0.06242,1.03182,1.02219,8.25193,55.39982,3.48239,0.57908,0.0025,0.00541,0.56122,16.4135,18.52381
"37","2019_Q2",55.3020634920635,"Down",2.932e+09,6.73e+08,1.027e+09,-3.54e+08,2.259e+09,2.142e+09,-1e+06,1.18e+08,-4e+06,2.928e+09,-2.284e+09,-2.42e+08,-2.042e+09,6.44e+08,6.44e+08,-9e+06,6.35e+08,-1.27e+08,5.08e+08,5.08e+08,5.08e+08,-5.6e+07,4.52e+08,4.469e+09,5.3864e+10,9.2525e+10,8.56e+08,4.9002e+10,4.1145e+10,1.522e+09,2.3311e+10,2.23e+09,7.549e+09,2.208e+09,4.2176e+10,2.28332e+11,1.62471e+11,1.27176e+11,3.5295e+10,2.367e+09,1.42e+09,9.47e+08,1.1182e+10,2.7274e+10,2.03294e+11,1.0586e+10,5.04e+08,1.0082e+10,-8.969e+09,2.0911e+10,-1.18e+09,2.5038e+10,2.5038e+10,2.28332e+11,5.08e+08,6e+07,2.1e+08,-1.273e+09,-4.95e+08,-1.71e+08,-3.11e+09,2.1585e+10,3.421e+09,2.1671e+10,-2.34e+08,-1.838e+09,-3.43e+08,-1.7889e+10,-2.0304e+10,8.72e+08,8.72e+08,8.72e+08,7.04e+08,1.3549e+10,-6.13e+08,0.21965,0.15416,0.01805,0.00198,-1.35619,8.11942,0.05934,1.19604,1.18417,7.75836,56.48889,-1.62206,0.61919,0.003,-0.00268,0.5177,12.89773,14.09938
"38","2019_Q3",49.76015625,"Down",2.873e+09,6.13e+08,1.007e+09,-3.94e+08,2.26e+09,2.134e+09,0,1.26e+08,-1e+06,2.872e+09,-2.142e+09,-2.45e+08,-1.897e+09,7.3e+08,7.3e+08,-1.2e+07,7.18e+08,-1.31e+08,5.87e+08,5.87e+08,5.87e+08,-5e+07,5.37e+08,3.742e+09,6.2534e+10,9.5104e+10,8.94e+08,5.3242e+10,3.9236e+10,1.732e+09,2.5349e+10,2.244e+09,7.565e+09,2.155e+09,4.2847e+10,2.4154e+11,1.70594e+11,1.36316e+11,3.4278e+10,6.768e+09,1.829e+09,4.939e+09,1.1374e+10,2.735e+10,2.16086e+11,1.0613e+10,5.04e+08,1.0109e+10,-9.249e+09,2.1274e+10,-8.74e+08,2.5454e+10,2.5454e+10,2.4154e+11,5.87e+08,5.9e+07,3.6e+08,-5.91e+08,4.15e+08,-1.71e+08,-2.057e+09,-1.071e+10,-1.8e+08,-1.3118e+10,-2.27e+08,4.393e+09,-3.13e+08,8.123e+09,1.1976e+10,-7.27e+08,-7.27e+08,-7.27e+08,7.89e+08,1.8142e+10,1.58e+08,0.25409,0.18691,0.0211,0.00222,0.29423,8.48927,0.07511,1.43679,1.42355,7.68698,58.23159,0.422739999999999,0.60736,0.00316,0.00065,0.42272,18.25095,19.72603
"39","2019_Q4",63.72796875,"Up",2.903e+09,6.44e+08,1.001e+09,-3.57e+08,2.259e+09,2.143e+09,1e+06,1.15e+08,-2e+06,2.901e+09,-2.153e+09,-2.54e+08,-1.899e+09,7.48e+08,7.48e+08,-2.7e+07,7.21e+08,-1.38e+08,5.83e+08,5.83e+08,5.83e+08,-5.5e+07,5.28e+08,3.598e+09,6.2324e+10,9.7756e+10,8.39e+08,5.4757e+10,3.9119e+10,3.041e+09,2.6938e+10,2.306e+09,7.5e+09,2.077e+09,4.2107e+10,2.44606e+11,1.70886e+11,1.37167e+11,3.3719e+10,8.403e+09,1.33e+09,7.073e+09,1.1455e+10,2.8653e+10,2.19397e+11,1.0621e+10,5.04e+08,1.0117e+10,-9.729e+09,2.1612e+10,-9.85e+08,2.5209e+10,2.5209e+10,2.44606e+11,5.83e+08,5.9e+07,2.42e+08,3.833e+09,4.717e+09,-2.27e+08,-2.913e+09,-1.379e+09,-1.137e+09,-5.656e+09,-2.3e+08,1.627e+09,-5.1e+08,2.93e+08,1.18e+09,2.41e+08,2.41e+08,2.41e+08,8.07e+08,1.9858e+10,4.551e+09,0.25766,0.18188,0.02094,0.00216,8.61932,8.70312,0.08118,1.44013,1.42644,7.91798,58.69341,12.41292,0.62733,0.0031,0.01861,0.43561,20.1487,21.73797
"40","2020_Q1",63.3027419354839,"Down",3.048e+09,6.36e+08,9.06e+08,-2.7e+08,2.412e+09,2.257e+09,-1e+06,1.56e+08,-3e+06,3.045e+09,-2.378e+09,-2.42e+08,-2.136e+09,6.67e+08,6.67e+08,-2.9e+07,6.38e+08,-7.4e+07,5.64e+08,5.64e+08,5.64e+08,-7.2e+07,4.92e+08,3.302e+09,6.8965e+10,9.7998e+10,9.14e+08,5.3815e+10,4.1782e+10,1.487e+09,2.6235e+10,2.282e+09,7.556e+09,2.03e+09,3.7242e+10,2.4561e+11,1.81872e+11,1.47841e+11,3.4031e+10,1.941e+09,1.102e+09,8.39e+08,1.2509e+10,2.4857e+10,2.21179e+11,1.3598e+10,3.466e+09,1.0132e+10,-1.0209e+10,2.1918e+10,-8.76e+08,2.4431e+10,2.4431e+10,2.4561e+11,5.64e+08,5.8e+07,1.6e+08,2.61e+08,1.053e+09,-1.61e+08,-1.23e+09,-2.748e+09,-1.384e+09,-5.523e+09,-2.39e+08,-5.322e+09,-1.25e+09,1.0985e+10,4.174e+09,-2.96e+08,-2.96e+08,-2.96e+08,7.25e+08,1.445e+10,899000000.000001,0.21883,0.16142,0.02014,0.002,1.82724,9.05321,0.05883,1.36158,1.3458,8.43513,67.6111,2.48792,0.66142,0.00298,0.00366,0.48577,15.37655,16.71364
"41","2020_Q2",55.5350793650794,"Down",3.065e+09,6.64e+08,8.68e+08,-2.04e+08,2.401e+09,2.307e+09,2e+06,9.2e+07,-3.6e+07,3.029e+09,-2.244e+09,-2.54e+08,-1.99e+09,7.85e+08,7.85e+08,-1.1e+07,7.74e+08,-1.4e+08,6.34e+08,6.34e+08,6.34e+08,-5.4e+07,5.8e+08,4.932e+09,1.47735e+11,1.2571e+11,8.72e+08,5.5843e+10,4.115e+10,2.7845e+10,3.2282e+10,2.225e+09,7.506e+09,1.963e+09,4.0174e+10,3.62527e+11,2.57104e+11,1.877e+11,6.9404e+10,3.5873e+10,5.373e+09,3.05e+10,1.5538e+10,3.0151e+10,3.38666e+11,1.0659e+10,5.04e+08,1.0155e+10,-1.0664e+10,2.2315e+10,-9.2e+08,2.386e+10,2.386e+10,3.62526e+11,6.34e+08,5.8e+07,2.8e+08,3.031e+09,4.039e+09,-1.14e+08,-2.8909e+10,-8.4391e+10,6.41e+08,-1.12773e+11,-2.3e+08,3.6421e+10,-1.058e+09,7.5231e+10,1.10364e+11,1.63e+09,1.63e+09,1.63e+09,8.43e+08,5.1411e+10,3.9e+09,0.25612,0.18923,0.02431,0.0016,6.72414,14.19388,0.14181,1.63959,1.62014,8.66441,60.46711,11.02486,0.65018,0.00223,0.01076,0.39655,55.13523,59.20892
"42","2020_Q3",60.2240625,"Up",2.937e+09,5.59e+08,6.74e+08,-1.15e+08,2.378e+09,2.286e+09,0,9.2e+07,-5.2e+07,2.885e+09,-2.07e+09,-2.33e+08,-1.837e+09,8.15e+08,8.15e+08,-1.2e+07,8.03e+08,-1.09e+08,6.94e+08,6.94e+08,6.94e+08,-3.2e+07,6.62e+08,3.685e+09,9.0199e+10,1.14245e+11,8.83e+08,5.6231e+10,4.1848e+10,1.5283e+10,2.6719e+10,2.212e+09,7.538e+09,1.914e+09,3.373e+10,2.80242e+11,2.00462e+11,1.5833e+11,4.2132e+10,1.5686e+10,3.513e+09,1.2173e+10,1.5587e+10,2.3634e+10,2.55369e+11,1.0683e+10,5.04e+08,1.0179e+10,-1.0645e+10,2.2794e+10,-4.3e+08,2.4873e+10,2.4873e+10,2.80242e+11,6.94e+08,5.8e+07,2.89e+08,2.43e+08,1.336e+09,-1.57e+08,1.4199e+10,6.0255e+10,1.81e+08,7.4478e+10,-2.15e+08,-2.0195e+10,-9e+06,-5.6642e+10,-7.7061e+10,-1.247e+09,-1.247e+09,-1.247e+09,8.73e+08,3.1273e+10,1.068e+09,0.27749,0.2254,0.02662,0.00236,1.61329,10.26692,0.11159,1.87984,1.85922,8.34001,63.61349,3.03273,0.61052,0.00313,0.00381,0.32477,31.60137,33.85031
"43","2020_Q4",63.51796875,"Up",2.784e+09,4.78e+08,5.2e+08,-4.2e+07,2.306e+09,2.222e+09,0,8.4e+07,0,2.784e+09,-2.088e+09,-2.34e+08,-1.854e+09,6.96e+08,6.96e+08,-1.5e+07,6.81e+08,-1.26e+08,5.55e+08,5.55e+08,5.55e+08,-3.8e+07,5.17e+08,4.848e+09,7.5967e+10,1.17337e+11,8.4e+08,6.178e+10,4.5394e+10,9.323e+09,2.6901e+10,2.193e+09,7.607e+09,1.87e+09,3.5352e+10,2.72075e+11,1.97513e+11,1.5633e+11,4.1183e+10,1.3087e+10,2.43e+09,1.0657e+10,1.3853e+10,2.2064e+10,2.46517e+11,1.3167e+10,2.975e+09,1.0192e+10,-1.0626e+10,2.3128e+10,-1.11e+08,2.5558e+10,2.5558e+10,2.72075e+11,5.55e+08,5.9e+07,-1.399e+09,-4.434e+09,-5.219e+09,-1.53e+08,-1.285e+09,1.3397e+10,2.14e+08,1.2173e+10,-2.21e+08,-2.607e+09,-1.4e+07,-2.949e+09,-5.791e+09,1.163e+09,1.163e+09,1.163e+09,7.55e+08,2.694e+10,-3.706e+09,0.25,0.1857,0.02023,0.0019,-7.16828,9.64539,0.09902,1.46632,1.44876,7.89601,72.4879,-10.511,0.6268,0.00271,-0.01362,0.42747,29.26093,31.74138
"44","2021_Q1",72.9901639344262,"Up",2.561e+09,4.99e+08,5.13e+08,-1.4e+07,2.062e+09,2.27e+09,-2e+06,-2.1e+08,-3.72529029846191e-09,2.561e+09,-2.264e+09,7.21e+08,-2.985e+09,2.97e+08,2.97e+08,-1.2e+07,2.85e+08,-1.04e+08,1.81e+08,1.81e+08,1.81e+08,1.24e+08,3.05e+08,3.467e+09,1.1696e+11,1.15197e+11,8.15e+08,5.9048e+10,4.8929e+10,6.405e+09,2.7803e+10,2.154e+09,7.683e+09,1.827e+09,3.9615e+10,3.14706e+11,2.39798e+11,1.90359e+11,4.9439e+10,7.4e+09,3.413e+09,3.987e+09,1.3805e+10,2.7503e+10,2.88506e+11,1.2686e+10,2.481e+09,1.0205e+10,-1.0609e+10,2.3442e+10,1.87e+08,2.62e+10,2.62e+10,3.14706e+11,5.37e+08,5.9e+07,1.908e+09,872000000.000001,3.376e+09,-1.36e+08,9.15e+08,-4.049e+10,2.99e+08,-3.9412e+10,-2.23e+08,-7.395e+09,-11999999.9999999,4.2285e+10,3.4655e+10,-1.381e+09,-1.381e+09,-1.381e+09,616554344.432184,2.1205e+10,-3404314369.68653,0.201515639209636,0.145895003674776,0.015773730055414,0.00137949933950517,-8.1645041605092,11.01168,0.06738,1.14936012321365,1.13387755194742,8.00527491661023,72.8271,-9.66426648878489,0.63178,0.0021061518909939,-0.0126637226354863,0.48674239794113,25.4245362350692,27.7783038437154
"45","2021_Q2",80.0428571428571,"Up",2.95e+09,4.67e+08,4.71e+08,-4e+06,2.483e+09,2.384e+09,-3344451.74522002,9.9e+07,9e+06,2.959e+09,-2.322e+09,-2.7e+08,-2.052e+09,6.37e+08,6.37e+08,-1e+07,6.27e+08,-1.08e+08,5.19e+08,5.19e+08,5.19e+08,-3e+07,4.89e+08,4.552e+09,1.07554e+11,1.12998e+11,7.86e+08,6.0512e+10,4.6261e+10,5.439e+09,3.1467e+10,2.143e+09,7.629e+09,2.007e+09,4.8535e+10,3.16885e+11,2.44893e+11,1.87814e+11,5.7079e+10,1.429e+09,5.87e+08,8.42e+08,1.3836e+10,3.1722e+10,2.9188e+11,1.2707e+10,2.48e+09,1.0227e+10,-1.1035e+10,2.3751e+10,-4.18e+08,2.5005e+10,2.5005e+10,3.16885e+11,5.19e+08,5.8e+07,3.33e+08,-4.633e+09,-3.732e+09,-1.62e+08,3.485e+09,3.614e+09,8.1e+07,6.804e+09,-2.09e+08,-5.891e+09,-9.81e+08,5.094e+09,-1.987e+09,1.085e+09,1.085e+09,1.085e+09,6.95e+08,1.5265e+10,-3.992e+09,0.21593,0.16576,0.01956,0.00154,-8.1636,11.67287,0.04817,1.39418,1.37479,8.41072,71.29152,-11.38155,0.59588,0.0022,-0.0126,0.4274,15.41439,16.8179
"46","2021_Q3",83.00171875,"Up",3.034e+09,4.67e+08,4.67e+08,-9.31322574615479e-10,2.567e+09,2.405e+09,-2959307.45325772,1.62e+08,1.5e+07,3.049e+09,-2.1e+09,2.7e+08,-2.37e+09,9.49e+08,9.49e+08,-1.1e+07,9.38e+08,-1.75e+08,7.63e+08,7.63e+08,7.63e+08,-3.5e+07,7.28e+08,4.619e+09,1.13347e+11,1.17397e+11,7.21e+08,6.7497e+10,4.5182e+10,3.997e+09,3.0604e+10,2.169e+09,7.629e+09,1.933e+09,4.883e+10,3.26528e+11,2.63969e+11,2.02227e+11,6.1742e+10,1.293e+09,6.58e+08,6.35e+08,1.3032e+10,2.3067e+10,3.01361e+11,1.2726e+10,2.48e+09,1.0246e+10,-1.1437e+10,2.43e+10,-4.22e+08,2.5167e+10,2.5167e+10,3.26528e+11,7.63e+08,6.3e+07,3.52e+08,-8.756e+09,-7.593e+09,-1.97e+08,-6.097e+09,-3.671e+09,1.03e+08,-9.892e+09,-2.15e+08,-8.96e+08,-4.25e+08,1.9088e+10,1.7552e+10,66999999.9999995,66999999.9999995,66999999.9999995,1.012e+09,1.4325e+10,-7.766e+09,0.31279,0.23995,0.02893,0.00223,-10.66758,11.97445,0.04387,2.07559,2.04673,8.65021,71.75339,-22.14157,0.61298,0.00289,-0.02378,0.29533,9.59091,10.22761
"47","2021_Q4",90.5475,"Up",2.99e+09,4.87e+08,4.87e+08,335116.292316471,2.503e+09,2.504e+09,-1e+06,-53586176.8993166,2e+06,2.992e+09,-2.098e+09,447883388.153408,-2.098e+09,8.94e+08,8.94e+08,-1.8e+07,8.76e+08,-1.62e+08,7.14e+08,7.14e+08,7.14e+08,-2.1e+07,6.93e+08,4.606e+09,1.07553e+11,1.17192e+11,7.2e+08,7.0279e+10,4.3346e+10,2.847e+09,3.2702e+10,2.191e+09,7.65e+09,1.887e+09,4.9358e+10,3.23139e+11,2.59373e+11,1.94488e+11,6.4885e+10,1.186e+09,6.37e+08,5.49e+08,1.2978e+10,2.2288e+10,2.95825e+11,1.2749e+10,1.986e+09,1.0763e+10,-1.0032e+10,2.4785e+10,-6.82e+08,2.7314e+10,2.7314e+10,3.23139e+11,7.14e+08,6.2e+07,2.79e+08,-6.65e+08,3.88e+08,-1.97e+08,-2.07e+09,4.914e+09,5.2e+07,2.61e+09,-1.99e+08,-1.14e+08,1.9e+09,-4.598e+09,-3.011e+09,-1.3e+07,-1.3e+07,-1.3e+07,9.56e+08,1.4164e+10,2.56e+08,0.299,0.23177,0.02537,0.00214,0.36941,10.83053,0.04383,1.99077,1.96108,8.58934,77.0455,0.735410000000005,0.57166,0.00276,0.000790000000000003,0.28716,9.99791,10.69128
"48","2022_Q1",89.5053225806452,"Down",2.637e+09,4.84e+08,4.83e+08,1e+06,2.153e+09,2.24e+09,1e+06,-1.45e+08,7e+06,2.644e+09,-2.304e+09,25053065.1885328,-2.304e+09,3.4e+08,3.4e+08,-2.6e+07,3.14e+08,-3.3e+07,2.81e+08,2.81e+08,2.81e+08,8.6e+07,3.67e+08,3.631e+09,1.06358e+11,1.19599e+11,743177648.688188,76583015988.7072,37610109901.3625,19180470080.6336,35341323586.0673,2.261e+09,7.621e+09,1829984180.22322,7.3338e+10,3.14624e+11,2.55035e+11,1.98574e+11,5.6461e+10,1.703e+09,2717066399.66909,269376819.881918,1.3475e+10,1.7048e+10,2.87261e+11,1.3267e+10,2082662846.26894,10905045175.9888,-1.0009e+10,2.5238e+10,-1.133e+09,2.7363e+10,2.7363e+10,3.14624e+11,6.97e+08,6.2e+07,1.29e+08,3.346e+09,4.227e+09,-2.55e+08,-2.676e+09,1.232e+09,5e+06,-1.694e+09,-2.43e+08,1.104e+09,-33000000.0000005,-4.336e+09,-3.508e+09,-9.75e+08,-9.75e+08,-9.75e+08,847590325.748484,1.5178e+10,5946764564.01636,0.259611353520117,0.197814552515226,0.0215971036890145,0.00183960794576559,8.96350467547065,10.49815,0.04824,1.69048971636137,1.66475378132938,8.52721404212896,65.32513,16.5475508208263,0.58013,0.00247353502046137,0.0184928638862636,0.348546279558282,15.1750000187257,16.3714939788982
