"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",13.4412698412698,"Down",171931000,-149565000,22366000,-31010000,-19859000,-11151000,-8644000,-5149000,-5175000,26000,-13793000,-10442000,-24235000,-116000,-24351000,-24351000,-24351000,-24351000,85625000,85625000,109866000,109866000,5154000,8356000,3938000,4418000,209001000,298382000,13819000,3877000,312201000,521202000,127936000,118255000,9681000,134023000,1324000,1204000,120000,13011000,147034000,605429000,-231261000,374168000,374168000,521202000,-24351000,11151000,21348000,-11542000,-3394000,-50458000,452000,452000,-50910000,-50910000,-50458000,-162905000,5881000,-47971000,-47971000,-47971000,2507000,17774000,-59377000,0.13009,-0.05028,-0.14163,-0.06508,-0.04672,2.43838,1.55944,0.39296,0.0341,-0.43487,-0.43487,3.07042,6.68205,-1.06038,-0.06192,-0.15098,-27.06462,7.84949
"2","2017_Q3",12.5534920634921,"Down",213492000,-176777000,36715000,-20623000,-7917000,-12706000,16092000,-1278000,-650000,-628000,14814000,-9787000,5027000,-107000,4920000,4920000,4920000,4920000,25108000,25108000,147820000,147820000,4819000,10622000,6933000,3689000,188369000,360308000,13239000,3369000,373547000,561916000,164291000,155956000,8335000,170628000,1381000,1259000,122000,11591000,182219000,606038000,-226341000,379697000,379697000,561916000,4920000,12706000,10934000,-25629000,2931000.00000001,-60943000,777000,777000,-61720000,-61720000,-60943000,-2467000,-2505000,-60517000,-60517000,-60517000,28798000,16547000,-57667000,0.17197,0.07538,0.02305,0.01296,0.00876,-11.72093,1.10397,0.47991,0.02945,0.05914,0.05914,2.56632,4.56421,-0.6932,0.01237,-0.14503,-0.297279999999997,-0.531999999999999
"3","2017_Q4",16.9519047619048,"Up",282730000,-225433000,57297000,-25850000,-11105000,-14745000,31447000,-834000,-644000,-190000,30613000,-8742000,21871000,95000,21966000,21966000,21966000,21966000,51008000,51008000,160047000,160047000,9148000,6518000,5543000,975000,226721000,399268000,12602000,2804000,411870000,638591000,192820000,181660000,11074000,200261000,1439000,1315000,124000,35915000,236176000,606790000,-204375000,402415000,402415000,638591000,21966000,14745000,10066000,32359000,79136000,-78182000,3008000,3008000,-81190000,-81190000,-78182000,24946000,24946000,25900000,25900000,25900000,46192000,41917000,274000,0.20266,0.11123,0.07769,0.05459,0.0344,0.01247,1.13213,0.5869,0.06564,0.26406,0.23833,3.39877,4.83753,0.00329,0.04928,0.00061,-0.19681,-0.28909
"4","2018_Q1",18.0768852459016,"Up",313712000,-262048000,51664000,-27360000,-10334000,-17026000,24304000,-1111000,-878000,-233000,23193000,-10115000,13078000,-3e+06,10078000,10078000,10078000,10078000,23949000,23949000,199656000,199656000,6184000,5871000,5123000,748000,235660000,470910000,12462000,2736000,483372000,719032000,227832000,211149000,16607000,243596000,5006000,4881000,125000,62184000,305780000,607549000,-194297000,413252000,413252000,719032000,10078000,17026000,14655000,-11175000,30584000,-91886000,185000,185000,-92071000,-92071000,-91886000,34243000,34243000,-27059000,-27059000,-27059000,41330000,72942000,-58731000,0.16469,0.07747,0.03213,0.02439,0.01402,-5.82764,0.96742,0.73994,0.10144,0.12126,0.11587,3.77457,4.97223,-0.70665,0.02052,-0.11957,1.18541,2.01584
"5","2018_Q2",17.20921875,"Down",385219000,-298122000,87097000,-30880000,-11944000,-18936000,56217000,-1491000,-1261000,-230000,54726000,-7665000,47061000,-10353000,36708000,36708000,36708000,36708000,46413000,46413000,253117000,253117000,7512000,6793000,5707000,1086000,313835000,524154000,12358000,2704000,536512000,850347000,267234000,254707000,11983000,282266000,15062000,14935000,127000,117363000,399629000,608307000,-157589000,450718000,450718000,850347000,36708000,18936000,18892000,-19902000,54634000,-74831000,317000,317000,-75148000,-75148000,-74831000,43021000,42661000,22464000,22464000,22464000,75153000,117333000,-9227000,0.2261,0.14594,0.09529,0.08144,0.04317,-0.25136,1.11184,0.88665,0.13798,0.44183,0.42267,4.63667,5.42504,-0.11106,0.06295,-0.01582,0.94367,1.26154
"6","2018_Q3",16.117619047619,"Down",459888000,-351888000,1.08e+08,-35453000,-14178000,-21275000,72547000,-2413000,-2231000,-182000,70134000,-18990000,51144000,-12053000,39091000,39091000,39091000,39091000,27103000,27103000,316498000,316498000,7744000,4582000,3451000,1131000,355927000,551253000,11835000,2253000,563088000,919015000,295397000,268562000,26329000,306113000,26599000,26473000,126000,121599000,427712000,609801000,-118498000,491303000,491303000,919015000,39091000,21275000,33511000,-24069000,69808000,-75078000,1965000,1965000,-77043000,-77043000,-75078000,-14091000,-14040000,-19310000,-19310000,-19310000,93822000,105716000,6728000.00000001,0.23484,0.15775,0.085,0.07957,0.04254,0.17211,1.16273,0.87057,0.11503,0.46844,0.44727,5.51101,5.88746,0.0806199999999998,0.06268,0.01079,0.8379,1.08361
"7","2018_Q4",16.4650793650794,"Up",434041000,-320146000,113895000,-36038000,-12821000,-23217000,77857000,-1574000,-1481000,-93000,76283000,-16406000,59877000,-13592000,46285000,46285000,46285000,46285000,78164000,78164000,252390000,252390000,6681000,4090000,2911000,1179000,341325000,586218000,12175000,2665000,598393000,939718000,271328000,250074000,20774000,280416000,40083000,39958000,125000,120083000,400499000,611432000,-72213000,539219000,539219000,939718000,46285000,23217000,29783000,27367000,126652000,-58963000,998000,998000,-59961000,-59961000,-58963000,-16628000,-16628000,51061000,51061000,51061000,101074000,89088000,83070000,0.26241,0.17938,0.10664,0.08584,0.04925,1.79475,1.21721,0.74274,0.0948,0.554,0.53072,5.19517,6.45408,0.99429,0.06925,0.12428,0.10808,0.14031
"8","2019_Q1",17.895737704918,"Up",425414000,-300421000,124993000,-39725000,-15015000,-24710000,85268000,-2074000,-1916000,-158000,83194000,-16159000,67035000,-15257000,51778000,51778000,51778000,51778000,132700000,132700000,202956000,202956000,6353000,7248000,6610000,638000,349257000,912846000,12419000,2981000,925265000,1274522000,352760000,214460000,138089000,352760000,54407000,54283000,124000,124407000,477167000,817790000,-20435000,797355000,797355000,1274522000,51778000,24710000,33238000,32259000,141985000,-71732000,313000,313000,-72045000,-72045000,-71732000,-14541000,-15717000,54536000,54536000,54536000,109978000,7e+07,85762000,0.29381,0.20044,0.12171,0.06494,0.04063,1.65634,0.99007,0.59844,0.05492,0.61815,0.59704,5.07878,9.51918,1.02386,0.05617,0.09304,-0.57011,-0.73533
"9","2019_Q2",21.2353968253968,"Up",546179000,-381523000,164656000,-51641000,-18524000,-33117000,113015000,-2090000,-1903000,-187000,110925000,-19228000,91697000,-21892000,69805000,69805000,69805000,69805000,79518000,79518000,357472000,357472000,5870000,6795000,5597000,1198000,449655000,945089000,14261000,4836000,959350000,1409005000,299199000,274016000,24492000,302657000,76807000,75366000,1441000,236807000,539464000,820171000,49370000,869541000,869541000,1409005000,69805000,33117000,42274000,-109111000,36085000,-177885000,1027000,1027000,-178912000,-178912000,-177885000,88066000,88618000,-53182000,-53182000,-53182000,146132000,163042000,-118972000,0.30147,0.20692,0.12781,0.08028,0.04954,-1.70435,1.48569,0.6204,0.11571,0.69643,0.67041,5.44915,8.67528,-1.18697,0.06292,-0.10724,0.57157,0.73905
"10","2019_Q3",13.878125,"Down",529494000,-386218000,143276000,-63372000,-27890000,-35482000,79904000,-2302000,-2025000,-277000,77602000,-31197000,46405000,-10272000,36133000,36133000,36133000,36133000,36279000,36279000,371478000,371478000,4948000,5262000,4934000,328000,417967000,1038557000,14033000,4608000,1052590000,1470557000,321564000,284730000,36204000,324969000,86551000,85221000,1330000,236551000,561520000,823534000,85503000,909037000,909037000,1470557000,36133000,35482000,44501000,-1350000.00000001,114766000,-146449000,520000,520000,-146969000,-146969000,-146449000,-12079000,-11556000,-43239000,-43239000,-43239000,115386000,152980000,-22141000,0.27059,0.15091,0.06824,0.03975,0.02457,-0.61276,1.28617,0.61771,0.10403,0.3598,0.34664,5.27248,9.05181,-0.22047,0.03146,-0.01928,1.0114,1.46052
