"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",8.67126984126984,"Down",131873000,-98007000,33866000,-40065000,-40065000,-392493183.762703,-149272690.792009,-6199000,820000,-263000,1083000,-5379000,-393000,-5772000,-4480000,-10252000,-10252000,-10252000,-10252000,1772377631.97595,2252677562.1455,-4595418253.96976,-4595418253.96976,-576356853.147568,1783397981.19721,-72080515.9710419,-1615999493.94417,-83449481.7811518,90816764.1411779,25125352.3093932,-235628493.830049,132573839.542836,7367282.36002605,-1608632211.58415,-3813857930.80738,-3647855138.72781,-160361995.97884,-11637064.1335302,1752205233.61944,-2073289761.32147,135951651.799241,9952906.77392442,111065361.166619,113695635.454521,-1959594125.86695,-150839672.215723,-3888887.43965381,517887589.472266,-12197115.5340898,350961914.282799,350961914.282799,-1608632211.58415,-10252000,-10252000,1140000,6404000,-15317000,-1529000,1744000,229000,-101000,-188000,-289000,-15377000,-15377000,-191000,-15568000,-5059000,0,0.25681,-0.04701,-0.07774,-1.88657250254883,-0.408842471940519,30.0445697454885,-14.4369653866946,-0.0618881548659877,-0.44995,-0.44995,5.78771,15.0049718286958,-1.54234845159527,2756.39265689458,1216.54553000341
"2","2010_Q3",6.24296875,"Down",-35760000,38614000,2854000,-7384999.99999999,-7385000,-200698091.881352,-75353845.3960047,-4531000,616000,-260000,876000,-3915000,-69000,-3984000,1028000,-2956000,-2214000,-2214000,-2214000,818445315.987976,1018601281.07275,-2031691126.98488,-2031691126.98488,-253216426.573784,909489990.598603,-30418757.9855209,-556972246.972087,-22147740.8905759,80968382.070589,23580176.1546966,-96652246.9150243,69667419.771418,58820641.180013,-498151605.792073,-1689138965.40369,-1614679569.3639,-72047497.9894198,-4687032.06676509,897678616.80972,-796147380.660734,73028825.8996203,6510453.38696221,59051680.5833097,63705317.7272606,-732442062.933473,-64401836.1078617,-3161943.71982691,307115794.736133,-5261557.76704488,234290457.141399,234290457.141399,-498151605.792073,-2956000,-2214000,646000,1763000,-12744000,-2014000,-242000,-2182000,-205000,0,-205000,-15131000,-15133000,357000,-14776000,-3885000,2.3283064365387e-10,-0.07981,0.12671,0.06191,-1.24318125127441,-0.38556123597026,13.6369698727443,-5.4655726933473,-0.0252840774329938,-0.0971699999999999,-0.09717,-1.56945,10.1903559143479,-1.04714422579764,1195.00005344729,532.919375001704
"3","2010_Q4",5.98171875,"Down",59612000,-40471000,19141000,-24401000,-24401000,-85413030.6271172,-31057281.7986682,-5260000,26000,-296000,322000,-5234000,-3000,-5237000,2947000,-2290000,1998000,1998000,1998000,291190771.995992,344578093.690917,-589027375.661627,-589027375.661627,-69751808.8579281,380733330.199534,-7099585.99517364,13144917.6759712,11496086.369808,69444794.0235296,22869725.3848989,-18448748.9716748,31368806.5904727,80940880.3933377,94085798.0693088,-488930321.80123,-472334189.787968,-15917832.6631399,-734010.688921696,378280205.60324,-111384126.886911,35326275.2998734,4626151.1289874,27721893.5277699,33213772.5757535,-78170354.3111577,-16046278.7026206,-2746314.57327564,192556931.578711,-1508185.92234829,172256152.380466,172256152.380466,94085798.0693088,-2290000,1998000,722000,2424000,11213000,-1185000,1832000,-2250000,46000,188000,234000,9197000,9199000,52000,9251000,-4538000,0,0.32109,-0.08824,0.03352,-0.709797083758138,-0.281500411990087,4.86345662424809,-0.677247564449099,-0.00388802581099794,0.08769,0.08769,2.61628,7.5726719714493,-0.614564741932545,352.490041149097,162.469665000568
"4","2011_Q1",5.49983870967742,"Down",46956000,-27178000,19778000,-24049000,12518000,-27531000,-9036000,-4271000,-392000,-405000,13000,-4663000,-899000,-5562000,-1915000,-7477000,-45007000,-45007000,-45007000,74354000,74354000,31926000,31926000,10921000,112591000,2829000,229792000,24855000,57751000,22535000,15211000,11709000,82606000,312398000,32788000,17852000,14936000,999000,1.13e+08,146787000,16600000,3894000,11972000,17507000,164294000,4061000,-2575000,146659000,-41000,148104000,148104000,312398000,-7477000,-45007000,1406000,1702000,31631000,1301000,8867000,-1507000,-110000,-238000,-348000,29776000,29727000,185000,29912000,-2865000,1906000,0.4212,-0.09096,-0.95849,-0.30389,-0.14407,1.56548,1.10932,0.0061,-1.97529,-1.97529,2.06083,6.50007,-0.27013,25.28726,16.96277
"5","2011_Q2",6.06365079365079,"Up",52591000,-34503000,18088000,-24104000,-14216000,-7945000,-1943000,-6016000,-268000,-305000,37000,-6284000,-2346000,-8630000,1751000,-6879000,-6228000,-6228000,-6228000,51675000,51675000,130522000,130522000,25686000,20526000,4319000,228409000,25302000,47392000,22117000,20556000,4719000,72694000,301103000,122036000,94550000,27423000,1289000,20828000,144153000,10606000,3908000,6698000,11871000,156024000,5754000,-2581000,141870000,36000,145079000,145079000,301103000,-6879000,-6228000,1012000,5014000,-21234000,-756000,-57000,-798000,-330000,-565000,-685000,-22717000,-22737000,58000,-22679000,-5004000,2554000,0.34394,-0.11439,-0.11842,-0.04293,-0.02068,1.58449,1.07544,0.00848,-0.27134,-0.27134,2.29125,6.3207,-0.03936,9.81635000000002,8.16506000000001
"6","2011_Q3",8.59515625,"Up",52685000,-31686000,20999000,-23141000,-13391000,-7711000,-2039000,-2142000,-830000,-522000,-308000,-2972000,-3688000,-6660000,3106000,-3554000,6933000,6933000,6933000,93662000,93662000,30114000,30114000,13649000,15627000,2844000,153052000,20938000,41132000,21962000,15104000,4066000,62070000,215122000,43139000,15910000,27104000,970000,14604000,58713000,10546000,4093000,6453000,11165000,69878000,-843000,-2709000,149119000,-323000,145244000,145244000,215122000,-3554000,6933000,1102000,5387000,-11063000,-708000,-11000,60772000,-221000,-529000,-7455000,42254000,42196000,-209000,41987000,-1040000,1589000,0.39858,-0.04066,0.13159,0.04773,0.03223,2.60678,0.48111,0.00739,0.30337,0.30337,2.30539,6.35558,0.04405,88.53173,42.98459
"7","2011_Q4",8.14031746031746,"Down",51582000,-31649000,19933000,-22426000,-12727000,-7722000,-1977000,-2493000,-78000,-56000,-22000,-2571000,-4556000,-7127000,1352000,-5775000,-6510000,-6510000,-6510000,84055000,44061000,30055000,30055000,11694000,13357000,3356000,139161000,19136000,40476000,21611000,15084000,3781000,59612000,198773000,42117000,20603000,20888000,819000,13318000,56254000,10176000,4043000,6133000,10675000,66929000,-5896000,-2892000,140854000,-222000,131844000,131844000,198773000,-5775000,-6510000,1063000,3380000,-5395000,-1625000,303000,-38372000,-272000,-234000,-5928000,-49695000,-49617000,16000,-49601000,-1430000,1318000,0.38643,-0.04833,-0.12621,-0.04938,-0.03275,2.4738,0.50764,0.00663,-0.29393,-0.29398,2.32897,5.95286,-0.04542,57.85804,33.18773
"8","2012_Q1",8.35483870967742,"Up",-74807000,65413000,-9394000,-867000,-808999.999999998,1531000,-1589000,-10261000,342000,43000,299000,-9919000,-14338000,-24257000,2972000,-21285000,-16978000,-16978000,-16978000,97587000,97587000,32531000,32531000,15710000,8467000,2975000,154295000,16504000,33340000,14135000,15198000,4007000,49844000,204139000,48921000,24938000,23983000,647000,28441000,78009000,11345000,5135000,6210000,11692000,89701000,-6550000,-2919000,123876000,31000,114438000,114438000,204139000,-21285000,-16978000,786000,13074000,15994000,858000,-2585000,38737000,-178000,-121000,-1345000,53386000,53386000,140000,53526000,-9475000,994000,0.12558,0.13717,0.22696,-0.14836,-0.08317,1.97791,0.78384,0.00487,-0.77974,-0.77959,-3.43561,5.25572,-0.13392,10.19451,9.4136
"9","2012_Q2",8.19380952380952,"Down",22389000,-8496000,13893000,-15340000,-9480000,-4420000,-1440000,-1447000,-404000,-260000,-144000,-1851000,-1333000,-3184000,529000,-2655000,-1793000,-1793000,-1793000,80336000,80336000,34656000,34656000,15652000,4978000,3188000,135622000,15916000,33770000,14622000,15109000,4039000,49686000,185308000,35039000,23815000,11224000,470000,25542000,61051000,11035000,5152000,5883000,11323000,72374000,-6238000,-2851000,122083000,-60000,112934000,112934000,185308000,-2655000,-1793000,585000,-960000,-19807000,-532000,-818000,2817000,-107000,-40000,-80000,-17070000,-17161000,-90000,-17251000,-862000,758000,0.62053,-0.06463,-0.08008,-0.01588,-0.00967999999999999,2.22145,0.64085,0.00409,-0.08211,-0.08211,1.02533,5.17192,-0.01438,92.31787,54.99516
"10","2012_Q3",8.53095238095238,"Up",24232000,-9208000,15024000,-16826000,-8178000,-7285000,-1363000,-1802000,184000,24000.0000000001,160000,-1618000,-429999.999999998,-2048000,633000,-1415000,-351000.000000004,-351000.000000004,-351000.000000004,77327000,77327000,33710000,33710000,12164000,4793000,2937000,127994000,15396000,34306000,14951000,15223000,4132000,49702000,177696000,32563000,21048000,11515000,429000,20128000,53120000,10972000,5170000,5802000,11473000,64593000,-5866000,-2839000,121732000,76000,113103000,113103000,177696000,-1415000,-351000.000000004,546000,-230000.000000002,-1965000,-205000,-343000,-917000,-112000,-94000,-206000,-3088000,-3177000,168000,-3009000,-1256000,930000,0.62001,-0.07436,-0.01448,-0.0031,-0.00198,2.40953,0.5711,0.00523,-0.01604,-0.01604,1.10729,5.1683,-0.00281,60.82564,42.39567
