"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"1","2010_Q2",6.70873015873016,"Up",221938000,-38615000,183323000,-189717000,-97596000,-89430000,-2691000,-6394000,-1457000,-7431000,5974000,-7851000,1074000,-6777000,-5008000,-11785000,-11785000,-11785000,-11785000,-11785000,21465000,7136000,29887000,46703000,-9899000,-1422000,8044000,8044000,-3768000,4276000,49557000,49557000,631000,50188000,15071000,0,40067000,0.82601,-0.02881,-0.0531,-3.39983,-0.04488,-0.04488,0.84517,0.15258
"2","2010_Q3",6.8603125,"Up",227064000,-39160000,187904000,-183002000,-88571000,-91880000,-2551000,4902000,-11072000,-7972000,-3100000,-6170000,317000,-5853000,54460000,48607000,48607000,48607000,48607000,48607000,19868000,-53546000,34069000,48998000,-8866000,-264178000,-39922000,75000,-88161000,72217000,-142963000,-142963000,-737000,-143700000,24770000,2.98023223876953e-08,-4486999.99999994,0.82754,0.02159,0.21407,-0.0923100000000008,0.18541,0.17971,0.86612,-0.01712
"3","2010_Q4",8.15,"Up",237934000,-39819000,198115000,-202880000,-101146000,-97275000,-4459000,-4765000,-13383000,-10476000,-2907000,-18148000,1682000,-16466000,143219000,126753000,126753000,126753000,126753000,126753000,23462000,17346000,-121133000,46428000,-9275000,-13987000,5150000,5150000,-13884000,-8734000,23707000,23707000,9725000,33432000,18697000,0,-254930000,0.83265,-0.02003,0.53272,-2.01123,0.49014,0.48182,0.92006,-0.98579
"4","2011_Q1",9.34532258064516,"Up",165696000,-51649000,114047000,-200005000,-122168000,-76118000,-1719000,-85958000,-4002000,-2993000,-1009000,-89960000,-34449000,-124409000,-189037000,-313446000,-313446000,-313446000,-313446000,-313446000,28344000,138027000,30583000,-116492000,-9404000,229078000,54738000,14741000,98770000,-46792000,65794000,65794000,-4854000,60940000,-57614000,436012000,152602000,0.68829,-0.51877,-1.89169,-0.48685,-1.20657,-1.17248,0.63783,0.58742
"5","2011_Q2",10.2857142857143,"Up",266102000,-45167000,220935000,-203432000,-97674000,-101299000,-4459000,17503000,-6517000,-10986000,4469000,10986000,41000,11027000,-4704000,6323000,6323000,6323000,6323000,6323000,22907000,7594000,19541000,56365000,-5181000,-4153000,8897000,8897000,-5523000,3374000,55586000,55586000,-787000,54799000,40410000,556197000,59474000,0.83026,0.06578,0.02376,9.40598,0.02418,0.02354,1.01747,0.22741
"6","2011_Q3",9.461875,"Down",283270000,-51406000,231864000,-206156000,-102383000,-99268000,-4505000,25708000,-2374000,-10768000,8394000,23334000,-751000,22583000,4325000,26908000,26908000,26908000,26908000,26908000,23376000,4972999.99999999,14156000,69413000,-6131000,-18258999.9999999,1405000.00000001,1405000,-3727999.99999999,-2322999.99999999,48831000,48831000,4278000,53109000,49084000,562785000,52784000,0.81853,0.0907499999999999,0.0949899999999999,1.96165,0.10224,0.09933,1.07629,0.20055
"7","2011_Q4",10.5052380952381,"Up",292457000,-49818000,242639000,-210895000,-103955000,-103154000,-3786000,31744000,-3586000,-10830000,7244000,28158000,433000,28591000,-485000,28106000,28106000,28106000,28106000,28106000,22651000,14424000,-12754000,52427000,-6391000,-25539000,6692000,6692000,-607000,6085000,32973000,32973000,-2189000,30784000,54395000,569512000,35735000,0.82966,0.10854,0.0961,1.27144,0.10617,0.10381,1.10477,0.13499
"8","2012_Q1",11.4016129032258,"Up",308006000,-48765000,259241000,-213459000,-112649000,-97024000,-3786000,45782000,-12474000,-10441000,-2033000,33308000,-83000,33225000,-22333000,10892000,10892000,10892000,10892000,10892000,22714000,27641000,889999.999999996,62137000,-13718000,-8546000,2720000,2720000,-4660000,-151940000,-98349000,-98349000,3850000,-94499000,68496000,425981000,78001000,0.84168,0.14864,0.03536,7.16131,0.04093,0.03989,1.15739,0.2931
"9","2012_Q2",10.9280952380952,"Down",315830000,-46586000,269244000,-223945000,-111565000,-108594000,-3786000,45299000,-6103000,-8537000,2434000,39196000,51000,39247000,-8143000,31104000,31104000,31104000,31104000,31104000,21939000,16279000,-8613000,60709000,-8201000,-9448000,12761000,12761000,-3370000,9391000,60652000,60652000,-2567000,58085000,67238000,431112000,58567000,0.8525,0.14343,0.09848,1.88294,0.11609,0.11199,1.17873,0.21858
"10","2012_Q3",12.4687301587302,"Up",326476000,-49477000,276999000,-226336000,-110662000,-112031000,-3643000,50663000,-4897000,-8566000,3669000,45766000,-43000.0000000001,45723000,-9337000,36386000,36386000,36386000,36386000,36386000,21797000,16990000,-7694000,67479000,-10068000,-59015000,301999.999999998,302000.000000002,-5398000,-5096000,3368000,3368000,-1397000,1971000.00000003,72460000,436298000,64035000,0.84845,0.15518,0.11145,1.75988,0.13489,0.13216,1.21034,0.2374
