"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q2",44724.7619047619,"Down",14872000,-15010000,-138000,-18082000,-13127000,-4955000,-18220000,-1087000,-1087000,222917.977814738,-19307000,71086142.160121,-19307000,-19307000,-19307000,-19307000,-19307000,73622000,73622000,3030000,3030000,5454000,2089000,1641000,84195000,42139000,1641000,1641000,43780000,127975000,17821000,17821000,47000,24239000,26510000,18000,18000,26528000,50767000,231150000,-153942000,77208000,77208000,127975000,-19307000,788000,4311000,-2689000,-16897000,-8045000,-8094000,-20603000,-20603000,-20603000,-17432000,32881000,-0.00928,-1.22512,-1.29821,-0.25006,-0.15087,3.47353,0.65754,0.25693,-4421.58099,-4421.58099,3405.90214,17681.74368,63.4357381211674,-0.17535,2.33714,2.23606
"2","2012_Q3",22513.3333333333,"Down",7027000,-8510000,-1483000,-14263000,-9540000,-4723000,-15746000,-431000,-450000,19000,-16177000,37588380.7200403,-16177000,-16177000,-16177000,-16177000,-16177000,38602000,38602000,1129000,1129000,2855000,1745000,1152000,44331000,69680000,3484000,3484000,73164000,117495000,20214000,20214000,422000,32794000,20280000,1524000,1524000,21804000,54598000,233016000,-170119000,62897000,62897000,117495000,-16177000,851000,2191000,5605000,-7530000,-26457000,-27055000,-38973000,-38973000,-38973000,-14895000,32438000,-0.211040000000004,-2.24079000000001,-2.30212,-0.2572,-0.13768,1.3518,0.86805,0.27608,-3672.89496,-3672.89496,1595.44,14280.4027,32.2614428727004,-0.16702,0.413829999999999,0.39146
"3","2012_Q4",10576.5774193548,"Down",562000,-6079000,-5517000,-18909000,-13508000,-5401000,-24426000,-2625000,-2624000,-1000.00000000001,-27051000,1.5e+07,-12051000,-12051000,-12051000,-12051000,-12051000,91997000,91997000,736000,736000,3798000,1725000,1229000,98256000,76836000,3270000,3270000,80106000,178362000,12647000,12647000,128715.966136844,21599000,45354000,1518000,1518000,46872000,68471000,292061000,-182170000,109891000,109891000,178362000,-12051000,898000,-13219000,1487000,-22885000,-16434000,-16394000,-39279000,-39279000,-39279000,-23528000,54306000,-9.81673,-43.46263,-21.44306,-0.10966,-0.06756,4.5491,0.62308,0.30447,-1875.98735,-1875.98735,87.48692,17106.80656,13.6307214363502,-0.07272,1.60196,1.54307
"4","2013_Q1",12737,"Up",1924000,-2811000,-887000,-12158000,-7806000,-4352000,-13045000,-2132000,-2177000,45000,-15177000,2e+06,-13177000,-13177000,-13177000,-13177000,-13177000,66744000,66744000,698000,698000,6659000,1779000,1508000,75880000,77093000,3138000,3138000,80231000,156111000,8244000,8244000,11999.9999999999,16769000,40999000,512000,512000,41511000,58280000,293178000,-195347000,97831000,97831000,156111000,-13177000,776000,-42000,-8303000,-20746000,-1496000,-1496000,71374000,71374000,71374000,-12269000,49512000,-0.461020000000001,-6.78015,-6.84875,-0.13469,-0.08441,4.52502,0.59572,0.31716,-2008.03057,-2008.03057,293.19654,14908.37356,4.54357381211674,-0.08912,1.40452,1.32097
"5","2013_Q2",11110.3125,"Down",3543000,-4503000,-960000,-11926000,-6950000,-4976000,-12886000,-3228000,-3276000,48000,-16114000,-2256000,-18370000,-18370000,-18370000,-18370000,-18370000,54102000,54102000,1036000,1036000,4432000,1713000,1705000,61283000,78132000,2805000,2805000,80937000,142220000,8977000,8977000,6000,18661000,35351000,512000,512000,35863000,54524000,301413000,-213717000,87696000,87696000,142220000,-18370000,849000,5498000,3017000,-9006000,-1997000,-1997000,-12642000,-12642000,-12642000,-12037000,45029000,-0.27096,-3.63703,-5.18487,-0.20947,-0.12917,3.28401,0.62174,0.31662,-2687.15094,-2687.15094,518.2676,12828.11045,2,-0.13787,0.75376,0.7041
"6","2013_Q3",11504.0625,"Up",1859000,-3616000,-1757000,-12107000,-6279000,-5828000,-13864000,-2269000,-2312000,43000,-16133000,911000,-15222000,-15222000,-15222000,-15222000,-15222000,40588000,40588000,498000,498000,3431000,1529000,1477000,46046000,77994000,2439000,2439000,80433000,126479000,10216000,10216000,-1839930.99101577,20279000,26146000,413000,413000,26559000,46838000,308580000,-228939000,79641000,79641000,126479000,-15222000,845000,1156000,3040000,-10181000,-761000,-761000,-13514000,-13514000,-13514000,-13019000,36209000,-0.94513,-7.45777,-8.18827,-0.19113,-0.12035,2.27062,0.58811,0.28628,-2104.09397,-2104.09397,256.96431,11008.54999,3,-0.13093,0.33635,0.31585
"7","2013_Q4",9570,"Down",1127000,-4746000,-3619000,-12144000,-6668000,-5476000,-15763000,-1709000,-1733000,24000,-17472000,1587000,-15885000,-15885000,-15885000,-15885000,-15885000,25661000,25661000,867000,867000,4196000,1364000,1269000,32088000,82697000,2344000,2344000,85041000,117129000,19218000,19218000,11000,29706000,22247000,413000,413000,22660000,52366000,309587000,-244824000,64763000,64763000,117129000,-15885000,864000,758000,1730000,-12533000,130000,130000,-8192000,-8192000,-8192000,-14899000,32724000,-3.21118,-13.98669,-14.09494,-0.24528,-0.13562,1.08019,0.80858,0.27938,-2066.66028,-2066.66028,146.62425,8425.7551,4,-0.16226,-0.47406,-0.44807
"8","2014_Q1",7887.54098360656,"Down",1695000,-5048000,-3353000,-9649000,-5651000,-3899000,-13002000,-1966000,-1980000,14000,-14968000,-2361000,-17329000,-17329000,-17329000,-17329000,-17329000,24625000,24625000,1358000,1358000,3581000,1163000,1163000,30727000,83475000,2153000,2153000,85628000,116355000,13030000,13030000,7243000,21061000,23840000,479000,479000,24319000,45380000,333128000,-262153000,70975000,70975000,116355000,-17329000,835000,4587000,-3421000,-15328000,-5172000,-5047000,-7771000,-7771000,-7771000,-12167000,24628000,-1.97817,-7.6708,-10.2236,-0.24416,-0.14893,1.45895,0.63938,0.21166,-2090.1654,-2090.1654,204.44517,8560.76459,2,-0.18036,-0.000249999999999972,-0.000230000000000008
"9","2014_Q2",5899.97142857143,"Down",903000,-4680000,-3777000,-9145000,-5040000,-4105000,-12922000,-1592000,-1601000,9000,-14514000,2542000,-11972000,-11972000,-11972000,-11972000,-11972000,8422000,8422000,1664000,1664000,3723000,1128000,1128000,14937000,83242000,2076000,2076000,85318000,100255000,9859000,9859000,5965000,17112000,22543000,468000,468000,23011000,40123000,334257000,-274125000,60132000,60132000,100255000,-11972000,826000,-9e+05,-940000,-12986000,-2869000,-2869000,-15855000,-15855000,-15855000,-12096000,23831000,-4.18272,-14.31008,-13.25803,-0.1991,-0.11942,0.8729,0.66725,0.2377,-1060.08327,-1060.08327,79.95783,5324.50108,2,-0.1418,-1.27389,-1.19246
"10","2014_Q3",3325.63125,"Down",7721000,-8269000,-548000,-8484000,-4898000,-3586000,-9032000,-2611000,-2609000,-2000,-11643000,-5513000,-17156000,-17156000,-17156000,-17156000,-17156000,5908000,5908000,3085000,3085000,4243000,935000,935000,14171000,83704000,4097000,4097000,87801000,101972000,8195000,8195000,4687000,13150000,44827000,359000,359000,45186000,58336000,334917000,-291281000,43636000,43636000,101972000,-17156000,778000,7554000,-3410000,-12234000,-968000,-3579000,-15813000,-15813000,-15813000,-8254000,45095000,-0.0709799999999996,-1.1698,-2.22199,-0.39316,-0.16824,1.07764,1.33688,0.44223,-1514.41089,-1514.41089,681.55552,3851.87886,3,-0.19257,-4.74764,-4.33868
