"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",16.3704761904762,"Down",90090000,-20380000,69710000,-49013000,-42897000,-6116000,20697000,-553000,-553000,20144000,20144000,-5214000,14930000,14930000,14930000,14930000,225551105.059073,207672576.230299,55907468.1112122,55907468.1112122,3262009.9537969,10316437.7848219,20951935.5051406,295037020.908904,33319524.5451832,66075078.3317454,45583436.2534636,-5855372.65703751,83606089.4695256,378643110.37843,78599389.9088034,11752311.7978855,66847078.1109179,25856207.8906576,25856207.8906576,104455597.799461,-13303993.9366444,-13303993.9366444,-13303993.9366444,91151603.8628166,533965384.9648,-243337275.202998,-3136603.24618835,287491506.515613,287491506.515613,378643110.37843,14930000,3644000,9075000,-9004000,18645000,-4530000,4988000,-246000,212000,6016000,6016000,-755000,5261000,24118000,24118000,-198000,23920000,24341000,0,16021000,0.77378,0.22974,0.16572,0.169403485118004,0.138757562329531,1.07307,2.65071402036226,0.290510176086599,0,0.19863,0.1924,1.19855,3.8509911741206,0.21314,0.171990349125189,0.142052710788386,-18.0164383440284,-24.2917364216718
"2","2010_Q3",17.0690625,"Up",108196000,-21178000,87018000,-50340000,-43944000,-6396000,36678000,156000,156000,36834000,45500000,-12897000,32603000,32603000,32603000,32603000,244799000,235801000,62930000,62930000,2487000,20881000,20881000,331097000,27249000,50346000,44171000,2109000,77595000,408692000,46771000,5316000,41455000,27036000,27036000,73807000,932000,932000,932000,74739000,539168000,-204966000,-249000,333953000,333953000,408692000,32603000,3711000,16701000,-10419000,42596000,-4319000,5992000,74000.0000000005,1747000,1197000,1197000,-94000,1103000,45446000,45446000,-51999.9999999999,45394000,40389000,0,38548000,0.80426,0.339,0.30133,0.09763,0.07977,1.18235,4.48598,0.2238,0,0.43065,0.41965,1.42916,4.41118,0.50918,0.09736,0.11511,-6.06103,-6.67427
"3","2010_Q4",18.7453125,"Up",95947000,-21014000,74933000,-49700000,-43108000,-6592000,25233000,-83000,-83000,25150000,21840000,-5025000,16815000,16815000,16815000,16815000,272320000,264924000,63811000,63811000,2382000,19429000,19429000,357942000,28102000,51362000,43778000,4218000,87293000,445235000,49900000,5826000,44074000,30136000,30136000,80036000,5797000,5797000,5797000,85833000,547236000,-188151000,317000,359402000,359402000,445235000,16815000,3439000,4870000,10639000,35763000,-3083000,-6248000,-1184000,-10515000,3694000,3694000,-40000,3654000,28902000,28902000,221000,29123000,28672000,0,41253000,0.78098,0.26299,0.17525,0.04679,0.03777,2.45335,4.47226,0.23882,0,0.221,0.21484,1.26102,4.72357,0.54218,0.04604,0.11296,-9.49777,-10.79222
"4","2011_Q1",20.6743548387097,"Up",92893000,-21137000,71756000,-55747000,-48854000,-6893000,16009000,-251000,-806000,15758000,14519000,-4614000,9905000,9905000,9905000,9905000,303279000,294664000,65430000,65430000,2544000,17358000,17358000,388611000,30684000,48559000,42439000,3454000,88332000,476943000,59126000,7768000,51358000,33848000,33848000,92974000,6222000,6222000,6222000,99196000,555859000,-178246000,134000,377747000,377747000,476943000,9905000,3392000,-149000,19377000,32525000,-6099000,-2476000,1211000,-7364000,914999.999999999,915000,3774000,4689000,29850000,29850000,-110000,29740000,19401000,0,37293000,0.77246,0.17234,0.10663,0.02622,0.02077,3.76507,4.17978,0.2626,0,0.12975,0.12576,1.21682,4.94815,0.48851,0.0258,0.09713,-15.63213,-18.94428
"5","2011_Q2",23.0542857142857,"Up",104856000,-22630000,82226000,-61203000,-51813000,-9390000,21023000,89000,89000,21112000,21112000,-5271000,15841000,15841000,15841000,15841000,316936000,308608000,73904000,73904000,2867000,24234000,16243000,417941000,30722000,42704000,38024000,2714000,79041000,496982000,50795000,6594000,44201000,37199000,37199000,87994000,6883000,6883000,6883000,94877000,563886000,-162405000,624000,402105000,402105000,496982000,15841000,3679000,8100000,-10372000,17248000,-2825000,3767000,-8168000,-7226000,5068000,5068000,-1319000,3749000,13771000,13771000,173000,13944000,24702000,0,16776000,0.78418,0.20049,0.15107,0.0394,0.03187,1.05902,4.74965,0.23595,0,0.20614,0.19961,1.36453,5.23274,0.21831,0.03873,0.04102,-12.83038,-15.07568
"6","2011_Q3",19.40265625,"Down",120086000,-28949000,91137000,-73950000,-64680000,-9270000,17187000,-306000,-306000,16881000,16289000,-5127000,11162000,11162000,11162000,11162000,175362000,168607000,82130000,82130000,6272000,22809000,22809000,286573000,37122000,219242000,28546000,2815000,260476000,547049000,66427000,10407000,56020000,43024000,43024000,109451000,7816000,7816000,7816000,117267000,580282000,-151243000,743000,429782000,429782000,547049000,11162000,4605000,8962000,4967000,29696000,-5697000,3092000,8574000,-180980000,11480000,11480000,-101000,11379000,-139905000,-139905000,-95999.9999999999,-140001000,21792000,0,26189000,0.75893,0.14312,0.09295,0.02597,0.0204,2.34626,2.61828,0.27285,0,0.14331,0.13875,1.54178,5.51795,0.33624,0.02551,0.05985,-8.04708,-10.20318
"7","2011_Q4",21.3634920634921,"Up",125894000,-33524000,92370000,-65190000,-56264000,-8926000,27180000,-118000,-118000,27062000,26194000,-6930000,19264000,19264000,19264000,19264000,210414000,202229000,86648000,86648000,8278000,21794000,21794000,327134000,46388000,211721000,22945000,2754000,258786000,585920000,72419000,14138000,58281000,47768000,47768000,120187000,8857000,8857000,8857000,129044000,588509000,-131979000,346000,456876000,456876000,585920000,19264000,4823000,4506000,6954000,35547000,-12507000,1983000,-596000,-11091000,3334000,3334000,5927000,9261000,33717000,33717000,-95000,33622000,32003000,0,33380000,0.73371,0.2159,0.15302,0.04216,0.03288,1.73277,2.72188,0.28245,0,0.24554,0.24,1.60467,5.82341,0.42547,0.04136,0.07167,-6.57482,-7.7415
"8","2012_Q1",25.8508064516129,"Up",128905000,-33355000,95550000,-70580000,-61012000,-9568000,24970000,-84000,-84000,24886000,26346000,-5897000,20449000,20449000,20449000,20449000,248070000,240675000,91537000,91537000,9402000,35807000,31781000,384816000,53965000,210483000,22337000,2741000,264448000,649264000,95865000,19265000,76600000,52252000,52252000,148117000,10366000,10366000,10366000,158483000,607248000,-116513000,46000,490781000,490781000,649264000,20449000,4370000,-5380000,28539000,47978000,-9375000,1475000,-3741000,-12309000,-2135000,5619000,4987000,2852000,38521000,38521000,-75000,38446000,29340000,0,54401000,0.74124,0.19371,0.15864,0.04167,0.0315,2.66033,2.59805,0.32292,0,0.25962,0.25213,1.63658,6.23095,0.69067,0.0408,0.10855,-8.45501,-9.93472
"9","2012_Q2",30.5942857142857,"Up",135079000,-34319000,100760000,-72754000,-62228000,-10526000,28006000,-812000,-812000,27194000,27194000,-6210000,20984000,20984000,20984000,20984000,240379000,224361000,94441000,94441000,13434000,37242000,33219000,385496000,62912000,205224000,17612000,2909000,284940000,670436000,81178000,14640000,66538000,54650000,54650000,135828000,11586000,11586000,11586000,147414000,619999000,-97170000,193000,523022000,523022000,670436000,20984000,3899000,1479000,-18981000,7381000,-12559000,-25439000,3000,-37995000,7656000,10180000,6635000,14291000,-16323000,-16323000,9000,-16314000,31905000,0,6575000,0.74593,0.20733,0.15535,0.04012,0.0313,0.31333,2.83812,0.28185,0,0.26483,0.25635,1.70479,6.6009,0.08298,0.03925,0.0123,-7.53421,-8.58313
"10","2012_Q3",34.8225396825397,"Up",145626000,-36826000,108800000,-72788000,-62108000,-10680000,36012000,541000,541000,36553000,36553000,-8061000,28492000,28492000,28492000,28492000,283551000,262799000,102149000,102149000,14623000,34812000,33634000,435135000,72207000,216346000,29853000,2765000,309028000,744163000,84433000,15226000,69207000,59403000,59403000,143836000,14032000,14032000,14032000,157868000,655315000,-68680000,-340000,586295000,586295000,744163000,28492000,4252000,1530000,1100000,35374000,-13219000,-8416000,2720000,-18915000,13509000,13509000,8483000,21992000,38451000,38451000,-13000,38438000,40264000,0,36206000,0.74712,0.24729,0.19565,0.0486,0.03829,1.27074,3.02522,0.26926,0,0.35444,0.34347,1.81161,7.29359,0.45041,0.04746,0.06031,-7.0423,-7.87379
