"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2017_Q3",7.01301587301587,"Up",138810000,-97881000,40929000,-42168000,-42168000,-1239000,197000,-1042000,-1042000,446000,-596000,-596000,-596000,-596000,109631000,43567000,66064000,6829000,75033000,9391000,9391000,200884000,89130000,6843000,6843000,95973000,296857000,78660000,41729000,36931000,9277000,9277000,94159000,0,0,33080000,127239000,139508000,30008000,102000,169618000,169618000,296857000,-596000,6075000,744000,1684000,7907000,-3971000,-13020000,-16991000,-162000,-9246000,-9246000,-9246000,4836000,39302000,2103000,0.29486,-0.00893,-0.00429,-0.00351,-0.00201,-3.52852,2.13346,0.75015,0.13239,-0.02073,-0.02073,4.82801,5.89955,0.07315,-0.00285,0.01007,-14.5428,56.76271
"22","2017_Q4",9.0247619047619,"Up",152824000,-102730000,50094000,-35982000,-35982000,14112000,375000,14487000,14487000,-5730000,8757000,8757000,8757000,8757000,121873000,38912000,82961000,3647000,62242000,9759000,9759000,197521000,87576000,7805000,7805000,95381000,292902000,65188000,27329000,37859000,8335000,8335000,79440000,0,0,34332000,113772000,140269000,38765000,96000,179130000,179130000,292902000,8757000,5740000,55000,265000,14817000,-2762000,-16662000,-19424000,-48000.0000000019,-4655000,-4655000,-4655000,19852000,40249000,23085000,0.32779,0.09234,0.0573,0.04889,0.0299,2.63618000000001,2.48642,0.63514,0.13741,0.30425,0.2978,5.30971,6.22368,0.80206,0.03992,0.10523,-4.11163,-5.78401
"23","2018_Q1",9.44245901639344,"Up",164318000,-112876000,51442000,-4e+07,-4e+07,11442000,413000,11855000,11855000,-5155000,6700000,6700000,6700000,6700000,135952000,53202000,82750000,4352000,53216000,9534000,9534000,203054000,83321000,3736000,3736000,87057000,290111000,79532000,21615000,28850000,10879000,10879000,95631000,2715000,2715000,34055000,129686000,144013000,16398000,14000,160425000,160425000,290111000,6700000,5745000,4515000,-1937000,15023000,-4037000,353000,-3684000,2951000,14290000,14290000,14290000,17187000,36560000,16368000,0.31306,0.06963,0.04077,0.04176,0.02309,2.44299,2.12331,0.80839,0.12602,0.23121,0.22763,5.67044,5.5361,0.56484,0.03355,0.08196,-5.78298,-8.68659
"24","2018_Q2",9.19375,"Down",123634000,-88657000,34977000,-33646000,-33646000,1331000,383000,1714000,1714000,-491000,1223000,1223000,1223000,1223000,104989000,41190000,63799000,4955000,56837000,9266000,9266000,176047000,80542000,3277000,3277000,83819000,259866000,49831000,19504000,30327000,7622000,7622000,62775000,2476000,2476000,33333000,96108000,144579000,19068000,111000,163758000,163758000,259866000,1223000,5815000,373000,-6741000,669999.999999998,-2946000,19345000,16399000,-29081000,-12012000,-12012000,-12012000,7146000,36179000,-2050000,0.28291,0.01077,0.00989,0.00746999999999999,0.00471,-1.67621,2.80441,0.58689,0.13922,0.04206,0.04154,4.25151,5.63129,-0.0705,0.14964,-0.01013,-9.62916,-51.69797
"25","2018_Q3",12.4320634920635,"Up",157406000,-107300000,50106000,-37629000,-37629000,12477000,490000,12967000,12967000,-3279000,9688000,9688000,9688000,9688000,124226000,45638000,78588000,11182000,74815000,9062000,9062000,219285000,78906000,3391000,3391000,82297000,301582000,79699000,42786000,36913000,7193000,7193000,92760000,2236000,2236000,33475000,126235000,146505000,28756000,86000,175347000,175347000,301582000,9688000,5688000,755000,5149000,21280000,-3722000,-14489000,-18211000,1379000,4448000,4448000,4448000,18165000,37107000,22871000,0.31832,0.07927,0.06155,0.05525,0.03212,2.36076,2.364,0.71992,0.12304,0.33167,0.32624,5.38877,6.00298,0.78299,0.04513,0.10653,-4.79598,-6.98237
"26","2018_Q4",10.7347619047619,"Down",146826000,-103170000,43656000,-36918000,-36918000,6738000,584000,7322000,7322000,-1967000,5355000,5355000,5355000,5355000,120517000,24751000,95766000,7633000,71488000,10707000,10707000,210345000,78679000,3667000,3667000,82346000,292691000,62937000,34352000,28585000,7172000,7172000,75575000,1997000,1997000,33621000,109196000,149170000,34111000,214000,183495000,183495000,292691000,5355000,5463000,-70999.9999999998,-13418000,-2671000.00000001,-3726000,-16620000,-20346000,2130000,-20887000,-20887000,-20887000,12201000,37090000,-2976000.00000001,0.29733,0.04589,0.03647,0.02918,0.0183,-0.55574,2.78326,0.59509,0.12672,0.18231,0.17788,4.99867,6.24706,-0.10132,0.02406,-0.01337,-6.83772,-12.38157
"27","2019_Q1",8.93524590163934,"Down",170612000,-118455000,52157000,-41223000,-41223000,10934000,856000,11790000,11790000,-3113000,8677000,8677000,8677000,8677000,144079000,68160000,75919000,6082000,55809000,11171000,11171000,217141000,73842000,2185000,2185000,76027000,293168000,81346000,24207000,27686000,10373000,10373000,97259000,1757000,1757000,32582000,129841000,149766000,13335000,226000,163327000,163327000,293168000,8677000,5519000,1372000,11896000,27464000,-4526000,20425000,15899000,46000,43409000,43409000,43409000,16453000,36365000,26936000,0.30571,0.06409,0.05086,0.05313,0.0296,3.1043,2.23261,0.79498,0.12404,0.29464,0.29084,5.79347,5.5461,0.91467,0.04307,0.13371,-6.54677,-9.85129
"28","2019_Q2",7.94063492063492,"Down",130303000,-94619000,35684000,-35538000,-35538000,145999.999999996,829000,974999.999999998,974999.999999998,-298000,677000,677000,677000,677000,109817000,33864000,75953000,6288000,58963000,5294000,5294000,180362000,70608000,246315000,246315000,316923000,497285000,47542000,23479000,24063000,61705000,9105000,109247000,1422000,1422000,223508000,332755000,150361000,14012000,157000,164530000,164530000,497285000,677000,5209000,-140000,-8024000,-2278000,-3059000,428000.000000004,-2631000,-29387000,-34296000,-34296000,-34296000,5355000,222086000,-5429999.99999999,0.27385,0.00112,0.00519999999999999,0.00411,0.00136,-8.02068,1.65096,2.02246,0.4466,0.0229699999999999,0.02271,4.4217,5.58316,-0.18426,0.07765,-0.01399,20.96527,768.96575
"29","2019_Q3",6.92390625,"Down",161738000,-110019000,51719000,-39609000,-39609000,12110000,572000,12682000,12682000,-3398000,9284000,9284000,9284000,9284000,124801000,62388000,62413000,11758000,72635000,4845000,4845000,214039000,68010000,258242000,258242000,326252000,540291000,68719000,39475000,29244000,62074000,8330000,130793000,1182000,1182000,235058000,365851000,150907000,23296000,237000,174440000,174440000,540291000,9284000,5077000,294000,1708000,16363000,-1789000,13950000,12161000,0,28524000,28524000,28524000,17187000,233876000,20504000,0.31977,0.07487,0.0574,0.05322,0.01718,2.20853,1.63647,2.09729,0.43287,0.31466,0.31291,5.48171,5.91222,0.69493,0.02267,0.05007,6.34637,9.00702
"30","2019_Q4",8.295,"Up",154780000,-107609000,47171000,-39467000,-39467000,7704000,911000,8615000,8615000,-2227000,6388000,6388000,6388000,6388000,130072000,67596000,62476000,9060000,70337000,6499000,6499000,215968000,70568000,258297000,258297000,328865000,544833000,64430000,37461000,26969000,63033000,8521000,127463000,235827000,235827000,235827000,363290000,151741000,29684000,118000,181543000,181543000,544833000,6388000,5044000,217000,-1230000,10419000,-5788000,316000,-5472000,261000,5208000,5208000,5208000,12748000,-2.98023223876953e-08,7957000,0.30476,0.04977,0.04127,0.03519,0.01172,1.24562,1.69436,2.00112,0,0.21633,0.21467,5.24163,6.14796,0.26946,0.01531,0.01906,-10.20333,-16.8836999999999
