"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",12.2226984126984,"Up",119971000,-78215000,41756000,-31117000,-29489000,10639000,-1813000,-1813000,8826000,-9355000,-529000,155000,-374000,-374000,-374000,-374000,60215000,60215000,80038000,80038000,65381000,79020000,58894000,284654000,88097000,616513000,163706000,387305000,704610000,989264000,134237000,36771000,97466000,10151000,146898000,8e+07,569139000,438362000,649139000,796037000,403859000,-92232000,-118400000,193227000,193227000,989264000,-374000,3735000,-1268000,13996000,16089000,-2486000,-2509000,-2509000,-2486000,-1306000,26000,26000,-1280000,12323000,12323000,-2071000,10252000,14374000,90151000,25729000,0.34805,0.08868,-0.00312,-0.00194,-0.00038,-68.79412,1.93777,4.1197,0.09113,-0.00862,-0.00856,2.76495,4.45327,0.59297,3,-0.00044,0.03018,2.08265,2.8138
"2","2010_Q3",12.60984375,"Up",122968000,-79987000,42981000,-29933000,-28413000,13048000,-1718000,-1718000,11330000,-8120000,3210000,-1122000,2088000,2088000,2088000,2088000,62974000,62974000,72587000,72587000,56332000,88423000,67764000,280316000,83838000,601782000,158045000,378122000,685620000,965936000,132791000,36177000,96614000,1e+07,143923000,77500000,559928000,440206000,637428000,781351000,405357000,-90194000,-130578000,184585000,184585000,965936000,2088000,3575000,-577000,6260000,11346000,-2940000,-2917000,-2917000,-2940000,-2649000,715000,906000,-1934000,6472000,6472000,-3713000,2759000,16623000,87500000,21065000,0.34953,0.10611,0.01698,0.01131,0.00216,10.0886,1.94768,4.23301,0.09059,0.04812,0.04782,2.83403,4.2541,0.48548,5,0.00251,0.02532,1.47543,1.87968
"3","2010_Q4",16.84828125,"Up",132397000,-85300000,47097000,-31510000,-29927000,15587000,-1544000,-1544000,14043000,-6982000,7061000,-1210000,5851000,5851000,5851000,5851000,42778000,42778000,92595000,92595000,58502000,91018000,68844000,284893000,91010000,628302000,173112000,370060000,719312000,1004205000,152576000,42266000,110310000,1e+07,166109000,7.5e+07,537045000,429106000,612045000,778154000,405571000,-68708000,-110812000,226051000,226051000,1004205000,5851000,3932000,-152000,-1766000,7865000,-3859000,-3859000,-3859000,-30870000,-2498000,63000,63000,-2435000,-25440000,-25440000,5244000,-20196000,19519000,8.5e+07,15104000,0.35573,0.11773,0.04419,0.02588,0.00583,2.58144,1.7151,3.44238,0.08464,0.13485,0.13399,3.05133,5.20976,0.3481,5,0.0069,0.01781,2.16312,2.7088
"4","2011_Q1",20.2758064516129,"Up",166651000,-107077000,59574000,-40947000,-45678000,18627000,-1609000,-1609000,17018000,928000.000000001,17946000,-9296000,8650000,8650000,8650000,8650000,60542000,60542000,98070000,98070000,57941000,104503000,86544000,321056000,89246000,611775000,172338000,358754000,701021000,1022077000,158087000,50896000,107191000,1e+07,191510000,72500000,541696000,415910000,614196000,805706000,406944000,-60058000,-130515000,216371000,216371000,1022077000,8650000,5565000,4838000,7612000,26665000,-3168000,-3242000,-3242000,-4117000,-2502000,108000,-82999.9999999998,-2394000,20154000,20154000,-2390000,17764000,24192000,82500000,37932000,0.35748,0.11177,0.0519,0.03998,0.00846,4.3852,1.67645,3.72372,0.08072,0.19936,0.19809,3.84078,4.98667,0.87421,6,0.01029,0.04513,0.90766,1.17883
"5","2011_Q2",22.2828571428571,"Up",158558000,-105304000,53254000,-37879000,-37879000,15375000,-1827000,-1827000,13548000,-4043000,9505000,-2950000,6555000,6555000,6555000,6555000,45460000,45460000,107213000,107213000,76658000,104697000,86730000,334028000,93192000,635069000,187248000,356646000,728261000,1062289000,169696000,58238000,111458000,1e+07,207659000,73800000,543048000,411894000,616848000,824507000,409785000,-53503000,-118500000,237782000,237782000,1062289000,6555000,5527000,466000,-7836000,4712000,-3036000,-3036000,-3036000,-25335000,1300000,1125000,1125000,2425000,-18198000,-18198000,3116000,-15082000,20902000,83800000,12980000,0.33586,0.09697,0.04134,0.02757,0.00617,1.98017,1.60854,3.46749,0.07889,0.15107,0.15011,3.65426,5.48013,0.29915,5,0.00758,0.01501,1.83427,2.49366
"6","2011_Q3",24.2578125,"Up",186749000,-122075000,64674000,-44423000,-44423000,20251000,-1462000,-1462000,18789000,-3544000,15245000,-4855000,10390000,10390000,10390000,10390000,64215000,64215000,103314000,103314000,78556000,96384000,80020000,342469000,94423000,626693000,189046000,349462000,721116000,1063585000,165582000,57334000,108248000,1e+07,205233000,70500000,533556000,404298000,604056000,809289000,411730000,-43113000,-114321000,254296000,254296000,1063585000,10390000,7033000,1067000,5218000,23708000,-3341000,-3341000,-3341000,-3341000,-3300000.00000001,645999.999999996,646000.000000004,-2654000.00000001,17713000,17713000,1042000,18755000,27284000,80500000,34016000,0.34632,0.10844,0.05564,0.04086,0.00977,3.27392,1.66868,3.18247,0.07569,0.23854,0.23505,4.28749,5.83828,0.78096,6,0.01197,0.03917,0.59687,0.80416
"7","2011_Q4",26.4222222222222,"Up",170294000,-109667000,60627000,-41074000,-41074000,19553000,-1218000,-1218000,18335000,-14113000,4222000,-532000,3690000,3690000,3690000,3690000,64447000,64447000,104789000,104789000,79183000,96540000,78020000,344959000,91413000,602515000,184119000,337170000,693928000,1038887000,181993000,53865000,128128000,1e+07,212027000,6.5e+07,516364000,393408000,581364000,793391000,413057000,-39423000,-128138000,245496000,245496000,1038887000,3690000,5606000,4545000,-583000,13258000,-4340000,-4340000,-4340000,-4340000,-5500000,424000,424000,-5076000,3842000,3842000,-3610000,232000,25159000,7.5e+07,20768000,0.35601,0.11482,0.02167,0.01503,0.00355,5.62818,1.62696,3.23179,0.07219,0.08447,0.08294,3.89843,5.61998,0.47543,6,0.00441,0.02482,0.41945,0.53971
"8","2012_Q1",33.4001612903226,"Up",177791000,-116247000,61544000,-39385000,-39385000,22159000,-1412000,-1412000,20747000,-29732000,-8985000,-7095000,-16080000,-16080000,-16080000,-16080000,75108000,75108000,117475000,117475000,56136000,102489000,102489000,351208000,90939000,646396000,204844000,400523000,737335000,1088543000,230042000,54035000,176007000,1e+07,240042000,101518000,557708000,557708000,659226000,899268000,415571000,-55503000,-170793000,189275000,189275000,1088543000,-16080000,4432000,18989000,8134000,15475000,-2907000,-2907000,-2907000,-36953999.9999999,36523000,1524000,1524000.00000006,38047000,16568000,16568000,-5907000,10661000,26591000,111518000,38913000,0.34616,0.12464,-0.09044,-0.08496,-0.01477,-2.41996,1.46311,4.75112,0.10245,-0.3676,-0.36401,4.06438,4.32691,0.88957,3,-0.01873,0.04533,1.36926,1.64312
"9","2012_Q2",30.5631746031746,"Down",886366000,-644660000,241706000,-212056000,-212056000,29650000,-18982000,-18982000,10668000,-53781000,-43113000,-57348000,-100461000,-100461000,-105598000,-109332000,579930000,579930000,873802000,873802000,555386000,329434000,329434000,2338552000,681630000,3109899000,1870437000,470852000,3791529000,6130081000,1171328000,635807000,535521000,29338000,1200666000,1695793000,1013944000,1013944000,2709737000,3910403000,2185379000,-164835000,-53215000,1967343000,2219678000,6130081000,-100461000,61804000,50251000,-120872000,-109278000,-18898000,-18898000,-18898000,-1672654000,1202156000,1086264000,1086264000,2281745000,499813000,499813000,5009000,504822000,91454000,1725131000,9032000,0.27269,0.03345,-0.12335,-0.04926,-0.01784,-0.08261,1.94771,1.7617,0.28142,-1.33449,-1.33449,10.81888,24.01298,0.11024,3,-0.02163,0.00182,12.52215,38.62398
"10","2012_Q3",31.4471428571429,"Up",1045653000,-730791000,314862000,-231992000,-231992000,82870000,-25741000,-25741000,57129000,-22564000,34565000,-15933000,18632000,18632000,12366000,7293000,538956000,538956000,904760000,904760000,530352000,321815000,321815000,2295883000,6.51e+08,3057985000,1853558000,469667000,3708985000,6004868000,1204168000,660663000,543505000,32737000,1236905000,1657964000,1006054000,1006054000,2664018000,3900923000,2187592000,-157542000,-147107000,1882957000,2103945000,6004868000,18632000,43223000,303000,16069000,78227000,-22114000,-22114000,-22114000,-30007999.9999995,-27710999.9999998,691000,691000.000000238,-66478000,-18258999.9999999,-18258999.9999999,-22715000,-40973999.9999999,126093000,1690701000,135981000,0.30112,0.07925,0.00696999999999999,0.00347,0.00121,18.64541,1.85615,1.8541,0.28156,0.0775699999999999,0.0775699999999997,11.12159,20.02703,1.4463,5,0.0026,0.02833,9.13409,13.89821
