"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_income_loss","non_operating_income_loss","other_investment_income_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",24.35015625,"Up",16279000,-4250000,12029000,12029000,894000,246000,647000,8000,12923000,12923000,-5071000,7852000,7852000,-2000,7850000,7850000,43259645.0013807,6787160.64301328,36472484.3583674,36418416.8553901,36418416.8553901,-4939691.80435564,3909660.05694115,5777764.04232976,78648030.1093563,118314184.325711,78789408.8763697,47889062.8506674,30872231.3489775,197103581.305732,275751611.415089,5264065.97382953,2923627.97488745,6983502.76927525,31875.381974849,-3329578.65383531,-3329578.24296696,1966362.70196907,300649.747518446,-305960.083579635,1596697.30167143,-1168.79521779995,-5310.33606118709,1961052.36590788,199415551.811695,33462570.2076638,894389.618859462,233772511.638218,40018047.4109622,273790559.049181,275751611.415089,7852000,716000,-5843000,-3618000,-893000,-3887000,-13831000,13537000,-4181000,-8000,-243000,-47000,-5121000,-5121000,-5121000,12745000,0,10311000,0.73893,0.73893,0.48222,0.0155603649847177,0.0150957465486966,1.3135,29.8442862928066,0.00929675826221782,0.00123026147994528,0.42396,0.4227,0.87919,13.5042600823547,0.55687,0.0155335760671771,0.0563836708954459,-463.891355207359,-679.62238238645
"2","2011_Q1",28.8961290322581,"Up",10883000,-12797000,-1914000,-1914000,247000,271000,-119000,27000,-1667000,-1667000,381000,-1286000,-1286000,93000,-1193000,-1193000,71012000,22027000,48985000,9812000,9812000,2982000,5011000,5011000,88817000,117275000,81999000,48302000,29712000,199274000,288091000,3521000,2187000,1334000,35000,601000,601000,4157000,290000,6992000,2277000,3196000,7282000,11439000,193690000,45215000,-2191000,236714000,39938000,276652000,288091000,-1286000,273000,-510999.999999996,4878000,3354000,-3917000,-20410000,563999.999999998,-23763000,-8000,-109000,-126000,-20535000,-20535000,-20535000,-1641000,325000,-1061000,-0.17587,-0.17587,-0.10962,-0.00431,-0.00414,0.88935,21.36565,0.04135,0.00113,-0.0644299999999999,-0.0642400000000001,0.58776,12.78432,-0.0573000000000006,-0.0042,-0.00374,43.07556,36.93156
"3","2011_Q2",34.9895238095238,"Up",22646000,-9172000,13474000,13474000,-119000,296000,-442000,27000,13355000,13355000,-4660000,8695000,8695000,41000,8736000,8736000,82548784.9995398,24478029.7856622,58070755.2138775,1773027.71486997,1773027.71486997,6373980.60145188,4446363.31435295,4098411.98589008,95142156.6302146,118696855.224763,83023530.3745434,48813229.0497775,29434006.2170075,201720389.564756,296862546.19497,3824811.34205682,2130207.34170418,-249917.589758417,36041.539341717,2247692.88461177,2247692.74765565,6108545.76601031,280200.084160518,8403903.36119321,2392517.56610952,3880056.2650726,8684103.44535373,14792649.211364,193993899.396102,50913309.9307787,-2735379.87295315,242171829.453927,39898067.5296793,282069896.983606,296862546.19497,8695000,946000,-14216000,8387000,3812000,13148000,-8752000,-829000,3567000,-9000,-812000,353000,7732000,7732000,7732000,14420000,0,40615000,0.59498,0.59498,0.38576,-0.00807178832823924,-0.00776108218289886,4.64915,15.9085512357311,0.0521560805792607,0.00106074617335157,0.47181,0.4704,1.22305,12.5175408058818,2.19351,-0.00793619202239237,-0.0240787236318153,175.758174235786,244.023323295483
"4","2011_Q3",28.915,"Down",5872000,-7679000,-1807000,-1807000,759000,314000,412000,33000,-1048000,-1048000,392000.000000001,-656000,-656000,18000,-638000,-638000,84039000,19747000,64292000,4439000,4439000,6706000,3394000,3394000,98578000,121677000,83478000,49750000,29579000,205155000,303733000,5198000,2463000,554000,36000,2468000,2468000,7702000,271000,7093000,2248000,3421000,7364000,15066000,197663000,53313000,-2188000,248788000,39879000,288667000,303733000,-656000,915000,939000,-1458000,-259999.999999999,-3158000,-7020000,-7e+05,-10878000,-10000,0,1126000,-10012000,-10012000,-10012000,-891999.999999998,307000,-5900000.00000001,-0.30773,-0.30773,-0.10865,-0.00221,-0.0021,9.24765,12.79901,0.05219,0.00101,-0.03221,-0.0321299999999999,0.29648,12.56122,-0.29789,-0.00215,-0.01993,93.8699599999999,46.3375800000001
"5","2011_Q4",24.6488888888889,"Down",14765000,-11730000,3035000,3035000,947000,317000,613000,17000,3982000,3982000,-1442000,2540000,2540000,18000,2558000,2558000,83670000,16143000,67527000,8971000,8971000,5267000,3361000,3361000,101269000,125211000,85216000,51321000,29588000,210427000,311696000,6949000,3030000,1847000,36000,2144000,2144000,9129000,262000,7033000,2248000,3534000,7295000,16424000,201966000,55871000,-2426000,255411000,39861000,295272000,311696000,2540000,1205000,736000,-2290000,2191000,-3749000,-3684000,-1285000,-8718000,-9000,0,2923000,-3604000,-3604000,-3604000,4240000,298000,-357000,0.20555,0.20555,0.17325,0.00866,0.00821,-0.13956,11.09311,0.05562,0.00096,0.12806,0.12801,0.73917,12.78654,-0.01787,0.00845,-0.00118,-19.66321,-27.47018
"6","2012_Q1",28.3698387096774,"Up",19815000,-13643000,6172000,6172000,687000,333000,333000,21000,6859000,6859000,-1657000,5202000,5202000,36000,5238000,5238000,86938000,18372000,68566000,7832000,7832000,3587000,5416000,4317000,103773000,128430000,89773000,53893000,29035000,218203000,321976000,8005000,3496000,2025000,37000,2125000,2125000,10167000,253000,11117000,2664000,5474000,11370000,21537000,204261000,61109000,-4756000,260614000,39825000,300439000,321976000,5202000,563000,-2470000,446000,3741000,-4140000,-849000,2850000,-2139000,-7000,0,627000,2229000,2229000,2229000,6735000,290000,4698000,0.31148,0.31148,0.26435,0.01743,0.01627,0.896910000000002,10.20685,0.07169,9e-04,0.26221,0.26023,0.99193,13.04617,0.23518,0.0168,0.01507,-12.86533,-14.03889
"7","2012_Q2",27.8869841269841,"Down",9579000,-9555000,24000,24000,-19000,318000,-359000,24000,5000,5000,228000,233000,233000,42000,275000,275000,75508000,1945000,73563000,7112000,7112000,5339000,5825000,4836000,93784000,132108000,93542000,57392000,29305000,225650000,319434000,5011000,2570000,2441000,38000,2250000,2250000,7299000,243000,10808000,2414000,5588000,11051000,18350000,204508000,61384000,-4591000,261301000,39783000,301084000,319434000,233000,875000,1593000,-5750000,-3049000,-3654000,-4982000,-3732000,-12368000,-9000,-1124000,-1010000,-16427000,-16427000,-16427000,899000,281000,-8733000,0.00251,0.00251,0.02871,0.00091,0.00086,-31.75636,12.84888,0.06095,0.00088,0.01376,0.01373,0.47918,13.07122,-0.43686,0.00088,-0.02797,-83.67853,-3134.45833
"8","2012_Q3",28.2487301587302,"Up",7849000,-8763000,-914000,-914000,1188000,317000,893000,11000,274000,273999.999999999,-164000,110000,110000,8000,118000,118000,74784000,5749000,69035000,3220000,3220000,8012000,5667000,4678000,91683000,135965000,92452000,55112000,30493000,228417000,320100000,5090000,3495000,1595000,39000,1451000,1451000,6580000,232000,10666000,2248000,5699000,10898000,17478000,205939000,61502000,-4594000,262847000,39775000,302622000,320100000,110000,1678000,4467000,1587000,7842000,-5756000,4249000,-1375000,-2882000,-10000,-1146000,-1156000,3804000,3804000,3804000,764000,271000,-3241000,-0.11645,-0.11645,0.01503,0.00039,0.000369999999999999,-27.4661,13.93359,0.05776,0.00085,0.00588999999999998,0.00586000000000001,0.39193,13.12506,-0.16184,0.00038,-0.01034,-97.5301,81.5240699999999
"9","2012_Q4",28.1340322580645,"Down",16114000,-12112000,4002000,4002000,1475000,313000,1114000,15000,5477000,5477000,-1525000,3952000,3952000,69000,4021000,4021000,75044000,7208000,67836000,11223000,11223000,6178000,5093000,4187000,97538000,140086000,90122000,52885000,30398000,230208000,327746000,7789000,4273000,2336000,39000,1644000,1644000,9472000,223000,10666000,2248000,5812000,10889000,20361000,206614000,65523000,-4458000,267679000,39706000,307385000,327746000,3952000,1103000,4021000,-2383000,6693000,-6367000,1168000,-61000,-5260000,-9000,0,26000,1459000,1459000,1459000,5105000,262000,-2120000,0.24836,0.24836,0.24953,0.01308,0.01227,-0.52723,10.29751,0.06624,8e-04,0.20031,0.20005,0.80272,13.33446,-0.10561,0.01263,-0.00666,-14.64878,-18.68616
"10","2013_Q1",30.0616666666667,"Up",13547000,-13531000,16000,16000,1234000,294000,887000,63000,1250000,1250000,-1262000,-11999.9999999995,-11999.9999999995,39000,27000,27000,72268000,7219000,65049000,8768000,8768000,3839000,5878000,4881000,90753000,146590000,90513000,54022000,31115000,237103000,327856000,5977000,3845000,2132000,41000,1195000,1195000,7213000,212000,12172000,2248000,6508000,12384000,19597000,208160000,65550000,-5118000,268592000,39667000,308259000,327856000,-11999.9999999995,1298000,3087000,-1767000,2606000,-4892000,1593000,536000,-2763000,-11000,-33000.0000000001,168000,11000.0000000009,11000.0000000009,11000.0000000009,1314000,253000,-4083000,0.00118000000000004,0.00118000000000004,0.00198999999999994,8.99999999999998e-05,8.00000000000002e-05,-151.22222,12.58187,0.06357,0.00077,0.00134000000000001,0.00134000000000001,0.67451,13.37323,-0.20329,8.0000000000002e-05,-0.01273,-54.80594,-4500.9375
"11","2013_Q2",29.1725,"Down",9760000,-9670000,90000,90000,687000,275000,409000,3000,777000,777000,-147000,630000,630000,-15000,615000,615000,70188000,4283000,65905000,5486000,5486000,5685000,5675000,4661000,87034000,151781000,91757000,55331000,31050000,243538000,330572000,7514000,3745000,3769000,42000,1353000,1353000,8909000,202000,12472000,2248000,6970000,12674000,21583000,208286000,66165000,-5144000,269307000,39682000,308989000,330572000,630000,923000,614000,1400000,3567000,-3718000,-1252000,-890000,-5860000,-9000,-845000,-643000,-2936000,-2936000,-2936000,1013000,244000,-1158000,0.00922,0.00922,0.06301,0.00199,0.00186,-1.88293,9.76922,0.06985,0.00074,0.0306,0.03057,0.48557,13.39828,-0.05761,0.00191,-0.0036,-69.0464,-777.15556
"12","2013_Q3",31.93703125,"Up",7475000,-6308000,1167000,1167000,1522000,238000,1270000,14000,2689000,2689000,-686000,2003000,2003000,81000,2084000,2084000,75394000,10478000,64916000,4297000,4297000,9586000,5262000,4084000,94539000,140013000,95321000,59235000,30710000,235334000,329873000,6699000,3316000,3282000,42000,754000,754000,7495000,191000,12560000,2248000,7220000,12751000,20246000,207166000,68249000,-5389000,270026000,39601000,309627000,329873000,2003000,844000,-2077000,-1705000,-934999.999999999,-6935000,37000.0000000005,14039000,7141000,-11000,0,-11000,6195000,6195000,6195000,2011000,233000,-5943000,0.15612,0.15612,0.2788,0.00673,0.00632,-2.85173000000002,12.61361,0.06539,0.00071,0.1035,0.1034,0.37122,13.40999,-0.29514,0.00646,-0.01843,-37.37494,-64.40531
"13","2013_Q4",34.1821875,"Up",15128000,-13383000,1745000,1745000,1477000,216000,1241000,20000,3222000,3222000,-919000,2303000,2303000,-11000,2292000,2292000,73569000,9082000,64487000,10341000,10341000,6555000,4978000,3798000,95443000,143284000,99666000,6.2e+07,32500000,242950000,338393000,6942000,1855000,4252000,231000,1147000,1147000,8320000,4519000,12559000,2248000,7382000,17078000,25398000,215102000,63611000,-5330000,273383000,39612000,312995000,338393000,2303000,1069000,273000,-1252000,2393000,-5136000,-1573000,-1597000,-8306000,-233000,0,4517000,-1396000,-1396000,-1396000,2814000,4750000,-2655000,0.11535,0.11535,0.15151,0.00732,0.00677,-1.15838,11.47151,0.08115,0.01404,0.1138,0.1133,0.75112,13.57381,-0.13182,0.00694,-0.00804,-24.45593,-39.43782
"14","2014_Q1",34.9334426229508,"Up",12637000,-14801000,-2164000,-2164000,1665000,212000,1086000,367000,-499000,-499000,-334000,-833000,-833000,7000.00000000001,-826000,-826000,64467000,9031000,55436000,7108000,7108000,3510000,8159000,7707000,83244000,146542000,113093000,62604000,48897000,259635000,342879000,7675000,5028000,2647000,234000,865000,865000,8774000,4459000,9459000,2248000,7211000,13918000,22692000,221130000,62785000,-3333000,280582000,39605000,320187000,342879000,-833000,1390000,-197000,4151000,4511000,-5769000,1540000,3643000,-586000,-56999.9999999999,-3919000,-3976000,-51000.0000000019,-51000.0000000019,-51000.0000000019,-774000,4693000,-2058000,-0.17124,-0.17124,-0.06536,-0.00258,-0.00241,2.49153,9.48758,0.07087,0.01369,-0.04052,-0.03925,0.61994,13.76468,-0.10096,-0.00247,-0.00616,77.22739,27.622
