"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q1",23.216935483871,"Up",67554000,-39517000,28037000,-5387000,-2051000,-3336000,22650000,29000,22679000,22679000,-4544000,18135000,18135000,18135000,-5981000,76361000,76361000,39811000,39811000,5663000,6267000,6267000,128102000,1022000,2554000,324000,2230000,3576000,131678000,19186000,14758000,4428000,18615000,16881000,37801000,145847000,1902000,1902000,147749000,185550000,-53872000,-53872000,131678000,18135000,78000,-1197000,-8836000,8180000,-39000,-39000,0,-2398000,0,-2398000,-871000,-3269000,4872000,4872000,4872000,22728000,145847000,18397000,0.41503,0.33529,-0.08854,0.11102,-0.04542,-3.07591,3.38885,-3.44428,1.1076,-0.09547,-0.08986,1.07831,-0.85992,0.29366,-0.06371,0.19597,3.05729,3.06781
"2","2012_Q2",21.6838095238095,"Down",79167000,-46154000,33013000,-5513000,-2144000,-3369000,27500000,-634000,26866000,26866000,-5373000,21493000,21493000,21493000,-81234000,52576000,52576000,48081000,48081000,8374000,6163000,5256000,115194000,1106000,3005000,324000,2681000,4111000,119305000,26038000,18703000,7335000,16524000,14276000,49538000,202477000,1902000,1902000,204379000,253917000,-134612000,-134612000,119305000,21493000,121000,426000.000000004,-6321000,15719000,-205000,-205000,879000.000000007,-39857000,143000,-4e+07,-321000,-39299000,-23785000,-23785000,-23785000,27621000,209453000,26468000,0.417,0.34737,-1.02611,0.60347,-0.68089,-0.32582,2.32537,-1.88629,1.75561,-1.29525,-1.29525,1.26229,-2.14634,0.42202,-1.05852,0.34489,5.67963,5.70462
"3","2012_Q3",11.3730158730159,"Down",87817000,-50527000,37290000,-6114000,-2431000,-3683000,31176000,-312000,30864000,30864000,-6173000,24691000,24691000,24691000,14987000,64844000,64844000,61417000,61417000,8980000,6280000,5359000,141521000,1905000,734000,324000,410000,2639000,144160000,15685000,15455000,230000,18420000,16038000,41069000,26108000,1902000,1902000,28010000,69079000,75081000,75081000,144160000,24691000,106000,-10076000,-10470000,4251000,-905000,-905000,32193000,-35013000,32987000,-6.8e+07,11742000,8922000,12268000,12268000,12268000,31282000,33072000,26080000,0.42463,0.35501,0.17066,0.19961,0.10396,1.74017,3.44593,0.92006,0.22941,0.17131,0.16642,1.00377,0.8582,0.2981,0.13618,0.23697,-1.01566,-1.01912
"4","2012_Q4",11.308064516129,"Down",91665000,-52006000,39659000,-7103000,-2484000,-4619000,32556000,-190000,32366000,32366000,-4446000,27920000,27920000,27920000,27920000,122060000,122060000,75644000,75644000,7734000,2459000,1577000,207897000,4471000,1368000,232000,1136000,5839000,213736000,27396000,26450000,946000.000000001,18071000,17266000,52435000,22623000,7727000,7727000,30350000,82785000,130951000,130951000,213736000,27920000,167000,435999.999999998,3210000,31733000,-507000,-507000,-1750000,-120000,-119999.999999996,0,-1.86264514923096e-09,-1870000,29356000,29356000,29356000,32723000,29591000,39872000,0.43265,0.35516,0.30459,0.21321,0.13063,1.42808,3.96485,0.63218,0.13845,0.30394,0.31311,0.99787,1.42553,0.43405,0.16592,0.23695,-2.82581,-2.84031
"5","2013_Q1",12.6956666666667,"Up",94868000,-53827000,41041000,-6981000,-1953000,-5028000,34060000,-133000,33927000,33927000,-5442000,28485000,28485000,28485000,28485000,122060000,122060000,75644000,75644000,7734000,2459000,1577000,207897000,4471000,1368000,232000,1136000,5839000,213736000,27396000,26450000,946000,18071000,17266000,52435000,22623000,7727000,7727000,30350000,82785000,130951000,130951000,213736000,28485000,208000,-2974000,4366000,30085000,-1693000,-1693000,-1759000,244000,244000,0,983000,-532000,27860000,27860000,27860000,34268000,29591000,42383000,0.43261,0.35903,0.30026,0.21752,0.13327,1.48791,3.96485,0.63218,0.13845,0.31038,0.30997,1.0337,1.42687,0.46181,0.16928,0.25188,-2.69841,-2.71489
"6","2013_Q2",15.7921875,"Up",61535000,-36515000,25020000,-9245000,-4534000,-4711000,15775000,-86000,15689000,15689000,-2510000,13179000,13179000,13179000,13179000,125764632.841197,125764632.841203,69159305.3844697,69159305.3844697,9879725.09636915,3193402.70497474,2310558.27014731,207997066.027011,4779279.07888908,1695792.91959557,223396.150367526,1472396.76922804,6475071.99848143,214472138.025492,28610485.2803269,25666723.9493819,2945492.80734724,18059299.8831756,17476406.0223468,52641519.6715185,45721170.341309,7782498.62928177,7614889.42471544,53503668.9705908,106145188.642109,108326949.383383,108326949.383383,214472138.025492,13179000,349000,1181000,8986000,23695000,-2349000,-2349000,20250000,-31156000,102000,-31258000,-13999.9999999995,-10920000,10426000,10426000,10426000,16124000,7.45058059692383e-09,25271000,0.4066,0.25636,0.21417,0.199865431642836,0.117355227354529,1.91752,3.94489853014639,1.15989318786237,0.226777845213212,0.14487,0.14182,0.67643,1.21109701285557,0.27779,0.218295847250364,0.197746156123496,-2.78697598260421,-2.82366807743644
"7","2013_Q3",25.66390625,"Up",74901000,-44416000,30485000,-10366000,-5314000,-5052000,20119000,-197000,19922000,19922000,-2119000,17803000,17803000,17803000,17803000,148301000,148301000,55902000,55902000,14623000,3653000,2771000,222479000,5664000,2036000,232000,1804000,7700000,230179000,33100000,27747000,5353000,17138000,16323000,55247000,73601000,7727000,7727000,81328000,136575000,93604000,93604000,230179000,17803000,404000,2382000,6241000,26830000,-1118000,-1118000,28750000,-23037000,59000,-23096000,42000,-9897000,15815000,15815000,15815000,20523000,78610000,27765000,0.407,0.26861,0.23769,0.19019,0.07734,1.55957,4.02699,1.45907,0.34152,0.20209,0.19768,0.85024,1.06255,0.31517,0.18592,0.1543,-3.39575,-3.46394
"8","2013_Q4",38.1065625,"Up",83155000,-47690000,35465000,-11962000,-6285000,-5677000,23503000,-287000,23216000,23216000,-2549000,20667000,20667000,20667000,20667000,181689000,181689000,38417000,38417000,19381000,4151000,3269000,243638000,6178000,2007000,232000,1775000,8185000,251823000,35858000,31257000,4601000,15827000,13986000,56696000,72358000,7727000,7727000,80085000,136781000,115042000,115042000,251823000,20667000,509000,1093000,12890000,35159000,-941000,-941000,-1250000,145000,145000,0,275000,-830000,33388000,33388000,33388000,24012000,77369000,38510000,0.42649,0.28264,0.24854,0.17965,0.08207,1.86336,4.29727,1.18897,0.30724,0.23754,0.23234,0.95576,1.32226,0.44262,0.10326,0.19242,-4.34449,-4.43858
"9","2014_Q1",44.8431147540984,"Up",101232000,-56868000,44364000,-11157000,-5642000,-5515000,33207000,-281000,32926000,32926000,-4085000,28841000,28841000,28841000,28841000,227826000,227826000,35884000,35884000,15880000,3884000,3151000,283474000,5976000,2890000,3999.99999999997,2886000,8866000,292340000,37444000,36187000,1257000,16964000,16273000,59421000,71116000,14367000,11857000,85483000,144904000,147436000,147436000,292340000,28841000,701000,-1130000,17795000,46207000,-955000,-955000,-1250000,329000,329000,0,1806000,885000,46137000,46137000,46137000,33908000,76129000,54833000,0.43824,0.32803,0.2849,0.19562,0.09866,1.90122,4.7706,0.98283,0.26041,0.33079,0.3237,1.16108,1.69101,0.62891,0.12122,0.23046,-4.47378,-4.56822
"10","2014_Q2",37.6044444444444,"Down",129687000,-71664000,58023000,-12127000,-5810000,-6317000,45896000,-246000,45650000,45650000,-5122000,40528000,40528000,40528000,40528000,279729000,279729000,35798000,35798000,16375000,3006000,2273000,334908000,5834000,2705000,4000,2701000,8539000,343447000,45574000,44311000,1263000,17221000,16428000,67810000,69874000,14899000,12385000,84773000,152583000,190864000,190864000,343447000,40528000,705000,279000,10368000,51880000,-460000,-460000,-1250000,631000,631000,-1348198.98980862,1102000,483000,51903000,51903000,51903000,46601000,74889000,61631000,0.44741,0.3539,0.31251,0.21234,0.118,1.5207,4.93892,0.79943,0.21805,0.46365,0.45296,1.48365,2.18352,0.70507,0.14441,0.2196,-4.39561,-4.46313
