"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2016_Q1",17.1795081967213,"Up",189252000,-141180000,48072000,-41734000,-41734000,6338000,-914000,-914000,5424000,5424000,27414000,32838000,32838000,32838000,32838000,32611000,32611000,18474000,18474000,273875000,10845000,10845000,335805000,98987000,32830000,5313000,131817000,467622000,33474000,13510000,19964000,137186000,12731000,12731000,183391000,586000,586000,586000,183977000,234504000,-26292000,75433000,283645000,283645000,467622000,32838000,1999000,-27254000,-12691000,-5108000,-477000,-477000,-743000,-8509000,45000,-9252000,-14837000,-14837000,-14837000,8337000,137186000,-32245000,0.25401,0.03349,0.17351,0.11577,0.07022,-0.98194,1.83109,0.64862,0.29337,1.34632,1.31972,7.7591,11.6291,-1.32201,0.07792,-0.07652,12.54348,16.49968
"22","2016_Q2",17.44328125,"Up",169537000,-127923000,41614000,-38951000,-38951000,2663000,-1227000,-1227000,1436000,1436000,-748000,688000.000000004,688000.000000004,688000.000000004,688000.000000004,25159000,25159000,15900000,15900000,326369000,21016000,12222000,388444000,98823000,23343000,5376000,122166000,510610000,24373000,8681000,15692000,187516000,12970000,12970000,224859000,625000,625000,625000,225484000,235937000,-27133000,76322000,285126000,285126000,510610000,688000.000000004,1894000,2014000,-60183000,-55587000,-1752000,-1752000,50250000,-362999.999999999,478000,49887000,-7452000,-7452000,-7452000,4557000,187516000,-56630000,0.24546,0.01571,0.00405999999999995,0.00240999999999998,0.00135000000000002,-82.31105,1.7275,0.79082,0.36724,0.02841,0.0278099999999999,7.00186,11.77568,-2.33881,0.00144999999999999,-0.11966,35.62804,60.96771
"23","2016_Q3",19.64734375,"Up",199566000,-150539000,49027000,-43459000,-43459000,5568000,-1582000,-1582000,3986000,3986000,-1497000,2489000,2489000,2489000,2489000,43974000,43974000,31855000,31855000,346411000,18502000,10858000,440742000,113012000,21422000,3850000,134434000,575176000,49503000,26998000,22505000,219030000,19707000,19707000,288240000,651000,651000,651000,288891000,236911000,-29370000,78744000,286285000,286285000,575176000,2489000,1982000,2100000,-4446000,2125000,-2871000,-12159000,30954000,-2105000,132000,28849000,18815000,18815000,18815000,7550000,219030000,1730000,0.24567,0.0279,0.01247,0.00869,0.00433,0.69506,1.52908,1.0091,0.38081,0.10304,0.10053,8.26199,11.85214,0.07162,0.00492,0.00342,23.18623,31.43966
"24","2016_Q4",19.324126984127,"Down",345592000,-266690000,78902000,-54325000,-54325000,24577000,-1473000,-1473000,23104000,23104000,-9285000,13819000,13819000,13819000,13819000,55560000,55560000,27324000,27324000,306631000,11319000,11319000,400834000,115346000,29649000,13271000,144995000,545829000,46584000,19342000,27242000,176972000,18153000,18153000,241709000,2463000,2463000,2463000,244172000,238222000,-29370000,92805000,301657000,301657000,545829000,13819000,2027000,9664000,51978000,77488000,-3690000,-11464000,-55094000,655999.999999999,656000,-54438000,11586000,11586000,11586000,26604000,176972000,84177000,0.22831,0.07112,0.03999,0.04581,0.02532,6.0914,1.65833,0.80944,0.32423,0.572,0.55787,14.3048,12.48624,3.48427,0.02872,0.17497,4.56367,4.94007
"25","2017_Q1",21.0524193548387,"Up",227355000,-170870000,56485000,-49041000,-49041000,7444000,-1180000,-1180000,6264000,6264000,-678000,5586000,5586000,5586000,5586000,38585000,38585000,24583000,24583000,321978000,5965000,5965000,391111000,121353000,34224000,13149000,155577000,546688000,35200000,9597000,25603000,166550000,30129000,30129000,231879000,2336000,2336000,2336000,234215000,241084000,-31823000,103212000,312473000,312473000,546688000,5586000,2061000,2153000,-10963000,-1163000,-4372000,-4372000,-10422000,-1018000,1435000,-11440000,-16975000,-16975000,-16975000,9505000,166550000,-5152000,0.24844,0.03274,0.02457,0.01788,0.01022,-0.92231,1.6867,0.74955,0.30465,0.22998,0.22334,9.3605,12.86491,-0.21211,0.0116,-0.0107,13.46291,17.19035
"26","2017_Q2",19.5642857142857,"Down",226875000,-173737000,53138000,-47095000,-47095000,6043000,-1569000,-1569000,4474000,4474000,-1831000,2643000,2643000,2643000,2643000,37079000,37079000,22954000,22954000,363622000,5713000,5713000,429368000,123547000,33217000,13378000,156764000,586132000,31907000,9481000,22426000,213510000,22771000,22771000,268188000,2414000,2414000,2414000,270602000,243840000,-34165000,105855000,315530000,315530000,586132000,2643000,2155000,3326000,-51367000,-43243000,-3579000,-3579000,46873000,-1557000,785000,45316000,-1506000,-1506000,-1506000,8198000,213510000,-44917000,0.23422,0.02664,0.01165,0.00838,0.00451,-16.9947,1.601,0.85761,0.36427,0.10899,0.10605,9.35577,13.01169,-1.85227,0.00497,-0.08452,21.52122,29.19593
"27","2017_Q3",16.3126984126984,"Down",245018000,-183959000,61059000,-54781000,-54781000,6278000,-2045000,-2045000,4233000,4233000,-1484000,2749000,2749000,2749000,2749000,51670000,51670000,36941000,36941000,404686000,5041000,5041000,498338000,126615000,48176000,29541000,174791000,673129000,55887000,24927000,30960000,265920000,25896000,25896000,347703000,4635000,4635000,4635000,352338000,246352000,-34165000,108604000,320791000,320791000,673129000,2749000,2266000,2425000,-6535000,905000,-4290000,-23015000,35602000,1249000,1249000,36701000,14591000,14591000,14591000,8544000,265920000,-797000,0.2492,0.02562,0.01122,0.00857,0.00408,-0.28992,1.43323,1.09834,0.39505,0.11316,0.10945,10.08553,13.20452,-0.03281,0.00465,-0.00135,25.07608,34.12711
"28","2017_Q4",19.2555555555556,"Up",329809000,-245017000,84792000,-59557000,-59557000,25235000,-1897000,-1897000,23338000,23338000,-9094000,14244000,14244000,14244000,14244000,58930000,58930000,41696000,41696000,385277000,5872000,5872000,491775000,127750000,41731000,29978000,169481000,661256000,59181000,25634000,33547000,241642000,22451000,22451000,323274000,3250000,3250000,3250000,326524000,248626000,-36742000,122848000,334732000,334732000,661256000,14244000,2456000,8109000,11850000,36659000,-3539000,-3539000,-24278000,-1582000,995000,-25860000,7260000,7260000,7260000,27691000,241642000,45096000,0.25709,0.07651,0.04319,0.04255,0.02154,3.16596,1.52123,0.97548,0.36543,0.58529,0.56759,13.55188,13.75416,1.853,0.02457,0.0778,6.59824,7.24042
"29","2018_Q1",20.6081967213115,"Up",250618000,-184292000,66326000,-58593000,-58593000,7733000,-1970000,-1970000,5763000,5763000,-1852000,3911000,3911000,3911000,3911000,41952000,41952000,24661000,24661000,401301000,5842000,5842000,473756000,127160000,39074000,30305000,166234000,639990000,59478000,26432000,33046000,254177000,21032000,21032000,334687000,3105000,3105000,3105000,337792000,2.5e+08,-74561000,126759000,302198000,302198000,639990000,3911000,2487000,4989000,-963000,10424000,-1965000,-1965000,12253000,-37690000,129000,-25437000,-16978000,-16978000,-16978000,10220000,254177000,9144000,0.26465,0.03086,0.01561,0.01294,0.00611,2.33802,1.41552,1.11778,0.39716,0.17015,0.16586,10.90312,13.1471,0.39781,0.00699,0.01634,20.76566,27.44407
"30","2018_Q2",21.621875,"Up",236921000,-177672000,59249000,-50246000,-50246000,9003000,-2542000,-2542000,6461000,6461000,-2249000,4212000,4212000,4212000,4212000,35566000,35566000,28726000,28726000,440720000,6615000,6615000,511627000,127407000,37875000,30404000,165282000,676909000,37306000,10366000,26940000,307739000,19622000,19622000,364667000,2786000,2786000,2786000,367453000,253741000,-75256000,130971000,309456000,309456000,676909000,4212000,2461000,3608000,-66465000,-56184000,-2623000,-2477000,53444000,1657000,2352000,52275000,-6386000,-6386000,-6386000,11464000,307739000,-55375000,0.25008,0.038,0.01778,0.01361,0.00622,-13.14696,1.403,1.18742,0.45462,0.19157,0.18545,10.77551,14.07451,-2.51854,0.00679,-0.08932,23.74154,30.23137
"31","2018_Q3",20.8809523809524,"Down",270605000,-201312000,69293000,-58659000,-58659000,10634000,-2840000,-2840000,7794000,7794000,-1610000,6184000,6184000,6184000,6184000,57103000,57103000,35844000,35844000,423907000,5093000,5093000,521947000,129878000,38329000,31805000,168207000,690154000,49051000,17914000,31137000,299157000,19972000,19972000,368180000,3037000,3037000,3037000,371217000,257038000,-75256000,137155000,318937000,318937000,690154000,6184000,2652000,2852000,25126000,36814000,-4450000,-6035000,-10737000,1595000,1595000,-9242000,21537000,21537000,21537000,13286000,299157000,35572000,0.25607,0.0393,0.02285,0.01939,0.00896,5.75226,1.41764,1.16392,0.43346,0.27892,0.26959,12.20528,14.38523,1.60443,0.00996,0.05727,18.21873,22.76227
"32","2018_Q4",20.8420634920635,"Down",361254000,-270567000,90687000,-64089000,-64089000,26598000,-2499000,-2499000,24099000,24099000,-6723000,17376000,17376000,17376000,17376000,62108000,62108000,42683000,42683000,379425000,6001000,6001000,490217000,130684000,35011000,31916000,165695000,655912000,56164000,20773000,35391000,232764000,22865000,22865000,311793000,2497000,2497000,2497000,314290000,262347000,-75256000,154531000,341622000,341622000,655912000,17376000,2740000,5413000,46219000,71748000,-3598000,-3907000,-66393000,3657000,3657000,-62836000,5005000,5005000,5005000,29338000,232764000,78682000,0.25103,0.07363,0.0481,0.05086,0.02649,4.5282,1.57225,0.91999,0.35487,0.77575,0.74953,16.12807,15.25161,3.51273,0.03012,0.13639,5.81689,6.41612
"33","2019_Q1",19.0381967213115,"Down",308591000,-229587000,79004000,-62056000,-62056000,16948000,-2022000,-2022000,14926000,14926000,-3386000,11540000,11540000,11540000,11540000,48822000,48822000,34003000,34003000,377074000,5392000,5392000,465291000,138716000,36531000,5632000,175247000,640538000,56060000,23134000,32926000,212949000,17006000,17006000,286015000,1431000,1431000,1431000,287446000,262277000,-75256000,166071000,353092000,353092000,640538000,11540000,2820000,-125000,3801000,18036000,-2943000,-10896000,-20207000,79000,79000,-20426000,-13286000,-13286000,-13286000,19768000,212949000,24012000,0.25602,0.05492,0.0374,0.03268,0.01802,2.08076,1.62681,0.81408,0.33245,0.51243,0.49551,13.70279,15.67883,1.06624,0.02034,0.04231,8.30266,9.68415
"34","2019_Q2",17.2752380952381,"Down",241937000,-178459000,63478000,-54492000,-54492000,8986000,-2516000,-2516000,6470000,6470000,-1560000,4910000,4910000,4910000,4910000,38581000,38581000,25711000,25711000,445465000,10904000,10904000,520661000,138730000,36303000,33715000,175033000,695694000,41630000,11840000,29790000,270715000,21071000,21071000,333416000,840000,840000,840000,334256000,265543000,-75485000,171380000,361438000,361438000,695694000,4910000,2775000,2690000,-75464000,-65089000,-2982000,-2982000,56241000,1589000,1818000,57830000,-10241000,-10241000,-10241000,11761000,270715000,-65125000,0.26237,0.03714,0.02029,0.01358,0.00706,-13.26375,1.5616,0.92479,0.38913,0.21554,0.20982,10.62079,15.86676,-2.85892,0.00776,-0.10288,19.73761,25.83285
"35","2019_Q3",15.28125,"Down",303586000,-229384000,74202000,-63976000,-63976000,10226000,-3033000,-3033000,7193000,7193000,-1890000,5303000,5303000,5303000,5303000,63598000,63598000,45505000,45505000,454557000,8839000,8839000,572499000,140883000,35643000,33876000,176526000,749025000,48724000,11626000,37098000,297530000,33330000,33330000,379584000,952000,952000,952000,380536000,267291000,-75485000,176683000,368489000,368489000,749025000,5303000,2801000,2519000,-7735000,2888000,-4845000,-4565000,26815000,8000,8000,26694000,25017000,25017000,25017000,13027000,297530000,2337000,0.24442,0.03368,0.01747,0.01439,0.00708,0.44069,1.50823,1.03269,0.39722,0.23222,0.22646,13.29422,16.13636,0.10234,0.00795,0.0035,17.95747,22.8762
"36","2019_Q4",16.30328125,"Up",383494000,-285784000,97710000,-68968000,-68968000,28742000,-2936000,-2936000,25806000,25806000,-6719000,19087000,19087000,19087000,19087000,71618000,71618000,49104000,49104000,434729000,11221000,11221000,566672000,143318000,45417000,45417000,188735000,755407000,68960000,31601000,37359000,289842000,24262000,24262000,383064000,2557000,1273000,2557000,385621000,269581000,-95565000,195770000,369786000,369786000,755407000,19087000,2890000,4497000,40168000,66642000,-4573000,-17833000,-21224000,-19565000,515000,-40789000,8020000.00000001,8020000.00000001,8019999.99999999,31632000,289842000,73946000,0.25479,0.07495,0.04977,0.05162,0.02527,3.87416,1.47931,1.04282,0.38369,0.85808,0.83637,17.24042,16.62416,3.32433,0.02882,0.11167,6.89884,7.59251
"37","2020_Q1",16.2877419354839,"Down",308136000,-220694000,87442000,-74864000,-74864000,12578000,-3094000,-3094000,9484000,9484000,-2799000,6685000,6685000,6685000,6685000,38511000,38511000,42398000,42398000,477468000,10206000,10206000,568583000,144298000,71202000,7125000,215500000,784083000,76523000,33674000,42849000,312065000,24305000,24305000,412893000,2371000,1229000,2371000,415264000,269997000,-102964000,202455000,368819000,368819000,784083000,6685000,3131000,2633000,-29316000,-16867000,-3682000,-30954000,22223000,-7328000,71000,14895000,-32926000,-32926000,-33107000,15709000,312065000,-14490000,0.28378,0.04082,0.02169,0.01813,0.00853,-2.16754,1.37707,1.12593,0.398,0.3136,0.30545,14.45491,17.3016,-0.67974,0.00978,-0.02121,17.41384,21.74861
"38","2020_Q2",16.4460317460317,"Up",304172000,-224154000,80018000,-64386000,-64386000,15632000,-3344000,-3344000,12288000,12288000,-3229000,9059000,9059000,9059000,9059000,35985000,35985000,36118000,36118000,493943000,11009000,11009000,577055000,144756000,113595000,49116000,258351000,835406000,53595000,18159000,35436000,334085000,27096000,27096000,414776000,3558000,1145000,39883000,454659000,271650000,-102964000,212124000,380747000,380747000,835406000,9059000,3007000,2598000,-33962000,-19298000,-4398000,-4398000,20346000,616000,616000,20962000,-2734000,-2734000,-2526000,18639000,370410000,-16492000,0.26307,0.05139,0.02978,0.02379,0.01084,-1.82051,1.39124,1.19412,0.44339,0.42225,0.41384,14.17793,17.7472,-0.76872,0.012,-0.02185,17.94222,21.39362
"39","2020_Q3",27.49265625,"Up",308475000,-229699000,78776000,-69060000,-69060000,9716000,-3013000,-3013000,6703000,6703000,-1638000,5065000,5065000,5065000,5065000,64406000,64406000,35814000,35814000,506887000,9369000,9369000,616476000,143168000,113460000,48321000,256628000,873104000,49893000,15259000,34634000,362898000,33644000,33644000,446435000,3953000,1132000,39592000,486027000,273837000,-103436000,217189000,387077000,387077000,873104000,5065000,3143000,2036000,-9554000,690000,673000,-727000,28813000,-58000,414000,28607000,28570000,28570000,28421000,12859000,398537000,5616000,0.25537,0.0315,0.01642,0.01309,0.0058,1.10879,1.38089,1.25563,0.45646,0.23536,0.23065,14.33429,17.98679,0.26097,0.00641,0.00711,25.98421,34.38977
"40","2020_Q4",31.32265625,"Up",498304000,-374851000,123453000,-74838000,-74838000,48615000,-2133000,-2133000,46482000,46482000,-11555000,34927000,34927000,34927000,34927000,86919000,86919000,69478000,69478000,314096000,11133000,11133000,481626000,141897000,112437000,47033000,254334000,735960000,87216000,39441000,47775000,147049000,37368000,37368000,271633000,5054000,833000,39302000,310935000,276634000,-103595000,252116000,425025000,425025000,735960000,34927000,3304000,3640000,198070000,239941000,-2099000,-2099000,-215878000,429000,588000,-215449000,22393000,22393000,22513000,51919000,181297000,259445000,0.24775,0.09756,0.07009,0.08218,0.04746,7.42821,1.77308,0.73157,0.24634,1.62456,1.58429,23.17762,19.76919,12.06757,0.05713,0.42436,1.81779,1.94133
"41","2021_Q1",47.1683606557377,"Up",398762000,-282296000,116466000,-83714000,-83714000,32752000,-785000,-785000,31967000,31967000,-6384000,25583000,25583000,25583000,25583000,155493000,155493000,40195000,40195000,298002000,9637000,9637000,503327000,141934000,130058000,45765000,271992000,775319000,88959000,37343000,51616000,144900000,38675000,38675000,272534000,40045000,35536000,47388000,319922000,280464000,-103595000,277699000,455397000,455397000,775319000,25583000,3318000,3449000,50992000,83342000,-4519000,-22885000,4740000,3011000,3011000,7751000,68208000,68208000,68574000,36070000,152243000,88927000,0.29207,0.08213,0.06416,0.05618,0.033,3.47602,1.84684,0.70251,0.19636,1.178,1.13173,18.36148,20.96931,4.09475,0.0395,0.1373,-0.0901,-0.09923
"42","2021_Q2",52.1561904761905,"Up",411524000,-288123000,123401000,-91417000,-91417000,31984000,-1268000,-1268000,30716000,30716000,-7116000,23600000,23600000,23600000,23600000,120939000,120939000,44001000,44001000,378863000,14583000,14583000,558386000,149657000,256845000,113731000,406502000,964888000,89836000,22379000,67457000,166098000,65250000,65250000,321184000,110998000,105087000,161122000,482306000,283129000,-103595000,301299000,482582000,482582000,964888000,23600000,3814000,3513000,-43766000,-12839000,-6916000,-55177000,32482000,1523000,1523000,33095000,-34921000,-34921000,-34554000,35798000,216222000,-7768000,0.29986,0.07772,0.05735,0.0489,0.02446,-0.32915,1.73852,0.99943,0.22409,1.07147,1.03758,18.68364,21.90975,-0.35268,0.02914,-0.00958999999999996,2.66169,2.97908
"43","2021_Q3",49.90125,"Down",523094000,-366288000,156806000,-103937000,-103937000,52869000,-1092000,-1092000,51777000,51777000,-12842000,38935000,38935000,38935000,38935000,142888000,142888000,54489000,54489000,302979000,14698000,14698000,515054000,151254000,258818000,116666000,410072000,925126000,107816000,23280000,84536000,38564000,93796000,93796000,240176000,112206000,105705000,161646000,401822000,285560000,-103595000,340234000,523304000,523304000,925126000,38935000,3667000,3896000,112981000,159479000,-5046000,-9083000,-128375000,186000,186000,-128189000,22207000,22207000,21949000,56536000,88004000,177313000,0.29977,0.10107,0.07443,0.0744,0.04209,4.55408,2.14449,0.76786,0.09513,1.75844,1.69395,23.62477,23.63426,8.00808,0.05381,0.24507,-0.97078,-1.03811
"44","2021_Q4",53.52171875,"Up",666329000,-461655000,204674000,-123766000,-123766000,80908000,-639000,-639000,80269000,80269000,-20651000,59618000,59618000,59618000,59618000,200121000,200121000,60195000,60195000,209418000,18316000,18316000,488050000,166058000,301982000,115291000,468040000,956090000,118437000,28741000,89696000,6154000.00000001,96979000,96979000,221570000,113375000,104956000,161749000,383319000,288951000,-117296000,399852000,572771000,572771000,956090000,59618000,4098000,4336000,114922000,182974000,-6264000,-66845000,-45186000,-12791000,910000,-58977000,57152000,57152000,57233000,85006000,54528000,214315000,0.30717,0.12142,0.08947,0.10409,0.06236,3.5948,2.20269,0.66924,0.05703,2.69962,2.6074,30.17271,25.93622,9.70461,0.08049,0.28935,-1.71274,-1.79949
"45","2022_Q1",46.9853225806452,"Down",462310000,-287758000,174552000,-130854000,-130854000,43698000,-666000,-666000,43032000,43032000,-10206000,32826000,32826000,32826000,32826000,222192000,222192000,47651000,47651000,230984000,16692000,16692000,517519000,175463000,314841000,113719000,490304000,1007823000,112333000,25739000,86594000,27530000,111230000,111230000,251093000,114340000,105072000,161838000,412931000,288930000,-127364000,432678000,594892000,594892000,1007823000,32826000,4027000,3704000,3710000,44267000,-7549000,-30026000,20199000,-10061000,7000,8327000,22568000,22568000,22071000,47725000,75028000,54092000,0.37756,0.09452,0.071,0.05518,0.03257,1.64784,2.06107,0.69413,0.07445,1.50974,1.44778,21.26258,27.3603,2.4878,0.04186,0.06897,-3.08358,-3.36775
"46","2022_Q2",40.1753225806452,"Down",472691000,-305492000,167199000,-119997000,-119997000,47202000,-637000,-637000,46565000,46565000,-10622000,35943000,35943000,35943000,35943000,228274000,228274000,50287000,50287000,454359000,21077000,21077000,753997000,246011000,352763000,106292000,598774000,1352771000,123744000,34342000,89402000,134908000,154120000,154120000,412772000,112032000,96631000,157333000,570105000,303461000,-148656000,630667000,782666000,782666000,1352771000,35943000,4496000,3124000,-35484000,8079000,-23757000,-92578000,80917000,1079000,1079000,78996000,-5503000,-5503000,-5877000,51698000,180209000,3078999.99999999,0.35372,0.09986,0.07604,0.04592,0.02657,0.0856600000000003,1.82667,0.72841,0.13321,1.65309,1.58525,21.74003,35.99641,0.14161,0.03344,0.00286000000000003,-0.92973,-1.01828
"47","2022_Q3",37.4421875,"Down",610106000,-404791000,205315000,-133532000,-133532000,71783000,-654000,-654000,71129000,71129000,-17622000,53507000,53507000,53507000,53507000,219400000,219400000,62276000,62276000,329731000,17596000,17596000,629003000,220569000,356152000,109887000,576721000,1205724000,133606000,37856000,95750000,62445000,173842000,173842000,369893000,115824000,101178000,161571000,531464000,295618000,-143633000,522128000,674260000,674260000,1205724000,53507000,4808000,5342000,17360000,81017000,-7920000,-5764000,-55640000,-16245000,24000,-71885000,3368000,3368000,3085000,76591000,108192000,103653000,0.33652,0.11766,0.0877,0.07936,0.04438,1.93719,1.7005,0.78822,0.08973,2.44332,2.36091,27.85966,30.78916,4.73317,0.05957,0.11539,-1.45197,-1.54922
