"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",11.948125,"Down",160008000,-122358000,37650000,-36100000,-36100000,1550000,-1166000,-1166000,384000,384000,-40000,344000,344000,344000,344000,30092000,30092000,21755000,21755000,230705000,3468000,3468000,286020000,103075000,4462000,4462000,107537000,393557000,31492000,8250000,23242000,141132000,18244000,18244000,190868000,1811000,1811000,1811000,192679000,219661000,-15810000,-2973000,200878000,200878000,393557000,344000,1728000,576000,791000,3439000,-3785000,-8122000,17766000,1616000,1616000,19382000,14699000,14699000,14699000,3278000,141132000,324000,0.2353,0.00969,0.00215,0.00171,0.00087,0.94186,1.49852,0.95918,0.35861,0.01484,0.01484,6.9011,8.66381,0.01397,0.001,0.00094,33.87431,71.63871
"12","2013_Q4",15.0884375,"Up",175756000,-128949000,46807000,-33048000,-33048000,13759000,-1192000,-1192000,12567000,12567000,1069000,13636000,13636000,13636000,13636000,37304000,37304000,29893000,29893000,235048000,4766000,4766000,307011000,100134000,4893000,4893000,105027000,412038000,34645000,9828000,24817000,142333000,18358000,18358000,195336000,723000,723000,723000,196059000,221126000,-15810000,10663000,215979000,215979000,412038000,13636000,1727000,766000,-10164000,5965000,-1270000,-952000,1201000,998000,998000,2199000,7212000,7212000,7212000,15486000,142333000,2983000,0.26632,0.07828,0.07758,0.06314,0.03309,0.21876,1.57171,0.90777,0.34544,0.58302,0.5326,7.51467,9.23445,0.12754,0.03798,0.00831,6.78218999999998,7.63348000000001
"13","2014_Q1",15.1685245901639,"Up",149682000,-109564000,40118000,-33914000,-33914000,6204000,-863000,-863000,5341000,5341000,-135000,5206000,5206000,5206000,5206000,23756000,23756000,19410000,19410000,228041000,4849000,4849000,276056000,100339000,5507000,5507000,105846000,381902000,27805000,7474000,20331000,122470000,9342000,9342000,159617000,473000,473000,473000,160090000,221753000,-15810000,15869000,221812000,221812000,381902000,5206000,1647000,880000,467000,8200000,-1902000,-2028000,-19863000,143000,143000,-19720000,-13548000,-13548000,-13548000,7851000,122470000,6551000,0.26802,0.04145,0.03478,0.02347,0.01363,1.25836,1.72949,0.72174,0.32068,0.22166,0.2145,6.37325,9.44444,0.27893,0.0151,0.019,12.57343,15.91135
"14","2014_Q2",15.7771428571429,"Up",109592000,-79682000,29910000,-32282000,-32282000,-2372000,-997000,-997000,-3369000,-3369000,0,-3369000,-3369000,-3369000,-3369000,15904000,15904000,13674000,13674000,238052000,4799000,4799000,272429000,100182000,5526000,5526000,105708000,378137000,19010000,4133000,14877000,125913000,11522000,11522000,156445000,440000,440000,440000,156885000,224562000,-15810000,12500000,221252000,221252000,378137000,-3369000,1762000,908000,-10678000,-11377000,-1575000,-1575000,3443000,1657000,1657000,5100000,-7852000,-7852000,-7852000,-610000,125913000,-12863000,0.27292,-0.02164,-0.03074,-0.01523,-0.00891,3.81805,1.74137,0.70908,0.33298,-0.14206,-0.14206,4.62103,9.32925,-0.54238,-0.00969,-0.037,-180.34262,-46.37816
"15","2014_Q3",17.35640625,"Up",136614000,-101828000,34786000,-35687000,-35687000,-901000,-1078000,-1078000,-1979000,-1979000,0,-1979000,-1979000,-1979000,-1979000,30798000,30798000,24232000,24232000,260396000,4141000,4141000,319567000,100475000,5662000,5662000,106137000,425704000,28992000,9771000,19221000,160104000,15035000,15035000,204131000,394000,394000,394000,204525000,226468000,-15810000,10521000,221179000,221179000,425704000,-1979000,1761000,564000,-19486000,-19140000,-2265000,-1551000,34191000,1394000,1394000,35585000,14894000,14894000,14894000,860000,160104000,-20891000,0.25463,-0.0066,-0.01449,-0.00895,-0.00465,10.55634,1.5655,0.9247,0.37609,-0.083,-0.083,5.72952,9.27613,-0.87616,-0.00519,-0.05473,150.35581,-143.51387
"16","2014_Q4",18.32265625,"Up",214401000,-160195000,54206000,-41640000,-41640000,12566000,-1063000,-1063000,11503000,11503000,0,11503000,11503000,11503000,11503000,41820000,41820000,24196000,24196000,234257000,4737000,4737000,305010000,101855000,5448000,5448000,107303000,412313000,36164000,13370000,22794000,131042000,10717000,10717000,177923000,611000,611000,611000,178534000,227565000,-15810000,22024000,233779000,233779000,412313000,11503000,1888000,724000,28267000,42382000,-2918000,-2918000,-29062000,620000,620000,-28442000,11022000,11022000,11022000,14454000,131042000,39803000,0.25283,0.05861,0.05365,0.0492,0.0279,3.46023,1.71428,0.76369,0.31782,0.47903,0.43829,8.92854,9.73552,1.65756,0.03148,0.10892,6.17282000000006,7.10026999999997
"17","2015_Q1",24.4319672131148,"Up",164085000,-121167000,42918000,-36824000,-36824000,6094000,-886000,-886000,5208000,5208000,-91000,5117000,5117000,5117000,5117000,27839000,27839000,12547000,12547000,244151000,4415000,4415000,288952000,101878000,11851000,11851000,113729000,402681000,27423000,7823000,19600000,124424000,10979000,10979000,162826000,560000,560000,560000,163386000,227964000,-15810000,27141000,239295000,239295000,402681000,5117000,1870000,-666000,-7377000,-1056000,-824000,-6802000,-6618000,495000,495000,-6123000,-13981000,-13981000,-13981000,7964000,124424000,-146000,0.26156,0.03714,0.03119,0.02138,0.01271,-0.02853,1.77461,0.68278,0.30899,0.21239,0.2062,6.81073,9.93249,-0.00606,0.01405,-4e-04,12.1277,15.8492
"18","2015_Q2",23.9871428571429,"Down",158126000,-120671000,37455000,-36095000,-36095000,1360000,-1146000,-1146000,214000,214000,1.16415321826935e-10,214000,214000,214000,214000,17764000,17764000,17597000,17597000,278119000,4632000,4632000,318112000,107992000,5833000,5833000,113825000,431937000,20522000,4619000,15903000,157228000,12609000,12609000,190359000,422000,422000,422000,190781000,229611000,-15810000,27355000,241156000,241156000,431937000,214000,1898000,1059000,-44646000,-41475000,-2039000,-2039000,32804000,635000,635000,33439000,-10075000,-10075000,-10075000,3258000,157228000,-43427000,0.23687,0.0086,0.00135,0.000889999999999998,0.000499999999999999,-202.92991,1.67112,0.79111,0.36401,0.00881000000000001,0.00858000000000003,6.51298,9.93287,-1.7887,0.000540000000000002,-0.10889,42.80663,102.54706
"19","2015_Q3",17.59140625,"Down",172143000,-129943000,42200000,-40557000,-40557000,1643000,-1253000,-1253000,390000,390000,0,390000,390000,390000,390000,42695000,42695000,23046000,23046000,277030000,3876000,3876000,346647000,108100000,5257000,5257000,113357000,460004000,32669000,11928000,20741000,165287000,17157000,17157000,215113000,345000,345000,345000,215458000,232611000,-15810000,27745000,244546000,244546000,460004000,390000,1955000,646000,13590000,16581000,-2094000,-2094000,8059000,2385000,2385000,10444000,24931000,24931000,24931000,3598000,165287000,15094000,0.24515,0.00954,0.00227,0.00159,0.00085,38.70256,1.61146,0.88105,0.35932,0.01589,0.01544,7.01441,9.96465,0.61504,0.00095,0.0368,34.07226,74.61473
"20","2015_Q4",16.6265625,"Down",231849000,-174809000,57040000,-41049000,-41049000,15991000,-1141000,-1141000,14850000,14850000,0,14850000,14850000,14850000,14850000,47448000,47448000,23018000,23018000,257597000,4978000,4978000,333041000,106279000,5163000,5163000,111442000,444483000,34263000,11544000,22719000,137388000,13630000,13630000,185281000,425000,425000,425000,185706000,233920000,-17738000,42595000,258777000,258777000,444483000,14850000,2006000,-989000,17204000,33071000,859000,858999.999999999,-27899000,-1278000,650000,-29177000,4753000,4753000,4753000,17997000,137388000,36060000,0.24602,0.06897,0.06405,0.05739,0.03341,2.42827999999999,1.79749,0.71763,0.3091,0.60233,0.58658,9.40408,10.49632,1.46264,0.03744,0.09093,4.9975,5.62441
