"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2014_Q2",30.2395238095238,"Down",273400000,-190300000,83100000,-71700000,-52500000,-19200000,11400000,-1100000,-7e+05,-4e+05,10300000,-2e+05,10100000,-2500000,7600000,7600000,7600000,7600000,51379000,51379000,188504000,188504000,154186000,28173000,15576000,422242000,350912000,1309186000,964345000,32333000,1660098000,2082340000,181687000,129127000,52560000,12155000,12155000,197592000,84123000,35008000,480373000,677965000,1366506000,10648000,27221000,1404375000,1404375000,2082340000,7600000,2900000,32700000,43200000,-23900000,-28300000,4e+08,-468800000,-68800000,-53900000,-53900000,-3e+05,-54200000,4e+08,0.30395,0.0417,0.0278,0.00541,0.00365,2.13694,0.48275,0.19209,0.08939,0.08928,3.21557,16.51742,0.00402,30.58079
"2","2014_Q3",30.5215625,"Up",2.81e+08,-247200000,33800000,-73700000,-5.2e+07,-21700000,-39900000,-1600000,-1800000,2e+05,-41500000,-4300000,-45800000,-33100000,-78900000,-78900000,-78900000,-78900000,44610000,44610000,207287000,207287000,155858000,23980000,15940000,431735000,335670000,1305583000,958151000,41934000,1641253000,2072988000,242002000,155096000,86906000,18446000,18446000,267948000,93834000,30099000,486334000,754282000,1368837000,-68253000,18122000,1318706000,1318706000,2072988000,-78900000,46300000,54200000,21600000,-1.7e+07,-28800000,5.96046447753906e-08,-5.96046447753906e-08,2e+05,-7e+06,-7e+06,2e+05,-6800000,4e+08,0.12028,-0.14199,-0.28078,-0.05983,-0.03806,1.61126,0.57199,0.19296,-0.92777,-0.928899999999999,3.30423,15.50645,-0.04353,-8.90702
"3","2014_Q4",20.69375,"Down",300900000,-248800000,52100000,-67400000,-46300000,-21100000,-15300000,3e+05,-2e+06,2300000,-1.5e+07,-1100000,-16100000,1500000,-14600000,-14600000,-14600000,-14600000,34295000,34295000,216893000,216893000,161237000,22733000,16114000,435158000,321184000,1255188000,932384000,35977000,1576372000,2011530000,243680000,168374000,75306000,13173000,13173000,268103000,83295000,30244000,472045000,740148000,1370365000,-82863000,-16120000,1271382000,1271382000,2011530000,-14600000,-4800000,43800000,24400000,-2.7e+07,-33500000,0,-6e+05,-7e+05,-9800000,-9800000,-5e+05,-10300000,4e+08,0.17315,-0.05085,-0.04852,-0.01148,-0.00726,1.6231,0.58216,0.19885,-0.17167,-0.17167,3.538,14.94897,-0.00832,-23.90229
"4","2015_Q1",20.8514754098361,"Up",59700000,126800000,186500000,-8200000,-6099999.99999999,-2100000,178300000,3e+05,-2100000,2400000,178600000,5700000,184300000,21200000,205500000,-1099999.99999999,-1099999.99999999,-1099999.99999999,55200000,55200000,236300000,236300000,1.62e+08,20500000,10700000,4.74e+08,315900000,1208600000,914700000,23600000,1524500000,1998500000,259600000,172100000,87500000,1.4e+07,1.4e+07,288600000,88700000,39500000,473700000,762300000,1373500000,-8.4e+07,-53300000,1236200000,1236200000,1998500000,-1099999.99999999,-4400000,3.2e+07,26500000,-15700000,-2500000,0,-2100000,-2100000,21900000,21900000,-8e+05,21100000,4e+08,3.12395,2.9866,-0.01843,-0.000889999999999991,-0.000549999999999999,1.64241,0.61665,0.20015,-0.01293,-0.01278,0.70178,14.53161,-0.00064,1.93382
"5","2015_Q2",19.39,"Down",186600000,-124100000,62500000,-52200000,-35900000,-16300000,10300000,-6e+05,-2400000,1800000,9700000,0,9700000,-4700000,5e+06,-15800000,-15800000,-15800000,38600000,38600000,207400000,207400000,170100000,2.2e+07,10700000,438100000,303300000,1152900000,8.8e+08,2.4e+07,1456200000,1894300000,229500000,157300000,72200000,15100000,15100000,263400000,82400000,38200000,459900000,723300000,1376100000,-99800000,-105300000,1.171e+09,1.171e+09,1894300000,-15800000,3e+05,22300000,6800000,-17700000,-18300000,-4200000,-4e+05,-4600000,-16100000,-16100000,-5e+05,-16600000,396300000,0.33494,0.0552,-0.08467,-0.01349,-0.00834,1.66325,0.61768,0.20921,-0.18565,-0.18526,2.19252,13.75906,-0.00958,34.72816
"6","2015_Q3",17.0984375,"Down",192800000,-121400000,71400000,-54900000,-36700000,-18200000,16500000,-2900000,-3100000,2e+05,13600000,-2e+05,13400000,-100000.000000004,13300000.0000001,-16100000,-16100000,-16100000,3.7e+07,3.7e+07,199600000,199600000,170900000,26500000,16200000,4.34e+08,307200000,1152700000,886900000,24100000,1459900000,1893900000,224800000,151600000,73200000,14300000,14300000,261600000,89400000,49800000,465400000,7.27e+08,1379700000,-115900000,-96900000,1166900000,1166900000,1893900000,-16100000,1600000,3.2e+07,17500000,-20700000,-21400000,2100000,0,2100000,-1800000,-1800000,2e+05,-1600000,398500000,0.37033,0.0855800000000005,-0.08351,-0.0138,-0.0085,1.65902,0.62302,0.21041,-0.18909,-0.18875,2.26439,13.70494,-0.00973,21.90909
"7","2015_Q4",17.05734375,"Down",246700000,-149400000,97300000,-78600000,-50200000,-28400000,18700000,-5300000,-3600000,-1700000,13400000,-8700000,4700000,1e+05,4800000,-14900000,-14900000,-14900000,57900000,57900000,220500000,220500000,1.72e+08,21200000,14700000,471600000,293400000,1215800000,934100000,25900000,1509200000,1980800000,215900000,142300000,73600000,3e+06,3e+06,245200000,86800000,50200000,535300000,780500000,1446400000,-130800000,-115300000,1200300000,1200300000,1980800000,-14900000,-9100000,12100000,-11900000,-9700000,-40900000,75800000,-1600000,74200000,21400000,21400000,-5e+05,20900000,474800000,0.39441,0.0758,-0.0604,-0.01241,-0.00752,1.92333,0.65025,0.2397,-0.16843,-0.16803,2.78864,13.56793,-0.00846,22.29412
"8","2016_Q1",12.3095081967213,"Down",127500000,-76900000,50600000,-47200000,-26900000,-20300000,3400000,-5600000,-3600000,-2e+06,-2200000,-5e+06,-7200000,1500000,-5700000,-1.87e+08,-1.87e+08,-1.87e+08,63300000,63300000,145200000,145200000,118400000,9200000,9200000,336100000,215300000,1145100000,925800000,29300000,1360400000,1696500000,144300000,77200000,67100000,1500000,1500000,175400000,115100000,43500000,514300000,689700000,1450800000,-317800000,-126200000,1006800000,1006800000,1696500000,-1.87e+08,186700000,66300000,6.6e+07,-14500000,-14600000,-45100000,-5e+05,-45600000,5800000,5800000,-4e+05,5400000,428800000,0.39686,0.02667,-1.46667,-0.18574,-0.11023,1.91619,0.68504,0.25276,-2.11315,-2.10795,1.44079,11.37713,-0.12059,107.5
"9","2016_Q2",13.76875,"Up",185300000,-118500000,66800000,-69200000,-43100000,-26100000,-2400000,-4200000,-3700000,-5e+05,-6600000,-3500000,-10100000,-2400000,-12500000,-29400000,-29400000,-29400000,44200000,44200000,1.27e+08,1.27e+08,127200000,15500000,15500000,313900000,212400000,1110500000,933900000,27900000,1322900000,1636800000,1.4e+08,79500000,60500000,4e+05,4e+05,169900000,97700000,42100000,469400000,639300000,1455400000,-347200000,-110700000,997500000,997500000,1636800000,-29400000,-2600000,4.2e+07,1e+07,7e+05,7e+05,-28600000,-1200000,-29800000,-19100000,-19100000,0,-19100000,401200000,0.3605,-0.01295,-0.15866,-0.02947,-0.01796,1.84756,0.6409,0.24511,-0.33207,-0.33207,2.09292,11.26651,-0.01965,-148.75
"10","2016_Q3",14.159375,"Up",190300000,-117400000,72900000,-7.1e+07,-45200000,-25800000,1900000,-3600000,-5800000,2200000,-1700000,-3700000,-5400000,-1400000,-6800000,-24600000,-24600000,-24600000,47200000,47200000,123200000,123200000,1.39e+08,14600000,14600000,3.24e+08,208600000,1095100000,913300000,29500000,1303700000,1627700000,135300000,74800000,60500000,1900000,1900000,139800000,93100000,41800000,485300000,625100000,1.491e+09,-371800000,-116600000,1002600000,1002600000,1627700000,-24600000,5900000,7e+05,-1.8e+07,0,3.72529029846191e-09,72100000,-50900000,21200000,3200000,3200000,-2e+05,3e+06,394800000,0.38308,0.00998,-0.12927,-0.02454,-0.01511,2.3176,0.62348,0.24255,-0.27749,-0.27749,2.14658,11.30933,-0.0165,182.94737
