"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q4",27.745,"Down",3.75e+08,-3.43e+08,-2.05e+08,-7.7e+07,-6.1e+07,1.7e+07,-1.2e+07,-4e+06,-8e+06,5e+06,5e+06,-3e+06,2e+06,2e+06,-7e+06,-5e+06,-5e+06,6.28e+08,5.43e+08,2.9e+07,2.3e+07,8.66e+08,1.14e+08,6.441e+09,2.716e+09,3.686e+09,3.9e+07,6.593e+09,7.459e+09,6.4e+07,6.2e+07,4.36e+08,6.7e+08,9.68e+08,8.35e+08,1.33e+08,1.638e+09,2.074e+09,2.81e+08,6.3e+08,-4e+06,9.07e+08,4.477e+09,5.384e+09,7.458e+09,2e+06,7.7e+07,-4e+06,-2.7e+07,4.8e+07,-1.5e+07,-1.37e+08,4.09e+08,-3.66e+08,4.3e+07,-4.6e+07,-4.6e+07,-4.6e+07,9.4e+07,7.46e+08,5.5e+07,0.04533,-0.01333,-0.00093,-0.00067,-11,1.98624,0.38522,0.10001,-0.07042,-0.06757,5.28169,12.77465,0.77465,-7e-04,0.00775,1.25532,6.94118
"2","2015_Q1",28.8980327868852,"Up",3.25e+08,-3.67e+08,-1.6e+08,-7.9e+07,-1.28e+08,-7e+06,-8e+06,-4e+06,-4e+06,-1.5e+07,-1.6e+07,-1.7e+07,-3.3e+07,-3.3e+07,1.5e+07,-1.8e+07,-1.8e+07,6.17e+08,5.09e+08,4.1e+07,4.1e+07,8.11e+08,1.38e+08,6.386e+09,2.66e+09,3.691e+09,3.5e+07,6.555e+09,7.366e+09,7.8e+07,5.7e+07,3.95e+08,6.62e+08,9.62e+08,8.08e+08,1.54e+08,1.624e+09,2.019e+09,2.96e+08,6.12e+08,-1.2e+07,8.96e+08,4.45e+09,5.346e+09,7.365e+09,-3.3e+07,7.9e+07,3.9e+07,-5e+06,8e+07,-3.3e+07,-9.5e+07,-7999999.99999994,-14000000.0000001,-1e+07,-2.5e+07,-2.5e+07,-3.4e+07,7.2e+07,7.4e+08,5.1e+07,-0.02154,-0.05538,-0.00337,-0.00244,-2.83333,2.05316,0.37767,0.10046,-0.23377,-0.24324,4.22078,11.63636,0.66234,-0.00255,0.00724,1.70833,-17.57143
"3","2015_Q2",30.3419047619048,"Up",3.74e+08,-3.36e+08,-1.96e+08,-6.4e+07,-7.6e+07,3.8e+07,-1e+07,-8e+06,-2e+06,2.8e+07,2.8e+07,-1.1e+07,1.7e+07,1.7e+07,-2.4e+07,-7e+06,-7e+06,6.73e+08,5.55e+08,4.5e+07,3.3e+07,9.59e+08,1.76e+08,6.283e+09,2.566e+09,3.678e+09,3.9e+07,6.478e+09,7.437e+09,8e+07,7.8e+07,4.59e+08,6.59e+08,9.8e+08,8.06e+08,1.74e+08,1.639e+09,2.098e+09,2.9e+08,6.05e+08,-2.3e+07,8.72e+08,4.466e+09,5.338e+09,7.436e+09,1.7e+07,6.4e+07,1.1e+07,3e+06,9.5e+07,-3.2e+07,-3.5e+07,-8e+06,2e+06,-2e+06,5.8e+07,5.8e+07,4.6e+07,1.02e+08,7.39e+08,8.4e+07,0.1016,-0.01872,-0.00131,-0.00094,-12,2.08932,0.39303,0.09937,-0.09333,-0.09333,4.98667,11.62667,1.12,-0.00099,0.0119,0.64706,1.73684
"4","2015_Q3",27.67546875,"Down",4.14e+08,-3.89e+08,-2.45e+08,-6.8e+07,-7.6e+07,2.5e+07,0,-5e+06,5e+06,2.5e+07,2.5e+07,-1.2e+07,1.3e+07,1.3e+07,-2e+07,-7e+06,-7e+06,7.53e+08,6.25e+08,6.2e+07,5e+07,1.076e+09,1.81e+08,6.306e+09,2.566e+09,3.701e+09,3.9e+07,6.522e+09,7.598e+09,9.1e+07,8.8e+07,5.34e+08,6.99e+08,9.89e+08,8.12e+08,1.77e+08,1.688e+09,2.222e+09,2.45e+08,5.98e+08,-1.7e+07,8.26e+08,4.549e+09,5.375e+09,7.597e+09,1.3e+07,6.8e+07,-2e+06,1.14e+08,1.93e+08,-2.4e+07,-7.4e+07,-4.2e+07,-1.7e+07,-5.8e+07,6.1e+07,6.1e+07,7e+07,9.3e+07,7e+08,1.95e+08,0.06039,-0.01691,-0.0013,-0.00092,-27.85714,2.01498,0.4134,0.09213,-0.09333,-0.09333,5.52,11.01333,2.6,-0.00099,0.0276,-0.56989,-2.12
"5","2015_Q4",29.473125,"Up",4.32e+08,-3.97e+08,-2.43e+08,-6.7e+07,-8.7e+07,3.5e+07,6e+06,-7e+06,1.3e+07,4.1e+07,4.1e+07,-1.2e+07,2.9e+07,2.9e+07,-3.2e+07,-3e+06,-3e+06,7.21e+08,6.02e+08,4.3e+07,3.1e+07,1.018e+09,1.81e+08,6.222e+09,2.487e+09,3.692e+09,4.3e+07,6.448e+09,7.466e+09,7.1e+07,6.9e+07,3.86e+08,7.03e+08,9.78e+08,7.91e+08,1.87e+08,1.681e+09,2.067e+09,2.47e+08,5.95e+08,-2.3e+07,8.19e+08,4.579e+09,5.398e+09,7.465e+09,2.9e+07,6.7e+07,1.1e+07,-7.7e+07,3e+07,-4e+07,-2e+07,0,-2.8e+07,-2.8e+07,-1.8e+07,-1.8e+07,-2.3e+07,1.02e+08,7.04e+08,-3e+06,0.08102,-0.00694,-0.00056,-4e-04,1,2.63731,0.38292,0.09429,-0.04,-0.04,5.76,10.92,-0.04,-0.00042,-0.00042,-0.16667,-0.48571
"6","2016_Q1",21.9645901639344,"Down",3.45e+08,-4.26e+08,-2.51e+08,-6.9e+07,-1.06e+08,-8.1e+07,-2.8e+07,-8e+06,-2e+07,-1.09e+08,-9e+07,4.5e+07,-4.5e+07,-4.5e+07,2.2e+07,-2.3e+07,-2.3e+07,6.91e+08,6.44e+08,3.4e+07,3.4e+07,9.06e+08,1.8e+08,6.162e+09,2.428e+09,3.689e+09,4.5e+07,6.379e+09,7.285e+09,1.9e+08,6.4e+07,3.2e+08,6.2e+08,9.09e+08,7.19e+08,1.9e+08,1.529e+09,1.849e+09,2.6e+08,5.72e+08,-2.5e+07,8.07e+08,4.628e+09,5.435e+09,7.284e+09,-4.5e+07,6.9e+07,3.6e+07,1.3e+07,7.3e+07,-1.6e+07,6.8e+07,-8.8e+07,-7e+06,-9.5e+07,4.6e+07,4.6e+07,4.2e+07,-1.2e+07,6.21e+08,-6e+07,-0.23478,-0.06667,-0.00423,-0.00316,2.6087,2.83125,0.3402,0.08524,-0.30667,-0.30667,4.6,10.76,-0.8,-0.0033,-0.00861,5.83333,0.864200000000001
"7","2016_Q2",21.98984375,"Up",3.61e+08,-3.59e+08,-2.15e+08,-5.5e+07,-8.9e+07,2e+06,-6e+06,-8e+06,2e+06,-4e+06,-5e+06,-3e+06,-8e+06,-8e+06,-4e+06,-1.2e+07,-1.2e+07,7.15e+08,6.76e+08,3.3e+07,3.3e+07,9.94e+08,1.79e+08,6.14e+09,2.398e+09,3.694e+09,4.8e+07,6.336e+09,7.33e+09,9.7e+07,9.3e+07,4.35e+08,5.34e+08,9.04e+08,7.12e+08,1.92e+08,1.438e+09,1.873e+09,2.55e+08,5.6e+08,-2.3e+07,7.92e+08,4.664e+09,5.456e+09,7.329e+09,-8e+06,5.5e+07,1.6e+07,5.3e+07,1.16e+08,-1.7e+07,1.1e+07,-9e+07,-7e+06,-9.7e+07,3e+07,3e+07,3.2e+07,5.7e+07,5.35e+08,9.6e+07,0.00554,-0.03324,-0.0022,-0.00164,-8,2.28506,0.34329,0.07299,-0.16,-0.16,4.81333,10.56,1.28,-0.00174,0.01392,-3.15789,-90
"8","2016_Q3",21.85515625,"Down",3.98e+08,-3.85e+08,-2.39e+08,-5.5e+07,-9.1e+07,1.3e+07,-1e+07,-7e+06,-3e+06,3e+06,1e+07,-999999.999999993,9e+06,9e+06,-1e+07,-1e+06,-1e+06,8.99e+08,8.12e+08,3.8e+07,3.8e+07,1.168e+09,1.78e+08,6.098e+09,2.353e+09,3.69e+09,5.5e+07,6.314e+09,7.482e+09,1.06e+08,9.7e+07,5.84e+08,5.5e+08,8.92e+08,6.96e+08,1.96e+08,1.442e+09,2.026e+09,2.55e+08,5.58e+08,-2.8e+07,7.85e+08,4.67e+09,5.455e+09,7.481e+09,9e+06,5.5e+07,9e+06,1.61e+08,2.34e+08,-2e+07,-8.8e+07,1.1e+07,-999999.999999998,-2e+06,1.44e+08,1.44e+08,1.36e+08,6.8e+07,5.51e+08,2.1e+08,0.03266,-0.00251,-0.00018,-0.00013,-210,2,0.3714,0.07364,-0.01333,-0.01333,5.30667,10.46667,2.8,-0.00014,0.03044,-5.11765,-26.76923
"9","2016_Q4",18.4377777777778,"Down",4.34e+08,-4.02e+08,-2.52e+08,-5.6e+07,-9.4e+07,3.2e+07,-5e+06,-5e+06,0,2.7e+07,2.6e+07,1e+06,2.7e+07,2.7e+07,-2.8e+07,-1e+06,-1e+06,7.68e+08,6.52e+08,4.4e+07,4.4e+07,1.04e+09,1.79e+08,6.086e+09,2.326e+09,3.702e+09,5.8e+07,6.294e+09,7.334e+09,9e+07,7e+07,4.74e+08,4.81e+08,8.8e+08,6.75e+08,2.05e+08,1.361e+09,1.835e+09,2.57e+08,5.58e+08,-2.8e+07,7.87e+08,4.711e+09,5.498e+09,7.333e+09,2.7e+07,5.6e+07,0,-1.76e+08,-9.3e+07,-2.1e+07,-6.4e+07,4e+06,1e+06,-3e+06,-1.6e+08,-1.6e+08,-1.6e+08,8.8e+07,5.57e+08,-1.1e+08,0.07373,-0.0023,-0.00018,-0.00014,110,2.19409,0.33376,0.07595,-0.01333,-0.01333,5.78667,10.49333,-1.46667,-0.00014,-0.01586,-2.39773,-6.59375
"10","2017_Q1",15.725,"Down",3.39e+08,-3.63e+08,-2.12e+08,-5.6e+07,-9.5e+07,-2.4e+07,-9e+06,-5e+06,-4e+06,-3.3e+07,1.5e+07,4e+06,1.9e+07,1.9e+07,1.6e+07,3.5e+07,3.5e+07,7.72e+08,6.54e+08,4.7e+07,4.7e+07,1.01e+09,1.76e+08,6.08e+09,2.269e+09,3.694e+09,1.17e+08,6.272e+09,7.282e+09,2.23e+08,6.4e+07,4.35e+08,5.55e+08,8.68e+08,6.59e+08,2.09e+08,1.423e+09,1.858e+09,2.45e+08,5.93e+08,-3.6e+07,8.02e+08,4.621e+09,5.423e+09,7.281e+09,1.9e+07,5.6e+07,-3.8e+07,7e+06,4.4e+07,-1.5e+07,-2.3e+07,7.6e+07,-1e+06,-8e+06,12999999.9999999,12999999.9999999,2e+06,3.2e+07,6.35e+08,2e+07,-0.0708,0.10324,0.00645,0.00481,0.571430000000021,2.32184,0.34261,0.0872,0.46667,0.46667,4.52,10.69333,0.26667,0.00505,0.00289000000000001,-4.28125,5.70833
"11","2017_Q2",13.0150793650794,"Down",3.78e+08,-3.85e+08,-2.45e+08,-5.6e+07,-8.4e+07,-7e+06,-4e+06,-5e+06,1e+06,-1.1e+07,-5e+06,-4e+06,-9e+06,-9e+06,6e+06,-3e+06,-3e+06,7.82e+08,7.67e+08,4e+07,4e+07,1.056e+09,1.74e+08,6.069e+09,2.247e+09,3.698e+09,1.24e+08,6.246e+09,7.302e+09,3.28e+08,8.8e+07,4.61e+08,6.76e+08,8.73e+08,6.58e+08,2.15e+08,1.549e+09,2.01e+09,2.28e+08,5.9e+08,-3.3e+07,7.85e+08,4.506e+09,5.291e+09,7.301e+09,-9e+06,5.6e+07,1.6e+07,6.4e+07,1.27e+08,-1.8e+07,9.8e+07,4.6e+07,-1e+07,-1.14e+08,1.11e+08,1.11e+08,1.12e+08,4.9e+07,6.83e+08,9.9e+07,-0.01852,-0.00794,-0.00057,-0.00041,-33,2.29067,0.37989,0.09354,-0.04,-0.04,5.04,10.46667,1.32,-0.00044,0.01446,-2.02041,14.14286
"12","2017_Q3",12.4265079365079,"Down",4.31e+08,-4.18e+08,-2.71e+08,-5.5e+07,-9.2e+07,1.3e+07,-5e+06,-7e+06,2e+06,8e+06,3000000.00000003,-1e+07,-7000000.00000001,-7000000.00000001,-4999999.99999999,-1.2e+07,-1.2e+07,9.32e+08,9.15e+08,2.5e+07,2.5e+07,1.209e+09,1.71e+08,6.073e+09,2.227e+09,3.707e+09,1.39e+08,6.248e+09,7.457e+09,4.49e+08,9e+07,6.25e+08,7.28e+08,8.66e+08,6.44e+08,2.22e+08,1.594e+09,2.219e+09,2.39e+08,5.78e+08,-2.8e+07,7.89e+08,4.448e+09,5.237e+09,7.456e+09,-7000000.00000001,5.5e+07,2.2e+07,1.46e+08,2.16e+08,-1.8e+07,-2.7e+07,4.8e+07,-1e+06,-5.2e+07,1.37e+08,1.37e+08,1.45e+08,6.8e+07,7.35e+08,2.06e+08,0.03016,-0.02784,-0.00229,-0.00161,-17.16667,1.9344,0.42372,0.09857,-0.16,-0.16,5.74667,10.52,2.74667,-0.00175,0.03012,-2.89706,-15.15385
"13","2017_Q4",10.2744444444444,"Down",4.39e+08,-4.23e+08,-2.93e+08,-5e+07,-8e+07,1.6e+07,-7e+06,-6e+06,-1e+06,9e+06,0,-7e+06,-7e+06,-7e+06,-6e+06,-1.3e+07,-1.3e+07,7.86e+08,7.73e+08,2.5e+07,2.5e+07,1.065e+09,1.69e+08,6.053e+09,2.207e+09,3.714e+09,1.32e+08,6.228e+09,7.293e+09,2.87e+08,6.5e+07,4.22e+08,7.36e+08,8.58e+08,6.29e+08,2.29e+08,1.594e+09,2.016e+09,2.44e+08,5.65e+08,-2.4e+07,7.85e+08,4.491e+09,5.276e+09,7.292e+09,-7e+06,5e+07,2.3e+07,-2.07e+08,-1.41e+08,-1.5e+07,-1.4e+07,7e+06,-2e+06,4e+06,-1.51e+08,-1.51e+08,-1.43e+08,6.6e+07,7.43e+08,-1.49e+08,0.03645,-0.02961,-0.00246,-0.00178,11.46154,2.5237,0.38211,0.10188,-0.17333,-0.17333,5.85333,10.46667,-1.98667,-0.00189,-0.02166,-0.65152,-2.6875
