"","YQ","p","d","revenue","cost_of_revenue","operating_expenses","selling_general_administrative","general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","change_in_working_capital","net_cash_from_operating_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q3",2.08951612903226,"Up",256385,-833.255851426697,-242276,-242276,-242276,14109,0,0,14109,14109,14109,14109,14109,14109,11798,11798,11798,1491,13289,213716.529413758,202912.878361758,3617,3617,3617,30600,-20928,9672,9672,13289,14109,0,-18517,-4408,-10473,-10473,-10473,14109,0,0.05503,0.05503,1.45875,1.06171,3.26182,0.37397,0,0.00054,0.00054,0.0098,0.00037,1.45875,-0.8362,-0.8362
"2","2017_Q4",1.34952380952381,"Down",231504,0,-339819,-339819,-339369,-108315,-39,-39,-108354,-108354,-108354,-108354,-108354,-108354,224401,224401,228348,1500,229848,64104,59243,41899,106003,106003,846750,-726155,123845,123845,229848,-108354,0,21244,-87110,161390,161390,161390,-108315,0,-0.46788,-0.46804,-0.87492,-0.47142,2.15417,0.855930000000001,0,-0.00419,-0.00419,0.00896,0.00467,-0.87492,2.07174,2.07174
"3","2018_Q1",1.9344262295082,"Up",220895.376621311,277.751950475566,-466963,-466963,-466963,-232200,-181,-181,-232381,-232381,-232381,-232381,-232381,-232381,164680,164680,195547,1500,197047,45049,45049,55533,100582,100582,1048000,-958535,96465,96465,197047,-305877,0,19440,-286437,-70372,-70372,-70372,-232200,0,-0.9525152745882,-0.939612014718004,-2.40897,-1.17932,1.94416,1.04268,0,-0.00713,-0.00713,0.00707392887328296,0.00275,-2.40897,0.70922,0.70922
"4","2018_Q2",1.4184375,"Down",231515,0,-466300,-466300,-431535,-234785,4971,-29,-229814,-229814,-229814,-229814,-229814,-229814,285768,285768,315883,1393,317276,69892,69892,60733,330625,330625,1168000,-1188349,-13349,-13349,317276,-229814,107,30795,-198912,121088,121088,121088,-234678,2e+05,-1.01412,-0.99265,17.21582,-0.72433,0.95541,-24.76777,0.63037,-0.00601,-0.00601,0.00605,-0.00053,-1.23125,0.36547,0.3653
"5","2018_Q3",1.07142857142857,"Down",262173,0,-502866,-502866,-452776,-240693,57,0,-240636,-240636,-240636,-240636,-240636,-240636,197080,197080,236055,1339,237394,56613,56126,84766,491379,491379,1168000,-1428985,-253985,-253985,237394,-240636,54,1894,-238688,-88688,-88688,-88688,-240639,350000,-0.91807,-0.91785,0.94744,-1.01366,0.48039,-1.93468,1.47434,-0.00627,-0.00627,0.00683,-0.0068,-2.50623,-0.63547,-0.63533
"6","2018_Q4",0.877142857142857,"Down",292281,0,-1114796,-1114796,-1060830,-822515,-17976,-12919,-840491,-840491,-840491,-840491,-840491,-840491,195593,195593,427197,1285.99999999999,428483,88650,88650,121723,1000976,1000976,1690073,-2269476,-572493,-572493,428483,-840491,53,-123635,-444090,-1487,-1487,-1487,-822462,790603,-2.81412,-2.87563,1.46812,-1.96155,0.42678,-1.74845,1.84512,-0.02079,-0.02079,0.00723,-0.01434,-3.85352,-0.72345,-0.7234
"7","2019_Q1",1.18393442622951,"Up",342276,0,-1993417,-1993417,-1925407,-1651141,-17593,-22593,-1668734,-1668734,-1668734,-1668734,-1668734,-1668734,375938,375938,560313,873,561186,356870,66087,156530,1319084,1319084,3173492,-3938210,-757898,-757898,561186,-1668734,413,350256,-746236,180345,180345,180345,-1650728,805684,-4.824,-4.8754,2.20179,-2.97358,0.42477,-1.74045,1.43568,-0.03919,-0.03919,0.00804,-0.01796,-34.92098,-0.26034,-0.26027
"8","2019_Q2",0.943174603174603,"Down",387517,0,-1779322,-1779322,-1704126,-1391805,-37098,-37098,-1428903,-1428903,-1428903,-1428903,-1428903,-1428903,183325,183325,367842,746.999999999884,368589,480626,164315,213198,1730167,1730167,3998715,-5367113,-1361578,-1361578,368589,-1428903,126,162554,-614113,-192613,-192613,-192613,-1391679,1036343,-3.5916,-3.68733,1.04945,-3.87668,0.2126,-1.27071,2.81165,-0.03343,-0.03343,0.00907,-0.03202,4.39345,-0.61294,-0.61289
"9","2019_Q3",0.32140625,"Down",419713,0,-1960059,-1960059,-1904980,-1540346,-137524,-137524,-1677870,-1677870,-1677870,-1677870,-1677870,-1677870,618170,618170,870599,2979473,3850072,640505,539052,265242,2452943,2452943,8435292,-7044983,1397129,1397129,3850072,-1677870,110454,-138261,-984212,434845,434845,434845,-1429892,1547196,-3.67,-3.99766,-1.20094,-0.4358,0.35492,1.7557,0.40186,-0.03515,-0.03515,0.00879,0.02913,-0.56987,-0.64972,-0.60313
"10","2019_Q4",0.13671875,"Down",489320,-5.82076609134674e-11,-2017820,-2017820,-1947795,-1528500,-181643,-181643,-1710143,-1710143,-1710143,-1710143,-1710143,-1710143,563383,563383,772952,3215745,3988697,653584,459086,221715,2515496,2625641,10111362,-8755126,1363056,1363056,3988697,-1710143,123789,112412,-756951,-54787,-54787,-54787,-1404711,1750342,-3.12372,-3.49494,-1.25464,-0.42875,0.30728,1.92629,0.43883,-0.03135,-0.03135,0.00897,0.02486,-0.549289999999998,-0.84498,-0.77655
"11","2020_Q1",0.110322580645161,"Down",493273,-1289583,-617162,-617162,432077,-1413472,-323278,-323278,-1736750,-1736750,-1736750,-1736750,-1736750,-1736750,181647,181647,381021,3534174,3915195,821000,530968,275624,3278871,3278871,11124080,-10491876,636324,636324,3915195,-1736750,154888,231520,-533304,-381736,-381736,-381736,-1258584,2182247,-2.8655,-3.52087,-2.72935,-0.44359,0.1162,5.15283,0.55738,-0.05021,-0.05021,0.01426,0.01828,-0.61618,-1.58956,-1.41538
"12","2020_Q2",0.0792063492063492,"Down",490235,-448743,-1888599,-919905,-307970,-1847107,-255435,-255435,-2102542,-2102542,-2102542,-2102542,-2102542,-2102542,2550615,2550615,2705250,3932272,6637522,731422,432547,355079,2829902,3197643,16030177,-12594418,3439879,3439879,6637522,-2102542,162918,289664,-830340,2368968,2368968,2368968,-1684189,2111142,-3.7678,-4.28885,-0.61123,-0.31677,0.95595,0.92958,0.31806,-0.03132,-0.03132,0.0073,0.05117,-0.37877,0.26094,0.23793
"13","2020_Q3",0.070625,"Down",805281,-576610,-1184254,-895476,-267899,-955583,-314257,-314257,-1269840,-1269840,-1269840,-1269840,-1269840,-1269840,864917,864917,1113156,3932303,5045459,802127,394797,235022,2618437,2873918,16031679,-13864258,2171541,2171541,5045459,-1269840,173553,-216083,-1310868,-1685698,-1685698,-1685698,-782030,1836769,-1.18665,-1.57689,-0.58476,-0.25168,0.42512,1.32345,0.36404,-0.01616,-0.01616,0.01025,0.02758,-0.3168,-1.24273,-1.01703
