"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","other_income","total_claims_losses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","loans_mortgages","equity_securities","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","premium_reserve_unearned","life_policy_benefits","other_insurance_reserves","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","change_in_insurance_reserves","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"14","2013_Q3",25.849375,"Up",2.01e+09,3.295e+09,-1.752e+09,4.67e+08,3.43e+08,5.9e+07,6.5e+07,-354999999.999999,-5.75e+08,1.08e+09,-1e+08,-1e+08,9.8e+08,9.8e+08,-2.64e+08,7.16e+08,-1.9e+08,-1.9e+08,-1.9e+08,1.0552e+11,7.0752e+10,6.823e+09,2.4196e+10,3.749e+09,1.74e+09,3.581e+09,9.11e+08,2.472e+09,1.80609e+11,2.94833e+11,1.10793e+11,5.297e+09,6.4899e+10,4.0597e+10,6.625e+09,1.58292e+11,2.7582e+11,1.0549e+10,5e+06,1.0544e+10,-1.823e+09,1.0213e+10,7.4e+07,1.9013e+10,1.9013e+10,2.94833e+11,-1.9e+08,5e+06,-2.163e+09,2.57e+09,2.22e+08,2.437e+09,-1.225e+09,1.212e+09,-5.3e+07,2.73e+08,-1.08e+08,-4.295e+09,2.664e+09,-1.519e+09,-84999999.9999999,-84999999.9999999,-1.6e+08,-2.45e+08,1.085e+09,6.735e+09,0.53731,-0.09453,-0.00999,-0.00064,14.50692,0.02284,-0.42091,-0.38855,4.45281,42.12007,0.11741,-0.00046,-0.27895,4.60369,4.625
"15","2013_Q4",28.6490625,"Up",4.862e+09,3.338e+09,7.87e+08,7.37e+08,5.38e+08,1.31e+08,6.8e+07,-2.764e+09,-1.558e+09,5.4e+08,-9.4e+07,-9.4e+07,4.46e+08,4.46e+08,-8.1e+07,3.65e+08,2.93e+08,2.93e+08,2.93e+08,1.03064e+11,6.9163e+10,6.99e+09,2.3205e+10,3.706e+09,1.422e+09,3.673e+09,8.95e+08,2.249e+09,1.72644e+11,2.83947e+11,1.09423e+11,5.445e+09,6.3877e+10,4.0101e+10,6.306e+09,1.49207e+11,2.65019e+11,1.0419e+10,5e+06,1.0414e+10,-1.913e+09,1.0439e+10,-1.7e+07,1.8928e+10,1.8928e+10,2.83947e+11,2.93e+08,8.3e+07,-6.46e+08,7.65e+08,4.95e+08,1.41e+08,2.8e+07,1.69e+08,-4.7e+07,-3.47e+08,-2.4e+08,-4.437e+09,3.988e+09,-1.083e+09,-4.19e+08,-4.19e+08,1.01e+08,-3.18e+08,6.23e+08,6.389e+09,0.11107,0.06026,0.01548,0.00103,14.00143,0.0225,0.64809,0.59723,10.75426,41.86684,0.10396,0.0012,0.16041,7.97271,9.19815
"16","2014_Q1",29.0568852459016,"Up",4.777e+09,3.346e+09,8.11e+08,6.2e+08,5.44e+08,2000000.00000006,7.4e+07,-2.703e+09,-1.496e+09,5.78e+08,-9.6e+07,-9.6e+07,4.82e+08,4.82e+08,-9.8e+07,3.84e+08,3.14e+08,3.14e+08,3.24e+08,9.8401e+10,6.7209e+10,7.018e+09,2.0613e+10,3.561e+09,1.428e+09,3.465e+09,8.77e+08,2.161e+09,1.71552e+11,2.77884e+11,1.05361e+11,5.225e+09,4.1373e+10,5.8763e+10,6.106e+09,1.47074e+11,2.58979e+11,9.899e+09,5e+06,9.894e+09,-1.598e+09,1.0683e+10,-7.9e+07,1.8905e+10,1.8905e+10,2.77884e+11,3.14e+08,4.9e+07,-3.852e+09,3.823e+09,3.34e+08,2.688e+09,-6.31e+08,2.057e+09,-6.8e+07,2.39e+08,-2.22e+08,1.0879e+10,-1.3194e+10,-2.366e+09,2.5e+07,25000000.0000001,-1.9e+07,6e+06,6.27e+08,6.544e+09,0.121,0.06782,0.01714,0.00117,13.69897,0.02355,0.7184,0.66163,10.59202,41.91796,0.15078,0.00141,0.20988,8.15949,8.85121
"17","2014_Q2",29.5304761904762,"Up",4.612e+09,3.302e+09,8.24e+08,4.86e+08,4.96e+08,-3.5e+07,2.5e+07,-2.576e+09,-1.332e+09,7.04e+08,-9.5e+07,-9.5e+07,6.09e+08,6.09e+08,-1.43e+08,4.66e+08,4.95e+08,4.95e+08,4.95e+08,9.7084e+10,6.839e+10,7.136e+09,1.8197e+10,3.361e+09,1.285e+09,3.466e+09,8.7e+08,2.092e+09,1.68126e+11,2.72923e+11,1.02623e+11,5.326e+09,5.8867e+10,3.843e+10,5.818e+09,1.44176e+11,2.53149e+11,9.554e+09,5e+06,9.549e+09,-1.55e+09,1.1111e+10,6.59e+08,1.9774e+10,1.9774e+10,2.72923e+11,4.95e+08,6e+07,-1.956e+09,1.75e+09,3.49e+08,4.34e+08,-2.38e+08,1.96e+08,-6.7e+07,-2.06e+08,-2.7e+08,-3.87e+09,3.728e+09,-6.85e+08,-1.4e+08,-1.4e+08,-3e+06,-1.43e+08,7.64e+08,6.35e+09,0.15265,0.10733,0.02503,0.00181,12.80211,0.02327,1.10049,1.03427,10.25345,43.96176,0.14896,0.00206,0.13535,6.62958,7.1946
"18","2014_Q3",30.50125,"Up",4.616e+09,3.319e+09,7.68e+08,5.29e+08,5.02e+08,-4e+06,3.1e+07,-3.023e+09,-1.349e+09,2.44e+08,-9.4e+07,-9.4e+07,1.5e+08,1.5e+08,0,1.5e+08,-4.67e+08,-4.67e+08,-4.67e+08,7.6239e+10,6.5167e+10,7.006e+09,8.35e+08,3.231e+09,1.512e+09,3.567e+09,8.07e+08,2.026e+09,1.70562e+11,2.54713e+11,8.0505e+10,5.348e+09,4.1682e+10,3.3475e+10,5.819e+09,1.48672e+11,2.35285e+11,9.235e+09,5e+06,9.23e+09,-1.546e+09,1.0577e+10,1.162e+09,1.9428e+10,1.9428e+10,2.54713e+11,-4.67e+08,1.49011611938477e-08,1.25e+08,5.03e+08,1.61e+08,1.904e+09,-3.71e+08,1.533e+09,-6.7e+07,0,-3.82e+08,2.721e+09,-3.629e+09,-1.357e+09,3.37e+08,3.37e+08,-1.12e+08,2.25e+08,2.44e+08,6.108e+09,0.05286,-0.10117,-0.02404,-0.00183,12.11061,0.02398,-1.0364,-0.99808,10.24412,43.11585,0.14869,-0.00157,-0.14347,18.83607,18.83607
"19","2014_Q4",33.50265625,"Up",4.769e+09,3.337e+09,8.1e+08,6.22e+08,5.24e+08,6.9e+07,2.9e+07,-2.624e+09,-1.556e+09,5.89e+08,-9.3e+07,-9.3e+07,4.96e+08,4.96e+08,-1.08e+08,3.88e+08,3.88e+08,3.88e+08,3.88e+08,7.6231e+10,6.5063e+10,7.155e+09,6.6e+08,3.353e+09,4.4e+08,3.54e+09,8.16e+08,1.868e+09,1.64205e+11,2.471e+11,7.9579e+10,5.389e+09,4.1442e+10,3.2748e+10,5.819e+09,1.42578e+11,2.28265e+11,9.018e+09,5e+06,9.013e+09,-2.146e+09,1.0886e+10,1.077e+09,1.8835e+10,1.8835e+10,2.471e+11,3.88e+08,9.2e+07,-3.8e+07,-5.7e+07,3.85e+08,8.49e+08,-6.59e+08,1.9e+08,-7.9e+07,-7e+06,-8.32e+08,-6.17e+08,-9.9e+07,-1.634e+09,-1.059e+09,-1.059e+09,-1.1e+07,-1.07e+09,6.81e+08,6.108e+09,0.12351,0.08136,0.0206,0.00157,12.11919,0.02472,0.88747,0.86069,10.90805,43.08097,0.1807,0.00189,0.20361,8.32305,9.62309
"20","2015_Q1",34.8531147540984,"Up",4.617e+09,3.378e+09,7.52e+08,4.87e+08,4.74e+08,-1.4e+07,2.7e+07,-2.559e+09,-1.52e+09,5.38e+08,-9.4e+07,-9.4e+07,4.44e+08,4.44e+08,-9.9e+07,3.45e+08,3.82e+08,3.82e+08,3.82e+08,7.6278e+10,6.4755e+10,6.976e+09,1.058e+09,3.489e+09,3.99e+08,3.429e+09,8.31e+08,1.823e+09,1.62253e+11,2.45013e+11,7.9231e+10,5.255e+09,4.1444e+10,3.2532e+10,5.653e+09,1.40953e+11,2.26293e+11,9.128e+09,5e+06,9.123e+09,-2.527e+09,1.1191e+10,9.28e+08,1.872e+10,1.872e+10,2.45013e+11,3.82e+08,1.24e+08,9.3e+08,-4.45e+08,9.91e+08,-7.4e+07,-1.49e+08,-2.23e+08,-6.9e+07,0,-2.82e+08,-4.49e+08,1925832007.52258,-8e+08,-3.2e+07,-3.2e+07,-9000000.00000001,-4.1e+07,6.62e+08,6.109e+09,0.11653,0.08274,0.02041,0.00156,12.0883,0.02493,0.8892,0.86133,10.74721,43.57542,0.16061,0.00184,0.18063,8.62538,10.61338
"21","2015_Q2",35.6696825396825,"Up",4.617e+09,3.322e+09,8.09e+08,4.86e+08,4.59e+08,5e+06,2.2e+07,-2.563e+09,-1.335e+09,7.19e+08,-9.4e+07,-9.4e+07,6.25e+08,6.25e+08,-1.58e+08,4.67e+08,4.67e+08,4.67e+08,4.67e+08,7.6576e+10,6.4726e+10,7.138e+09,1.159e+09,3.553e+09,5e+08,3.497e+09,8.48e+08,1.764e+09,1.63775e+11,2.4696e+11,7.9007e+10,5.383e+09,4.1523e+10,3.2101e+10,5.653e+09,1.43056e+11,2.27883e+11,9.001e+09,5e+06,8.996e+09,-2.657e+09,1.1583e+10,1.15e+09,1.9077e+10,1.9077e+10,2.4696e+11,4.67e+08,1.01e+08,5.72e+08,-6.93e+08,4.47e+08,-9.13e+08,1.208e+09,2.95e+08,-7.8e+07,-2.91e+08,-2.75e+08,-2.98e+08,323000000.000002,-6.19e+08,1.23e+08,1.23e+08,-2.2e+07,1.01e+08,8.2e+08,5.82e+09,0.15573,0.10115,0.02448,0.00189,11.94543,0.02357,1.10506,1.07678,10.92522,45.14198,0.18457,0.00221,0.16702,6.4878,7.39917
"22","2015_Q3",39.62375,"Up",4.693e+09,3.391e+09,7.96e+08,5.06e+08,4.69e+08,1.7e+07,2e+07,-2.812e+09,-1.301e+09,5.8e+08,-8.9e+07,-8.9e+07,4.91e+08,4.7e+08,-5.7e+07,4.13e+08,4.13e+08,4.13e+08,4.13e+08,7.444e+10,6.2959e+10,7.121e+09,8.67e+08,3.493e+09,4.93e+08,3.588e+09,8.74e+08,1.786e+09,1.59839e+11,2.4102e+11,7.8834e+10,5.463e+09,4.15e+10,3.1871e+10,5.358e+09,1.38434e+11,2.22793e+11,8.988e+09,5e+06,8.983e+09,-2.87e+09,1.1921e+10,1.88e+08,1.8227e+10,1.8227e+10,2.4102e+11,4.13e+08,7.2e+07,4.69e+08,-2.95e+08,6.59e+08,5.64e+08,-3.91e+08,1.73e+08,-7.5e+07,-3.07e+08,-2.07e+08,-2.48e+08,-1.2e+07,-8.49e+08,-1.7e+07,-1.7e+07,7e+06,-1e+07,6.52e+08,5.525e+09,0.12359,0.088,0.02266,0.00171,12.22324,0.02292,0.98639,0.96473,11.2085,43.53236,0.17913,0.00202,0.1816,7.71779,8.67586
"23","2015_Q4",39.5146875,"Down",4.582e+09,3.404e+09,7.3e+08,4.48e+08,4.48e+08,-2.4e+07,2.4e+07,-2.71e+09,-1.405e+09,4.67e+08,-8.8e+07,-8.8e+07,3.79e+08,3.79e+08,-7e+06,3.72e+08,3.81e+08,3.81e+08,3.81e+08,7.4405e+10,6.309e+10,6.969e+09,8.24e+08,3.522e+09,6.65e+08,3.601e+09,9.32e+08,1.71e+09,1.5014e+11,2.31453e+11,7.9116e+10,5.508e+09,4.1685e+10,3.1923e+10,5.359e+09,1.28607e+11,2.13249e+11,8.961e+09,5e+06,8.956e+09,-3.112e+09,1.2215e+10,1.4e+08,1.8204e+10,1.8204e+10,2.31453e+11,3.81e+08,7.2e+07,5.26e+08,-8.5e+07,8.94e+08,3.48e+08,-2.13e+08,1.35e+08,-7.6e+07,-1.8e+07,-2.78e+08,-4.68e+08,2e+06,-8.38e+08,1.91e+08,1.91e+08,-1.6e+07,1.75e+08,5.39e+08,5.526e+09,0.10192,0.08315,0.02093,0.00165,11.7144,0.02388,0.92073,0.90071,11.07298,43.99227,0.18366,0.00197,0.19948,9.01855,10.40899
