"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",4.68698412698413,"Up",1.248e+09,-4.96e+08,7.52e+08,-5.65e+08,-5.31e+08,-3e+06,1.87e+08,-3e+07,-3.3e+07,3e+06,1.57e+08,1.57e+08,-6.8e+07,8.9e+07,8.9e+07,8.9e+07,8.9e+07,5.71e+08,5.71e+08,5.29e+08,5.29e+08,2.7e+08,2.6e+08,1.69e+08,3.2e+07,1.63e+09,1.106e+09,6.371e+09,2.984e+09,2.702e+09,1.42e+08,5.43e+08,7.487e+09,9.117e+09,8.14e+08,7.98e+08,453597086.946983,3.6e+07,8.5e+08,2.566e+09,2.639e+09,1.042e+09,7.36e+08,5.205e+09,6.055e+09,2.965e+09,1.38e+08,-4.1e+07,3.062e+09,3.062e+09,9.117e+09,8.9e+07,4.4e+07,2.9e+07,8.25e+08,9.87e+08,-5.5e+07,-5.5e+07,-3.8e+07,-4.05e+08,-2.02e+08,0,-6.45e+08,2.87e+08,2.87e+08,4e+06,2.91e+08,2.31e+08,2.566e+09,1.069e+09,0.60256,0.14984,0.07131,0.02907,0.00976,12.01124,1.91765,1.97747,0.28145,0.35136,0.34888,4.92696,12.08843,4.22029,0.15002,0.01536,0.12931,0.42697,8.63636,10.66845
"2","2010_Q3",4.85375,"Up",1.519e+09,-5.93e+08,9.26e+08,-6.16e+08,-5.87e+08,3e+06,3.1e+08,-2.6e+07,-2.8e+07,2e+06,2.84e+08,2.84e+08,-1.02e+08,1.83e+08,1.83e+08,1.83e+08,1.83e+08,4.11e+08,4.11e+08,5.75e+08,5.75e+08,2.69e+08,2.48e+08,1.61e+08,3.1e+07,1.503e+09,1.11e+09,6.355e+09,2.983e+09,2.695e+09,1.35e+08,5.42e+08,7.475e+09,8.978e+09,9.24e+08,8.84e+08,429298543.473492,3.6e+07,9.6e+08,2.568e+09,2.627e+09,1.042e+09,7.34e+08,5.195e+09,6.155e+09,2.619e+09,2.6e+08,-5.6e+07,2.823e+09,2.823e+09,8.978e+09,1.83e+08,4.6e+07,1.3e+07,3.7e+07,2.79e+08,-4.3e+07,-4.3e+07,-3.8e+07,0,-3.55e+08,0,-3.93e+08,-1.57e+08,-1.57e+08,-3e+06,-1.6e+08,3.56e+08,2.568e+09,4.52e+08,0.60961,0.20408,0.12047,0.06482,0.02038,2.46995,1.56562,2.1803,0.28603,0.74847,0.74179,6.21268,11.54601,1.84867,0.15542,0.02756,0.05637,0.20765,6.05899,6.95806
"3","2010_Q4",4.78078125,"Down",1.457e+09,-6e+08,8.57e+08,-5.97e+08,-5.64e+08,-1e+06,2.6e+08,-2.9e+07,-3.1e+07,2e+06,2.31e+08,2.31e+08,-8.7e+07,1.44e+08,1.44e+08,1.44e+08,1.44e+08,2.24e+08,2.24e+08,5.27e+08,5.27e+08,2.83e+08,2.65e+08,1.76e+08,3.1e+07,1.299e+09,1.123e+09,6.357e+09,2.984e+09,2.693e+09,1.39e+08,5.41e+08,7.491e+09,8.79e+09,9.48e+08,9.47e+08,412766181.157831,3.6e+07,9.84e+08,2.571e+09,2.65e+09,1.083e+09,7.24e+08,5.221e+09,6.205e+09,2.279e+09,3.46e+08,-4e+07,2.585e+09,2.585e+09,8.79e+09,1.44e+08,4.7e+07,4.8e+07,3.4e+07,2.73e+08,-5.6e+07,-5.3e+07,-6e+07,0,-3.48e+08,-1e+06,-4.09e+08,-1.89e+08,-1.89e+08,2e+06,-1.87e+08,3.07e+08,2.571e+09,3.72e+08,0.58819,0.17845,0.09883,0.05571,0.01638,2.58333,1.32012,2.40039,0.29249,0.60504,0.599,6.12185,10.86134,1.56303,0.2521,0.02613,0.04766,0.41667,7.64495,9.02692
"4","2011_Q1",4.78435483870968,"Up",1.412e+09,-5.54e+08,8.58e+08,-5.9e+08,-5.51e+08,-7e+06,2.68e+08,-1.9e+07,-3.3e+07,1.4e+07,2.49e+08,1.49e+08,-3.7e+07,1.12e+08,1.12e+08,1.12e+08,1.12e+08,3.15e+08,3.15e+08,5.36e+08,5.36e+08,2.44e+08,2.14e+08,1.22e+08,3.5e+07,1.309e+09,1.168e+09,6.371e+09,2.984e+09,2.691e+09,1.44e+08,5.52e+08,7.55e+09,8.859e+09,3.16e+08,2.98e+08,4.04e+08,6.18e+08,1.338e+09,1.687e+09,3.375e+09,1.083e+09,7.77e+08,5.062e+09,6.4e+09,2.087e+09,4e+08,-2.8e+07,2.459e+09,2.459e+09,8.859e+09,1.12e+08,4.8e+07,8.9e+07,7.47e+08,9.96e+08,-7.4e+07,-7.4e+07,-5.8e+07,-5.73e+08,-2.02e+08,0,-8.33e+08,8.9e+07,8.9e+07,2e+06,9.1e+07,3.16e+08,2.091e+09,1.026e+09,0.60765,0.1898,0.07932,0.04555,0.01264,9.16071,0.97833,2.60268,0.23603,0.49601,0.4908,6.25332,10.89017,4.54384,0.25686,0.02145,0.12946,0.51786,5.62025,6.62687
"5","2011_Q2",5.33809523809524,"Up",1.331e+09,-5.47e+08,7.84e+08,-5.82e+08,-5.47e+08,-2e+06,2.02e+08,-2.4e+07,-2.6e+07,2e+06,1.78e+08,1.78e+08,-6.4e+07,1.14e+08,1.14e+08,1.14e+08,1.14e+08,6.57e+08,6.57e+08,5.61e+08,5.61e+08,2.64e+08,2.91e+08,1.92e+08,3.8e+07,1.773e+09,1.153e+09,6.376e+09,2.985e+09,2.69e+09,1.47e+08,5.54e+08,7.541e+09,9.314e+09,9.45e+08,8.17e+08,4.03e+08,6.5e+07,1.413e+09,2.182e+09,3.289e+09,9.98e+08,7.91e+08,5.471e+09,6.884e+09,1.998e+09,4.58e+08,-2.6e+07,2.43e+09,2.43e+09,9.314e+09,1.14e+08,4.9e+07,-8.6e+07,-2.6e+07,5.1e+07,-5.4e+07,-5.4e+07,-5.6e+07,5e+08,-9.8e+07,-3e+06,3.43e+08,3.4e+08,3.4e+08,2e+06,3.42e+08,2.51e+08,2.585e+09,2.35e+08,0.58903,0.15177,0.08565,0.04691,0.01224,2.0614,1.25478,2.83292,0.27754,0.50984,0.50376,5.95259,10.86762,1.05098,0.25045,0.02047,0.0283,0.49123,7.68127,9.54455
"6","2011_Q3",5.14546875,"Down",1.582e+09,-6.62e+08,9.2e+08,-6.3e+08,-5.98e+08,-1e+06,2.9e+08,-2.5e+07,-2.8e+07,3e+06,2.65e+08,2.65e+08,-9.4e+07,1.72e+08,1.72e+08,1.72e+08,1.72e+08,5.5e+08,5.5e+08,6.1e+08,6.1e+08,2.75e+08,2.6e+08,1.5e+08,4.4e+07,1.695e+09,1.147e+09,6.374e+09,2.985e+09,2.689e+09,1.46e+08,5.54e+08,7.533e+09,9.228e+09,1.094e+09,8.5e+08,4.02e+08,6.5e+07,1.561e+09,2.184e+09,3.146e+09,8.65e+08,7.96e+08,5.33e+09,6.891e+09,1.8e+09,5.59e+08,-2.2e+07,2.337e+09,2.337e+09,9.228e+09,1.72e+08,4.9e+07,-1.41e+08,1.25e+08,2.05e+08,-4.9e+07,-4.9e+07,-5.5e+07,0,-2.15e+08,6e+06,-2.64e+08,-1.08e+08,-1.08e+08,1e+06,-1.07e+08,3.39e+08,2.586e+09,5.09e+08,0.58154,0.18331,0.10872,0.0736,0.01864,2.9593,1.08584,2.94865,0.28023,0.77547,0.76649,7.13255,10.53652,2.29486,0.24797,0.02813,0.06308,0.31977,6.0059,7.02069
"7","2011_Q4",5.13206349206349,"Down",1.529e+09,-6.72e+08,8.57e+08,-5.96e+08,-5.59e+08,-6e+06,2.61e+08,-2.5e+07,-2.9e+07,4e+06,2.36e+08,2.36e+08,-8.2e+07,1.54e+08,1.54e+08,1.54e+08,1.54e+08,6.51e+08,6.51e+08,5.41e+08,5.41e+08,2.6e+08,2.43e+08,1.15e+08,4.8e+07,1.695e+09,1.121e+09,6.362e+09,2.981e+09,2.676e+09,1.31e+08,5.74e+08,7.494e+09,9.189e+09,1.26e+09,8.78e+08,4.01e+08,6.5e+07,1.726e+09,2.21e+09,2.997e+09,7.22e+08,8.11e+08,5.207e+09,6.933e+09,1.71e+09,6.43e+08,-9.7e+07,2.256e+09,2.256e+09,9.189e+09,1.54e+08,5e+07,-1.24e+08,2.44e+08,3.24e+08,-4.3e+07,-4.3e+07,-7.2e+07,0,-1e+08,1e+06,-1.71e+08,1.1e+08,1.1e+08,-9e+06,1.01e+08,3.11e+08,2.611e+09,5.94e+08,0.5605,0.1707,0.10072,0.06826,0.01676,3.85714,0.98204,3.07314,0.28414,0.71296,0.70642,7.0787,10.44444,2.75,0.33333,0.02874,0.07553,0.46753,6.30225,7.50958
"8","2012_Q1",5.26870967741935,"Up",1.461e+09,-6.04e+08,8.57e+08,-5.86e+08,-5.53e+08,-2e+06,2.71e+08,-2.5e+07,-2.8e+07,3e+06,2.46e+08,2.46e+08,-8e+07,1.66e+08,1.66e+08,1.66e+08,1.66e+08,7.01e+08,7.01e+08,5.85e+08,5.85e+08,2.12e+08,2.59e+08,1.13e+08,5e+07,1.757e+09,1.152e+09,6.361e+09,2.98e+09,2.677e+09,1.31e+08,5.73e+08,7.526e+09,9.283e+09,7.95e+08,2.65e+08,4.52e+08,6.68e+08,1.915e+09,2.256e+09,2.849e+09,5.86e+08,8.14e+08,5.105e+09,7.02e+09,1.633e+09,7.4e+08,-1.1e+08,2.263e+09,2.263e+09,9.283e+09,1.66e+08,5e+07,-1.2e+08,1.07e+08,2.03e+08,-9.2e+07,-9.4e+07,-6.8e+07,1e+08,-8.9e+07,-3e+06,-6e+07,4.9e+07,4.9e+07,1e+06,5e+07,3.21e+08,2.708e+09,4.16e+08,0.58658,0.18549,0.11362,0.07335,0.01788,2.50602,0.91749,3.10208,0.29172,0.77788,0.76816,6.8463,10.6045,1.94939,0.31865,0.02992,0.0532,0.40964,6.25234,7.4059
"9","2012_Q2",5.66539682539682,"Up",1.362e+09,-5.84e+08,7.78e+08,-5.86e+08,-5.53e+08,-2e+06,1.92e+08,-2.9e+07,-3.2e+07,3e+06,1.63e+08,1.63e+08,-6.1e+07,1.02e+08,1.02e+08,1.02e+08,1.02e+08,1.92e+08,1.92e+08,5.64e+08,5.64e+08,2.25e+08,2.8e+08,1.57e+08,3.7e+07,1.261e+09,1.149e+09,6.36e+09,2.983e+09,2.687e+09,1.32e+08,5.58e+08,7.523e+09,8.784e+09,3.53e+08,3.13e+08,4.52e+08,6.07e+08,1.412e+09,2.247e+09,2.865e+09,6.02e+08,8.29e+08,5.112e+09,6.524e+09,1.577e+09,7.69e+08,-8.6e+07,2.26e+09,2.26e+09,8.784e+09,1.02e+08,5.1e+07,1.3e+07,-4.91e+08,-3.25e+08,-5.3e+07,-5.3e+07,-6.8e+07,63204304.9111266,-7.9e+07,1.3e+07,-1.34e+08,-5.12e+08,-5.12e+08,3e+06,-5.09e+08,2.43e+08,2.699e+09,-2.4e+08,0.57122,0.14097,0.07489,0.04513,0.01161,-2.35294,0.89306,2.88673,0.30726,0.47977,0.47686,6.4064,10.63029,-1.12888,0.31985,0.02173,-0.03067,0.66667,10.31687,13.05729
"10","2012_Q3",6.19507936507936,"Up",1.621e+09,-6.85e+08,9.36e+08,-6.36e+08,-5.99e+08,-2e+06,3e+08,-2.9e+07,-3e+07,1e+06,2.71e+08,2.71e+08,-9.3e+07,1.78e+08,1.78e+08,1.78e+08,1.78e+08,3.03e+08,3.03e+08,6.15e+08,6.15e+08,2.17e+08,2.56e+08,1.26e+08,3.7e+07,1.391e+09,1.141e+09,6.362e+09,2.982e+09,2.683e+09,1.32e+08,5.65e+08,7.516e+09,8.907e+09,3.93e+08,3.37e+08,7.01e+08,6.4e+08,1.734e+09,2.02e+09,2.858e+09,6.21e+08,8.2e+08,4.878e+09,6.612e+09,1.526e+09,8.74e+08,-1.05e+08,2.295e+09,2.295e+09,8.907e+09,1.78e+08,5.6e+07,2e+07,30000000.0000001,2.84e+08,-3.8e+07,-3.8e+07,-7.3e+07,-2.98023223876953e-08,-6.1e+07,1.86264514923096e-09,-1.34e+08,1.12e+08,1.12e+08,-1e+06,1.11e+08,3.56e+08,2.721e+09,4.41e+08,0.57742,0.18507,0.10981,0.07756,0.01998,2.47753,0.80219,2.88105,0.30549,0.84042,0.83139,7.65345,10.83569,2.08215,0.34466,0.03188,0.05601,0.41011,6.79213,8.06
