"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",12.0159677419355,"Up",73298000,-42589000,30709000,-15981000,-3500000,-12481000,14728000,1602000,80000,1522000,16330000,16330000,-6105000,10225000,10225000,10225000,10225000,109739000,87653000,88355000,88355000,17324000,9820000,215418000,27180000,50976000,8607000,17099000,25270000,78156000,293574000,53212000,53212000,5338000,5338000,58550000,26891000,24320000,2571000,26891000,85441000,121498000,-111867000,198751000,-249000,208133000,208133000,293574000,10225000,1133000,2181000,-11328000,2211000,-1483000,-1483000,-1483000,2335000,852000,718000,-263000,2800000,2800000,412000,3212000,15861000,0,9155000,0.41896,0.20093,0.1395,0.04913,0.03483,0.89535,3.67921,0.41051,0,0.18667,0.17995,1.33814,3.79971,0.16714,4,0.04351,0.03895,-6.91879,-7.45105
"12","2013_Q1",11.7998333333333,"Down",72946000,-41188000,31758000,-18043000,-3994000,-14049000,13715000,723000,83000,640000,14438000,14438000,-5966000,8472000,8472000,8472000,8472000,134149000,113268000,85361000,85361000,15934000,8277000,235444000,27446000,52527000,8607000,18359000,25561000,79973000,315417000,65106000,65106000,6665000,6665000,71771000,27217000,24697000,2520000,27217000,98988000,123709000,-113087000,206057000,-250000,216429000,216429000,315417000,8472000,1252000,423000,16724000,26871000,-1517000,-1517000,-1517000,1035000,-482000,2726000,-724000,25665000,25665000,-49999.9999999999,25615000,14967000,0,36140000,0.43536,0.18802,0.11614,0.03914,0.02686,4.26582,3.28049,0.45737,0,0.15424,0.14893,1.32803,3.94023,0.65795,6,0.03477,0.14833,-8.96299,-9.78119
"13","2013_Q2",12.33546875,"Up",72660000,-48562000,24098000,-13247000,-3432000,-9815000,10851000,2654000,45000,2609000,13505000,13505000,-5529000,7976000,7976000,7976000,7976000,111042000,101501000,80552000,80552000,15051000,6829000,206645000,28256000,60074000,8607000,19319000,32148000,88330000,294975000,37417000,37417000,5428000,5428000,42845000,34015000,31377000,2638000,34015000,76860000,137215000,-120294000,201917000,-723000,218115000,218115000,294975000,7976000,1149000,538000,-14845000,-5182000,-1959000,-1959000,-1959000,11240000,9281000,-1733000,-15192000,-11093000,-11093000,-674000,-11767000,1.2e+07,0,725000,0.33165,0.14934,0.10977,0.03657,0.02704,0.0909,4.82308,0.35238,0,0.1459,0.14117,1.32911,3.98981,0.01326,3,0.03944,0.00288,-9.2535,-10.23334
"14","2013_Q3",15.0275,"Up",75505000,-44432000,31073000,-13480000,-3687000,-9793000,17593000,678000,36000,642000,18271000,18271000,-7423000,10848000,10848000,10848000,10848000,123061000,116644000,86446000,86446000,18616000,9563000,228123000,28763000,57443000,8607000,18933000,29903000,86206000,314329000,50578000,50578000,7744000,7744000,58322000,32769000,29193000,3576000,32769000,91091000,138722000,-125360000,210585000,-709000,223238000,223238000,314329000,10848000,1235000,3846000,5653000,21582000,-1742000,-1742000,-1742000,3050000,1308000,311000,-7823000,15067000,15067000,76000.0000000001,15143000,18828000,0,30162000,0.41154,0.233,0.14367,0.04859,0.03451,2.78042,3.91144,0.40804,0,0.1987,0.19356,1.38298,4.08891,0.55246,5,0.05018,0.11782,-6.53606,-6.99488
"15","2013_Q4",17.05953125,"Up",75231000,-44801000,30430000,-15270000,-3695000,-11575000,15160000,2355000,14000,2341000,17515000,17515000,-6421000,11094000,11094000,11094000,11094000,135043000,121747000,82177000,82177000,17807000,9512000,235027000,28372000,61078000,8607000,20489000,31982000,89450000,324477000,52784000,52784000,6155000,6155000,58939000,34899000,31319000,3580000,34899000,93838000,140029000,-128727000,219493000,-156000,230639000,230639000,324477000,11094000,-2384000,5152000,3556000,17418000,-892000,-892000,-892000,-6913000,-7805000,871000,-5217000,4396000,4396000,707000,5103000,12776000,0,21861000,0.40449,0.20151,0.14747,0.0481,0.03419,1.97052,3.98763,0.40686,0,0.20396,0.19804,1.38313,4.24031,0.40192,5,0.04929,0.08233,-10.57005,-8.90785
"16","2014_Q1",16.7026229508197,"Down",72772000,-46289000,26483000,-14141000,-3900000,-10241000,12342000,2312000,32000,2280000,14654000,14654000,-5932000,8722000,8722000,8722000,8722000,156119000,122948000,76980000,76980000,18585000,10450000,251684000,28721000,63761000,8607000,21102000,34052000,92482000,344166000,65376000,65376000,6771000,6771000,72147000,36960000,33447000,3513000,36960000,109107000,141266000,-132356000,226040000,109000,235059000,235059000,344166000,8722000,4951000,-1188000,15489000,27974000,-1633000,-1633000,-1633000,-20031000,-21664000,228000,-5537000,773000.000000002,773000.000000002,428000,1201000,17293000,0,37081000,0.36392,0.1696,0.11985,0.03711,0.02534,4.25143,3.48849,0.46417,0,0.16092,0.15621,1.34266,4.33688,0.68415,5,0.03929,0.13632,-9.02787,-12.64941
"17","2014_Q2",16.228253968254,"Down",75962000,-48858000,27104000,-13010000,-3698000,-9312000,14094000,1271000,44000,1227000,15365000,15365000,-6211000,9154000,9154000,9154000,9154000,137452000,105621000,84946000,84946000,27243000,16835000,249641000,28314000,64039000,8607000,22073000,33359000,92353000,341994000,55198000,55198000,7204000,7204000,62402000,37999000,34516000,3483000,37999000,100401000,155706000,-139880000,225592000,175000,241593000,241593000,341994000,9154000,6159722.76302458,-833000,-14441000,-6120000,-915000,-915000,-915000,1140000,225000,-1439000,-11580000,-17475000,-17475000,148000,-17327000,18856383.0038498,0,37206209.1880399,0.35681,0.18554,0.12051,0.03789,0.02677,4.05359040188175,4.00053,0.41558,0,0.16906,0.16417,1.40286,4.46172,0.687233858409445,3,0.04458,0.133691305129763,-8.10562268214301,-9.75252
"18","2014_Q3",16.75234375,"Up",76574000,-46049000,30525000,-14441000,-3748000,-10693000,16084000,2314000,40000,2274000,18398000,18398000,-7134000,11264000,11264000,11264000,11264000,144542000,112895000,85795000,85795000,24881000,14551000,255218000,28831000,67071000,8607000,22498000,35966000,95902000,351120000,57575000,57575000,6936000,6936000,64511000,40690000,36606000,4084000,40690000,105201000,157610000,-145627000,233436000,5e+05,245919000,245919000,351120000,11264000,2633000,861000,2092000,16850000,-1061000,-1061000,-1061000,-21000,-1082000,1802000,-9020000,6748000,6748000,526000,7274000.00000001,18717000,0,26882000,0.39863,0.21005,0.1471,0.0458,0.03208,2.38654,3.95619,0.42779,0,0.2083,0.20262,1.41604,4.54766,0.49712,5,0.05071,0.09379,-7.7225,-8.98669
"19","2014_Q4",17.74578125,"Up",78557000,-43948000,34609000,-15371000,-4363000,-11008000,19238000,-863000,33000,-896000,18375000,18375000,-7335000,11040000,11040000,11040000,11040000,141623000,115614000,89089000,89089000,23771000,12630000,254483000,28812000,68761000,8607000,24234000,35920000,97573000,352056000,65507000,65507000,5848000,5848000,71355000,40159000,36384000,3775000,40159000,111514000,158925000,-159104000,241074000,-353000,240542000,240542000,352056000,11040000,1346000,1109000,1851000,15346000,-1930000,-1930000,-1930000,5400000,3470000,218000,-15033000,3783000,3783000,-1064000,2719000,20584000,0,27840000,0.44056,0.24489,0.14053,0.0459,0.03136,2.52174,3.56644,0.46359,0,0.20488,0.19958,1.45789,4.46407,0.51667,5,0.05095,0.09918,-6.88025,-7.36163
"20","2015_Q1",19.6391803278689,"Up",73611000,-44678000,28933000,-14800000,-4033000,-10767000,14133000,1694000,33000,1661000,15827000,15827000,-6584000,9243000,9243000,9243000,9243000,154403000,129490000,86368000,86368000,14727000,14727000,255498000,28264000,81537000,8607000,35614000,37316000,109801000,365299000,71119000,71119000,8226000,8226000,79345000,41666000,37745000,3921000,41666000,121011000,160241000,-162010000,246961000,-904000,244288000,244288000,365299000,9243000,1425000,3095000,8413000,22176000,-1041000,-1041000,-1041000,863000,-178000,270000,-7495000,14503000,14503000,-627000,13876000,15558000,0,29514000,0.39305,0.192,0.12557,0.03784,0.0253,3.19312,3.22009,0.49536,0,0.17383,0.1691,1.38439,4.5943,0.55507,5,0.04357,0.10321,-9.92435,-10.925
